Classy 	 room clean , comfortable , quiet large working desk spacious bathroom separate stall shower toilet area ( much like find Ritz Carlton ) . highly recommend business traveler -- central location room conducive working . leisure traveler , hotel connect Nordstrom mall central tourist spot . , love Conrad slipper ! 
 great location weekend getaway 	 husband stay Conrad three night follow wedding sort & quot ; mini - moon & quot ; real honeymoon November . live 2 hour away Chicago , ' ve stay many hotel downtown past , want something little different special wedding . Conrad perfect -- -the location great walking everywhere , intimate feel , great rooftop bar get swanky drink dinner . drive get tip bellman parking across street Nordstroms cheap valet parking . not drive take cab whole three day , everything want go within reasonable walking distance . definitely plan come back future anniversary weekend trip . 
 May 4 2005 	 Le Meridien - truly Brilliant Experience ! 	 husband & amp ; stay Meridien three teenage daughter easter 2005 . location could not well - within walk distance art gallarie , surround great shop ( hotel access super shopping mall mean daughter could comfortably go alone ) , good variety excellent restaurant practically doorstep . surround street feel safe & amp ; clean worry walk around late night . room ( adjoin triple & amp ; double ) large , spotlessly clean , attractively design comfortable , bathroom . breakfast include deal ( Expedia ) , however , not matter . breakfast order menu ( buffet ) one choose porridge ( £ 2 ) large pile pancake full cook ( £ 8 ) - drink pay freely replenish . service excellent - efficient friendly . pleasant bar friendly atmosphere . reception staff helpful term order taxis / advise route etc .. definatly go back . downfall hotel stay , simply will not able live high standard expect ! 
 May 2 2005 	 near perfect hotel 	 simply superb hotel . location near perfect Chicago 's attraction shopping , well close Loop public transportation be business . room tasteful luxurious , fabulous bed , quiet clean . staff attentive thorough . ' ve stay good hotel Chicago right , would rate one number one . detail 's carefully attend ; 's nothing criticize ! ( , ' m fairly fussy traveler . ) 
 Apr 25 2005 	 great hotel convienent location 	 get back 2 night first trip Chicago .. never travel midwest quite impressed city Le Meridian . go friend book Priceline .. room eqvilient .. ask move get wonderful room overlook michgan avenue .. staff accomodate .. room .. book weekend special include breakfast $ 239 .. upon arrival ask upgrade .. $ 100 per night wonderful corner suite seventhfloor overlook lake michigan avenue .. real treat .. living room separte bedroom huge bathroom separate shower soak tub HEAVENLY bed .. weather great city fantastic wonderful dinner Everist .. top 5 time .. try jake Melnicks lunch Shaw 's around corner seafood Lou Mitchells breakfast ... fantastic ... great hotel .. great city 
 Apr 24 2005 	 Excellent ! 	 will keep short sweet . stay two night family Dec 26th 27th . pay almost nothing ( $ 129 ) 5 - star quality super location ... ( convenient north south Michigan Avenue area store / restaurant attach mall w / Nordstrom , food court ... ) excellent way around . odd side -- - hotel willing advise & quot ; almost empty & quot ; night ... sort thing admit hear ... not know beautiful property would not top everyone 's list . 
 Apr 20 2005 	 Désirent ardemment de phase Le Merdian ( long live Le Meridan ) 	 like post , impress LeMeridan . location perfect , direclty adjacent Shops Northbridge . my husband town visit friend fly O'Hare weekend New York City . arrive early , anxious get weekend start . hotel staff , far , accomodating . room ready yet , inquire would near friend room . front desk person tell we , ever could make sure would floor . leave luggage go way explore Chicago first time . when check , find direclty across hall . great fulfil need ! make feel like imporant . something never experience hotel before . when would pass employee LeMeridan greet friendly & quot ; hello & quot ; BonJour & quot ; . front desk staff use formal name , ( Mr. Parker Mrs. Parker ) lobby wait friend . valet park ! 's worth hassle- call leave room car quick . mostly impressed decor bedroom . bed fluffy bathroom spacious ! hotel seperate shower stall whirlpool tub . husband get little romantic drew rose - petal bath compelete mini tea light friend meet we dinner . close shopping district , purchase everything Crate Barrel , block Michigan Ave . do not know , LeMeridan put everyone special romantic feeling weekend November . weekend forget . Merci LeMeridan ! 
 Apr 17 2005 	 Perfect 	 every year , husband brave terrible midwest winter visit family Christmas northern Illinois every year , spend least two night downtown head home ... hotel absolutely first choice . perfect location - close great restaurant shop , mention be actually connect Nordstrom mall ! great room , great restaurant , great bar , great people , great color , great people . perfect . 
 Apr 11 2005 	 will not disappoint 	 back 5 day hotel . 's preferred destination Chicago stay several time . staff friendly competent room nicely do important quiet ! never disappoint Le Meridien . great restaurant recommendation staff . try Cucina Bella Sedgewick like Italian . 
 Apr 7 2005 	 4 star room 4 star service 	 book hotel 40th birthday look forward something really special . , part , disappointed . room lovely , crisp & amp ; clean , decor minimalist . could use & quot ; punch & quot ; color . view non - existent , despite fact pay extra room suppose & quot ; spectacular view . & quot ; first room overlook basketball court walkway Marriott next door ( complete dead bird . ) husband ask move room well view , get one floor high overlooked parking garage - little improvement . bed bathroom amazing , though . really lack hotel first - class service . , 's make 4 star hotel well 3 star hotel . staff rude unaccommodate - make feel like impose - like guest . 
 Feb 27 2005 	 terrific hotel great feel 	 negative thing cite hotel somewhat strange street entrance . rather awkward main entrance Rush Street , level North Michigan Avenue , feel welcome . take elevator main lobby 5th floor , however , everything feel different . public space , room , feel great elegance . spacious feeling room furnish nice design modern blond piece , large bathroom tub separate stall shower . overall feel comfortable restful . need , hotel offer broadband internet service room , charge $ 12.95 day . lot interesting shopping , eating , nightlife within walking distance . get North Michigan Avenue , one climb step find awkwardly locate elevator Michigan Avenue entrance . 
 Feb 25 2005 	 Great Place . 	 wife stay middle February 2005 . take ( EL ) subway hotel O'Hare . convenient . lobby nice room clean comfortable . ' ve stay many hotel room , bed comfortable ' ve ever sleep . hotel locate great area close everything . walk distance almost interesting site Chicago . would definetly recommend hotel anyone visit great city . 
 Jan 18 2005 	 wonderful romantic week 	 husband stay Le Meridian entire week , could ' ve disastrous . fortunately , wonderful . location great ! foot snow week ( early January ) yet trouble get around . room clean , pretty , great view . bathtub get - away . entire staff , bellman , house - keeping , concierge , absolutely friendly helpful . entire week feel like know everyone hate leave . exercise room great equipment , nice view . love nearby shopping , Nordstom , American Girl Store , Pottery Barn , Neiman Marcus , sooo much . great restuarant nearby espnzone , Portillos , Mr. Beef , absolutely love signature 95th . reason give four uncomfortable pillow . however , staff try accomodate we different pillow . thank Le Meridian making trip Chicago amazing ! 
