luxury 	 travel NYC 3 girlfriend shopping trip not look luxury hotel , somewhere clean comfortable stay . share one room keep cost . worry hotel 2 * , one good review , take chance disappointed . room spacious 2 single one double bed - worry 4 girl one room would mean tripping , issue . bed comfortable clean . bathroom fine towel change everyday . common part hotel pretty plush say want somewhere sleep . excellent location , 2 block Macys Empire state building within walk distance shop 5th avenue . the one bad thing say radiator room load first night , clunky lot run water noise keep awake . morning look turn fine room cold either , small issue . also overhear another guset complain reception - say radistor issue . I not give many hotel 5 * , look trip tick box , can not fault . 
 Fab Holiday 	 go new york boyfriend first time . spend age look hotel central new york find hotel grand union fab place . really ideal location 2 block empire state building time square . room really clean simple double bed tv ensuite basically somewhere sleep new york . look breakfast start busy day go captain cafe part hotel service really good get food really fast . grand union fab place stay 
 Sep 21 2004 	 enjoyable NYC experience 	 stay Grand Union 4 night August 2004 , pleasantly surprised find . Grand Union great location - step away subway station bus stop , around corner Empire State Building Macy 's . hotel also connect cafe open 7 am , good variety inexpensive food . arrive hotel 2 hour check - in time , room ready we anyway . clean well every day . bathroom clean , mould along tile . top floor face back , quiet night . last day , not need leave 4 pm , past checkout time , able store luggage lock storage room hour fee . addition , Hotel order car take we airport fee taxi . all , recommend hotel . $ 120 usd / night double room ( one double one single bed ) , think price little expensive , worth location cleanliness . plan stay next time come New York City . enjoy stay ! 
 Sep 14 2004 	 nice hotel NYC 	 hotel Grand Union adequate convenient location , accessible bus many area city . pay rack price hotels.com arrival overheard desk clerk tell someone else rate considerably lower pay . since already check could not get well rate - assume available . always good call hotel directly check check rate . hotel clean , update refurbish would go . 
 Sep 2 2004 	 great Stay ! Fantastic Location ! 	 recently go New York first time difficulty decide stay . Grand Union affordable fantastic location near 33rd Street Subway station , easy walk distance Grand Central Station Empire State Building . tourist site within good walk quick subway ride . room small fancy theory , New York , much time spend room ? ! go posh weekend away may place we matter room bathroom clean . would definitley stay . 
 Aug 23 2004 	 Sensory Deprivation Chamber ( Good ! ) 	 stay Grand Union two night August 2004 . contrary advance apprehension , convert grocery store . room ( 712 ) small one double bed , matte gray wall , gray carpet , small window overlooking airshaft . short , ambienece zero . interior location thick plaster wall mean quiet . little sensory deprivation chamber midst NYC , sleep soundly . bathroom - marble large tub - nicer room . kudo cleaning staff ; bathroom sparkle clean . neighborhood fine . favorite restaurant area Barking Dog ( 34th near Park ) , DaCiro ( Lexington near 34th ) , bakery southwest corner 28th Park , excellent chocolate croissant . Grand Union plain jane , good value good location . 
 Aug 11 2004 	 Good Cheap Hotel 	 stay Grand Union three day 's August 's exactly expect . good location , subway station block away , good food around corner 's safe location . front desk staff not overly nice respectable cleaning staff great , nice keep everything top shape . want frill good hotel good location Midtown place . would stay since viste New York not spend much time room anyway . 
 Aug 11 2004 	 great little hotel ! 	 good location , nice lobby . walk , right sweet little lounge appear internet access available . leave adjacent coffee shop . next elevator small lending library , nice touch ! little nervous desk clerk give tv remote along electronic key , worry ! room one double bed , carpet new , bathroom clean , soap shampoo , fluffy towel . add plus refrigerator room . thing miss clock . clean comfortable ; excellent value pay $ 109.00 . 
 Aug 3 2004 	 nice quiet hotel 	 must say experience Grand Union good . check early around 11:00 room ready . night problem door room require repair hotel easily upgrade we new room . staff nice polite hotel clean quiet . would recommene hotel anyone . 
 Jul 28 2004 	 Manhattan Secret 	 live Madison Ave . , around corner hotel . put parent 12 day visit Scotland ( 70 's ) . ideal not cost much compare hotel Manhattan . would say good thing hotel 's great location unbeatable price . use hotel town around price range room small ( mean hardly anough room walk around bed ) hotel uglier . hotel 's entrance small , middle block , make look unimpressive . area quiet weekend busy week commuter go subway Penn Station . safe , middle - class Manhattan , neighbourhood . yes , people live around ! know lot tourist end hotel around Times Square . extrememly crowd almost impossible get around . subway Times Square not nice lot not - so - nice people hang around . difficult get taxi several thousand other idea , especially theatre come . however Hotel Grand Union easy get attraction rush - hour crowd fight through . in honest opinion would say afford spend around $ 300 night would well stay big , nice hotel . room parent dull basic furnishing ( Motel - like ) . like price , will not disappoint . unfortunately town , really get pay . not expect Hilton $ 115 night , hotel not bad . 
 Jul 23 2004 	 Pleasant Surprise 	 book room Grand Union first visit NYC July 2004 . nervous fear cheap rate mean inferior hotel . arrive , happy . location great . also love freshness newly remodel lobby ( even big roll new carpet await installation room ) . safe , reasonably price , clean , quiet staff wonderful . must admit room also rather stale smell , will go store purchase air freshener next time . bathroom small clean . also love powerful shower endless supply hot water . be close everything like asian food , several asian restaurant surround . also love deli previously mention . room also size Red Roof Inn room . highly recommend hotel definitely stay . 
 Jul 11 2004 	 Great Hotel Great Location 	 wife stay Grand Union April 15 - 19th excellent stay . room 4th floor face street super quiet time . empire State Building , Macys , Madison Square Garden short walk away , well deli 's , coffee shop fast food place . subway locate pretty much right outside door short walk corner hail cab easy 4 $ less time square . room cozy , clean comfortable , bathroom nicely do marble also clean . Grand Union good deal price location . great time would stay . 
 Jun 28 2004 	 would love G.U . not ... 	 ... absolutely terrible traffic outside ! not get wink night even ear plug help . stay room second floor face street noise street bad believe window leave open . unfortunatly , not be . but , stay one night . stay night , would try get another room preferably quieter one face back . would love Grand Union . room nice clean , staff nice helpful location price great ! 
 May 25 2004 	 Convenient Location good 	 stay 8 day hotel happy . course New York , room bathroom small . location great , walk distance everything , room clean bed make every morning timely manner . price , great stay ! 
 May 18 2004 	 good day 	 May 14 - 17 husband stay Gran Union Hotel . location hotel excellent staff 's attention . around many place eat buy & quot ; munchis & quot ; . room bathroom small clean . stay day good , plan stay NYC one week , find other hotel price . anyway , hotel good stay . 
 Apr 14 2004 	 good budget 	 hotel room . price I ve well , ny price good last minute . room smell like smoke window do not close properly . regardless , hotel good location would last minute . 
 Apr 6 2004 	 bit ghetto 	 would agree write reviewer . problem hotel carpet room stay pretty scuzzy need replace . also , window never clean . neglect feel room . bathroom spotless shower hot powerful ! important hard day 's sightseeing ! fine place stay could stay AYHA 103rd Amsterdam $ 30 night 's spotless . go recommendation review Grand Union site expect place gleaming - 's . 
 Mar 20 2004 	 perfectly wodnerful staff 	 positive experience . though fancy place , clean , safe staff friendly , helpful , accomodating . thrilled room gave , call desk say immediately offer another room - choice ! day checkout , ask could checkout 1 rather noon , say absolutely , problem - charge . ( hotel terrible stickler late checkouot ... ) . absolutely return . problem , clock room . maybe reception area could kind colour rather stark white wall flourescent light ( little harsh eye ) . price , would not stay anywhere else . 
 Mar 11 2004 	 lovin iy 	 first visit New York bit wary . first sight hotel want go home , inside could'nt happy . first room give we show would'nt work quick visit reception sort straight away , move . staff friendly helpful recommending place we go . room 's self clean warm ( need spending day late November day ! ) close everything ! also Brooklyn Bagel Cafe corner 5th avenue go every day . would recommend Grand Union anybody . 
