third 	 character hotel . luxury . uncomfortable bed / pillow . could not sleep . room amenity , even mini - bar . cheap get pay . . . 
 good 	 good stay , nice place .. access pool casino strip .. prob regard view room .. get seventeenth floor .. still able get good view : ( u specify tht u check 
 Perfect place wedding ! 	 beautiful suite enjoy every minute ! hotel perfect spot everything . close show , hotel dine . hotel clean bright , full life ! attede wedding do nice well . simple , nice . room neat clean . 
 Mar 17 2009 	 worth 	 Stayed Monte Carlo recently . check go smooth , gentleman directle traffic help expedite process . get room ( 22 - 231 ) greatly dissappointe . travel companion stay swore remember much nice room . room generally wear poor shape . bathroom floor something sticky bathtub drain slowly . extras coffee maker , refridgerator , tv circa 1995 . cigarette burn carpet , hole sheet , whole 2 tiny drinking glass toast surrounding . feel really dissappointe consider place stay similar cost less much offer . compliment casino floor busy availability game . drink service fair . receommend order beer . mixed drink super weak . although , keep comment smell remind we kitty litter gaming floor . never figure smell . 
 Mar 15 2009 	 Monte Carlo disappoint 	 brother get back quick weekend Las Vegas . stay Monte Carlo decide stay . stay several property Las Vegas continue like Monte Carlo . resort clean comfortable . may pristine , definitely run way . room large comfortable . staff friendly helpful . , nice property . I try take shower one day around 4 pm shower work . call maintenance say pipe burst would fix 15 minute . 15 minute perfect working order . complaint would decide print boarding pass use business center . charge $ 4 2 minute computer . feel like little bit & quot ; nickel dime & quot ; thing , say enough good thing resort overall . it may & quot ; upscale & quot ; property strip , would hesitate stay . ' m sure would select place take significant really try impress , caveat , would back heartbeat . 
 Mar 14 2009 	 average 	 staff generally okay . gem , one outwardly rude . room less average , even though asked place away City Center construction , front row seat . noise not bad hear , wall way thin . every time someone hall open closed door jump . the standard room get little old tired . bed , pillow bed covering standard . furnishing wear . bathroom nothing special , adequate . I would normally say location good , navigate City Center construction . 's , ' m sure fine . one item bother we early restaurant close . quarter ten , close exception Cafe ( offer limited menu ) food court . one restuarant even acknowledge we . the one restaurant visit , Dragon Noodle , poor . another review , trust , stay away it . the casino well lay . game bit date , good variety . overall , think much well , expecially economy . City Center project complete , would stay away . 
 Mar 11 2009 	 Darn good value 	 two couple ( 50 , hip ) spend week Vegas February . stay Monte Carlo confident . disappoint since prove value year past . room clean Ritz Carlton , fine . lobby pretty get great deal stuff gift shop . look 50 % shelf . gripe construction noise . huge project go rear hotel guy start really early . check - in , sure ask room east side hotel . specific want away noise . feel odd numbered room floor would directly adjacent racket . , great time would stay . 
 Mar 10 2009 	 Great Time Monte Carlo 	 stay Monte Carlo four night enjoy every minute ! roomss staff everything great . encounter one person stay friendly helpful . room 18th floor face strip construction City Center bother we . buffet dinner one night nice , also eat Cafe Brew Pub one bad meal . stay hotel without doubt , 
 Mar 9 2009 	 nothing Fancy Good Price / 3.5 5 	 read recent review make sure ask room locate face construction trust want room defintley sound proof could hear construction Thursday Friday morning . also could hear sound strip come room well music Diablo 's bar downstairs patio people scream Roller Coaster New York New York . overall though room clean , nicely sized , big bathroom friendly staff service . check check quick efficent location strip nice , central total opposite end . if get good deal really not care themed look hotel like say Luxor , Monte Carlo bad option next time think will look fancy hotel . personal preference . 
 Mar 6 2009 	 perfect great value 	 wife book trip vegas columbus ohio 3 night monte carlo . price incredible compare hotel location , get air 3 night less $ 700 . read review know expect - construction next door , thin wall etc . actually love think place CLEAN . not listen hear people say keep well , true . price , willing put imperfection enjoy . not expensive meal , fee buffet fine cafe really good money time day . 
 Mar 4 2009 	 great value ! 	 take advantage email rate compe 3 4 night stay . room large large bathroom . clean good maid service . check - in quick lady check we extremely helpful . despite comment contrary , find place quiet ( much Mirage ) . machine tight , casino large easy get around . eat Cafe . go late lunch order simple salad wife order sandwich . take nearly 45 minute , despite fact people . apology even ask waitress food . food well salad McDonalds . need cab get rental car . bellhop say new cabbie , tell drive Las Vegas Blvd . Fox car rental . turn right onto Tropicana Blvd , ask . say freeway quick . since 9 a.m. traffic , 3 traffic light go , question . well get freeway , drive right past rental place want drive even turn around . drive we entrance expect we get walk across parking lot office . credential display dash require . WAY overcharge . trip hell ! Monte Carlo deal thief like . would absolutely stay Monte Carlo , would refuse take another cabbie new . incidentally , mid - eastern cabbie meet 6 cab ride . 
 Mar 3 2009 	 waste money 	 disappoint Monte Carlo . tell four star ... far . reason choose pool , pool closed not tell unless ask . inform we could use Bellagio ( make seem like be right next door ) be half mile away . wall sooo shallow , hear people 's TV 's we , we , next we plus everyone hall . bed uncomfortable , shower head low , handle sink came put ! 
 Mar 3 2009 	 Fun Hotel one exception 	 stay Monte Carlo Hotel Casino March 2 , 2009 , wife , brother wife . town see Beatles Love Mirage . overall would give Monte Carlo positive review . like Monte Carlo casino fairly small strip standard hard find people lengthy walk get place . casino nice , clean good drink service . room nice clean . Diablos Cantina lot fun Happy Hour crazy drink special female bartender pour wild shot stand bar . complaint involve incident Cafe involve something would never happen Vegas 15 year ago whole town go corporate . return show Mirage go quick bite eat Cafe go bed . process seat hostess fight three server right front table go server . wait 10 minute one even bring water table take drink order . cafe busy would understand , close 90 % empty . call hostess ask problem say someone would we shortly . wait minute still one come table even bring we water , let along take food order . complain rather sternly manager problem service . inform calm go call security remove . despite fact wait 15 minute assurance would get water let alone dinner . tell level service acceptable tell would speak calm . save trouble party leave cafe . 15 year ago would never happen Vegas one reason go Laughlin rather Vegas . 15 year ago manager would go kitchen get water probably compe meal . modern times corporate casino squeeze every dime every possible source cash hotel customer service take hit . instead take care we , manager complete rude disrepectful probably cost resturant $ 100 night . grand scheme thing not matter Monte Carlo , demonstrate much Las Vegas change well . 
