would 	 visit NYC Thanksgiving week husband 4 child , age 10 - 15 . happy time give we key card 29th floor room check ! room clean , bed comfy , towel plush . always someone helpful desk . work desk personnel , doormen concierge ; helpful quick respond need . size room midtown location amazing ; suite way go family . we find cheap parking icon parking garage , skip valet parking hotel offer . neighborhood , proximity subway station add value hotel . say , stay , stay , stay ! ! 
 wow can not go wrong Dumont 	 hotel extremely clean super comfortable ! ! tha housekeeping staff extremely polite amazing job refreshing room ! & quot ; full & quot ; kitchen huge plus want bake fresh pizza @ 3 am : ) full - size fridge keep Grey Goose cold . Freezer ice tray , huge plus do not think ! bed comfortable room large ( 400 + sq ft ) especially NYC . tv bit outdate ( ancient tube tv ) . front desk staff pleasent deal , problem check . gym / fitness center open 24hrs : ( think fitness suite hotel ? : ) would definetely recommend hotel price range , stop research stay , love ! thank Affinia Dumont . 
 Aug 15 2008 	 Affinia Rules ! 	 wife two boy , age 6 8 stay Affinia Aug1st thru 4th . reserve thru Quickbook avg $ 330 per nite . check - in take 4 - 5 min . elevator deliver we 34th floor another 4 min . room large . include kitchen fullsize refrigerator . bathroom nice size . shower pressure perfect . mattresse right firmness . pillow comfortable feather type . view include midtown tower . walk hotel , take left way mini market , Murray hill diner , subway , empire state bldg . walk hotel right be way block full restaurant . avoid blockhead . doorman recommend italian place good . walk city day , nice come back comfortable quiet room . never hear anything next door . first hotel experience NYC since 70 's . wife impress . former flight attendant , be experienced dump NYC . ' m glad not stay near 42nd street . Affinia location seem residential feel . recommend beast , little italy , yankee afternoon game , 30 rock , look croation sensation around plaza hotel . guy Croatia take we bike around central park . clear outworke competition . study history central park give informative tour . wish remember name . would like stay hotel . service hotel employee excellent . negative could think hotel large lobby , bar area , restaurant . 
 Aug 14 2008 	 marvelous ! 	 marvelous hotel , great location , stay again . stayed 7th Aug night . added & quot ; high floor room pls & quot ; request book expedia not reach hotel - problem , change room 28th floor corner room straightaway . room spacious , traffic noise problem , staff helpful & amp ; large fridge god - send . the in - room drink & amp ; snack overprice would expect , be murray hill market leave & amp ; duane reed ( like large corner shop UK type , not put & quot ; drug store & quot ; name ) road right slightly large shop round corner ( north ) 3rd ave . we not eat Barking Dog . try Penelope 's ( lexington & amp ; 30th ) breakfast find ok special . EJs luncheonette upper east side fave breakfast place , Celeste 's diner brooklyn end brooklyn bridge . we use subway lot & amp ; would recommend $ 25 weekly metro card be day . subway stop close ( park & amp ; 33rd ) empire state building . UK type : first morning , get early ( will awake anyway ) & amp ; statten island ferry & amp ; ellis & amp ; liberty island trip ( buy ticket day b4 trip ) . first ellis trip 8 am queue form around 730.we use taxi & amp ; airport ( try push car service time back decline ) . 
 Aug 11 2008 	 Loved Affinia Dumont 	 book 3 night stay Affinia Dumont return trip family vacation Ireland . choose hotel primarily base many positive review web pleasently surprised find right ! stay family 4 wonderful . room roomy comfortable well equip . staff friendly helpful hotel location perfect stay . would definitely stay ! 
 Aug 11 2008 	 great position Manhattan 	 stay two night summer heat . great position Manhattan , friendly staff average room . room pretty huge ny standard , 2 queen room . bathroom fine , kitchen ! handy fridge drink . my gripe air conditioning little rattly , be not bad enough interrupt sleep . we never try pillow menu one bed superb , kinda wish now . there night mini market front super handy . all , great position Manhattan , solid , dependable room staff . 
 Aug 11 2008 	 good location 	 travel New York last 5 year stay Affinia hotel advise Dumont one popular , Idisagree . the Lobby lift area terrible smell complete questionaire never receive feedback . I think receive reply 
 Aug 11 2008 	 Outstanding 	 Hands best property stay NYC money . industry professional trust hotel ! ! 
 Aug 11 2008 	 like hotel 	 family two adult two teenager stay 3 night . junior suite spacious exceed expectation . the hotel staff friendly helpful . we look gym , not time use , appear good standard . we use Barking Dog restaurant next door breakfast - good . would like big lobby - real communal area , not big deal . location good - walk distance many attraction Fifth Avenue shopping . use subway nearby get Battery Park Ellis Island / Statue Liberty tour . 
 Aug 11 2008 	 great stay Great Staff 	 Booked hotel website stay another affinia manhattan . minute pull door vehicle service fantastic . check great doorman porter awsome kid make we laugh . deliver bag room , recommend restaurant area , make sure get right pillow want try ( Ipod conecte pillow build speaker kid ... WOW heaven ) choice four five type pillow request . come later make sure get everything need housekeeping . take vehicle away bring back without issue . expensive parking large SUV worth time hassle save unload front hotel give key bring back check right front door ... really impressed staff cleanliness . central location depend want go . 
 Aug 8 2008 	 apartment size hotel ! ! ! - big one Soho London 	 great place stay ! ! come LA , meet friend way back London business , choose Affinia Dumont NY . great clean bedding , two queen size bed , full kitchen , bathroom great wardrobe , desk TV ( even hatstand ) . feel like home away home , though central NY city . spend afternoon day spa - good facial massage ! lovely attendee , steam shower great - shame jacuzzi hotel great place unwind . could also confirm book hotel lobby leave airport . view bite average close walk subway Park Avenue . great coffee shop corner nice restaurant walk distance 3rd street . day checkout , leave shopping bag behind , hotel kindly couriere LA free ! great service understand staff . would stay heartbeat : ) 
 Aug 4 2008 	 overall good 	 second 5 - day stay property . overall nice . highlight : friendly attentive staff , spacius room ( Junior Suite ) . fantastic view high floor - ask booking . ( 35th ) .very good value price . minor flaw : aircondition unit quite noisyroom hallway bit & quot ; tired & quot ; would benifit paintjob light color . 
 Jul 29 2008 	 yes would stay ! 	 great choice Hotel stay . relax , spacious room comfy bed pillow good linen ! room clean nice kitchen although plenty good restaurant close . stay one bedroom 29th floor great view East River Chrysler Building , amazing view , request view booking , impressed natural light room , perhaps east 34th wide street , ie 2 lane traffic . hassle check - in check -out , go smoothly . keen pay extra good hotel , please choose Affinia Dumont .. return love New York ! 
 Jul 27 2008 	 good stay 	 husband , teenage son stay atthe Affinia 3 day July 2008 really like hotel . it handy fo sight comfortable clean . we room 34 floor view downtown - excellent think view town chrysler building may well . we breakfast bark dog cafe good reasonable.42nd st . tme sq within walking distance also find taxi reasonable . we bus tour unlucky first half trip foreign guide speak poor English hard understand say . later excellent native New Yorker good . it worth go central park lunch drink get rest hectic city . eat cafe close Ball park nice . 
 Jul 27 2008 	 fabulous view huge room 	 stay Affinia Dumont inn March 2008 honeymoon disappoint . book junior suite really impressed size room . room size seem bit issue New York problem Affinia Dumont . also fantastic view - two enormous window , one look right Chrysler Building East River . great watch city light front we bottle wine . the space room come handy store shopping ! much see New York foot . make extra big extra comfy bed room welcome end really busy day . we eat hotel restaurant , prefer go evening Greenwich East / West Village . really easy subway stop 5 min walk away . eat italian restaurant around corner hotel first night good . call Da Ciro great tired flight venture ! travel tip anyone fly JFK get AirTrain JFK Jamaica Station . get Long Island Rail Road ( LIRR ) Jamaica Penn Station . Penn Station 10 min walk along 34th St ( past Empire State Building ) hotel . trip airport take around 35 min probably quick taxi ( cheap ) . must remember buy separate ticket LIRR metrocard valid line . 
