suit 	 review state , room small date clean , staff friendly , drink service casino good , excellent location . dollar would probably stay GN next time . 
 Good Value Downtown Las Vegas 	 return 6 - night stay Four Queens . room little date , clean comfortable . 's iron board iron room , really appreciate coffee maker room . also safe big enough fit laptop , good . some people talk say water pressure shower way high , make uncomfortable , not problem . bathroom small , though . the hotel great location , Fremont Street Experience right outside door , able go see whichever show want see throughout week without make special trip . also , deuce bus Strip outlet store nearby , be really convenient . stay Strip , take bus get anyway , stay downtown seem well . get see whatever want Strip , see Fremont Street would otherwise . plus , four Queens Casino one place find 9/6 jack well video poker . manage get royal flush , trip pay ! 
 4 Queens= Silver Strike 	 arrive hotel register easily quickly , front staff friendly effeien , long line . garage space self park park unload luggage . would suggest parking top floor next elevator , crowd . ( think charge $ 3 parking per day room ) get nice room high floor # 1821 , upload picture , see . room clean , quiet killer view . clean people nice polite . Sign member card give free slot machine credit discount restaurant . would recommend restaurant , food taste old , freezer make waitress aloof cashier ok . room service answer , eventually call back room : c husband love silver strike slot , red silver . , overall great price , live little book fun budget hotel : cheer 
 downtown exprerient 	 return vacation Las Vegas .. stay Four Queens , little scared reading review traveler .. state room small staff rude .. etc .. actually great time .. room clean bed comfortable .. stay 3 night pay $ 27.00 night & amp ; 2 night free . plus $ 50.00 com . slot machine . not pay parking like another traveler say . staff nice friendly .. room clean daily would definitley stay .. 
 Jan 30 2005 	 thumb casino staff . 	 stay hotel , visit casino night venture downtown . whole experience leave bad taste mouth , return casino hotel again . a slot machine malfunction . attempt press & quot ; select line & quot ; button screen , touchscreen mis - align , press & quot ; select line & quot ; button actually equate press & quot ; Max Bet & quot ; button -- something certainly not want . immediately stop friend watch machine attempt locate slot attendant . see one , ask near employee - security guard . & quot ; excuse -- slot attendant float around ? & quot ; reply rather gruffly , & quot ; not know . & quot ; , peeve , reply , & quot ; work ? & quot ; reply , & quot ; yeah , department . & quot ; thank , buddy . I walk different part casino locate slot attendant . walk machine , explain problem , press & quot ; select line & quot ; button -- exact thing happen -- another ( unwanted ) max bet ( ' m two max bet machine attempt play couple credit cash ) . minute , call supervisor . supervisor come , not understand problem . insist play game wrong machine fact malfunction . even explain co - worker witness ( cause ) machine malfunction faulty touchscreen -- not understand ( care ) , proceed press button spin reel . finally assure would get credit back , lack understand situation , wound short - pay six credit , despite fact keep insist exact amount have . as cashed cage , ask business card available casino manager . cashier ( friendliest person encounter whole time ) apologetic ask could help anything . explain situation , say would call slot manager over . the slot manager come , get partway explanation happen original supervisor come . stop listen ask question ( basically say , ' he problem machine pay ) , ask exactly problem , reply , & quot ; machine malfunction -- touchscreen mis - align . not understand not care understand problem , tell play machine incorrectly , shorted money pay I . & quot ; understand short , offer pay six credit , point sick ordeal ( want prove point ) tell please keep money fix problem ( machine staffer ) . tell would , leave .... visit Four Queens , encourage people visit one many fine hotel / casino Las Vegas . 
 Jan 20 2005 	 good ! ! 	 return 5 night stay Four Queens .. qiuick efficient . check - in ... excellent room , although bathroom small ... close door get show bath .... large room great view ( 1433 ) .. housekeep good ... excellent casino new slot ... food good ... problem bell desk ... times guy not seem want get chair check retrieve luggage let know airport shuttle would pick ...... grunt little .. sorry later tip ... 
 Jan 18 2005 	 Awesome affordable whirlpool room 	 someone look reasonably price hotel , try 4 Queens downtown . actually start standard room okay , second day , upgrade deluxe whirlpool room , overlook Fremont Street experience city mountain view . room make whole trip ! ! ! not think would use whirlpool much , day walk ( everyday ) , great way relax night show , gambling , people watch . downtown casino really look alike , table game minimum low strip much short walk casino & amp ; resturant . 
 Jan 8 2005 	 feel like King Four Queens ... 	 get back trip Vegas ... stay 4 Queens couple nite great time ... everything would expect hotel downtown ... clean , quite safe ... good food cafe ... lot slot choose ... plenty table game ... great location ... much else say except can not wait go back ... 
 Jan 7 2005 	 Four Queens surprising great choice 	 Travel Agent go Jan 2 - 6 2005 get back . say pleasantly surprised . first night come get flu spend night room . clean bed comfortable surprise . next day go day come back realize bath flooding report front desk also say room never clean . go dinner gamble come back room find shape call complain get action right away . maintaince come could fix bath call we move Suite . great hugh room large bathroom entry area . stay Rio Suites 2 night suite four Queens large bathroom also large . fan bathroom noisy though . surprised make thing well quickly enjoy suite . beside mishap rest stay great . 
 Jan 4 2005 	 Rodeo Bonus 	 spend 10 night 4 queen downtown Freemont street early December . we lucky unknown us National Rodeo Finalswere town , Lots cowboy new weapon ! ( mobile phone hang belt ) free entertainment Freemont street act around world 6 - 12pm . 4 queen quite good next time stay Golden Nugget , ( good Hotel Downtown ! ) 
 Nov 23 2004 	 good vegas eat ! ! ! 	 usually stay golden nugget , book would make space even tho stay 2times per yr . 15 year . trepidation accept accomodation four queen .... casino room well nugget , restarant pit .. 
 Sep 22 2004 	 good time cheap ! 	 four Queens 5 night Bikefest 2004 . room small necessary thing .... tv , table chair , clean bed bathroom . furniture fairly new room bright comfortable . view block Fremont Street canopy basically view , noise constant music event happen Fremont Street might annoying , like sound Vegas not extemely loud not bother . casino pretty small nice . restaurant also good . include cigar / microbrew lounge spend several night ; coffee shop serve good food service could well , dressy restaurant call Hugo 's pricey , still way comparable restaurant south end strip , service food outstanding . , really enjoy hotel / casino . $ 39 night 's real bargain . 
 Sep 21 2004 	 Las Vegas experience 	 get back three night stay 4 Queens Las Vegas . book 10 room , nonsmoking , king bed January 2004 September 2004 . pull around 6:00pm , check , three room ready yet . take another hour room clean . send room , clean , even though front desk idea dirty . even room clean mold shower . three people get King bed double . 7 10 room smoking room . first time 4 Queens , last year stay different hotel , next year back hotel . disappoint fact room book far advance , show not good book far advance . 
 Sep 21 2004 	 four Queens good choice 	 4 we stay four Queens Sept 2004 . have tell would disappoint . delight , love ! staff helpful friendly , casino bright fun . room nice sized ( 2 queen sized bed ) include iron ironing board coffee maker . carpet see well day everything clean . would definitely stay 's right middle Fremont St experience . 
 Sep 12 2004 	 view ? 	 stay four Queens three night August 2004.where Vegas view ! fourth floor view wall ! Taxis Strip expensive . be save room rate , lose cab fare - $ 40 round - trip Caesars Palace . 
 Sep 5 2004 	 wonderful vacation 	 mom spend 4 night 4 queen great . every morning bring pack coffee morning coffee Hotel staff nice helpful . front desk suggest take taxi saharah get monorail see david copperfield save money good selection casino game . thing do not like cocktail server take forever day come around room clean fresh towel room clean matter time leave come back room shine . many penny slot overall visit great course never get see freemont experience room stay room long enough see come back every night around 3 5 lol lol come vegas stay room ? ? ? ? ? highly recommend 4 queen next year go vegas ill 
 Sep 4 2004 	 Great Downtown Hotel 	 Great Hotel Casino right middle Fremont Street Experience . stay August 30th room clean smell like smoke . staff friendly waitress come around often give complimentary drink . stay night 22.50 great experience . suggest stay one night downtown casino go one strip hotel experience downtown one night Freemont show excellent . thing say bad four queen pool go still great place stay . 
 Sep 1 2004 	 bad 	 have not Vegas 25 year , remember could drive Freemont St . room okay , bathroom need remake , okay . safe due security ask room key everytime get elevator . great ready go back . oh hit Lottery . 
 Aug 22 2004 	 nice 	 sister stay every year four day last time take Burger King fast able take room get back gambling one want wait 30 40 minute order come gamble & quot ; mind dinner lunch another thing also good Bread Pudding ever last time terrible chocalate . guest ask drop part fish cut much piece , guess spoil come since 50 . we never find fault room service great people.room nice housekeeping great.we stay every year anyway lot fun 
 Aug 5 2004 	 shake Rattle Roll ! 	 enjoy loud noise ? like feel wall floor vibrate ? sure stay Four Queens . room close & quot ; Fremont Street Experience & quot ; almost touch , shake , rattle roll hour 8 pm 1 am . need ? speaker pump music 7/24 like sixteen year old male home alone first time . make one two night reservation fair another tower hundred foot father back street , chance weekend ruin ? 
 Jul 23 2004 	 Bad Place Stay 	 wife & amp ; stay four Queens July 18 & amp ; 19 , 2004 . location really great want stay Freemont area really cool area stay . always stay strip next time stay area probably Four Queens . room & quot ; Hilton & quot ; room clean spacious . 16th floor problem noise people describe . spend around $ 1,500 fremont area play $ 1.00 slot tight . around $ 300 total . be use win lot Gulfport Mississippi disappointing . 
 Jul 11 2004 	 Convenient locationa 	 stay four Queens July 2 last night western two week trip Las Vegas Utah back . stay strip fly Las Vegas want experience Fremont Street night flight home . room old adequate . read noise Fremont Experience request receive room high floor ( 12th ) . contrary previous review pay parking . give slip car check . show parking attendant fee require . love able walk around Fremont Street , go room rest , back fun . 
 Jul 7 2004 	 get pay 	 4 queen cheap place sleep . 's adequate price . dissappionte ask high floor , non smoking room king size bed get stinky smoking room 3rd floor 2 queen bed . could ask father go last minute want ajoine room , not get , across . also not like pay parking hotel stay . little resturant nice food , much share meal . 's nice Fremont Street experience right door . get pay since go cheap probably stay 4 queen . 
 Jul 2 2004 	 4 queen 	 wife & amp ; spend four day 4 queen . the room comfortable nice king size bed.the waitresses friendly fast . overall wonderful time . 
 Jun 28 2004 	 Love Four Queens ! 	 large room , friendly security guard , easy pocketbook dining , gourmet dining , loose slot , great drink , close inexpensive Fremont Street shopping- ( save money ) ... beer pizza - type bar beer mighty Fine - and food tasty fresh . the large bathroom big plus handicapped . only 1 snag - where Ice machine - they they - but ? downtown Fremont , transportation everywhere point ( Pricier Places ) .We be go back ! 
 Jun 8 2004 	 save dollar 	 much money stay 5 star group since sleep hotel prefer spend $ 150.00 difference / night food entertainment . clean convenient . 
 Apr 22 2004 	 great friendly casino host dealer 	 wow ! treat GREAT 4 Queens ! regardless stay . every year sister take mother Vagas Mother 's Day present . 5 year ago try stay downtown 1st time stay Golden Nugget . room great not enjoy gambling . find spend awake time 4 Queens ! pit boss dealer sooooo much fun ! encourage we stay next trip ever since . currently book June . be like go home ! even remember name get lot hug ! yes , room complementary would gladly pay stay ! rate reasonable room nice always clean ! yes , room Fremont Steet side really hear nightly entertainment stop midnight Las Vegas need much sleep ! ! special thank Marty , Executive Casino Host , Cathy , one many wonderful Pit Bosses . also , Cynthia , another Pit Boss , Nick , Young , Connie , Royce many friendly BJ dealer make 4 Queens experience much fun ! highly recommend ! ! AAA book ! 
