lovely 	 last two trip , enjoy Ping Pang Pong ( dim sum restaurant Gold Coast ) enough want give try place stay . price room ( particularly club card , give small discount ) quite good , choose go & quot ; premium king & quot ; room less $ 100 three night . room clean , modern , nice pan - asian styling . really like porcelain tile use throughout shower sink area . view well , reasonable price . hotel staff friendly helpful , park convenient close lobby . the breakfast buffet great deal nice variety , casino floor staff outgo helpful well . casino & quot ; old - school & quot ; -- quiet , simple layout ( never get lose ! ) fancy theme mostly - naked pole dancer blackjack table . ventilation quite good , not smoke really bother much smoker casino . find refresh over - the - top , particularly day evening wandering hotel strip sensory overload really wear . even enjoy round bingo bowling , casino nicely attire . 
 Apr 2 2004 	 Functional Hotel Casino 	 stay couple night place . pretty decent casino ( though well crap odd would nice ) , average buffet , shuttle Strip make thing handy . hotel room wall not well keep next door room noise , $ 30 room Monday / Tuesday , will not complain much . 
 Mar 21 2004 	 excellent 1st visit vegas 	 husband stay Gold Coast 5- 12 March 2004 first visit Vegas enjoyable . yes hotel local we good indication . main worry arrive read safetydepost box room - turn problem go cashiers desk give box behind counter incidentally free shock compare price pay european hotel . staff every part hotel polite nothing much trouble . intend return Vegas certainly look Gold Coast . 
 Mar 18 2004 	 great value ! 	 stay Gold Coast stay strip . great value , clean room , good buffet . pool small , crow . enjoy strip location , could take shuttle Barbary Coast want . 
 Mar 17 2004 	 Gold Coast good value 	 son stay Gold Coast March 5 - 7,2004 . attend Nascar race expect motel room Vegas price triple major event . room Gold Coast high usual line could afford . motel clean , staff friendly food good . son 21 feel motel mainly old people stay spend time rio right across street . find slot tight manage hold even trip , pretty much win . Lots black jack table $ 5 get one not take long . dealer friendly . would stay may try book room National Finals Rodeo . 
 Mar 15 2004 	 Excellent value 	 be look great value Las Vegas accommodation , look Gold Coast . bed soooo comfortable , food great ( especially buffet ) , location fantastic ( near Rio , Palms , Strip , i-15 ) , employee friendly courteous . would recommend V.P . slot suggest avoid rest . complaint , 's popularity local , Sports Race Book noisy , even bet room . 
 Mar 3 2004 	 dump 	 place DUMP , maggott infest food hallway .. help poor nobody speak english .... pool green kind funk go ... go may go stay imperial palace 
 Feb 28 2004 	 would recommend 	 second stay Gold Coast . stay 1999 , satisfied . room clean , little run , bad staff friendly . sunrise see much improved Remodel . room plush , nice . comfortable bed ever see Hotel . staff friendly helpful . would recommend anyone . next time head Las Vegas Gold Coast first place look room . 
 Feb 24 2004 	 Love Gold Coast ! 	 vacation several strip hotel decide try Gold Coast last year . return 3rd stay return April . staff friendly courteous , room clean , restaurant wonderful ( price right ) shuttle run often enough seldom wait , ( although enjoy walk strip ) . can not imagine stay anywhere else ! ! 
 Feb 23 2004 	 definitely stay 	 return wonderful Valentine 's weekend stay . though bathroom tiny , everything else great . room clean comfy . casino nice great live band excellent restaurant , mention fine dinner show deal prime rib thirty buck ! lot local , could not friendly staff excellent . may never stay strip since soooo crowd , nice take free hotel shuttle back want sightsee . definitely strong recommendation base stay . right across street Rio Palms , two nice place . give Gold Coast shoot . great . DM St. Louis 
 Feb 20 2004 	 exactly want 	 reading whatever could find travel guide comment traveler , choose Gold Coast recent stay Vegas ( Feb. 12 - 15 ) . everything look hotel ; check - in quick , room clean , spacious partial view strip ( 6th floor ) , room quiet , bed really comfortable , price quite bit less hotel . parking breeze - park upper level parking ramp walk right hotel step . hotel clean , easy find thing . staff nice helpful , especially Mimo , Bell Captain . breakfast buffet fabulous ( $ 4.95 ) , dinner Valentine 's Day evening Cortez Room delicious , service excellent price 4 adult eat lobster , prime rib orange roughy , wine dessert , $ 100 . easy find slot machine want , $ 5 blackjack table . see sight ( fight traffic ) strip , nice come back hotel night . 
 Feb 14 2004 	 great bed 	 stay november . great service . bed great . make foam interspring . like select comfort bed water bed love . plus free child CARE ! 
 Feb 11 2004 	 Gold Coast cool .... 	 impressed ... clean , staff friendly , buffet bad ... slot pay well . room definitely large enough clean . stay . 
 Jan 17 2004 	 dump 	 probably boring , plain hotel Vegas . wife like bingo , kid like bowling , cheap friend like $ 3 table buffet great . enjoyed stay next door Rio ( good value Vegas ) 
 Jan 14 2004 	 Great Stay 	 stay Gold Coast 12/30/03 - 01/04/04 . room clean , restaurant / buffet great , friendly staff , free shuttle service Strip . Gold Coast great value . 
 Jan 14 2004 	 love 	 want fancy , look elsewhere , want nice room , well maintain good bed ' ve sleep motel , go Gulf Coast . hotel bed hard , one one would home . extremely comfortable . room size normal hotel room . tv well quality selection Harrah 's rate fabulous . money leave blackjack table . highly recommend . 
 Jan 7 2004 	 great deal 	 stay Gold Coast , end many time . hotel COMPLETELY renovate former dark drab appearance , bright , cheerful place . the entire property one good overall value Las Vegas . excellent , value - price dining several restaurant , cheap gaming ( $ 2 crap ! ) lot slot video poker , good entertainment , nice room price . staff friendly entire place warm atmosphere ... lot local , bad crowd all . what make especially convenient free shuttle sister hotel Barbary Coast Strip mammoth - sized Orleans off - Strip . 
 Jan 2 2004 	 nice hotel great location ! 	 friend stay August ' 03 really pleased hotel . first night spend smoking room ( smell really bad ! ) get late , next morning able move non - smoking room . nice pool w/ hot tub bowling alley really cool . restaurant casino great ! location could not well , free shuttle ( 5 minute ride ) drop across street Bellagio & amp ; Caesars . nice walk . 's great hotel great price . would definitely go back . 
 Dec 31 2003 	 Bingo player 	 love Gold Coast . go play Bingo , like ice cream parlor , terrible mike 's hamburger , seattle good coffee . like bathroom window open . also , like location . 
 Dec 11 2003 	 Video Poker Hell ! 	 serious Video Poker player can not consider stay Gold Coast long . virtually full pay machine , use good assortment , go . hotel restaurant good , not want get rip video poker , stay Gold Coast spend time play palm across street . 
 Nov 16 2003 	 great place 	 great place . although strip free shuttle bus make . relatively cheap great buffet . 
 Nov 9 2003 	 Gold Coast deal 	 go Vegas couple time per year . good bang buck Gold Coast . strip , would perfect , shuttle go Barbery Coast strip . room rate one good food excellent area plus friendly hotel personnel . bathroom little cramp , live . 
 Nov 9 2003 	 expect 	 stay Gold Coast October 24 - 25 2003 . choose good rate Fri - Sat stay read good review . GC good deal , clean room , good food coffe shop , buffet Terrible Mike 's . GC little pedestrian taste , Palms & amp ; Rio right next door . we find casino tad shabby side ( well clientele ) , not see many winner either ! ! cocktail service seem lack , find case everywhere go trip . slot club Coast Casino system awarding point coin - out , coin - in , suck big - time . in summary , get advertise . notice staff GC nice good job . 
 Nov 4 2003 	 terrible wall 	 terrible wall room , even hear last room hall way make noise , cheap cheap cheap 
 Oct 24 2003 	 enjoyable 	 enjoy 4 night find comfortable . clean newly redecorate . easy access dining room & amp ; coffee shop . strip , much hustle bustle large hotel . staff accommodate every aspect stay . easy access strip via shuttle every 15 min . Valet parking wonderful quick . easy access taxi form transportation . 
 Oct 12 2003 	 vacation week 	 Pleasant Hotel . everything functional . meal buffet pleasing . Shuttle strip plus . room nice . one large , attractive sport book around . dealer need friendly smile . good strip bargain . Rio Palms nearby . 
 Sep 22 2003 	 cheap little 	 hard believe anyone would give hotel five star . two positive - cheap , even Las Vegas , food restaurant generally good . negative : long , slow check line ; extremely small room tiniest bathroom ever see ; entry door open directly hall ; safe ; view casino roof ; require bus ride strip ; casino overly bright uninviting . gamble much well across street Palms . will not stay . 
 Sep 21 2003 	 great bargain shuttle plus ! 	 coupon buy 2 night get one free , stay 80 $ three night ! room resemble super 8 , fancy adequate . shuttle run hotel Barbary coast ( mid - strip ) also Orleans hotel . free run every 15 minute . buffet 9 $ per person also good . waitress always around gambling . pool small not many people go , fine . close Rio Palms want go place close gamble . 
 Sep 20 2003 	 Gold Coast 9/16 - 9/19 2003 	 negative 1 - bathroom small 2 - slot seem tight . 3 - need drive anywhere else . 4 - bed soft ( like firm bed ) .positive 1 - free child Care 2 - drink come real fast $ 1 tip . 3 - Buffet good . 4 - check fast . 5 - gift shop good price alcohol . 6 - free gym . overall experience well average . pay 40 buck night . the key whole deal kid us free child care make whole experience dirt cheap . place not child care other charge $ 5 + hour . 2 kid 3 hour would $ 30 day make room price dirt cheap . I would say take child stay sure ........ not kid along , stay somewhere else . 
