Nice 	 hotel normally stay jacked rate $ 200 dollar night - decide look elsewhere . book hotel & quot ; Trip Advisor Deal . & quot ; get room $ 113 plus tax - total bargain city . expect accomodation could marginal price . pleasantly surprised find completely remodel room new bathroom . stay second floor mini fridge private bathroom . front desk staff super friendly . UW side exactly happen part town - hotel conveniently locate next Subway . leave luggage locker first floor check . nice know belonging lock safe finished siteseee ( $ 5 24 hour ) . definately say . btw - breakfast 24 hour Key West diner ( next door ) cheap good . 
 great place stay visit upper west side family 	 hotel clean room spacious well design . visit family city use hotel convenient place sleep . view room interior courtyard , fine quiet . reserve room 2 double bed , upgrade Junior suite . 
 Jun 28 2005 	 great budget minded traveler 	 hotel convenient locate uptown . close bus line 1 , 2 ( express ) 3 get everywhere . rent room 2 double bed room small . bathroom relatively small , . open door day touristy thing , room smell like vinegar . buy air freshner mask odor help . great diner downstairs vietnamese restaurant . mcdonald dunkin donut across street ( open 24 hrs . ) though hotel inexpensive , stay anymore . 
 Jun 17 2005 	 Value money 	 stay hotel 5 night june 2005 , pleased . room clean , clean every day new towel everything . room small though . plan spend lot time hotel , like we , noot mind cost desk clerck first day job , little problem check - in , everything fine anyway . location bit far midtown . excellent connection though subway midtown . recommend hotel every budget minded traveller . 
 Jun 14 2005 	 bad parking refer hotel - reccomend go look option 	 find little disappointed get find parking provide hotel parking garage locate next street . park car get luggage go walkway front desk check - in . space entrance hotel allow drop luggage come back . also , although problem , staff parking garage friendly . would come back hotel good deal price cleaness look another parking . notice parking block not bad one . 
 Jun 5 2005 	 great location price 	 first big benefit hotel location Manhatten price pay . 95st Broadway , outside door ( practically ) subway station catch express train take Times Square two stop ( take local train make 6 stop Times Square ) . around hotel lot little restaurant , cafe , bar 24hr shop will never stick something eat . chinese corner really good price . the hotel nothing special clean , comfortable staff friendly helpful . one elevator good ( small ) computer lobby pay internet access reasonable rate . the room get small comfortable ( not go spend much time ) thing annoying request double bed get two single bed . book ( Expedia ) warn may get double would try book 10 month advance thought would pretty safe request . unfortunately , ask move double not could not accommodate request . try next day get answer . not bad even though could not move bed together screw wall ! nevertheless , bed comfortable . the bathroom spotless clean towel ( plenty ) deliver day . wife not like shower , seem blow hot cold find hard get constant , comfortable temperature ok . not great spray / power job adequately . all hotel good . 10 day not really get sick old fashioned decor , busy tour around city really spend time hotel ready bed . 
 May 26 2005 	 Clean Friendly 	 impressed hotel . room clean , comfortable & amp ; newly decorate . staff friendly & amp ; helpful & amp ; location broadway great base explore city ( tube stop outside ) get taxi 's easily walk . go New York first time would definately recommend place - friend stay Quality Hotel next door , review say infested cockroach . pay 35quid night midashotel would definately stay . load shop , bar & amp ; restaurant around . 
 May 25 2005 	 Excellent Location 	 great value money . stay 5 night double room private facility . room small adequate could fault cleanliness . Fantastic Location subway lot place eat around great bar & quot ; Dive Bar & quot ; close . would recommend friend / family want save penny shop ! ! ! 
 May 24 2005 	 great deal ! 	 amazing ! $ 120 / night average over - large room two queen bed . real amenity beyond tv , phone , iron board , etc . , convenient every respect . subway stop 150 foot entrance , cross - town bus block away , Key West diner next door , grocery next door , liquor store across street , three starbuck two - block radius . ' ve pay least twice sometime three time much room good . 
 may 23 2005 	 Great Value Great Place 	 good deal room hotel ' ve really pleased : two queen size bed quite large room tv , bathroom , bathtub , big closet , refrigerator microwave oven ( great heat baby food ! ) . hotel close play ground Central Park whole area feel like real people live real city . really enjoy stay strongly recommend hotel middle class traveller ; - ) 
 may 23 2005 	 good hotel budget 	 spend long weekend Newton Feb. 2005 , really enjoy stay . book expedia , 2 double room seperate floor . room decent enough . spacious , certainly large enough . room bathroom clean , bed comfortable , airconditioner window work fine . decor somewhat outdated , perfectly acceptable . for money , hotel perfectly situate next tube station ( 2 stop express subway times square ) , plenty good diner around ( Key West next door fine , well place block away ) . Felt safe time , people reception helpfull , could store passport safe provide hotel ( room ) .It certainly seem true New York , get pay . not expect luxury , get decent accomodation good price , convenient enough location , fantastic New York holiday . 
 May 21 2005 	 Hotel Newton - Agood Deal ! 	 great rate , nice room & amp ; helpful staff . nice diner Thai restaurant next door & amp ; reasonable price . locate Broadway 94 St. Easy access H. Hudson Parkway @ 96 St .. parking garage expensive beat parking side street . sure obey alternate parking especially street sweeper 7:30 8:00 . would use hotel . 
 May 10 2005 	 Great Value Money . 	 girlfriend arnt loaded & amp ; do not earn lot money , always fancy go New York City see sight flesh ' ve see movie tv show . the Newton Hotel prefect people like we , cheap New York standard , clean , tidy & amp ; well keep . decor reception area date style , nothing anyone could not live , especially well look . even give free upgrade double room private bathroom book junior suite , ment get 2 double bed , extra seating area even little area kitchen sink , microwave fridge . one tip tho fridge quite loud dial inside turn , switch night want sleep put day keep drink cold . there hot water shower times day , maid put fresh towel & amp ; make bed everyday , staff reception be friendly & amp ; helpful , free safe , lots map & amp ; sightseeing info provide , good location Broadway get sight . the staff reception organise transport back airport & amp ; hotel storage area bag day leave . great stay would recomend Newton Hotel friend , say ! 
 Apr 27 2005 	 good place stay 	 partner stay Newton Hotel 5 night April . hotel nice , reception staff friendly adequately suit need . room spacious , bed linen clean plenty space clothe , etc . share bathroom must admit dubious never problem . clean daily even feel safe use own . the hotel not heartland city subway station 50 metre away give access everywhere Times Square Statue Liberty . purchase Metro Card $ 24 give we unlimited use subway week think great value money . Times Square night fantastic , be vibrant plenty great bar restaurant . subway tend close 9 pm get taxis back hotel . plenty around cost average $ 12.we breakfast morning Key West Diner next door hotel . be get good choice food always set we day . overall Hotel good place stay not bad word say . 
 Apr 25 2005 	 surprisingly good 	 two friend stay Newtown week April 05 . 's hustle bustle Manhattan , find one 's benefit . 's block Central Park good bar restaurant nearby . reviewer note , stone 's throw 96th St subway use regularly ( invest weekly Metro card $ 24 . well worth - endless usage also good bus ) . travel subway right Brooklyn ( Sunday Tabernacle gosepl service ) Bronx Yankees game . Key West Diner excellent value friendly helpful staff . hotel well maintain . reception staff helpful . room 4th floor adequate ( 3 female never enough space ! ) , comfortable quiet . another reviewer toilet threaten overflow tap begin drip , rectify soon report horror story report . we would stay . good value money good service . 
