great 	 look around internet find package deal hotel ~ $ 200 4 night stay 3 night 6 free buffet . stay monorail end place end nice offering every table game want , never leave ! 
 absolutely stunning 	 Hilton Grand Vacation Club Las Vegas Strip 2650 Las Vegas Blvd . absolutely breathtaking . stay 4 night 5 day . hotel strip 10 - 15 minute car drive center strip , depend traffic , course . hotel walk distance Sahara , Riviera , Circus - Circus , Stratosphere hotel . would recommend walk heart strip hotel . ' far . the deuce bus take strip unlimited times $ 7 day simply rental car work well . monorail pick across street Sahara Hotel . station locate back hotel casino . they build humongous hotel ( Vdara Hotel Spa ) mall across street may take complete . handy CVS locate right next door McDonalds , Subway , Nathan ' Pizza locate Circus - Cirucs Hotel . Parking- parking structure short trek back hotel $ 5 ( $ 13 day ) valet parking relax hotel lobby car arrive . regular parking $ 8 per day . Bathroom- Kohler toilet sink elegant baltic green granite countertop tile shower plenty room 2 . stay Tower 2 slightly new tower tower 1 . find difference 2 tower tower 1 jet tub bathroom tower 2 soaker tub balcony . Kitchen- well design raise full outlay , cherry kitchen cabinet rich , elegant light - colored baltic green granite countertop . full kitchen full size refrigerator , oven , microwave , washer/ dryer combo , dishwasher , coffee maker , blender , toaster standard . , Kohler kitchen sink appliance make Cuisinart . room- 1 - bedroom suite separate king - size bed , connect bathroom via slide door . bed extremely comfortable room large tv , lounge chair , full size mirror attach back door . live room- comfortable sofa lounge chair flat screen tv . sofa double full size bed also comfortable kid adult too . dine room- beautiful glass table 4 chair . Desk- laptop nook also nice high speed internet suppose complimentary simply suck . never really get strong connection never could surf internet . even bring ethernet cable nothing . girl front desk tell work add datum port also agree high - speed wireless internet great . there big 24 - hour fitness gym free weight , treadmill elliptical . also 24 - hour game room pool table , big screen tv , table tennis . also starbuck coffee shop small convenience store first floor 
 May 25 2006 	 Great Location - New Property 	 stay Hilton Grand Vacation Club Las Vegas Strip may 2006.room : property new beautiful . room microwave , mini fridge , coffee make , dish utensil . adjoining room ( friend ) include whirlpool tub , full kitchen , big screen tv Bose sound system . tastefully decorate ( exactly picture trip advisor site ) amenity : small game room , computer access ( charge ) , small health club ( small can not imagine anyone able take anything without catch ) . pool nice offer plenty seating . deli low level drink , snack sandwich . staff : minimal contact staff , generally seem moderately friendly . one exception pool staff , everyone pool go way greet make sure everything need . minor room issue , maintenance staff take care immediately nice . gambling : locate strip , casino think big plus , 5 minute walk Circus Circus , walk additional 5 min new Wynn , well worth trip . 
 May 21 2006 	 Mixed Feelings 	 stay Hilton Grand Vacation Club Las Vegas Strip May 14 , 2006 May 19 , 2006 . stay one bedroom suite clean , comfortable view pool . two incident , stay wonderful . the two incident were:1 ) stay use gym hotel excellent . use equipment , go water cooler water leave Ipod Shuffle machine intend keep use within couple minute , someone steal Ipod . fact someone gall steal quick not disappointment . call front desk forward answer machine lose find . never receive call back . husband go front desk would not take information incase someone change heart turn in . I go next day ask could check camera gym see find take guy ( will not say name ) say not time . check yesterday still Ipod . call today 5/20/06 , transfer lose find answer machine still call back.2 ) ' owner ' someone call everyday try set appointment . several friend ' owner ' planning join also uncare attitude ( even , ' ' m sorry Ipod steal gym ' ) call back decide go another timeshare advise friend ' owner ' happen . again , hotel nice would recommend expect entire staff helpful like big hotel strip . 
 May 10 2006 	 Excellent non - casino ` ` hotel '' Strip 	 return 3 day/2 night & quot ; getaway & quot ; HGVC Las Vegas Strip . great family . high quality hotel typical Hilton . bed bedding typical high quality Hilton ... comfortable . everything else seem high Hilton standard ( except cheap silverware ) . three timeshare week aleady interested experience thie Hilton version . wiould plave probably third behe Westin / Starwood Marriott . workout room , however , well see timeshare . would highly recommend anyone seek great non - casino hotel strip . like fact next Circus Circus ( family stuff ) quiet end strip . 
 May 1 2006 	 great hotel without Vegas feel 	 stay business April . hotel nice clean . would recommend hotel look Vegas experience . ... would recommend one main hotel ( Mirage , Bellagio , Mandalay , Venetian , etc ) strip . really great hotel family business . complaint trouble catch cab morning get destination . wait could take 30 minute ... I m sure week ? complaint room pretty noisy thin wall fact lot construction go . overall really enjoy stay ! 
 Apr 21 2006 	 bad great 	 husband stay HGVC Easter . reserve one bedroom suite . ' m HHonors Diamond member , usually get upgrade , least amenity room . hotel , status mean nothing . the room ok -- really , pretty small . update DVD player , nice . one suiitcase holder , use chair mine . the hotel pretty quiet . ' ve stay hotel strip , bad experience drunk , argue couple go night . , nice find quiet Vegas . there restaurant , place buy wine , sandwich , get coffee . advertise serve Starbucks . not know latte , husband explain . bad coffee ' ve ever . panini maker , ask vegetarian panini , deli clerk look like crazy , idea talk . give F service quality . they gym . clean , machine great quality . I stay accumulate point , think would try somewhere else next time . 
 Apr 18 2006 	 Perfect family 	 Vegas wedding 5 week old baby . perfect room ( 1 br suite ) full kitchen sofa - bed mother . room large much nicer expect , like upscale apartment . would comfortable week 's stay , need 2 night . not visit pool look gorgeous . lobby hallway quiet smoke - free , unlike many hotel casino visit . glad choose resort sanity new mom . 
 Apr 11 2006 	 Beautiful room 	 stay 3 bedroom week another family . room beautiful great view city . trouble could hear construction go next store . 
 Apr 11 2006 	 good value note location 	 pro : room equiv upper end Hilton , nice . good value - room $ 130ishcon : hotel . Hilton gold / dia traveler : miss lack upgrade , newspaper , breakfast , tower / exec lounge presence restaurant property . very good food 24/7 Peppermill across street . aware location N end strip away new casio property plan vegas wknd . 1 mile walk N edge new strip area ( TI / Mirage ) . find location immaterial business traveler . think hotel , mistake fault property . satisfied . construction neighboring tower continue 24 hour , audible face room 24 hrs . 
 Apr 6 2006 	 Oasis middle nowhere 	 Hilton honor member go weekend . beautiful resort - plan staying room day night . location far away everything , not warrant stay can not get back room day centrally locate anything . also , timeshare salesperson rude we realized not buy anything tell we can not many people decline boss get mad he . lastly , constuction noise next door keep awake night - noisy . would pick different location next time . 
 Apr 4 2006 	 Great Upscale Vacation 	 great hotel . stay last week March 2006 wife Julie . high quality facility great room . one - bedroom villa . great master bedroom , king bed , spacious bathroom nice living room . get negative way first . far end Las Vegas strip . look visit high - end casino 's well entertainment , go travel bit . casino 's area HGVC hotel old run - down operation like Circus - Circus , Riviera , Sahara , StarDust & amp ; slot - of - Fun . like ability gamble can not sleep 2 am , kind stuck desire hit one night since not decent casino close . anyway , positive far outweigh negative . addition great room pool superb great health / fitness room like work . new tower schedule open around July . reservation give facility high rating . well worth look next vacation . 
 Apr 4 2006 	 true pleasure 	 stay HGVC strip 3/27 - 3/31 . check hotel 4PM . 20th floor . new Luxury condo build near right next HGVC . contraction go Mon - Fri . care bang next door , ' Vegas . pool open pool bar open well . pool bar open 11 am closed 6:30pm . room comfortable . staff helpful . location HGVAC less quarter mile Circus Circus even less Sahara . HGVAC offer valet service plenty parking back . also front desk able print boarding pass Southwest Airlines . travel Southwest helpful . grocery store downstairs large selection price . ask view timeshare check - in , decline . help car stay HGVC take taxi . would highly recommend stay . 
 Apr 3 2006 	 overall nice - with issue 	 return week Hilton Grand Vacations Resort Strip . second time stay . give studio room face strip . overall room nice . really like bath amenity usual Neutrogena crap . room microwave small refrigerator . complaint room never seem like thoroughly clean . maybe fact not leave tip , not matter . for parking either use valet pay $ 6 per day use free self park back side hotel . also nice deli / grocery store gym low level hotel . not use pool weather cold , look beautiful . my advice everyone take information session ownership . 's high pressured sale tour explain benefit time share . incentive get $ 75 casino chip valid Las Vegas Hilton . 's hour half pushy salesman , get nasty say & quot ; & quot ; end . judge large diamond ring , bleached tooth , tell make . 
 Apr 2 2006 	 Hilton Grand Vacations - Las Vegas Strip - Wonderful 	 stay HGV spring break week ( March , 2006 ) say hotel WONDERFUL ! ! little construction hotel however , bother one bit . stay HGV Hilton Hotel last year hotel two step . first enter hotel 's lobby tell Kansas anymore . room one bedroom suite jacuzzi tub . suite remind one bedrooom apartment . full kitchen , washing machine dryer , living room area , dining room area , large screen television boise sound system living room , another televsion bedroom , stand shower ever luxurious jacuzzi tub . first arrive HGV strip feel far night life . hotel locate end strip next Circus Circus . one day realize not matter locate strip . hotel casino may minus traveler . bother since much gambler . pool nice , deli perfect quick breakfast late night snack . would say hotel well definitely see real soon . 
 Mar 19 2006 	 Great Bargain - Great Place ! 	 one nice place ' ve stay ... anywhere ! huge apartment - style 2 - room suite , new clean . excellent price , amenity full kitchen jacuzzi tub . north end strip , walk take bus ( reasonable easy catch front hotel - recommend $ 5 pass 24 hrs . ) place even washer dryer room ( ) . week convention ( close enough Hilton Convention Center walk ) definitely stay anytime Vegas . enjoy quiet atmosphere stay hotel casino attach . although cool use pool area , beautiful perfect view room . perhaps drawback restaurant facility . arrive midnight , search around place nearby eat ( Ihop close 24 hr . palce - 4 - 5 block north ) . business center small food / sundrie shop ( open til 11 12 pm ) handy . staff friendly helpful . pressure purchase timeshare facility . lot construction near hotel property , interfere stay way . 
