nice 	 good value SF near Union Square . friendly staff , pet friendly . modern hotel within couple block Union Square . free breakfast , free internet , nice wine hour evening . close shopping , Metreon , restaurant . would stay . knock $ 45 valet parking smallish fitness center . 
 type hotel James Bond would stay 	 locate perfectly near Union Square shop , across Apple store , BART , Old Navy Walgreen 's ( perfect late - night snack ! ) , Hotel Palomar San Francisco exude Quality . room feature flat - screen tv , useful work desk wireless internet ( via Kimpton InTouch membership ) , plus Kimpton signature animal - print design everything carpet , sheet dress gown . take either interior room look garden exterior city - view room . it be exclusive , comfortable , pet - friendly great location . plus , often come great value deal Priceline . 
 look forward return 	 could not happy stay Hotel Palomar . hotel great location , convenient BART , trolley , incredible shopping . room quiet fantastic view . hotel modern yet comfortable staff superb . look forward many return visit . 
 Feb 2 2004 	 Classy 	 whole family recently stay Hotel Palomar one 2 - bedroom suite . ( January 30 ) gift certificate Kimpton Hotels , decide splurge overnight San Francisco ( though live 45 minute away ) go see & quot ; Lion King . & quot ; cheerfully greet doorman time came go . fact , Saturday , staff different ( less friendly , way ) 10 - year - old daughter mention miss & quot ; nice door guy . & quot ; room beautifully decorate comfortable . furnishing , carpet , lamp accessory tasteful sophisticated . artwork wall gorgeous interesting , even live palm dining area . two kid don swim suit sit bathtub though hot tub . deep Fuji tub definitely treat ! love look Market St. huge window throughout suite . two free apple two free bottle water wait we , well well - stock mini - bar fridge quickly keep kid away ! exercise room nice view rooftop garden interesting view glass ceiling Old Navy store hotel sit top . although not eat , restaurant quite striking appetizing menu . someday without kid ... happy location level service . stay one night , leave want stay . would definitely recommend classy comfortable place spend time San Francisco . 
 Jan 29 2004 	 Palomar Perfection ! 	 moment arrive Hotel Palomar know find wonderful hotel . staff go way assist us recommendation area well get we settle room . question quickly answer . stay 2 night , January 20 - 23 , 2004 . first night stay deluxe King room find spacious beautifully decorate . aveda bath product make relax shower . second night upgrade we room jacuzzi . day even move luggage us new room . jacuzzi large enough 2 ( shower next ) sooooo relax . room CD player , tv , mini - bar , lot business traveler ( fax & amp ; internet ) . bed puffy pillow comforter cozy . everyone doorman open door rounded corner towards hotel front desk worker go way make we feel welcome pamper . hotel location perfect well since 1 block cable car underground bus street car stop right corner . see 's candy 1/2 block away nice ! Hotel Palomar perfect spot see San Francisco make romantic get - away . would happily return heartily recommend anyone look place see city treat like royalty . 
 Jan 22 2004 	 low level service ever deal 	 Kimpton Group great job decor Palomar hotel . stay Palomar first open extremely happy staff , accommodation . recently , visit Palomar last time . Brian call General Manager unprofessional person hotel . rude address first name make appoint ask , however use first name . later , girl friend lobby overhear Brian discuss staff fact hotel company would not take business similar . spend $ 2,500 four day Palomar last penny Kimpton Group see unless remove people like Brian . 
 Dec 16 2003 	 Perfect 	 love hotel . intimate , comfortable , perfectly situated , joy return . good bed , furniture , light , amenity ( esp . complimentary high - speed modem ) . comfortable , intelligent , attentive staff . 
 Dec 2 2003 	 awesome hotel $ 109 ! 	 lucke get spacious room ( wheelchair accessible ) . staff friendly accomodating . room nicely decorate , linen luxurious , bathroom spotless , bed COMFY ! fantastic location definately worth deal find hotwire . lobby well decorate small could use chair lounge . 
 Nov 27 2003 	 great location beware ! 	 extensive research , choose Palomar hotel three day stay Thanksgiving . rate run $ 175 - 400 , look site like Expedia get deal ( pay $ 119 / night ) hotel 's website say match rate find web , give upgrade good room available book .... believe ! honor rate , would upgrade we , even though upgrade room suite available ( check website ) . room clean fairly small , bed comfy , not spend time room anyway . also , IMPORTANT .... park $ 36 / day plus $ 5 / day tax= $ 41 / day park car ..... cost rental car ! front desk clerk double concierge generally useless .... read list suggest place see / eat , knowledge . bottom line ..... bad $ 119 / night step Union Square short walk Chinatown , use 5 star service / quality , not place . 
 Nov 26 2003 	 Mediocre service nice room 	 non - smoker like , make sure check early . book non - smoking room late check . arrive check we tell we put smoking room . get room find distinct odor stale smoke furniture bed - window open . since hotel sell , refuse move we next morning , staff overly apologetic situation . say non - smoking room guarenteed guests- know might stay ! ! however , fair , move stay much pleasant . bed extremely comfy room classy . unfortunately real lobby speak , often feel like number rather value guest . San Francisco special occasion boyfriend , disappointed service . would recommend hotel other would advise check early room decent view room smell like ashtray . 
 Oct 28 2003 	 Excellent 	 visit SF Scotland think hotel location fantastic , room . fuji spa tub definitely require whole day pound sreet SF . minor gripe non availibilty coffee make facility room formal lounge / restaurant appear slightly intimidate vacation . otherwise , would recommend hotel anyone contribute greatly stay city completely fall love . 
 Oct 10 2003 	 Wonderful Hotel ! Great Location ! 	 return first trip San Francisco . love entire trip Palomar wonderful . stay small room , ample size downtown hotel . service excellent . breakfast package , highly recommend . Breakfast Fifth Floor Restaurant superb ! lastly , location hotel great . practically across street Union Sqaure Chinatown block away . highly recommend hotel ! 
 Sep 6 2003 	 great hotel 	 wife stay Palomar 5 night start Saturday Labor day weekend . do lot research think hotel would best we . disappointed . hotel fantastic location right Market street close everything . service great room wonderful . reserve luxury king upgrade suite . room nice . great bedroom separate rest room fuji tub nice . opt get car San Franciso parking rate $ 36 / day bit steep well worth freedom explore Bay area car . valet extremely helpful w/ direction tell we good way get around . use car go Muir Woods , Golden Gate Bridge Park , Montery Bay , Carmel , 17 mile drive Napa . would highly recommend go San Franciso never . weather perfect city awesome . go go wrong stay Palomar . 
 Aug 19 2003 	 Luxury hotel down - home service 	 conduct extensive web research , choose Palomar stay San Francisco last week vacation . find wonderful deal room , concerned husband would stuck broom closet . thankfully , fear unfounded . stay Palomar overall lovely experience , treat first class guest . say , though , miss & quot ; real & quot ; lobby area , concierge service spotty , since concierge also double front - desk worker ( believe , desk quite busy time day ) . however , staff quite friendly try helpful way . room well - decorate , bed comfortable , towel / bath fixture sumptuous . sure take advantage Fifth Floor restaurant -- hotel hold table hotel guest , be need try impossible - to - get reservation go . pricey , dining experience worth ! ! location prime , close public transportation , yet somehow interior hotel manage completely sound - proof extremely noisy street . relax environment . check around major travel website deal hotel , will not disappoint . 
