fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 May 13 2008 	 Eceptional Service 	 stay 4 night April give standard warm welcome mention Trip Advisor member . Theo give we info need get map . one nice touch show room , reception call five minute later check settle well . love touch normally call change request something . room large walk wardrobe fabulous space , room stay pretty tidy this . we sunny weather chilly clothe buy inadequate , jean good weather jacket would better linen trouser thin sweater . apparently San Francisco pretty windy chilly weather . wine taste evening lovely touch make one chat guest exploration San Francisco . well place Hotel get everywhere . 
 May 13 2008 	 would stay 	 hotel farther attraction Union Square 's close lot restaurant wale distance cable car . we walk way , would ahve book something little close . service hotel good , cater everything need . airconditione ! not really need spring , need , would not able stay . overall bed okay , room good size Frisco . busy wine taste every evening everything work well . hard time get hold front desk sometimes though . 
 May 12 2008 	 good hotel great service ! 	 partner stay 7 night towards end April enjoy every minute . hotel well locate accessible popular area San Francisco , Union square , Nob Hill Pier 39 -- within 5 - 10 minute walk tram ride away . hotel pretty good price reasonable . room eight floor although not good condition still acceptable . certainly not shabby would definitely stay . hotel staff friendly expensive hotel ' ve stay year - four Seasons example . happy help anything ask , book taxi , recommend restaurant , advice thing see area smile . certainly look like enjoy work make feel welcome . wine taste every evening 5:30 also nice touch , although make back twice trip . San Francisco great city could spent lot time . time eat hotel breakfast decent enough , friendly service good quality food . would recommend hotel ? definitely , especially get price pay $ 95 night . 
 May 9 2008 	 wonderful place 	 stay Hotel Carlton last summer friend Czech Republic . guy front desk terrfic . always helpful dinner suggestion . would quickly make reservation print direction . complimentary wine reception great . always stay return SF . 
 May 6 2008 	 fantastic 	 small problem reservation joie de vivre hotel line , finally decide hotel carlton due great rate get line . get noon , 3 hour early check , staff happy accomodate we get we room . get room quaint , small . staff happy show we two room find one big enough satisfaction rate . every question , every need , every issue handle professionaly , friendly sincerity . actually appear care go way make guest feel welcome . would STRONGLY recommend hotel definitely stay next time visit San Francisco . 
 May 4 2008 	 Hotel Carleton fantastic overall experience 	 find hotel travel newswire first stay January . stay fantastic : staff incredible , room lovely , evening wine reception delight lobby like walk someone 's plush home make choice April friend England visit California first time . love hotel , recommend other UK . stay every time visit San Francisco ; guarantee . 
 May 3 2008 	 convenient friendly comfortable . 	 staff welcome head Theodore hotel locate convenient location . bedroom maintain high standard would definitely recommend stay Hotel Carlton . 
 Apr 30 2008 	 Great Service ! 	 upon arrival , staff warm welcoming . eager answer question make we feel like member family . room decent size bed comfortable . hotel 's restaurant nice breakfast plenty great restaurant within walk distance hotel . cable car within walk distance fun way move around city . the evening wine taste nice touch . it wonderful hotel experience . 
 Apr 29 2008 	 great stay 	 pleasant stay . San Francisco several time expect cramp accomodation . pleasantly surprised . book 2 room 2 night staff open door daughter next door . nicely decorate , excellent staff , comfortable atmosphere . matresse could well bearable . weather cool room heat nice . , lobby staff pleasant . definitely recommend hotel . also , enjoy walk nice walk Union Square , China Town , surround area . staff make good recommendation area visit avoid . parking tough utilize parking directly across street . pricey ... San Francisco must expect . 
 Apr 23 2008 	 great hotel friendly 	 great hotel . stay 5 night part honeymoon . know ahead time honeymoon send bottle wine card room . nice appreciated touch . after check , rang room make sure everything ok . ! lovely clean room bathroom . wine reception great 5:30pm . overall , excellent experience . would stay . 
 Apr 22 2008 	 lovely gem ! ! 	 return four night stay , hotel nice unpretentious . staff really know treat guest friendly helpful . great tip eat , transportation , etc . walker , be four mile round trip walk Fisherman 's Wharf . van Ness avenue ... tired ? Hop bus back hotel . mass transit excellent SF .. wine reception evening nice touch .. 
 Apr 21 2008 	 Great Value Hotel 	 stay 4 night kid mother . warmly welcome great staff . Carlton one good value hotel San Francisco . we two large interconnect room experience noise busy city all . it 10 - 15 minute walk Union square day night without problem feel uneasy . journey find Cafe Bean fab breakfast . 
 Apr 17 2008 	 Top Marks ! 	 splendid functional hotel . room well equip iron & amp ; board , hairdryer , safe load storage space . front house staff exemplary : professional hugely entertaining . be come SFO airport , get BART UN Plaza walk Hyde get Sutter , take leave . walk take we 20 minute luggage . journey take Tenderloin , indeed hotel fringe , nice part town , not bother anyone . advice get conversation anyone ! term location , hotel ideally situate Nob Hill . not mind walk ( be good way experience city ) carry Hyde Fisherman 's Wharf , head east along Sutter towards Chinatown , Financial District Embarcadero . Hotel 's restaurant great review sadly closed night want eat . not miss wine reception lobby late afternoon ! Theo wizard keyboard ! want 5 * luxury , offend bit dust , not want hear San Francisco wind whistle window frame , not place . however , want excellent base explore city helpful , attentive , down - to - earth staff local knowledge pleased help , thoroughly recommend Carlton . 
 Apr 16 2008 	 really nice hotel 	 writing review behalf friend Tania ... stay hotel 3 day , wonderful staff , good price , good location . would definitely stay ! ! ! 
 Apr 14 2008 	 love Carlton ! 	 return 4 night stay Carlton . staff humorous , friendly , extremely helpful . room clean bathroom modern , despite age building . free wine apple nice touch . take time enjoy local coffee shop cafe along street hotel locate .... feel like part neighborhood ! 
 Apr 14 2008 	 can not decide 	 like Carlton -- nothing wrong . -- bit loud old thin wall . staff great . clean large reviewer seem find . also not find neighborhood sketchy -- not late night . hand -- not close anything . ( probably charge $ 77 night ) complimentary wine thing 5:30 - 6:00 -- mix mingle -- nice touch , Coit tower want go North Beach dinner would go way back bottom nob hill / top tenderloin it . -- 's 30 min way . 's neighborhood really want go walk . it be sort regular people live . -if not expectation go great place -I have think great place . expectation since spend less $ 80 night not really disappointed . not go lot expecation hopefully will not either . 
 Apr 14 2008 	 San Francisco gem 	 & quot ; clean room . friendly , attentive staff . real bargain city bargain tough find . & quot ; 
 Apr 12 2008 	 close Union Square think 	 stay weekend lot Union Square lead believe . good 10 - 15mins walk , be near Hyde Bush - ok cable car ! next time would try stay near Union Square . the room clean like recycling option . also good size recommendation ask corner room back hotel avoid noise street . ok , little noisy , light sleeper not stay ! overall , not bother we . air con fan room might get bit hot summertime . also , wall thin interconnecting door get lot noise neighbour - , thankfully , not even noisy ! hotel staff friendly helpful . on - site restaurant ok - good go food ! next time would pay extra money try stay somewhere else ! 
 Apr 11 2008 	 great hotel great people . 	 stay Hotel Carleton week April 2008 . wonderful hotel much cheap price similar hotel area . staff everything need , include order food , printing ticket , give suggestion entertainment . also , courtesy enthusiasm . particular , theo great help ! room get cozy , small mean . style decoration room rather nice enjoyable . one good experience ' ve ever hotel could afford . reason might want stay location , bit close sketchy bit town , way work around . finally , flight 6 hour late , trouble check middle night get bed . hotel give trouble sort thing , 's refreshing find one make horrible flight easy rather hard . will not hesitate stay next time ' m San Francisco . 
 Apr 7 2008 	 small cozy room 	 return trip San Francisco , CA . magnificent experience , good hotel service ever , well arabic fusion restaurant , Carlton everything . complain could wine taste little early ( 5:30 P.M. 6:00 P.M. ) , never arrive time , miss . get hotel night , go directly Saha Restaurant , Green Salad , Bisbousa cup arabic tea glass wine , heaven . husband grateful friendly staff love experience . 
 Apr 3 2008 	 great ambience 	 stay Hotel Carlton night Mar . 23 , 2008 . hotel great character friendly staff . great dining suggestion front desk . room comfortable clean eclectic style . stay third floor . like noise street room next door . wall paper thin , sound proofing . bring ear plug ! Liked walk closet size european hotel room . Liked build shampoo , conditioner , body wash pump bathtub / shower . 7 block walk Union Square . many homeless along Sutter St. , mostly friendly & amp ; non threaten . travel 13 year old daughter NYC couple time . comment abundance homeless & amp ; many seem San Francisco oppose New York . San Francisco homeless certainly talkative , maybe difference . ear plugs would absolutely stay ! 
