thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Aug 27 2006 	 good location average hotel . 	 stay Sheraton Fisherman 's Wharf two night . San Francisco business go city couple day early see sight . location : excellent . hotel situate perfect spot look check various tourist spot city . short walk take Pier 39 , ferry Alcatraz depart well tour boat . next Cannery , Ghirardeli Square , etc . within walking distance , convenient . room : average . nothing special somewhat outdate . clean fully stock . bed comfortable . hotel seem pricey area , not surprised , bit dissapointe not get money pay hotel . parking : ridiculously expensive , other post . seem norm area hotel parking unfortunately . avoid rent car make use public transit instead , go route . staff : helpful . room face street first check . around 11 pm still lot activity street ( shouting , car alarm , etc ) , light sleeper like would mean sleepless night . front desk helpful able get room much quieter location . overall , hotel average great location . enjoy ! 
 Aug 26 2006 	 Awful 	 July year 4 we stay Sheraton Hotel Fishermans Wharf San Francisco . 2 room dark dingy musty smell . complain tell disintereste Manager could give we 2 room would different . compensation free breakfast 1 morning even though stay 3 night . leave desk tripping help another customer obviously know important . next morning breakfast manager appear front guest tell we order buffet la carte menu . everyone looked feel like criminal try steal hotel . wife book Hotel embarrassed front friend . advice - stay away hotel , manager unfriendly unhelpful . 
 Aug 22 2006 	 Great Location 	 Stayed Sheraton five night first stop travel coast . good time . corner room ; small , quiet . bed comfortable . everything clean ; would prefer drawer space clothing , towel plentiful . Bathroom , , small . actually move side close door ; , clean . vanity area outside bathroom . find area comfortable . two surface area put personal , include large mirror area . also include coffeemaker hair dryer . hotel great area , plan spend time Wharf . Alcatraz shuttle right street . eat restaurant ; arrive ; pricey . food good . many fine eatery area . lobby area surround hotel area nice ; maintain . everyone pleasant helpful . conceirage good . one major negative parking , $ 39.99 / tax per day . public lot . come late , park & quot ; way back & quot ; . space narrow . valet service also use lot . price , tell might take long get car . not need car , use public transportation . plentiful run quite well . use ; problem . little crowded , though . Checkin / checkout painless . would definitely stay . 
 Aug 20 2006 	 great location large 	 hotel perfectly situate we , family four . well locate everything plan close evening activity young child . think however big , long corridor , bland room small bathroom , coffeemaker fridge safe poor view air conditioning system . bit let pay previous hotel particular trip far well facility aspect . the pool ok could foliage improve location well conceal road pavement edge property . the staff helpful pleasant stay . 
 Aug 20 2006 	 will not stay ! 	 7th trip San Francisco ' ve stay 7 different hotel . good experience . pay Priceline ( first time Priceline ) check wait long time - tell smoking room . say due health problem need non - smoking room . say since book Priceline , not choice . manager say booked site instead . since check early , tell would come back afternoon key . wait long line ( 15 min ) get key . my room 's window face driveway night could hear bell captain use whistle get taxi , could hear people floor walk , next room talk watch tv . suppose FOUR STAR HOTEL ! shower never get hot ! warm shower take walk many hour , look forward hot , relax shower . would also a / c filter air , room cold , really need hot shower ! maid begin knock door 9 could start clean , check - out noon ! could not believe would come people shower , etc . and could definitely smell smoker begin morning - air definitely smell cigarette . aside check staff , rest staff attentive helpful . room ugly view , noise hot water make unpleasant experience . there many great place stay . would definitely pay attention review next time . VirginiaIrvine , CA 
 Aug 10 2006 	 eh ... largely unimpressed 	 kid visit Grandma / Grandpa week , decide take wife away 4 day weekend SF . event plan near Fisherman 's Wharf , decide find location , minimize travel . I check price various lodging area- find 250.00 night . take chance use Priceline , ask 4 star hotel 150.00 near Wharf , get Sheraton . needless say , ai not 4 star hotel . the room get ok ... simply . bit like nice holiday Inn Best Western , far would expect Sheraton location 250.00 night price range . surprised coffee maker available room , free coffee lobby . additionally , bathroom door knob loose , pen / paper desk write . top , even though room price 250.00 night , wireless internet another 13.00 day , parking 39.00 night ! ! ! yes , know 's expensive park SF , be ridiculous ... find garage bit street 20.00 less . Priceline automatically give we smoking room . find , call ask front desk could switch non - smoking arrive , cigarette smoke give wife migraines- tell would accommodate we . though pleasant enough , arrive say book could not give we non - smoking room . Argh ... positive though , room clean well enough not smell like smoke badly . also , wife come headache , valet kind enough give last two advil supply . we light room service breakfast , fine . bottom line- look near Wharf , get room Priceline 150.00 less night ( think could got 125.00 try ) , stay . otherwise , 4 star quality worth price 250.00 night . plan city away Wharf , find another place stay , ton less expensive high quality option available . 
 Aug 1 2006 	 Rat 's Nest 	 place terrible ! priceline fault . put 4 star hotel come . could not even half star . go day around New Years . AWFUL . person room we move body ( furniture ) day night . complain least 5 time ( issue alone ) nothing do . construction go patio cover tool . lovely look morning . staff horrible , especially restaurant . never ever ever stay . never use Priceline . oh , location awful . be far away anything unless be Fisherman 's Wharf . WARNED . 
 Jul 21 2006 	 good option tourist activity SFO 	 Location great . pool nothing write home , dining room / bar . room top floor ok , bed comfy room bit date . 
 Jul 17 2006 	 nice hotel 	 husband stay Sheraton Fisherman 's Wharf one night June 30th . nice hotel close enough everything . hotel clean nice . employee courteous helpful . love fact could walk San Francisco problem get back hotel . something eat late bar area food good . know people review say not care hotel , satisfied feel money nice . even get romance package include wine & amp ; cheese platter also late checkout not even much . would definitely stay thereagain ! 
 Jul 1 2006 	 like ! 	 bf stay March 8th-11th enjoy . love location , close Fishermans Wharf , Pier 51 could see Alcatraz Golden Gate 2 block . move first floor room one 4th way back noise , do quickly . LOVED bed . do not rent car til last day do not deal expensive parking even though pool renovate , March need use . would say hallway & quot ; bad & quot ; thing hotel , everything else seem pretty nice especially location , comfy bed good price get . 
 Jun 21 2006 	 disappointed 	 family 5 . recommend hotel travel agent Sheraton think would great . stay 3 night adjoining room . disappointed room ordinary , room particular long , long way elevator , pool renovate ( although could cross road go another hotel use pool ! ) , fridge room . main downside hotel price parking $ 36.99 per night plus tax throw budget bit . come Australia not aware cost parking . staff also friendly . think would look elsewhere next time . 
 Jun 14 2006 	 Fabulous Location Good Service Clean Rooms 	 Sheraton Fisherman 's Wharf San Franciso offer good service , room clean , restaurant nice , park incredibly expensive ! Fisherman 's Wharf Parking expensive sheraton ! next time travel San Fran take car ! also 11 pm street little dodgy ! not feel safe , alot scam artist trying take money . beware photo shop , camera shop walk ask type camera , procede take photo lens , , realise see put zoom maximum take photo . offer go $ 300 lens $ 100 len plus 100 GB memory card , stay clear shop rest stay . if plan Alcatraz , would suggest evening tour would much less crowded . one last thing , rent bike ride Golden Gate Bridge , excellent ! 
