luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 Jun 6 2009 	 great Stay ! 	 stay 4 nt concierge level suite due great rate . Vegas many time , usually stay tower suite Mirage , suit Palazzo 1/2 size Mirage well appoint . real difference suit Palazzo one big room one person early riser , way close sleeping area . a / c suite area work great , one small vent bath seem A / c . amenity room nice , housekeeping staff leave we 4 set towel request , daily . suite strip view , could watch show TI room . realize 2 day request complimentary newspaper deliver room . request one , never get . additional cost concierge well worth . private check save we huge crowd downstairs , morning coffee evening cocktail wonderful . use concierge service dinner reservation , well print boarding pass . go Azure ( new adult pool ) one day tell enter $ 150 per person minimum spending . start leave change say , $ 50 per person not know true minimum suppose . rate , service great , care techno music blast DJ , lewdness , pool draw crowd . food serve come Wolfgang Puck restaurant solaro main pool , price much high . cheesburger $ 25 , regular menu believe $ 18 . azure like nightclub day . go another small pool another day enjoy atmosphere much . dine many property restaurant . Delmonicos good , CUT excellent , Dal Toro nice lunch table outside . also appetizer drink Dos Caminos , ok dinner Grand Lux good casual dining . nice resprite sight sound Vegas country club Wynn next door . enjoy lunch patio overlook huge waterfall , watch golfer putt 18th hole . good food , . casino clean , nice variety game , slot give back deposit . highlight trip Jersey Boys . fantastic ! overall great stay would go back promo offer . 
 Jun 5 2009 	 Pretty Package Questionable Customer Service 	 recent business trip , stay Palazzo . would think resort town negatively affect recession would bend backward provide exceptional customer service . hallway , shop casino not exactly packed . start , check - in , occur well 4 p.m. , not king , non - smoking room available , request . could take smoking room wait , take room two queen bed . room well appoint bathroom spectacular . however , lighting system well - design intuitive , AC not work properly never really hot water available shower . maid service not come well 5 p.m. - explain room probably not ready check - in . wait service casino bar restaurant , slow staff indifferent good . decide take red - eye back home , want extend stay later evening . complimentary late check - out . pay different time throughout day want check . , can not handle room . physically go back front desk ( 11 a.m. ) make arrangement . someone attend conference , inconvenient . really not care use name check - in / check - out . want make experience convenient enjoyable . highlight resort valet service - spot . overall , spend money elsewhere . competition offer plenty choose . 
 Jun 4 2009 	 Loved ! 	 husband get complementary pass go stay either Venetian Palazzo connect together Palazzo new one choose . beautiful describe attach picture , casino nice good variety game ton casino close try want . room luxurious , even flat screen tv 's bathroom ! bed sooo comfortable back since two trip plan return . good tip build Walgreens corner not buy expensive snack go well souvenier Walgreens , matter , remove anything mini bar even want put stuff , weight detector inside item move get charge even do not drink eat ! ! ! husband buy milk Walgreens inside mini bar leave try charge we money two item move around , nice enough hower take BEWARE ! ! ! give slot credit play sign Grazie card send promotion come stay free time , next time go give two free ticket see Phatom Opera $ 80 ticket ' m really excited , definitly return many time ! ! ! 
 Jun 2 2009 	 do not get much well Vegas 	 honesty , doubt ever get chance stay good quality hotel every . make nice Marriott look like slum . get great deal link find Fat Wallet.com , make £ 95 night luxury suite ( small room ) , yet still 720sq.ft . MASSIVE . suite 3 tv screen , safe , minibar , phone , king bed , electric curtain / blind , WiFi ( $ 10 day ) . almost brand new , pretty much good will find Las Vegas money . will find alot people walk Palazzo look around , beautful inside . within walking distance everything strip , great staff , expense spare furnishing , quite generally nice . unfortunately $ 20 trick do not work we , still blow away room . MUCH RECOMMENDED CHANCE 
 Jun 1 2009 	 go back ? ? ? ? ? 	 husband stay many time Las Vegas Palazzo really top list . room immense service excellent ( though trouble get turn service every night ) . upgrade Strip view volcano Mirage , great . pool really nice well -- many pool option sunbathe . also try Emeril 's table 10 restaurant Palazzo shop Canyon Ranch Spa -- also highluy recommend . definite must , especially whwn get decent rate . 
 May 29 2009 	 highly recommend Palazzo ! 	 husband recently stay Palazzo . great hotel , great price , great service would highly recommend hotel . reserve regular room ( knowledge , room suite ) Concierge Level . receive great rate discount Vegas website include Concierge Level amenity . upon check , rate amenity honor . let slip Concierge check we Anniversary upgrade room view additional cost . room beautiful , great view obnoxiously gold Trump Tower Treasure Island . Services Concierge Level : service amenity Concierge Level wonderful . totally worth extra dollar deluxe continental breakfast ( cinnamon bun , toast , bagel , cereal , fruit , ham / cheese croissant , ) morning , afternoon tea , even enough appetizer make dinner ( egg roll , mini hotdog , quiche , soup , etc ) . free drink cocktail hour appreciate , even though ' hard get free drink Vegas . service cocktail hour suburb wait staff marvelous drink suggestion . concierge Room huge lot comfortable seat , couch , lounge . free wifi service " hit miss " main room . , receive well reception walk back Concierge Room . room : room standard room , huge clean . ask turndown service two night , receive service . call inquire ' receive service one night resolve next morning . huge deal . room moth – although notice around hotel Concierge Room . honesty , probably would notice month unless read review Trip Advisor . really big deal . casino : casino Palazzo big beautiful . new member Grazzi Club , receive $ 25 slot play . , good part , win free slot play , award real money instead credit . really good promotion . happy see table game $ 5 minimum mid - week stay . see , make sure play nice low minimum . pool : guest Palazzo , ' able use Venetian Veinezza pool . Palazzo pool ( ) lovely plenty nice shade morning . afternoon get quite sunny , ' able find shade need . great service pool . : recommend get check luggage service desk main lobby . huge stress time saver . $ 20 get luggage check board flight several hour leave hotel . sure give 4 hour notice . Southwest US Airways airline participate . wish airline involve . great service totally worth price . highly recommend Palazzo ! 
 May 28 2009 	 nice 	 enjoy Palazzo room immensely . problem Palazzo Casino full Cigarette smoke . astounding number smoker . like cigarette smoke smoker Vegas rude discourteous light cigarette anywhere . seem problem throughout Vegas . California smoke restaurant , public building , super market , school etc . my last trip stay Suite Bellagio incredible view . Palazzo 's view nice incredible . room make lack view . look conserve money find much well deal strip . celebrate special occasion splurge would recommend Palazzo . 
 May 28 2009 	 one good Vegas 	 first time stay Palazzo fairly new resort , complete last time Vegas . fairly expensive , pretty much go rate class hotel Vegas definitely hold top hotel strip . the suite great , new , clean , well plan good amenity . load choice restaurant , bar , club show , also link 's sister hotel venetian short walk Wynn Encore hotel . I would really recommend Sushi Samba Shoppes Palazzo- good japanese fusion food ever . pool area Palazzo Venetian get crowded need early get sun lounger . gym look great , expensive $ 40 per day . go see Phantom Venetian- really good ! ! would definitely consider hotel next time head Vegas . 
 May 27 2009 	 great hotel ! 	 first time go Vegas , stay Excalibur . second time , want stay nice hotel . decide Palazzo since build . impressed ! huge room huge l - shape comfy couch . three tv ( living room , bathroom , bedroom ) . thing not perfect location . wish middle strip since walk everywhere . like locate around Palazzo , however ( shopping , etc . ) . great service staff . professional polite . bathroom huge , huge garden tub . take bath almost every evening . will not stay anywhere else Vegas , plan go week ! 
 may 27 2009 	 pretty look fall apart . . . 	 stay Palazzo 3 night May promotional rate e - mail we . hotel lovely , fresh - smell ( i.e . smoke smell ) , gaming floor nicely lay . good experience check - in Saturday afternoon - minimal wait time . our first room spacious - typical Palazzo / venetian suite . bed linen nice , disappointed two thing - bed not triple sheet turn - down service not standard ( request 5 pm ) . think last two point inconsistent luxury property . furniture upholstery also seem pretty worn hotel 1.5 year old . say , room bathroom large comfortable . here be gripe place - even though pretty , way many maintenance issue . first room , safe function , not realize leave dinner - play phone tag maintenance set repair . refuse work safe not room - even though empty since could not use ! also several moth room ( tell moth season LV ) burn lightbulb . bad go take shower first night shower handle break hand ! , agree put we another room . second room look ( 2nd day ) lovely , reeked smoke despite non - smoking room . finally end ridiculously large suite supposedly inspect front desk manager housekeeping manager . , suite pretty big - button pop couch husband ( weigh less 200 pound ) sit , door handle hardware loose break two different door , shower ( fix shower head handheld shower ) see well day - handheld shower not fit cradle ( obviously replacement ) hang floor hose . 's shame - hotel really pretty try darndest make thing right . exception one snotty operator ( share operator service Venetian ) , everyone friendly helpful . unfortunately , be obvious maintenance suffer property . reviewer seem love hotel room - perhaps aberrant experience small handful room . luckily , pool area beautiful trouble find couple shady spot . drink service waitress minimal - maybe see one two waitress two day - pool bar nice . Lunch ( pizza sodas ) pool restaurant great . eat breakfast Grand Lux morning fantastic . overall , nice property , trouble room not worth . go back Bellagio next trip . 
