Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 Aug 1 2006 	 nice careful 	 return 2 night stay Royal Horseguards , 28 - 29 July . book deluxe room inclusive breakfast lead believe Air Conditioning . I also e mail ahead ask room view possible . on check ask 25 pound extra would like upgrade , , description room book confirmation perfect . our view bedroom window 3 wall could quiet easily touch take fancy . pointless leave window open get bit air flow room . never mind air conditioning soon cool sauna like bedroom . ah sais man reception , informed ` working , room air cool air condition cool air approx 30 degree . sorry hotel full ` move morning . bet 25 quid would find another room ! ! return hotel Saturday afternoon find move nice air condition room , although hotel full 2 porter please move luggage . problem mate , anything stop we melt night . apart little set back nice hotel great location fantastic breakfast . Perfect Winter break , unless course prepare pay extra 25 pound night something already pay ! ! 
 Jul 31 2006 	 Less bang buck 	 ok . clean enough , nice enough room , though rather small ' deluxe ' room . nice bathroom . ' river view ' Thames 75 % obstruct large tree grow outside window . value money fair . location great - easy walking distance much , stuck zoo Picadilly . skip over - price breakfast downstairs save 65 % walk two block McDonalds near Trafalgar Square . 
 Jul 26 2006 	 Colorful Decor Superb Location 	 fantastic experience ! husband stay four night July first leg honeymoon . book pay regular room via Expedia , send email let know honeymoon request view Thames . check - in upgrade charge . view Thames London Eye good , although obstruct bit tree . room large european standard decorate old victorian style . color room warm rich . nice decor ' ve see hotel . shower excellent water pressure ( tough find hotel ) , careful . small glass panel keep spray shower much water end tiled floor . room service great . one day take wet towel replace new one . someone bring right away next day supervisor even come door check receive clean room . concierge not exactly brim personality information . homework ahead time . embankment tube station block away convenient . catch multiple line . be even 24 hour convenience store right well case need anything razor pastry . location hotel ideal . 's literally step away Big Ben Pariliament block Westminster Abbey , Trafalgar Square ( sure visit night day ) , Buckingham Palace . also , Embankment Cafe close tube stop serve excellent cheap breakfast . eat outside overlook Thames . breakfast hotel 's restaurant super buffet , pricely ( 12.50 Pounds coupon , without 22 , think ) . eat treat . hash brown world . every type breakfast food , hot cold , available , really worth full price . tall sweet dessert , try Garfunkel 's restaurant . ridiculously good brownie sundae . , experience good . without doubt , will return next trip . 
 Jul 18 2006 	 Bait Switch 	 recent stay Royal Horseguards , two upon arrival occasion tell room prepay would available 5 hour later ... howver , pay 25 pound per NIGHT , would upgrade room immedialtly available ... upgrase policy prominantly post check - in desk ( leave believe racket ) .On two occasion , upgrade room even wash clothe bath robe . be forewarned practice . 
 Jun 28 2006 	 nice afternoon tea ... 	 afternoon tea real treat , much recommend hotel . agree reviews state hotel rundown shabby . & quot ; upgrade & quot ; room small nice . service spotty ( day towel pick day ) . whenever ask concierge question local site attraction , push brochure face . certainly not helpful , knowledgeable friendly . the hotel great location . within short walk many landmark underground . 's easy get hotel wherever go London , ' m go stay somewhere else next time visit . 
 Jun 17 2006 	 Convenient Location 	 visit Royal Horseguards May 28 - Jun4th 2006 . experience hotel would well describe nuetral . several issue upon arrival fix , nonetheless frustrating since jet - lag want wind - down relax . Negatives:1 . book junior suite Expedia . get , try give we double insist reserve even though paper hand show reservation resevration # book MONTHS advance.2 . eventually give we junior photo copy conversation back forth manager desk clerk , Junior Suite rather small shower head spray water everywhere . also , room run , terrible view downright haunt creepy feel it.3 . give we another room view Thames room , run climate control inoperable . settle room since aggravate want unpack rest.4 . concierge ( ) unhelpful refer pamphlet & quot ; thing & quot ; rack could ' ve read . 5 . keep play spanish rumba music cd lobby hallway 7 day hour every hour . get annoying almost point torture.6 . maid would re - make room every day sometimes would leave fresh washcloth one day , clean towel another . service spotty.7 . breakfast - food good , certain waitress ( 2 ) mental lapse would ask 3 - 5 time would bring extra tea , toast water . waiter waitresses pick slack bothersome sometimes take 20 - 30min get drink re - fill . positives:1 . location - 1 block underground railroad youcould walk major attraction foot keep up.2 . afternoon Tea - excellent pastry , finger sandwich champagne upon request . relaxing.3 . Restaurant ( Dinner ) - other say review food . find excellent nigh help attentive recommend good drink go along main course . Chatteau Briand two top 10 good meal ' ve outisde 48 state . overall unimpressed would probably try another hotel next time London due dissapointment room condition , concierge , spotty room service . money spend hotel probably well spend hotel clean room well service . 
 Jun 13 2006 	 Fabulous Royal Horseguards 	 problem handle immediately courteous staff wonderful stay . breakfast buffet exceptional . hotel well locate walk many venue . room large european standard comfortable . one view Thames well . would , without question , stay hotel . cost room reasonable give stature hotel - truly beautiful . 
 Jun 13 2006 	 great hotel 	 short break London weekend 3/4 June find hotel excellent ! find good rate hotel 's website . room big beautifully decorate . bathroom super - show wonderful - powerful ! ! breakfast plentiful cater every taste . will stay . 
 Jun 11 2006 	 Best Location Great Hotel 	 recently return trip Europe start stay Royal Horseguards Hotel . could not well . wonderful full breakfast , good location walk distance many London Historical location Thames , great room face River . help request river view room . would stay anytime go London . good value money 
 Jun 7 2006 	 wonderful Time ! 	 tour Globus . I London several time think Royal Horsegaurds good hotel yet ! request room view view London Eye river ! part trip enjoy weather . , London course never promise good weather ! room large bathroom something else ! reccomend hotel body hope stay soon . Linda Bux & amp ; Diana Spenik 
 Jun 6 2006 	 room rundown Awful Service 	 worry staying see review . begin , never receive reponse email inquiry send left decide go ahead stay since Royal Horseguards great location . 's walk distance Buckingham Palace , Westminister Abbey many attraction service room average . room really need update . large room ( european standard ) bed comfortable . however , wallpaper cover mold . bring attention front desk comment & quot ; would know condition room ? & quot ; unhelpful willing even take look . say would housekeeping check leave . not rent room paper replace . addition furniture really dent damage . overall , 's plain shabby . concierge desk helpful recommend restaurant activity . will not stay recommend not either . 
