Great 	 be get cheap table strip - $ 5 minimum bet let ride roulette card game . useful new casino do not want lose money quickly ! 
 not overlook hotel due location ... 	 ' ve stay hotel 3 time really like . take mom ( 58th ) birthday last year also love . room nice , clean bed comfortable - especially love pillow ; - ) . yes , 's strip bus stop right next hotel $ 5 get 24 hr unlimited bus pass ( purchase bus ) . not mind walk be definitely doable . this hotel also wonderful 360 view revolving restaurant ( be pricy remember be also pay view quality service ) . dinner really good waiter really nice attentive - even give mom free slice bday cake . the negative woman walk around take souveni picture - 's really overprice say not interested not finish sentence literally grab photo walk away - really nice . almost complain decide let ruin night . just give comparison experience . ' ve also stay Rio ( nice 's mile strip walkable due highway - try regret shuttle fee ) Sahara ( simply , will not stay ) far , definitely prefer hotel . expensive yet service get not show . 
 Northern Strip 	 want right thick thing , not place . , however , not want . great small hotel everyone work simply wonderful . service level extraordinary , ' m hard please work customer service . 
 Good Vegas Hotel 	 good quality room , normal Vegas Casino facility , 20 minute walk centre strip . 
 Mar 1 2009 	 great Stay ... can not beat price either ! ! 	 attend Magic conference Feb. 15 - 19th work colleague , stay Stratosphere . never Las Vegas choose hotel due fact close conference centre . old hotel , find room extremely clean , bed comfortable , even duvet . one seasoned Vegas traveler group stay New York / New York one month prior say room Strat nice old hotel room 's also spacious . would stay sure , especially 55.00 night . Location LV Conference Centre great , purchase three day bus pass good route 15.00 . like shop outlet centre 5 min . bus ride Strat . catch bus front Denny 's . 
 Mar 1 2009 	 great place 	 little way strip transportation door . clean good sized room view strip . freindly staff . 
 Feb 27 2009 	 little bit far middle strip really cheap ! 	 stay two friend February 3 day : one double bed room new building , view strip ... 40 US $ ( divide 3 ) . can not beat ! room quite big , really comfy . casino bad always something . be little bit far middle Strip ( need 1/2 hr walk , be ok ) one still take bus cab . careful Deuce ( public bus ) , take lot time stop almost every casino ! great value cheap price , ideal student like we example . 
 Feb 27 2009 	 love room ! ! ! 	 room modern , clean always hot water shower . hotel actually close bus stop take go Outlet Mall . like shop hotel great location . plus deauce pick - up right next hotel -to take strip . book room $ 29.00 / nite also receive show pass 2 1 discount buffet . love stay . 
 Feb 25 2009 	 Beware Resort Fee 	 though book US Airways flight - hotel vacation package , tell hotel check - in room prepay , charge $ 7.50 night & quot ; resort fee & quot ; . complain check - out desk like talk wall . ' ve complain US Airways credit card . would never stay . 
 Feb 23 2009 	 would stay ..... 	 boyfriend wait last minute book room Valentine 's Day weekend end Stratosphere . I nervous skeptical staying reading review . the hotel locate way begin strip , seedy area . check - in go relatively smooth . surprise , room dingy smelly , imagine . clean relatively modern ( flat panel tv ) .This hotel serve ' purpose . would stay . last resort since not plan advance . far action Strip . not car , highly recommend different hotel . drive everywhere . 
 Feb 22 2009 	 would recommend 	 stay 1 night ... Las Vegas hurt deal available ( appear entire section Stratosphere close . . . dark night ) . check - in professional ( 28 patron wait line 4:30 pm take less 20 minute check ) . staff , general , helpfull friendly ready help . room fine clean . stay previously stay . although 's strip , price reasonable . 
 Feb 20 2009 	 horrible 	 service bad stand 15th floor smoking room bad odor come room complain nothing definetly would recommend hotel mabe people do not like would recommend 
 Feb 20 2009 	 Brilliant ! ! 	 Brilliant hotel . might right strip get day ticket deuce $ 5 . buffet breakfast amazing ... name ... fairly cheap . room large plenty room , great pool area . really gambler not take full advantage game . favour book trip Grand Canyon , long day worth it . if ever go back would stay problem stay , 10 10 ! 
 Feb 17 2009 	 clean low min table bad food 	 beautiful viwe city one top floor bed comfortable ! feel like remodle long ago . pool close , not know walk mile find one sign right outside door . feel like tell check - in . ( pool indoor . ) people help slot rude , rest staff great . call concerige get return ticket print . pay min computer printer pain . paper get jam one close key . wait almost 45 min . help call company get money back . not bother . inconvienent complain manager , jerk ! , place clean , like drive country side day , casino hop night , can not beat location . 's easy find way home ! LOL . never get lose drive place , . nev really beautiful . big draw back food awful . mean , bad , would go hungry . LOL . go albertson pick healthy snack thing keep room fridge . make sure eat go back hotel will ok . nope ... even breakfast ! mean . warning ... danger robinson ... bad FOOD ! casino great big gambler . low min table 's , dealer friendly helpful , 's hard get drink . 
 Feb 15 2009 	 Stratosphere Better expect 	 stay Strat 3 night stay - yes , Tahiti Village Getaway . add another room two College kid , upgrade tower . check - in polite fast since vip check - in . room ready spotless . nice linen , clean , nice smelling . bed comfy pillow wonderful ( travel , would not need ) eat restaurant near valet parking quite bit , informed hurry one evening , accomodate . one morning , break water pipe hotel not hot water several hour . unfortunately , affect we , fitness center hotel . wash icy water , not bother complain ( ? .... % $ & amp ; * happen ! ) three week later , receive letter give we complimentary stay one night . not going go , nice gesture anyway . little far center strip , car , also use monorail . exercise good we . not miss ride top ..... quite terrifying ! also see cheesy show .... fairly entertaining . Vegasy .... else need ? far TimeShare presentation .... well prepared . tell every single person speak first & quot ; lure & quot ; not plan purchasing timeshare , therefore , guilt whatsoever involve make clear not interested . bring & quot ; guy # 2 & quot ; .... emphatically state two hour obligation prepare speak person . sign slip ... give we ticket .... way within two hour . would not purchase unit even wishy washy person .... really not even nice thought . 
 Feb 14 2009 	 great mid - week package deal 	 look inexpensive pre - Valentine 's getaway , happy find package deal Vegas strip hotel half third normal hotel cost city . drive , able save price airfare . package include upgrade room , free admission Tower , discount show ticket , coupon booklet . upgrade room bit worn stain carpet old vinyl floor bathroom . view parking garage , ' m worried regular room look like . wait line half hour check Sunday evening , would hate check Fri . Sat ! enjoy lunch revolving restaurant top Tower . photographer come around take picture buy outrageous price . view great though . not try thrill ride , look scary enough . also eat one diner , Lucky 's , fine . special good deal . Stratosphere north end strip , near big outlet center . take we 45 minute walk mid - strip end take taxi back eight buck . also , short drive away Red Rocks Canyon beautiful ! 
 Feb 11 2009 	 not book Stratosphere ! 	 long check line , room RESERVED available . pay extra high floor view get offer smoking room get room view airconditioner ground floor loud noise room . poor service , key quit work 3 time stand hall wait sercurity . pool close . elevator stop floor . one elevator break repair guy hour . nice casino . 
 Feb 10 2009 	 Great Place stay 	 great stay.-clean room - nice pool area bar ( busy crowded ) -lot restaurant , bar shopping hotel - check bit stressful - woman write room # not tell we floor . go back confirm tower floor . -great view mountain ( see sunrise window first morning -amazing ! ) 
 Feb 10 2009 	 Great Rates hotel/ bad Car rental agency 	 find great rate hotel Expedia . far end strip long walk . also take double decker bus strip . room clean breakfast hotel reasonable . the line quite long check 's get $ 55 CAD / night . we rent car Dollar airport . great rate $ 9 / day lineup ridiculous - least 1 1/2 - 2 hrs . decide take taxi hotel go back later still 1 hr . 3 people work time . never rent Dollar . agency line least 8 building . 
