Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 Jan 22 2006 	 stuck lift 1/2 hour . staff not seem care 	 stay four night . last evening get stick lift ( elevator ) 25 minute . soon happen use phone inside lift , voice say ' we be work . ' hear anything 15 minute , rang receptionist totally shock stuck lift , claim nobody tell . idea happen first person tell , seem staff obviously not communicate . five minute somebody come knock lift door . seem genuinely concerned plight . tell we lift break twice already evening have manage get working time . ( earth not put sign already happen twice beyond . ) say try contact engineer come , Sunday night idea long would take . manage establish actually floor want simply door stick , gently suggest perhaps whilst wait engineer hotel staff could maybe attempt open door get we . completely astounded doubt impress revolutionary suggestion , go somewhere get tool and/or colleague . whilst go husband manage 5 minute slide door open enough we get , make escape . phone reception room inform , guy search tool and/or colleague could stop ; not seem know anything escape plan . reception staff not even apologise inconvinience . another minute hear room guy return tool and/or colleague , ask lift door panicky voice ' be still ? hello ? anybody hear ? ' tempt leave guess couple minute , since person seem care plight , put miseary reveal survivial . the point story ; lift break , happen sometimes , customer service attach non existent . hotel not even apologise . regard rest stay would say follow ; Location - Good , two block walk subway station seem get long time , think worsen weather . reality 10 minute . noise - disturb noise last night , though husband say noise inside outside keep awake every night . room - spacious clean . find bed bed comfortable , husband not . tv break . could watch different channel , always flick back menu page 5 minute . hotel staff try fix couple time , could not . 
 Jan 20 2006 	 recommend 	 worried stay hotel people comment . stay newly build part o.k , bed never get change sheet bit smelly . bathroom though clean hot shower . window break heater make strange noise , report reception , suggest close window correctly never get fix . although heater , thankfully cold . staff rude helpfull . old lady work gift shop always put sign door , back 5 MINS . pool dirty never open . stay , hope stay old part , stink . main lobby nice visitor toilet clean . never stay Skyline , bit money book well hotel far away main street . 
 Jan 18 2006 	 word - appalling ! 	 stay hotel . know ' ve see picture rate look good not get suck ( like ) - not hit book button whatever do . in short experience : - unhelpful downright rude front desk staff : - terrible location ( right next railway line ) - paper thin wall - noise come room keep awake nights.- Noisy within hotel outside - Hells Kitchen place anyway.- Room standard poor - bed pillow uncomfortable ! - heating joke - not even turn central heating unless * cold * turn be noisy . please follow advice spend extra $ $ $ nice hotel otherwise New York experience severely diminish . 
 Jan 3 2006 	 great Location Clean Comfortable 	 nervous stay NYC find hotel clean affordable . skyline great choice . clean clerk friendly . arrive Dec. 30 decide stay extra night hit Times Square New Year 's Eve . location ( 3 block Times Square ) wonderful parking $ 10 / day . pool busy sightseeing not hotel long enough find . restaraunt downstairs pricey good , plenty dining choice nearby . money , happy would definately stay . can not beat location get around easy . 
 Dec 14 2005 	 Skyline fine 	 get Skyline , area bit worrying look run . not mislead . budget 2 star hotel Clinton , 2 - 3 block Broadway Times Square great position city . the hotel staff always helpful , although can not check 3 pm . concierge give useful tip travel round city . room large clean , basic . tea / coffee facility room , iron board , safe , tv . bathroom clean shower powerful . not try restaurant , try Renaissance Diner 50th Street 9th Avenue breakfast quick pizza slice 's fat sal be across hotel . internet connection lobby cheap enough . for budget hotel , get pay think reasonable value money . 
 Dec 2 2005 	 bad ! ! ! 	 stay skyline dec 05 . really worried hotel read good report , early year , stay lexington ave really lovely hotel . book late , skyline hotel available . the exterior hotel could alittle tlc , get reception clean maybe slighlty date , bad . room fantastic huge , highly unusual nyc decorate well , bathroom clean also recently re - fit . it take 8 - 10mins walk time square , load fab restaurant around hotel , really nice deli 's breakfast . this fantastic trip would really recommend hotel anyone want experience nyc good . 
 Nov 30 2005 	 would use 	 stay hotel 18 nove 2005 23rd Nov 2005 pleasantly surprised . OK 's alittle way ( 15 min Times Square ) however easily outweigh by:1 ) room enormous fridge , large sofa , queen size bed - comfortable Hotel bed ever sleep , bath , bad view . 2 ) clean warm3 ) quiet - get talk another couple stay hotel near centre - freeze night due heating inadequate , also sleep due noise4 ) Helpful Concierge- Norman - book we onto shuttle bus JFK day thanksgiving taxi hard get - cheap $ 22 each . another good point fabulous amish Deli nearby array food - 's worth go look . also nice coffee shop & quot ; Coffee Pot & quot ; ninth Avenue - lovely bagel $ 1.very clean staff great . we feel safe even night . manage get ticket & quot ; Odd Couple & quot ; queue Theatre 10 am - pay $ 25 stand ticket . be available fine . well see all . I know suppose hotel review , NYC fantastic place could rave forever - yes would use Skyline . extra bit walk comfort ant peace quiet . 
 Nov 29 2005 	 Disappointed Hotel 	 impressed hotel . book junior suite separate parlour . go room , one room 2 double bed . go back talk reception staff , tell book . pull e - mail hotel confirmation prove book look tell one junior suite leave . said & quot ; be fine , be book . & quot ; end smoking room second floor view roof ! room okay although smell smoke awful . pool ridiculous hour not get use check view - impressive ! location hotel great restaurant good restaurant staff . hotel staff , exception concierge , leave lot desire . 
 Nov 25 2005 	 back 	 return hotel , would recommend never visit . reception staff rude unhelpful people ever meet bell boy exceptionally pleasant could help enough , would say . perhaps switch job . super 8 offer ! absolutely horrendous vacation . 
 Nov 3 2005 	 Fantastic Room Staff Polite 	 thank much wonderful Stay Reccommend Hotel Anyone want stay New Yourk City ! 
 Oct 6 2005 	 Decent Hotel 	 stay Skyline Hotel 2 oct 2005 6 oct 2005 . hotel state 3 star , reality 2 star . room clean , redecorate neutral color . bathroom clean well . room clean every day towel replenish . shower good water pressure plenty hot water . a / c unit work great able hear traffic outside window people room . eat breakfast restaurant every morning . full breakfast $ 12.95 continental breakfast $ 9.95 . choose eat menu . pay average $ 6.00 per person breakfast set menu plentiful unable finish . dinner little expensive much food . hotel locate decent safe neighborhood . 5 block walk Times Square . neighborhood residental restaurant well . feel safe walking even late night . hotel good choice money . would stay . 
 Oct 3 2005 	 great value clean 	 4 we ( girl ) leave Skyline NYC , could not happy place . we stay arrive another hotel tell reservation never make , room available . will take Travel Agent later . overhear deli discuss option , none someone come rescue . check Skyline recommend . happy walk 7 block Skyline . $ 209 night get room fridge , 2 queen bed , towel need , etc , quite pleased , may able imagine . I amaze clean room . friendly staff , great location , give situation , price seem great we , not expect find anything quickly rate planning spending hotel . the amish Deli 9th ave great place around . go coffee scone every morning , $ 2.50 - can not beat . great fruit , lunch counter , fabulous restaurant area , love stay , would return New York minute . 
 Sep 26 2005 	 Waste New York Space 	 staff rude people ever incountere hotel business . travel lot work never come across lazy rude people . save money go somewhere else . hotel suppose treat guest way . 
 Sep 19 2005 	 Nice Helpful Staff 	 stay one night Skyline Hotel , nice stay . arrive early evening check immediately . room 2 firm double bed . spacious enough clean . good view room . bathroom large really clean . however , shower quite small . dinner plan Chelsea Bell Captain get we cab right away . next morning ask Bell Captain suggestion good diner premise suggest Rennaissance Diner couple block away , good . question , front desk , concierge , Bell Captain always helpfull . check , leave bag Bell Captain tour city . take good care belonging . daughter especially like Barbi suitcase first cart give . 
 Sep 16 2005 	 great value- great location 	 NYC first time travel two couple 6 child age 11 6 . skyline excellent value ( 140.00 per night ) decent hotel . hotel old , well - keep clean . close Times Square walk everywhere hotel . room small , amount time actually , fine . parking extremely reasonable well- 8 - 10 dollar day . would stay . 
 Sep 7 2005 	 problem ! 	 read review regard hotel scepticle book online , need concern . find hotel clean good value , central everyting need . staff extremely polite helpful , would hesitate recommede hotel other . restaurant staff particular make stay pleasure could enough we , special thank they . the penthouse pool dark something miss , temperature 100 degree welcome sight . 
 Sep 3 2005 	 Rude 	 enter hotel check desk clerk middle argument another guest ! automatically upgrade Jr. Suite ... $ 20 ! television sitting room not work , ask front desk could get we another , easy tell one tv room work ! check cable connection work order.upon check desk manager get angry , storm away , slam office door behind question extra charge.on positive side- cheap parking , restaurant staff friendly , will not go back . 
 Aug 29 2005 	 Great Hotel - good location 	 bit dubious hotel read review pleasantly surprised arrive . room spacious ( 4 us - 2 adult - 2 kid ) . plenty space clean . could see Empire State Building room . breakfast buffet quite adequate restaurant serve lovely food evening . bar area cosy big settee . staff oblige friendly . great location - 20 min walk Times Square Broadway . 45 min Central Park . wait check - efficient . felt totally safe walking around area would definitely recommend anyone stay budget . 
 Aug 28 2005 	 good just - a - place - to - sleep 	 stay Skyline month find hotel well expect . hotel location worry soon realize location great - walk distance theatre , restaurant row , Times Square , even Circle Line Cruises . even notice take cab Battery Park straight - shot 12th Ave cost $ 11 . hotel , neighborhood fine . look scary first tell thing & quot ; clean & quot ; lot recently . inside hotel gorgeous although actual room stay ok & amp ; size closet . view pretty gross - back apartment building live . thing would change hotel could stand get new toilet seat correct water pressure . probably bad shower ever take . , minor thing would definitely stay base comfort location . oh , one thing ... restaurant / bar area really classy entire staff professional . 
 Aug 22 2005 	 great stay Skyline 	 listen negative review . upgrade deluxe room upon check - in - clean comfy ( pillow comforter , king - size bed ) . room dead quiet , staff helpful location fantastic . short block theatre district one block restaurant row plenty good restaurant bar type ( brazilian barbecue , french , turkish , italian , etc . ) . want close still get good night 's sleep - . 
 Aug 16 2005 	 's okay 	 wife come holland . first journey new york not know could expect . rate skyline hotel terrible till average . , be challange ! really say worth . modern hotel , large room , good bed , airco , t.v . , telephone , refregirator , good bath shower . surprise we . use stay well hotel , work , o.k . hotel near famous sight n.y . walking distance , metro nearby . ' ve , good holiday new york , thank city course , also hotel , wich - us - good place stay week . ! not forget drink bar . good people serve fine cocktail ! good show fellow ! sorry pour english , normally write dutch , hope understand positive feeling . 
