gorgeous 	 Fairmont Mason St beautifully well maintain hotel long colourful history . room large comfortable fabulous city view . lobby fabulous photo story document hotel 's history fascinating . staff great . 
 enjoy stay 	 fairmont live expectation . good quality hotel , great room think good location . first visit San Fran think great area stay . close cable car , Union Square etc . the thing would say bed get bit old . soft friendly back ! still , enjoyable stay . 
 feel like royalty 	 hotel locate good part San Francisco easy access everything . cable car route within block . food fantastic restaurant well . decor make one feel special . 
 Jan 17 2005 	 Faded opulence still impressive lobby 	 lobby Fairmont way beyond top hotel San Francisco -- Huntington , Mark , Ritz - Carlton , Stanford Court . 's little fade still impress greatly . stay exterior room main building , history . look like remodel 5 year ago still decent shape , excellent bathroom , large walk - in closet , good size sleeping room . window could see one shooting location Hitchcock 's & quot ; Vertigo . & quot ; staff friendly part , attentive . Tonga Room , downstairs , band boat periodic rainshower must - see couple romantic get - a - way . great visit ! 
 Jan 13 2005 	 wonderful Stay Fairmont 	 recently stay room bay view Fairmont Tower . loved . amazing view . good service . main bar / restaurant quite nice . food drink . great setting . food restaurant low level good stay away . fitness facility nice hotel always amaze . find inadequate . exception . arrangement local gym house low level . impressive not expect much hotel gym . overall wonderful stay great setting ! 
 Dec 31 2004 	 Loved Fairmont 	 family five come back fabulous four day stay Fairmont ( 12/26 - 12/29 ) wonderful time . stay lovely corner room main building . clean , spacious , nicely furnish . concierge extremely helpful friendly . think location great . easy walk Chinatown Union Square . cable car line run right hotel . afternoon tea Laurel Court dining room- pricier tea ( $ 48 per person ) nice experience . go happy hour Tonga Room $ 7 person ( include kid ) food good . kid like rain / thunder every 30 minute . beautiful hotel .... classy comfortable . great place take family would definitely return . 
 Oct 27 2004 	 Strikers openly harrasse guest hotel nothing 	 recenlty book trip San Fran use Expedia . choose Fairmont b / c look romantic . get hotel , hotel worker strike . second get shuttle take bullhorn yelled & quot ; shame & quot ; . know strike , would not book . however , expedia , can not get reservation . Everytime leave return get harrasse , whistle blow ear , pan bang face . complain hotel , say striker employee would not hurt we . hotel not comp anything offer apology . half service hotel discontinue due strike still apology comp . terrible . never stay Fairmont hotel within chain b / c not care guest inconvenience harrassed employee . 
 Oct 25 2004 	 overate 	 husband stay Fairmont SF celebrate valentine romantic weekend . choose Fairmont SF great reputation sadly disappointed stay . we check 3pm tell room still clean would finish 15 min . wait lobby 15 min room still ready . one half hour later room finally ready ! room disappointing . old chilly . room service mess well . order champagne get call ask want dinner room ? contact managment stay convey disatisfaction pleased offer upgrade next time stay they . overall , spend $ 400 hotel one evening not feel worth money . 
 Oct 18 2004 	 Positive Experience Fairmont 	 attend friend 's wedding Saturday 16th spend night deluxe tower room . worried impact labor problem stay - find minor service reduction ( room service , valet ) . staff interact positive helpful . our renovated room 17th floor clean great view . high enough hear protester . breakfast buffet good great value $ 18.even reduce staffing , find Fairmont superior San Francisco Hotel 's ' ve stay recently ( Ritz , Mark Hopkins , Palace St. Francis ) 
 Oct 17 2004 	 disappointment 	 typically stay four season Market , want enjoy hotel teenage daughter holiday . make reservation well advance course guarenteed credit card . arrive hotel insufficient amount people work desk order process arrival long wait tell desk clerk overbooke room available small . manager call help whatsoever , overture make soften situation assistance finding room another hotel leave stand clerk manager look blankly . apparently , guarenteed reservation mean nothing . next time will forego nice holiday decoration hotel opt service style Four Seasons . 
 Sep 17 2004 	 Pricey Classy 	 wonderful time San Francisco early September , stay Fairmont . impressed elegance hotel , history . distinctly unimpressed price . the plus : - arrive , concierge warn we book Expedia , might underwhelme room , exterior view might & quot ; claustrophobic & quot ; . anyone could claustrophobic huge room amaze . large walk - in wardrobe , well - appoint bathroom spacious bedroom . view street , view internal courtyard , perfectly satisfactory.- one night , order room service , superb meal . extras mount ( 19 % service plus $ 3.50 per person delivery charge ! ) , food delicious nicely presented.- location great . top Nob Hill , situate close chinatown cable car . walk Fisherman 's wharf ten minute . walk back take significantly long , Nob Hill exceptionally steep . fairmont close enough tourist site , would certainly stay again.- decor grandeur hotel unsurpassable.- get free newspaper request ( national local ) .The minus : - arrive , wait ten minute able park car . wedding go , hotel guest definitely low priority wedding guests.- proof function prioritise noisy post - wedding disco start 5 pm Saturday end late night . would not object , room hold next Laurel Court Bar Restaurant . no - one would want eat drink noise disco generated.- Parking charge extortionate $ 41.00 per night plus tax . avoid bring car , - not need one San francisco.- not eat Tonga room , situate low floor hotel . food appalling . fish clearly frozen , taste good , expensive . share appetizer , one cocktail main course , bill come $ 100.00 , unjustifiably expensive . worth drink - make good cocktail decor certainly worth see . almost disney - like band float boat middle lake ( old swimming pool ) mock hurricane thunder rain ( not worry - land swimming pool ) - would rather hotel keep swimming pool create Tonga room back 1930 . charge use leisure club ( not pool ) unless member Fairmont 's President 's Club . overall impression : would stay , preferably without car . would avoid Tonga room like plague , would stay midweek possible . would certainly recommend hotel other . 
 Sep 5 2004 	 Fairmont San Francisco highly recommend 	 Fairmont hotel stay visit San Francisco . 's heritage remarkable . 's Bay Suite stunning . myself wife enjoy romantic July long weekend . view 23rd floor one bedroom bay view suite incredible . Sunday Brunch excellent . brunch goer say high tea afternoon . price , would definitely recommend brunch . we love location near Chinatown course large Chinatown North America . lack hotel pool . old pool ( refer plunge ) renovate current Tonga room . definitely stay Fairmont San Francisco next time . 
 Aug 27 2004 	 Fairmont experience 	 surprise negative review . personally think people need go form opinion . know someone loves complain matter ( think negative reviewer do ) . stay Fairmont year ago Birthday FABULOUS time . fortunate enough get room w/ 180 degree view city worth price room . grant four year since stay , seriously doubt room get & quot ; dirty , & quot ; one reviewer put , amount time . entire hotel nicely decorate , room get much large expecting , service impecable . never life complaint something anyone & quot ; ignore , & quot ; perhaps resonable expectation resolve issue . grant tendancy acknowledge everyone human let thing slide , negative reviewer enjoy life not let every little thing get ! ! ! 
 Aug 25 2004 	 over - rate 	 stay August 20 21 , 2004 wedding anniversary . room bit shabby smell like cigarette , although tell no - smoking room . wall thin could hear someone cough night next door . room next child yell cry slam door . door heavy wood could hear slam wee hour hallway . newspaper , coffe pot room , place eat close Nob Hill except Chinatown . coffee available lobby except dining room $ 4.50 cup . breakfast cost $ 65.00 . next time stay close Union Square area transportation well food choice . ideal location child anybody interested tourist 's attraction . 
