stick 	 stay 2 night . excellent staff , especially breakfast wine cheese staff . Front desk staff good also . agree irish girl , Dos Caminos , good restaurant around corner . you good location walk everywhere . you go wrong hotel , value breakfast wine cheese make extra dollar spend . 
 May 1 2008 	 Average Boutique Hotel 	 husband look forward weekend Hotel Giraffe . prior review , look forward stay hotel . upon arrival , bit disappointed check room 2pm . instruct check 3 . say friendliness check staff extraordinary . we also look forward wine hour , , , disappointing .... generic american cheese ok wine . breakfast , website list european - style breakfast , find european fruit salad , bagel , cerael . would suggest get whole grain item well since bit disapponte whole grain item . overall , ok visit . hotel clean hotel staff necessary action , say overly impressed hotel point would hotel would every stay . 
 Apr 30 2008 	 Memorable Stay 	 stay many hotel NYC one far favorite . room size surprisingly large , double sink bathroom . amenity lobby -- breakfast , 24/7 coffee , wine / cheese evening live piano music nice . lot good restaurant close neighborhood terrific . want NYC tourist thing , stay far uptown , ' ve do want experience city offer , stay Giraffe . actually move Waldorf Astoria night , , honestly , wish would stayed entire time Giraffe -- really good ! ! 
 Apr 28 2008 	 not live hype 	 know arrive hotel room would likely ready , rather politely explain room ready , curtly inform we check time 3 pm . pretty much sum rest staff attitude . room 3rd floor face Park Avenue , night sound bar / restaurant hotel bar next door loud . wait get somewhere doorstaff nothing quiet loud patron come go . could hear conversation clearly . tell hotel staff curtly inform we next time book room another side hotel . the room size nice ny bathroom . breakfast yawn & quot ; happy hour & quot ; offer wine guest . ' ve stay boutique hotel around world part charm people work - tend accomodate big name hotel . much Giraffe . husband stay nearby boutique hotel much happy service . 
 Apr 25 2008 	 Great Hotel 	 stay week find hotel accomadation spacious clean . price equivalent hotel district unusually Breakfast include . quiet night therefore get sleep not problem either . within walking distance empire state , Flatiron Macy 's 's Metro station end block . great location friendly staff . happy choice hotel . 
 Apr 21 2008 	 Hotel Giraffe : Outstanding ! 	 Hotel Giraffe prove oasis NYC desert overprice , over - rate , cookie - cutter hotel cut - rate fleabag . spend three night could not find thing complain . Doormen , desk staff , housekeeping staff ball , courteous , attentive actually seem enjoy . king - bed room spacious , well - appoint , clean comfortable . location short 10- 15 - minute walk Union Square , short walk Madison Square Park ( shake Shack 's delicious burger , fry milkshake ) convenient uptown downtown subway . inexpensive ? . worth price ? definitely . 
 Mar 31 2008 	 not deserve high review 	 purposely choose hotel receive high rating among NYC hotel website sorely disappoint . expect , especially price ( $ 300 + single room ) . hotel certainly nice , clean , fairly small . room also small . offer large room $ 70 decline . hotel average overall among hotel stay past suspicion high review come property management contact . could wrong , review seem overrated . hotel not deserve top among NYC hotel . the stay include continental breakfast pastry , fruit , cereal still not feel stay worth price . also , front desk welcome one woman front desk seem bit condescend . usually not pay much attention kind thing feel unusually bad checking . hotel conveniently locate near subway stop Madison Square Park , major attraction within walking distance . prefer staying Times Square . 
 Mar 30 2008 	 Nice Hotel Good Location 	 stay Hotel Giraffe three night Spring Break two teenaged boy Junior Suite . nice room , quiet small . soon adapt size room end young son ( 14 ) floor sofa cushion . hotel staff assure we reserve room fold sofa bed would easily accomodate two teenaged boy . doorman maid could not nicer . young front desk staff little stiff unfriendly . Breakfast ( include room price ) disappointing ; bagel , muffin , boil egg , cold cereal , juice , yogurt . next day , stale bagel muffin ! arrive late breakfast 10:50 hotel staff whisk away 10:58 instead 11:00 . rude ! evening wine cheese nice . hotel quiet clean could use maintenance . overall enjoy stay small bump road . 
 Mar 30 2008 	 great stay Hotel Giraffe 	 stay NYC least twice year first stay Hotel Giraffe . review say large room NYC standard . NYC get marry , hotel arrange bottle prosecco room , nice touch . breakfast evening wine cheese bar great touch hotel really good location adventure either downtown . comment slightly lackluster staff front desk , seem due age / inexperience rather rudeness . however , could concern first time visitor need information thing get . overall , great stay definitely return . 
 Mar 19 2008 	 still fire cylinder 	 fifth ( sixth ? ) stay Giraffe , favorite NYC hotel . not single thing complain . hard believe NYC . friendly helpful staff doorman front desk breakfast bar . even low price standard queen lovely room , book . time , upgrade suite ( without ask ) superb , elegant , roomy , bright . if well boutique hotel NY price , would surprised . 
 Mar 16 2008 	 favorite boutique hotel 	 New York month . try several hotel , favorite . conveniently locate walk subway . staff pleasant helpful . room clean , comfortable bed , lobby continental breakfast convenient busy morning want relax paper view Park Avenue window . be also block away Madison Square Park , many excellent restaurant within 5 - 10 minute walk . 
 Mar 10 2008 	 wonderful find NYC ! 	 great hotel ! go weekend trip want stay part town less congest touristy Times Square . Hotel Giraffe wonderful location great restaurant within walking distance . staff nice accomodate minute arrive . room great size New York standard , even small balcony ! stay three adult room lot room . bathroom great size everything clean . Breakfast every morning nice touch - european style pastry , cereal , bagel , soft boil egg , fruit , great coffee . wine cheese night live piano music great retreat busy day city . really like everything hotel , can not wait return summer ! 
 Mar 6 2008 	 lovely 	 recently spend week Hotel Giraffe thoroughly enjoy stay . room , indeed hotel , decorate understated elegance soft , muted tone . comfortable beautiful . staff friendly , professional discreet . good breakfast morning . also one Manhattan 's loveliest neighborhood , equidistant Village Midtown . look forward return , would recommend hotel anyone . 
 Mar 5 2008 	 Fantastic hotel ! 	 ' ve return long break NY , Giraffe one hotel stay . say one bad thing hotel - room spotless spacious complementary breakfast great bonus . Location midtown / downtown perfect . staff fantastic - really helpful attentive . little touch make difference , free internet , complementary chocolate water , wine cheese evening . room decorate tastefully even small balcony . noise level not problamatic hotel city . 
