City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 Jan 5 2009 	 Loved . 	 book hotel girlfriend 's birthday . precisely want - spacious , clean , quiet , great feature . room come free internet supply swanky 20 - something inch iMac also function tv - reception hand free dvd watch . bar expensive , swanky . gym look nice , be far lazy use it . it be exactly close fun stuff - 's near Lambeth Bridge 's close Parliament Thames , 's bit walk Leicester Square etc . 's , minor thing though , love hotel , definitely intend go back . 
 Jan 4 2009 	 Advice season guest 	 20th 30th stay City Inn Westminster Hotel . not remember exactly . however , , say great deal experience place . prompt post review think finally susse place ... well almost . location : excellent . near enough walk Covent Garden , Regent Street , Wheel etc . time , lovely quiet . plus , feel safe around area . facility : nice contemporary design seem keep reasonably fresh . past visit ' ve feel thing start look tired evidence freshen thing ( new carpet , bit decorate etc ) . free WIFI massive selling point . also iMac every room top notch idea . shower fantastic . bring onto final point ... staff : 99 % staff adequately fluent English . many , many stay hotel , ( course ) need speak staff regard query , small problem couple serious problem ( recent trip involve fairly serious leak bathroom make sink unusuable - eventaully change room ) . none thing need cause serious problem handle CORRECTLY . however , almost every case , complete breakdown communication lead unneccesary misunderstanding . not speak someone senior , clearly well grasp english language , real progress make resolve issue . not get wrong . continue go back back hotel . infact love . could much well . ... Dear City Inn ( be read ) , please give staff additional literacy training . hotel London . continent . keep top hotel design . minimalist look achieve succesfully , last long . must keep freshen . Build swimming pool spa : make one good hotel London . 
 Jan 1 2009 	 lovely hotel 	 City Inns stay not disappoint . manage get really reasonable package direct website . situated quiet area simple get centre London . walk distance Eye / Westminster etc . there bar / restaurant immediate area though . only couple min walk bus stop ( 88 bus ) take straight Oxford Street etc . I would say write location wise proximity tube little underestimated . add extra 5 min walk time state website . we ask river view get although side view . mac room great free wifi bonus . overall great stay . 
 Dec 31 2008 	 Good Choice 	 choose hotel family 's first trip London one difficult task faced make preparation trip . choose City Inn Westminster base review report good service , clean room , convenient safe location , useful amenity ( include IMac computer room ) . hotel live good review pleased experience . room compact limited storage , never felt cramp ( two room family four ) . bathroom similarly tight well execute -- -and enjoy & quot ; power shower . & quot ; computer room great , use night plan itenerary next day . locaton seem little tourist map site Big Ben Houses Parliament within walking distance , Pimlico Underground station block away . downside location lack restaurant area . happy hotel . 
 Dec 30 2008 	 excellent apart reservation stage ... 	 contact hotel directly make reservation originally think would easy , like get ' feel ' hotel prior visit . hotel recommend friend stay October last year , obviously lot change time . when call make reservation ' on hold ' speak agent 10 minute , ask lady switchboard whether possible get call back answer ' it will minute , see busy ' astounded comment ; reservation agent ' not busy ' take forever transfer ? bring point lady inform ' they thing well answer call ! ' comment annoy first . I determine stay line , friend tell great stay hotel put bad training one department . when finally get transfer reservation call take girl ( sure name ) seem recognise single word say .. 4 * hotel London find strange . English , speak English , english hotel , understand ? ? transfer another agent take call end getting feed 4th 5th time repeat myself . I look room , single occupancy good available rate .. understand wrong request . when finally get transfer Reservations Manager manage book room good available rate ( even though later find well option online , www.cityinn.com ) bother first get speak someone could understand , thank Aisha . upon check find hard also , majority staff seem know work computer system . would not complain problem actual computer tell many occasion definately case- gentleman inform girl ' new ' work ' month ' MONTHS think .. month working establishment know check ? ? 2 bad experience face hotel directly pleasantly suprise excellent service Millbank Lounge bar . serve lovely gentleman polite sympathetic . thank AnvirI must say overnight stay comfortable , room lovely standard would expect . check thankfully much smoother Check in . final thought ? think front house staff need bit training deal ' private ' customer bar staff esp Anvr lovely . 
 Dec 27 2008 	 Perfect ! 	 ' ve stay different Hotels London Best . little bit afraid location far everything . easy walk Buckingham Palace etc.and everybody know London big take tube taxi . Stayed Tames Master - Suite great room ( big view Tames ) reasonble rate , one stay Clubroom also great room . Barman make good Cocktails dinner restaurant twice , like food . really like fact young staff also good Staff . hotel modern still cozy spacious , next time book City Inn Westminster . 
 Dec 23 2008 	 Comfy bed ! 	 stay could get sight along River Thames easily could certainly ! really easy walk get we Houses Parliament , lovely wander along Thames path . also easy walk Tate Britain ( nice restaurant ! ) Pimlico tube station . the room clean spacious London hotel , nice shower gel bathroom etc . although pay club room , much within walking distance not really make ( not go bar etc ) . comfy bed powerful shower morning . Super . 
 Dec 22 2008 	 clean comfortable 	 husband choose stay city inn reading review . review right . really good hotel . know london well , need stay hotel time . consider London hotel small , old good facility . hotel different . hotel new everything work well . mac pc room use computer watch tv . internet connection free work well . the amenity good , . ' the white company ' popular mark UK.I also like breakfast . good selections.only negative point was- service bit slow ( concierge reception call ) - location quite far station ( close pimlico , 12mins walk . also use westminster victoria ) , really satisfied stay hotel London , come back . 
 Dec 21 2008 	 exceed expectation 	 read review book think hotel could live ! however , exceed . check - in check - out quick , friendly efficient . room bathroom spotless , bed comfortable . imac useful . dinner hotel first night - wish do second night ! Breakfast also high standard . surprise birthday trip husband - certainly use hotel visit London . thank staff nothing seem much trouble . 
 Dec 20 2008 	 another Reliable City Inn 	 well locate short walk site westminster Pimlico tube station City Inn well appoint 4 star hotel . the room usual City Inn arrangement multimedia iMac solution every guestroom . breakfast hotel nice relaxed . 
 Dec 16 2008 	 not bother club 	 still good hotel Central London , room start look bit shabby . do not bother Club room - really worth extra money get ( newspaper , drink bar , bottle mineral water 's £ 30 per night ) . really worthwhile add - on 4 pm check need it . bar unbelievably expensive one complimentary drink . 
 Dec 10 2008 	 Excellent hotel London ! 	 hotel situate calm area 10 minute walk distance Big Ben . also tubestation 5 minute walk away . service fantastic , room fully equip internet iMac even little detail bathrobe etc . also tastefully decorate . we would absolutely stay highly recommend hotel ! 
 Dec 8 2008 	 Excellent ! ! ! 	 not give second thought . hotel great ! staff really polite willing assist everything . welcome really warm . room spacious , spotless , modern decoration equip amenity . matress , pillow textille great sleep . bedroom also great . food excellent ! could not ask hotel . stay 2 night not want leave . definitely come back ! 
 Dec 1 2008 	 fantastic find 	 find hotel website stay one night City Club room . hotel stylish modern , bar ( good cocktail ) restaurant , not try . room come complimentary drink , ready arrive , give complimentary drink pass time . hotel couple minute walk Pimlico tube station Tate , St James Park Westminster tube station within easy walk distance . the City Club room large well appoint , although bath , bathroom pretty poky . City Club room also come fruit platter bottle mineral water , although not , promptly deliver contact reception . there Apple iMac computer room , handy browse web well watch tv . also watch dvd listen cd . apparently hotel large library available . 
 Nov 26 2008 	 Superb Hotel 	 great hotel , arrival staff efficient friendly , nothing seem problem . room fifth floor smart clean fresh look though 's first ever occupant ! IMac room great innovation , especially tourist like enable we check various option day activity leave room also able check return rail journey leave . hotel also offer good menu dining room three course meal £ 17.50 bad central london . breakfast also good warn would challenge anyone normal appetite finish full english Breakfast ! . hotel also enjoy favourable location although tube station nearby like walk quite easy walk Theatres strand really feel like exercise walk Harrods ( take we 40mins ) would reccommend hotel anyone be often say . 
 Nov 25 2008 	 preference London stay 	 stay hotel since open , find instantly great place stay . first month could get excellent room less £ 100 inc breakfast . year later become really popular full rate last week £ 230 ex breakfast ! decor bright modern , room excellent work . free internet ( ask cable check use wifi ) , Mac room ! 's tube station nearby . 
 Nov 25 2008 	 Great Hotel ! ! 	 return 3 night stay City Inn Westminster . would happily recommend hotel anyone - fabulous ! book stay hotel website get rate £ 92 per night include breakfast ( breakfast normally cost stagger £ 17.50 per person per day ! ) . delighted deal . check friendly efficient , although mention make champagne canope suppose part deal . however go straight check not bother chase up . our room 12th floor stylish , modern spotlessly clean . bathroom immaculate , maybe bit compact side bath would ice cake , although shower great , load clean white towel toiletry lovely . mac entertainment system great touch . bed comfortable bed consist lovely duvet . tea coffee make facility , full sized iron ironing board proper sized hairdryer ( hide away wardrobe ) . floor ceiling window give wonderful view city find room quiet . overall room fab could not complain single thing . breakfast fantastic . seated serve quickly efficiently . cook breakfast hot delicious egg do taste . also good selection continental buffet . freshly squeeze organge juice deserve mention ! could not fault thing here . the hotel location also good easy ten minute walk Pimlico Tube Westminster . we thoroughly enjoy stay impressed hotel staff . would highly recommend hotel anyone . 
