almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 Jan 27 2008 	 Premier Inn - Excellent 	 sometimes wonder review , tell first hand , positive comment accurate . Premier Inn offer great value , great room great location . 5 we fly London 09JAN08 6 day see Spice Girls take show . take Gatwick Express Victoria Station , buy Oyster Card 4/5 ( 9yr free Tube / Bus ) , make way Waterloo Station . 4 minute walk station right next Eye , greet friendly smile , , although room not ready @ 11 am ( check 2 pm ) , store luggage begin sightsee straightaway . eye , view Parliament Big Ben , stroll Jubilee Walkway past National Theatre way Borough Market . location perfect much see close Waterloo Station catch tube ride sight plan see . room spotlessly clean every day , staff helpful , restaurant food impressive , even find shop serve Donor Kabobs 10 minute away . 2 issue keep & quot ; Excellent & quot ; rating : could not check 2 pm room not ready , issue 1 3 lift , cause bit backup waiting ascend / descend . nothing insurmountable , minor inconvenience . return London , definitely stay @ Premier Inn . 
 Jan 26 2008 	 clean good price 	 room fancy , clean . bathroom quite spacious european standard . bedroom much big bed not spend time room anyway . great location . good part arrive fairly early morning exhausted need shower room we . fully expect wait 4 pm get room . bit noisy side . could hear neighbor night trash toss dumpster morning . 
 Jan 26 2008 	 great location clean tidy 	 spend 4 night mid - December 2007 find hotel excellent value great location . room great view River Thames London Eye . easy walk across Westminster Bridge view wonderful Westminster Abbey Parliament building housing Big Ben . the public transport plentiful - bus train everywhere . top also lot cab . for family four room well sized clean neat . bed comfortable warm . bathroom bath shower heat towel rail . ( toilet seat cold though = p ) .breakfast excellent wide variety hot food , cereal , fruit , croissant bread . wait table . the thing would say arrive normal check - in time ( think 1 - 2pm ) may need pay extra night pre - arrange early check - in . arrive 8 am - early - direct we could change freshen store bag . make crisp morning explore Waterloo Station . Waterloo station catch Eurostar relocate far away St Pancras Station . we totally enjoy stay look forward yummy breakfast morning . 
 Jan 15 2008 	 good value 	 whilst not expect 5 star luxury Premier Inn County Hall , hotel worth visit follow : 1 ) central location within easy reach many popular attraction ( eg London Eye , Houses Parliament ) ; 2 ) courteous friendly staff ; 3 ) fairly basic ( clean well keep ) double room much £ 100 per night . 
 Jan 10 2008 	 Bland good quality 	 stay hotel two night girlfriend . book due generally positive feedback site proximity Westminster , work . check little problematic , trip book travel firm . eventually point correct paperwork member staff reception . also problem try arrange payment breakfast ( one pay advance , one day ) . Staff tend friendly enough , language problem . room clean basic , although everything need comfortable stay provide . room quiet , low cost room seem attract fair amount noisy ' party drunks'location ideal , cost reasonable restaurant / bar good price . 
 Jan 6 2008 	 excellent family 	 hotel superb base visit London . value money , good staff , clean spacious room ina fairly central location . would thoroughly reccomend stay . 
 Jan 3 2008 	 third stay : ) 	 location fault , staff helpful too . the room , time overlook inside area , always clean , tidy good standard . a lovely two night break , perfect location see New Years Eve firework , return hotel foot within couple minute . we breakfast morning variety good , much eat £ 7.50 . queue hot food , expect hotel busy . staff quick clear reset table . on whole well organise hotel , course return : ) 
 Jan 2 2008 	 location good - hotel ok 	 family book 2 room Christmas 4 day . location really good - rght London Eye within short walk Westminster Waterloo tube station . hotel quiet basic other note , date . room large side expect little service - get pay . long line breakfast . definitely well price Marriott next door . keep expectation low happy location . 
 Dec 31 2007 	 date great location service 	 book several room large family Nov 18 - 20 , 2007 . reception people extremely accommodate helpful . full breakfast excellent -- many choice quite efficient . location other mention great scenic . room comfortable decor & quot ; Travelodge circa 1965 . & quot ; avoid italian restaurant directly across street -- food good . overall , probably good value London . 
 Dec 30 2007 	 Good Value Location 	 book two night family break London Christmas New Year . although cheap compare well price hotel search central London . it locate County Hall building location great , next London Eye directly Westminster Bridge Houses Parliament , within walk distance Trafalgar Square , close two tube station relatively cheap parking nearby . the hotel standard Premier Travel Inn ' fixture furniture , quite spacious , clean comfortable room bathroom . staff welcome helpful . bar area pleasant . not try restaurant evening breakfast good value ( particularly two hungry child eat free ! ) high standard wide choice . we would recommend hotel family , couple business traveller look good value central London . 
 Dec 24 2007 	 good location 	 stay training course side Thames . wonderful get morning see Thames bedroom window walk alongside within 2 minute leave hotel ; return see London Eye Houses Parliament illuminate night . the position hotel excellent able reach Oxford Street Covent Garden within 20 minute foot . book central London wonder noise night , quiet home town Yorkshire . 
 Dec 24 2007 	 good value 	 two we stay 2 night December 2007 . find hotel live generally good review Tripadvisor . reasonable price ( GBP99 plus 7.50 breakfast ) . reasonably large room , clean view river . convenient tube bus , well walk along river via South Bank . Royal Festival Hall & quot ; next door & quot ; . Trafalgar Square Charing Cross mionute away foot . staff friendly helpful . good breakfast , crowd . try dinner , excellent restaurant opposite . good , safe facility leave luggage . I get electronic request review hotel day leave : good idea . we shall go back ! 
 Dec 23 2007 	 great value location family 	 large clean family room ( separate bed kid ) , helpful staff good breakfast unbeatable location . great price ( £ 114 family 4 ) . would definitely recommend stay need near main facility . 
 Dec 23 2007 	 Gem Heart London 	 return 3 night stay hotel book word mouth family stay past . family room , spacious , clean comfortable . breakfast base buffet style eat much like great value , exceptional quality set day . fantastic hotel , friendly staff could not enough , wonderful food great location . exceed expectation . 
 Dec 18 2007 	 great location service smile : ) 	 get back 3 night stay totally enjoy ourselves . I would like say thank previously post , give hotel good review ! problem good review high expection arrive hotel , however , case , everything turn true . the location perfect . we daughter , age 6 9 we enjoy walk covent garden , trafalgar square , Buckingham palace++++.With without child location great ! room clean fresh comfortable bed . a good night sleep all . the staff friendly , helpful always cheerful smiling . this certainly first choice hotel whenever stay London , hopefully time near future . : ) 
