Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 Jul 10 2007 	 like mini Ritz ! 	 stay Hotel Elysee 2 night prior cruise Bermuda . read positive comment trip advisor prepare like hotel ............ instead love ! hotel impeccably clean ...... beautifully decorate staff friendly helpful . bed luxurious ...... comfortable . bathroom spotlessly clean elegant marble throughout . room face street quiet . continental breakfast nice suitedthe way like eat morning . cereal , fresh fruit , yogurt , coffee juice . can not believe pay $ 245 plus tax / fee per night room great location New York City ! ' ve discover mini Ritz ( thank trip advisor ) plan stay time come New York business pleasure ! 
 Jul 6 2007 	 small Gem Prime Midtown Location 	 spend 4 July holiday NYC attend friend 's wedding see sight . walk past Elysee many time , never reason stay trip ( good 4 July promotional rate sale ) . previous complaint truth ( one slowish elevator , street noise E54th & quot ; light pollution & quot ; shade night ) , however , find noticeably detrimental stay . instead , recall spacious room step marble - clothe bath iPod - compatible alarm clock . will remember ample expand continental breakfast afternoon cocktail & amp ; cheese tirelessly replenish staff . location within 5 - 7 block many major tourist business hub , mention multiple subway line ( really , brave , way get around town quickly cheaply ) . undiscovered treasure midtown , well worth consider famous ( pricey ! ) option nearby ! 
 Jul 5 2007 	 highly Recommend 	 recently stay week Elysee . location great - good proximity tourist attraction Times Square , far enough escape busy day . club room 2nd floor welcome respite time day , though mostly go morning continental breakfast outstanding - fresh fruit , bagel / pastry , yoghurt , coffee . also attend complimentary wine cheese club room occasion - enjoy option enjoy glass wine read paper quiet atmosphere vs go pub / lounge . room well lay well - appoint - nice . shower little pressure , surprise give age building . construction noise throughout day hear go elevator , not hear room . suspect would room elevator , may different story . would return heartbeat - already inquire booking next year . 
 Jul 4 2007 	 Miss piano 	 husband stay Hotel Elysee three time past year love every minute . word gracious , elegant generous ( last refer club room ) first come mind think experience hotel . regret loss piano bar renovation spring . always pleasure sit play tune , time hear other . since almost place piano anymore , treasure , mourn . back good stuff : would recommend hotel anyone wish oasis sweet calm hectic city . 
 Jun 18 2007 	 one Big Problem 	 love recent stay Elysee every way except one -- sensitive sleeper need total darkness sleep , may find difficult get decent night 's shuteye . first room stay , pull shade sheer , standard curtain ( make solid material ) close . first night , awake night room face street lot light come . next day , explain situation manager , end accomodate we put we darker side hotel -- although bit well , could still see light come night . ( husband end go buy eyeshade could enjoy rest stay . ) , breakfast terrific , room nicely appoint staff sweet . location central everything . shame will not stay one problem . 
 Jun 16 2007 	 great place - take 7 year old daughter 	 great hotel . take daughter 4 night stay . cozy quiet . hussle Times Square near subway , good restaurant , central park.the staff outstanding . Cellinis Restaurant across street awesome arrange hotel . good service ' ve ever receive pricey . this hotel bit pricey seem like NYC hotel gotten way due many hotel shift condo format . appear supply / demand imbalance ! , reasonable pricing relative option outstanding service . room large roomy 
 May 31 2007 	 ideal quick trip 	 well locate , helpfull staff , comfortable room ( air con bit noisy ) , slightly fade boutique hotel . fly three night break UK would go back . 
 May 30 2007 	 Best Service ever ! ! 	 visit Hotel Elysee June whole family agree provide good service ever experience ! entire staff amazing . maid go extra mile ensure group well take care , one night front desk staff know us name get we reservation nice restaurant would able get . get restaurant give extra special attention service . not know , make incredible experience . location not hurt either . whenever anyone else family travel NY , sure stay Hotel Elysee . 
 may 30 2007 	 relax hotel experience ... 	 amazingly relax stay Hotel Elysee . service exceptionally train well manage . boutique atmosphere ambiance parallel relaxed environment nestle middle everything tourist could ask . room immaculate every evening , provide superb opportunity truly enjoy stay outside hotel . lounge well keep serve great meeting point friend travel companion . would recommend hotel anyone look enjoyable stay heart city . thank Hotel Elysee ! 
 may 29 2007 	 Unique cozy boutique 	 wife stay three time last couple year little hotel always deliver . room comfortable cozy . love breakfast / tea room . whole place charming . would not expect find place like Midtown , , be middle everything . staff great seem get friendly every time go back . 's whole package . 
 May 29 2007 	 small Gem Big City 	 simple review explain amazing time Hotel Elysee ! first time New York staff make feel welcome . be look hotel small home town feel , middle New York offer - place . 
 May 29 2007 	 Fabulous Service Beautiful Hotel 	 really enjoy experience Elysee . room beautiful , service perfect ... around great time . anyone need place stay midtown , would highly recommend hotel . 
 may 28 2007 	 perfect stay 	 three night stay mid May 2007 business trip Big Apple . check late due flight & quot ; issue & quot ; check smooth comfortable sheet bed . nice room old place . Wonderfully remodel bathroom 's important . bed quite comfortable , room spotless . wonderful club lounge 2 great touch . coffee fantastic along conti breakfast & amp ; good cookie . staff professional . stay floor 9 - loser smoking great . 
 May 25 2007 	 Caveat Emptor 	 careful book room hotel . could one unfortunate people , , get teeny tiny room , hairblower , bathtub , dirty window sill , bed bad shape . would not even relogate room shabby sheik category . complain get another much well room . manager , make apology , imply we ask different room . unbelievably advise we room renovation handicap . new one us $ 400 plus nite , 5 nite , worry room would look like responsibility investigate room ahead time . travel world would submit one awful experience we . unless absolutely adore breakfast need cheese wine 4 o'clock would stay somewhere else . hotel east side city major museum theater , Lincoln Center , etc . west side . many accolade site regard Elysee . indeed second room first time , would not write review . word warn . certain see room ahead time . 
 May 4 2007 	 great small hotel ! 	 Elysee great find ! every part stay expect ... front desk friendly helpful room comfortable clean . good part hotel absolutely second floor Club Room . breakfast wonderful evening wine nice treat head night . husband certainly back ! 
 Mar 30 2007 	 small personal hotel great location 	 small hotel excellent personal service .... location : wonderful midtown location ( 54th Street Park Madison ) walk distance shopping , theater district , major museum . CHARM/ COMFORT : room clean traditionally decorate antique . bathroom small , remodel terrific shower lot water pressure . bed huge King - size lovely soft pillowtop mattress . note : 9th floor face street , noisy 2 morning . be sensitive noise , would try room 14th 15th floor , maybe one face back . amenity : nice breakfast coffee , juice , baked good , fresh fruit salad , yogurt , cereal . also , Monday - Friday 's happy hour buffet wine , cheese cracker , etc . special : check website special promotion . book suite month advance , saw & quot ; sweet deal & quot ; offer website -- $ 75 per night suite month travel . call hotel advise make new online reservation , cancel old one , , saving $ 375 . 
