Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 Jan 7 2009 	 Great Location 	 dealing hotel website phone really good , staff deal phone polite helpful , sort expect arrive . not arrive hotel 11 pm , lash rain bellman , guy stay hotel help we luggage , glad flight stair climb lobby . bellman desk watch guy carry bag stair , offer help dismissive informed bellman outside help we . reception staff also dismissive , give name check registration form plonk front sign , hand room key told & quot ; be 16th floor & quot ; ....... bored voice . the room shabby actually think give we wrong room . book superior room 2 double bed , certainly not match photo description site . ask front desk ( different person ) check right room tell indifferent , bored voice & quot ; yes , be superior & quot ; state not happy , wallpaper peeling , enamel peel bath , told & quot ; 's room available & quot ; turn away we . great service one strong point , especially reception staff . bellman get well end quite liking , helpful . the room small shabby , describe early , fact small could not pull chair desk hit foot bed . lobby fantastic , ' ve see photo hotel room website real letdown walk room . although middle December , room boiling . even window open air con full blast still roast . food expensive would not recommend room service , cost fortune not good either , many place nearby eat not really matter . another huge annoyance coffee / tea make facility room mini bar cold drink . but huge plus would make stay ( know expect ) location . perfect - right around corner 5th ave , block Empire State , right around corner Grand Central , block Times Square ....... walk EVERYWHERE ........ location really sell hotel , want bed night frill want right heart everything would definately use hotel . 
 Jan 4 2009 	 Run - down 	 stay New York often know difficult find good hotel less $ 200 . pay 140 via Priceline . price , ' ve stay nice place city - difficult possible worth look . I would urge everyone stay clear hotel . room suitable low standard not mind ratty furniture carpet . couple look nice romantic place especially weary since nothing even remotely romantic room - feel like stay shine . look pic website , aware room look much well actually - take room pic subtract 20 year wear tear . worth even bargain price pay . btw , rude staff poor service ' matter , clean room . staff , nice enough although lobby crowd . whole hotel feel run musty . also , first review ever experience bad enough urge write review . would hate see people waste money place .. 
 Jan 4 2009 	 Great Location Price need facelift 	 location hotel awesome package get airfare make affordable . however , caution badly need facelift , sort would expect mid - eighty . book non - smoking room not available . get elevator , entire hallway haze . surprisingly , room not bad smell give corner room three time large normal NYC room . caution regard bell desk . make arrangement get set fare car airport tell would not problem , return hour would wait . return , tell different staff member set fare car available cab ready take . protest suddenly town car sit right front building mine , previously arrange . early see money surreptitiously change hand cabby bellman . understand . not spend much time room , meet need . plan see lot concerned hotel amenity , good location price home base . 
 Jan 3 2009 	 Good Rounder 	 read mixed review hotel personally find fine . claim . well locate hotel old world charm . old world charm not come shiny new appliance result furniture may bit batter everything clean , room well equip service professional . hotel character personality . lobby liunge area wow factor arrival 's nice sit around soak atmosphere . put dress , sip cocktail ( € € € € ) sort ! 
 Dec 31 2008 	 great location ! 	 hotel locate right Grand Central Station make convenient accessible . be also walk distance bunch place Rockefeller Center , United Nations , Times Square , good shopping place , even Central Park walk shoe ! room bit small , value , bad , consider Midtown . staff nice accommodating . get really early morning store luggage go , nice enough call we room ready early check - in . also let we borrow couple hotel umbrella rain stay arrange town car pick we take we airport checking . great , definitely stay . 
 Dec 27 2008 	 ... 	 travel lot see lot country hotel , one bad hotel ever in . there nothing good hotel , 's good location . hotel badly need renovation , be old , probably never renovate since ... sorry , use quality , cleaness well service find another place stay . 
 Dec 26 2008 	 Jaded . give pass . 	 prior arrive excited stay real New York hotel , like see movie . arrive , several bellhop stand around watch wife haul heavy suitcase large set stair lobby . finally get top one come forward offer help . throughout stay staff always seem expect tip , expect , almost nothing we . front desk staff seem jade indifferent . room small , expect , also good shape . bathroom shower system terrible , leave pool water floor . coffee maker extras room whatsoever . seem like could use good thorough cleaning , least good renovation . concierge helpful help we plan activity , although seem jade really not offer anything bare limit job description . brunch tasty , expensive well . overall , hotel good experience first time New York . would definitely go back . pop hotel wander around New York , time warmly greet , unlike Rosevelt . 
 Dec 18 2008 	 Fantastic Hotel Ignore Reviews ! 	 Hotel book Travel Zoo feature offer - superior room breakfast . husband go New York ' much dreaded ' birthday mention check - in . delighted find upgrade suite later find cost $ 1700 per night ! suite spotlessly clean enormous - lounge sofa two armchair , coffee table two 42 & quot ; wide screen television ! kitchen area dining room area 4 people eat ! breakfast great well worth not need eat rest day . huge choice cook food plus omelette ( omelette cook pretty miserable omelette great ) waffle order . load fresh fruit freshly cook bread pastry . location great , 5 min Grand Central Station could walk 5th Avenue , Rockerfeller Centre place . buy one day bus pass ( downtown route good ) time limit good thing . simply get want . price ticket hotel concierge price bus stop course pay credit card might prefer . sorry people not great time we , really can not fault hotel anyway . special thank Paulette upgrade . 
 Dec 17 2008 	 good value money NYC ! 	 mom recently take quick 2 - day trip NYC enjoy Christmas decoration . stay Roosevelt b / c stay back 1995 ok . since renovate really nice . be clean , safe , comfortable , convenient . price great - less $ 150 / night seem deal base research time year Manhattan . negative thing notice room bit noisy . go NYC sit hotel room ? ? would definitely stay Roosevelt . highly recommend . 
 Dec 17 2008 	 recommend 	 company book we business stay Roosevelt early month . would recommend . bedroom bathroom clean , large cigarette burn sheet stain , tv not work load mould grow around shower bathtub . staff incredibly rude , barely even speak we let alone polite . seem interested chatting help check desk . however concierge come fix problem heating room helpful . bellboy try procure money use threaten abusive language , actually count tip front wait lift ! horrible stay never go back . 
 Dec 12 2008 	 fabulous terrible . 	 stay 2 night business trip agree previous 2 post . lobby impressive ( especially deck holiday finery ) location really great , proximity tourist site ( Rockefeller Center , Times Square ) & amp ; city 's commercial center ( business appointment , least ) . room perfectly serviceable , extraordinary . overall feel like place could ' ve do good dust carpet cleaning . room size , booked & quot ; cozy queen & quot ; room ( know & quot ; cozy & quot ; euphemism minuscule ) , expect room size broom closet , pleasantly surprised find decent size . I also stay year ago , since time hotel renovate , be definitely much well use . would likely stay . 
 Dec 11 2008 	 ok 	 .. great location shopping , , child friendly hotel great couple business people ... lobby stunning , room basic , hole bed linen , dust behind bed inch thick , curtain look though never wash , tea coffee facility ... staff keep polite approach ... love shopping get lot money spend amazing place , however due recent economic problem bargin far . 
 Dec 9 2008 	 Fantastic Location - sure staff 	 boyfriend stay New York sight see Christmas shopping . roosevelt great location really please check . however find staff pushy rude tip concern - arrival hotel change have travel airport , concierge wait bf scrabble around find small note . leave verbally abuse front hotel concierge one dollar bill . know americans expect tip , problem give tip good service - guy hail us cab ! job ! really disappoint attitude staff . our room nice , bed ' squishy ' ( almost soft ) air con rattle like nothing would ever hear ! otherwise room good . not great room would ever stay , ' ve never stay elsewhere NY perhaps excellent price range ! overall , hotel good would probably stay ! 
 Dec 8 2008 	 Fantastic Location 	 stay Roosevelt 4 night great time . location literally across street Grand Central provide great transportation access also lot food option . hotel ( reasonably good shape ) walk distance Empire State Bldg , Rockefellor Center Times Sqare . room sizable NYC bathroom spacious far well many NYC hotel ' ve stay . recomme hotel anyone go NYC sight see . 
 Dec 8 2008 	 love location 	 get good rate ( see travelzoo ) busy time year . location great we , near transportation nidtown attraction . room ( cozy queen ) really tiny , clean well lay . staff pleasant quite helpful direction livery car . drink premise , not try restaurant ( many great alternative near - by ) . long not require lot space , would certainly reccomend hotel . 
 Dec 4 2008 	 hideous awful gross rude staff ! ! ! 	 boyfriend book ' romantic ' 4 night stay Roosevelt Hotel early month really wish not . book ' suite ' phone , tell double book arrive . apology give , instead make superior room give us - view overlook garbage ! ! ! ! ! desk staff unbelievably rude unhelpful , room hideous scummy peel paint . even despite crummy room , could put , horrible staff member encounter . seem problem young couple utterly dismissive rude we . ask email address director / head hotel greet patronise laugh . receptionist see write name member staff make compliant suddenly become polite - nice word 4 night stay ! not bother hotel . less customer get , make shabby hotel - send staff customer service course ! ! 
