elegant 	 always want stay , use Park Hyatt . great location away Market St ( 8 min walk ) , close Hyatt Regency meeting location ( 5 min walk ) . hotel anchor western end Embarcadero Center Shopping tower - unfortunately many empty / closed store . still , close great restaurant North Beach & amp ; Embarcadero / Market ( one market , Slated Door , Kokkari ) . hotel sleek modern feel one enter lobby / bar area . fitness room compact well equip . firm comfortable bed w / high quality linen ( pillow soft taste ) . lot good lighting reading & amp ; work . flat screen tv add feature easy access medium outlet use iPods , video etc - useful ! noisy due siren firehouse station 1 block away , would gladly stay . 
 fantastic location easy access cable car BART walk distance Union Square 	 upgrade we Executive King Studio Suite . amenity great ... IPOD dock station room . literally across stree Embarcadero Shopping Centre . 3 block Union Square . 2 block trolley . would stay million time . staff quick serve . downfall : guy check we tad bit rude . 
 Aug 8 2006 	 Nice Property - Jaded Staff - poorly manage 	 LeMeridien 's around world renowne lovely appoint room , exception . nice bed , nice linen , curtain , contemporary bathroom . staff , former Park Hyatt employee , seem jaded recent take . check , one young lady make comment bellman 's Meridien , might use service . also , see book hotwire get discount rate , actually tell get whatever leave , 's work . put double room , big deal , think inappropriate imply get good rate prepay hotwire would treat differently . service get bad - next night ' acting manager ' would not allow take bottle alcohol room , cite State California law . um , ? stay many 5 star hotel around world , never hear rule . surrender bottle alcohol , kept check . night check , call get wake call 4AM , ask bring bottle alcohol - say note say not allow , circumstance . know people read thinking must rowdy guest impossible please person , case , physician , stay room alone , intention consume alcohol purchase room , fact , already patronize mini bar . beautiful property people , however , not let poor management spoil stay . 
 Jul 30 2006 	 great friendly service 	 stay Le Meridien outside meeting .It easy walk Ferry building . love room .The extended hour concierge extremely helpful . I go St Regis ( much attitude ) check drink greatly prefer service bar Le Meridien .The service Le Meridien bar great , professional yet friendly . I realy enjoy view room bay bridge .My comment cd player room glue counter high read dial . stay pod 
 Jul 8 2006 	 average 	 not five star experience expect . doorman bellman arrive . one person attend registration desk three guest front , make wait check . reserve King non - smoking . deliberately reserve double - double , 20 buck less . even though check thi check - in time - 3 p.m. - say room available without long wait offer double double . would not give less rate ! ridiculous stand argue line pile behind appointment get take less room high rate . sucker . go follow management . hotel happen either upgrade throw little something , mention correcting rate . room fine . surprised small , absolutely view . clean well furnished . think little weird soap open ( wrap ) make think maybe leave previous stay . nice bath amenity . bathroom large really beautiful little dark . helped light shaving mirror . room also pretty dark light see anything . location fine ; walk distance various place need financial district . will not stay . one thing -they renovate building across street window . ten oclock ( midnight body clock ) begin fling large metal duct fourth floor window dumpster , reverberate throughout alley . call front desk say allow 11 , happen every night , stop 11 . . 
 Jul 7 2006 	 could not well 	 visit Le Meridien ( formerly Park Hyatt ) Fourth July weekend . Got deal bay view room ( $ 209 Expedia ) . room 23rd floor . view amazing , Coit Tower TransAmerica build Bay Bridge . furnishing good , room large , orange blossom - scent toiletry delightful . importantly , hotel staff friendly helpful , greet we smile everytime pass offer store luggage arrive early later , check - out time plane depart . would highly recommend hotel , boast comparatively quiet location financial district . 
 Jul 5 2006 	 Excellent Excellent Excellent ! 	 terrific service . courteous , friendly , attentive staff . clean , comfortable room . lovely view . definitely stay SanFran . 
 Jun 29 2006 	 Great Stay 	 husband love hotel . clean , large room great service . concierge great ( especially William ) bartendar also friendly helpful . visit without doubt . 
 Jun 26 2006 	 Gem Hotel 	 husband stay quick weekend get away use Starwood point . thoroughly enjoy stay . room 20th floor clean , contemporary spacious compare size room stay San Francisco W. small nice view Bay Bridge . Bring cd 's enjoy room cd player . toiletry nice . usable sex . bed sleeper 's delight ! concierge extremely helpful . staff attentive . not eat hotel enjoy nightcap hotel lobby dinner . highly suggest dinner Jeanty Jack 's . one favorite ( french ) restaurant city . tomato soup puff pastry must ! leisurely stroll couple block hotel . go Ferry Building light breakfast . place buy coffee tea , fruit , juice pastry . lunch dinner try Slanted Door Ferry Building . North Beach Chinatown within walking distance , . next time need another getaway , will stay ! 
 Jun 21 2006 	 Great Hotel 	 ' ve stay hotel Park Hyatt & amp ; love . past trip junior suite - fabulous ! corner room face bay small balcony . living room separate bedroom , could entertain guest & amp ; share great view ! decor modern - black & amp ; white marble / granite bathroom , door cherry wood , carpet dark . robe provide we use , well umbrella case .... bathroom amenity great ! not dine hotel , concierge excellent make suggestion & amp ; confirm reservation . little Italy short walk , active , wharf manageable well . will definitely back ... great location , great hotel & amp ; great price Travelzoo special . 
 Jun 20 2006 	 great experience Le Meridien ! 	 stay parent ( 2 different room ) vacation Northern California . experience great . can not imagine well place stay SF ( unless need lot nightlife ) . staff outstandingly pleasant helpful . room clean comfortable -- stylish ! great view bay ( pay small charge upgrade ) . easy get place like SF , really quiet safe night . I get great deal hotel Hotwire . count extremely lucky land something similar . give excellent experience , travel SF , would try stretch budget make sure could return . 
 Jun 18 2006 	 Excellent service comfortable nothing special ... 	 read lot review expect lot hotel . unfortunately not feel Le Meridien ( formerly Park Hyatt ) live . positive note , service impeccable - staff incredibly friendly helpful hotel certainly feel welcoming . however room stay , whilst clean , could definitely touch renovation . also think room extremely dark inside , even light turn . addition , 's swimming pool - 's quite surprising 5 * hotel . even corporate rate pay hotel ( $ 235+tax ) not feel represent good value money . week stay Hilton Hotel & amp ; Towers O'Farrell St , book via Hotwire $ 145+tax , think Hilton considerably well , especially term interior room . in term location , hotel ideal need Financial District ( be right next Embarcadero Center ) , well suit access area . visit San Francisco holiday , would recommend stay west towards Union Square . this hotel definitely lot potential , particularly due wonderful staff work . hope Le Meridien carry well - need improvement make first - rate place stay San Francisco . 
 Jun 3 2006 	 impeccable service beautiful view 	 Le Meridien , formerly Park Hyatt fantastic hotel service top priority . room beautifully appoint , great bath amenity , plenty space , awesome view . book hotwire not know would in - town getaway , love hotel much , ' m return end month . room service food good , however menu limit , could use choice . 's serve perfectly , little touch . Turndown service excellent staff really meet exceed expectation . location quiet night close north beach , chinatown , ferry building , california street cable car , union square . bathroom huge gorgeous . can not go wrong . 
 May 21 2006 	 still great hotel 	 spend night Meridien , first stay since change Park Hyatt . quality , comfort service prior management . 
 May 13 2006 	 great hotel need renovation worth current rate . 	 spend 100 night year hotel , spend several hotel . ' m sort hotel snob . free grade recieve property would stay else . service good excellent . concierge desk , bar , restaurant staff fantastic , front desk , bell stand , housekeeping need work . drue weekend hotel area dead . the room dark side , one face city dark gloomy little sunlight . bay view room wonderful bay view much bright . decor room dark side well . Hyatt replace carpet , wall paper add new bed , rest furnishing 20 year old show . marble bathroom luxuious nice amenity . lobby bar lobby need renovate , 20 year old furniture show age . pool , spa , jacuzzi , even restroom near small gym . photo see hotel web site newly renovate penthouse suite guest room . nice place stay recieve upgrade service get frenquent guest . current rate see post would stay place else . several new renovate hotel city offer modern facility , service . hotel around price range worth extra buck . Le Merdian need major renovation property expect keep offer current high rate . name change alone merrit increase rate , be still old hotel need face lift . 
