great 	 always pleased stay intercontinental hotel . Chicago especially pleasant helpful staff . 
 Jul 8 2008 	 Fun way start end evening 	 comfortable place relax glass wine truffle . place feature cheese flight ( & quot ; sensation & quot ; ) , wine flight truffle flight . also wine glass bottle . would suggest go early evening late night crowd . flight come explanatory card eat drinking . service ok . people place dress , likely come another event . casual dress ( pant shirt ) . waiter treat folk warmly we not mind since new experience learn truffle wine . would go try cheese . pricy though -- $ 11 3 truffle . next time would likely stick one glass wine v. flight . 
 Jul 8 2008 	 Nice Hotel thing bite pricey 	 boyfriend take Chicago 3 night stay 4th July . check quick say booked smoking room double bed . actually book non smoking deluxe king room . pay extra upgrade . room nice nice view . bathroom cute toiletry decent . first day not housekeeping come 2nd day . forgot leave washcloth . robe slipper cute touch . refrigerator room ... not open . price snack water pretty outrageous . even take picture . $ 5.95 bottle water ! ! decent hotel stay nice convenient want . breakfast buffet pricey food good . 
 Jul 5 2008 	 good Chicago Hotels - Intercontinental 	 one nice hotel ' ve stay . travel least 40 - 50 day year high compliment . hotel lovely , one historic room , furnishing room size wonderful . bedding lush , room super clean well design . pool magnificent , see , even not swim . location wonderful sightseeing , local transportation easy . concierge super friendly helpful . would stay heartbeat . 
 Jul 2 2008 	 issue . 	 stay Intercontinental start well . upon arrival 4 pm , tell two room ready would call cell phone finish . receive call within 20 minute state one room do . inconvience , upgrade nice room ( junior suite ) . luggage arrive room call three time get luggage room . take three hour . luggage arrive , tell room deliver luggage one . well would would room clean . mess , first day pretty much finished . room nice great view lake . complaint room . clean meet need . ask towel daily would bring 3 towel family four . parking expensive . $ 49 / per night include room stay . take consideration booking . parking everywhere else see around $ 20 - 30 / per night . hotel centrally locate . enjoy taste Chicago along shopping , navy pier museums/ sear tower . recommend get cta bus pass take around city . get 7 day pass Dominiks grocery store Chicago $ 20 ride much like . 
 Jul 1 2008 	 Lovely Hotel 	 husband stay intercontinental 3 night business trip would definitely recommend hotel . service moment arrive excellent . room not ready upon arrival front desk take cell number call let know could come back check . problem check bag bell captain go shop . leave hotel start rain , concierge loan we umbrella . our room partial view river , not really bother we hardly room . robe slipper nice touch upscale shampoo soap . also nice able print boarding pass charge lobby . room service bit pricey breakfast ( $ 42.00 granola , milk , coffee , fruit , juice ) one personthe hotel great location directly across Nordstrom 's heart Magnificent Mile . we would definitely stay . 
 Jun 29 2008 	 great location miracle mile nice old hotel 	 Booked hotel absolute steal hotwire upgrade $ 75 night top floor lake - view suite . great hotel term location service . extremely convenient comfortable hotel . loved bathroom fixture . draw back really physically old hotel . Book hotwire ( use one website decode hotel ) enjoy luxurious accomodation would cost stay holiday inn . 
 Jun 24 2008 	 Great Hotel Michigan Avenus 	 get great rate hotel make worth . room large view . staff friendly helpful far hold bag go shop , help we find place eat , etc .. hotel 's lobby beautiful even airport check free able print boarding pass leave . pool grand ! would highly recommend take swim . regret . stay without doubt . 
 Jun 20 2008 	 Great Hotel Business Travelers 	 great hotel business traveler . offer wide variety amenity . staff friendly helpful . would recommend hotel anyone plan visit Chicago . 
 Jun 18 2008 	 Nice Hotel - Service Lacking 	 wife stay InterContinental six night . arrive offer upgrade historic tower great view additional $ 50 night . first thought , not pay historic tower book Orbitz ? Front Desk could not tell we pay . oh well ... sure , give we upgrade since be week . the room 32nd floor overlook Tribune tower river . view fantastic room spacious . couch , chair , large desk , espresso machine ( not work first day ) , nice bed decent bathroom . try flush toilet . hold handle several second flush . point , engineering send , nothing really change . euro toilet extra flush extra flush moment ? ( note : get courtesy VM hotel phone ask everything okay call make ) .Day 3 - toilet paper maid clean room . stem bare . check main closet outside bathroom ( keep extra roll ) - toilet paper . call help desk two roll deliver . Courtesy VM leave minute afterward . day 4 - sink clog . call engineering . sink fix along courtesy vm.day 5 - sink clog . pull plug resolve issue . almost daily issue - room 32nd floor near conference room serve morning evening event . mean bang table chair ( something ) hallway outside room start 6 set - up sometimes midnight take . not complain , keep note be tempt stay floor reason . another clean mistake : hair previous guest shower wall whole visit . the lobby bar nice bartender personable . not dine restaurant wine / chocolate / cheese bar . workout room ( although not use ) look nice assortment equipment , nice locker room , sauna towel . pool area really cool , like be step back time 50 year ( lighting bit dim ) . beware though - play / wade / splash around pool . 's lap pool , bring goggle . I not impress Concierge desk other note . short , quick , stern answer wait line . we will not stay . really appreciate view room nice extend stay . expect lot pamper price lot less mistake ( noise ) . 
 Jun 16 2008 	 4 star hotel 	 stay good hotel Manhattan , visit Chicago nephew 's graduation , high expectation hotel . room nothing exceptional . well - keep show great deal wear tear . try reach concierage question ( can not dial housekeeping maintence directly ) could not get - rang hook . three small drawer room clothe ( remove phone book bible 3rd drawer ) . tv new digital analog signal ( ie . , fuzzy ) . elevator lould knock noise shake way . breakfast ok , exceptional . busy Sunday - slow service 1/2 bin empty brunch buffet . overall stafff friendly accomodate - although take 30 minute get bucket ice deliver ( ice machine 7th floor hotel ) .would try another hotel 1st ( Ritz Carlton Hyatt ? ) 
