Great 	 friend stay Comfort Inn November week . find reception people helpful friendly . food Brendan 's good , not forget use key room card get money off - we do - and not ask ! ! ! hotel may bit date , clean . fantasic location . subway , Macy 's Empire State Building within 5 minute . whole love stay . bit paint would help brighten . noisy night dustbin collect New Yorkers like use car horn ! ! ! 
 Feb 24 2004 	 good price ... 	 ' ve recently return 3 day 4 night trip NYC 3 friend . thankfully weather wonderful stay NYC time year . budget stay , Comfort Inn Manhattan great location many attraction , subway access , shop , cab limited traffic . arrive friday park car one 3 parking building across street ( one give we discount stay comfort inn ) quickly check room 7th floor . elevator small slow . nice know access -hotel restaurant stay open late offer room service . hallways narrow fire safety door make room difficult get luggage . 2 double bed room face 35st . room little hot we ( yes heater make noise lose sleep ) pop open window little . noise street loud . room clean bathroom small side clean prolem get hot water shower . however , tub room drain hardly shower . 4 people take shower tub almost flow . decor ok , little date . follow day need towel ask front desk send day tour . time get room , right behind we towel ! check easy fast well car lot . want keep budget snobbish atmoshpere ... place ! quiet hotel , convenient clean . use hotel need . comfortable room , easy access sight place sleep . tub feel good choice money . 
 Feb 23 2004 	 highly Recommended- even Black ! 	 check 2 hour GREAT BLACK August 2003 ! day half without electricity must say staff good accommodate time . fun anyone staff well could try help customer , give flashlight water could . electricity back run , lovely stay . room , though large , huge king size bed , good size tv sofa . bathroom large enough husband- ex rugby player- time . clean air conditioning work like charm ! breakfast adequate staff excellent recommendation book anything desire . helicopter tour taxi back airport book Alex . helicopter tour even well say ..... well ... taxi end LIMO ! ! ! ! cost we take regular yellow taxi airport ! location perfect ! would highly recommend hotel New York stay ! 
 Feb 11 2004 	 good bad 	 good- alex front desk , James maintainence man , free breakfast , free coffee.location , cleanliness , fast yes fast elevator - never waitthe bad - terrible noisy bang radiator , much heat , noise room face street 
 Jan 23 2004 	 great location average hotel 	 stay CI Manhattan 3 day January 2004 reasonably pleased find . first thing mention superb location Empire state building Macy 's around corner , subway ( transportation type sandwich eatery ) end block Times Sq . Garden major Midtown attraction 5 - 10 minute walk away . as hotel , not look appeal outside get inside lobby quite attractive , little small . arrive 30 minute early state check - in time 15.00 check straight away without problem . request top floor room ( usually keep noise ) grant stay room 1204 . corner room two window , one see ESB Crysler building distance although look beyond neighbouring office building . room small ( would probably expect NY ) one double bed although enough one person . bathroom however TINY job clean tooth sink without bump head . however bathroom bedroom clean . another concern arrive temperature . outside -15c needent worry room tropical ! unfortunately price pay noisy heater would make noise every hour 15 minute follow series bang . not want turn worried pipe freeze anyway sleepess first night . problem . breakfast basic nothing write home . certainly standard budget hotel Europe good start day bit grubb . overall hotel average , although judge base hotel stay NY standard . pay $ 99 per night room book choicehotel website certainly could do much bad money NYC . good value overall , especially exchange rate £ good moment . 
 Jan 15 2004 	 Pleasant stay 	 stay weekend Christmas , ' 03 . mixed feeling would stay . negative - reserve charge queen size room give single full size . room corner lot window ( good view next door building nothing scenic ) small . bathroom tiny - turn side way sit toilet . fortunately wife fairly slender pottying would interesting . one small glass shelf , slant , put thing bathroom . floor uneven several spot . however , clean . alex front desk wonderful help get around town . breakfast typical Comfort Inn toast , bagel , dry cereal , etc . therefore acceptable . loved location - great pub next door across street , subway handy , Macy 's Empire State almost next door . good value dollar . question luxury room ( hope ) bad lot . time would ask see room could compare . look on - line something similar next trip spring not see something obviously well price , will stay . 
 Jan 5 2004 	 good experience 	 disappoint stay . room give small dark . tile bathroom mold . bad noise heater . ping thump night . could sleep half time . even burn hand hot water / coffee machine downstairs ( coffee machine room ) . never stay matter price . 
 Dec 22 2003 	 fantastic value 	 return 5 day stay Comfort Inn Manhattan . could not fault really . staff excellent - look Alex , good receptionist NYC - make stay even enjoyable . room spotlessly clean comfortable . excellent location - 5th Ave short stroll Times Square . free breakfast good - plenty food drink . Decor little date - that s complaint . would recommend anyone look somewhere reasonably price value money NYC . 
 Dec 2 2003 	 wonderful Stay 	 three friend come back Macy 's parade stay Comfort Inn Manhattan .... treat good staff outstanding .. would recommend hotel one ... thank make stay pleasant ..... edie 
 Nov 26 2003 	 wonderful location 	 return three day stay Comfort Inn Manhattan would like highly recommend hotel . location excellent - 5th Avenue , 5 minute Macy 's Empire State Building . whatever look - shop tourist attraction , hotel central . staff extremely friendly , helpful knowledgable . complementary buffet breakfast real bonus well . decor could freshen minor point - room clean facility adequate . certainly stay next time visit NY . 
 Nov 18 2003 	 Perfect Choice 
 Nov 3 2003 	 cheap Cheerful Convenient 
 Oct 7 2003 	 Great Value ! 
 Sep 29 2003 	 Disappointed 
 Jul 26 2003 	 good choice 
 Jul 20 2003 	 Comfort Inn - Great Choice 
 Jul 14 2003 	 great choice ! 
 Jul 1 2003 	 Wonderful Week 
 May 27 2003 	 always consisitant 
 Feb 24 2003 	 great location ; save bundle 
 Nov 18 2009 	 New York 2009 
 Sep 13 2009 	 Super zentral 
 Sep 11 2009 	 Buona posizione camere 
 Sep 2 2009 	 Excelente ! ! ! ( entiendo las malas criticas ) 
 Aug 21 2009 	 confortable 
 Aug 10 2009 	 Buen hotel excelente ubicación 
 Jul 27 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Jul 16 2009 	 Excelente ubicación 
 May 9 2009 	 Toplage und wirklich liebenswert 
 Sep 29 2008 	 Localización 
 Jun 21 2008 	 situé idéalement 
 Nov 27 2007 	 Hotel puant 
 Mar 11 2007 	 super situé en plein centre de tout pas cher bon ptit dèj 
 Sep 20 2006 	 très bon séjour 
