five 	 please , book , let warn , 15 dollar resort fee / day facility never use , valet tip , 12 dollar interne , plus tax , add ! arrive Wednesday night two night , check , leave luggage room , go , wait 15 minute car come valet , hardly anyone work time , one person front desk pretty much time wednesday , guess cut staff due economy . back hotel 1am , could not find slipper room suppose , call front desk say check , , look everywhere could not find . call housekeeping , take 20 minute slipper arrive . time almost 2am . know five star hotel decide bring show cap , step shower , start look show cap , relieved see nice little box say shower cap Spa Trump print box tray . reach , lid tear show cap inside , be empty ! use previous guest ! stay two / three star hotel , never see . , 20 minute shower cap arrive , wow never hard time take shower . next morning , wake arround 10 , want use stovetop . start long journey get item kitchen . call get transfer housekeeping , 5 minute hold time , finally pick phone , tell need couple item , lady say & quot ; pleasure & quot ; hung , wait 40 minute , one ever come , think lady not even bother help , call back wait forever , always music re back music , one ever pick housekeeping , call operator talk front desk matter . one pick . call operator tell one pick place , operator simply say & quot ; one pick , busy , need ? & quot ; , excuse , five star ? not ask need rude way , ask , & quot ; pass request , get ? & quot ; well least pass deliver another 30 minute . not start cook almost 12 . five star not poor service , housekeeping make wonder room clean properly , never see doorman open door we . sure we tight schedule , not 15 minute , 30 minute spend waiting service arrive much soon . stay neither recommand anyone know . really 3.5 star hotel max . 
 would rate 5 - star hotel 4 - star - maybe 	 get back trip Las Vegas . I look forward leasure stay hotel Death Valley trip . well , hotel nice , BUT:1 . get shower water run slow , shower head comparable motel shower . hard wash soap . 2 . bathroom glass door heave 1/2 inch space end door floor . open door hit toe close nail , let tell , hurt , lot ! ! ! simple piece rubber plastic button door would done trick . ( next day , husband problem3 . minor thing , would expect 5 - star hotel - toilet paper holder break , toilet paper top toilet time.4 . resort fee : sign paper check , say $ 15 / day , not say also $ 1.80 tax top . big deal , stay couple day get nice surprise checkout , head would help.5 . food : want order in - room service sandwich soup ( sick whole stay , could get room ) . calculate , price chicken noodle soup would $ 9 + $ 5 ( service charge ) + 18 % ( tax , gratitude ) .... husband get downstair take restaurant avoid ridiculous fee , menu restaurant completely different in - room menu . on hand . staff helpful , clean service nice clean room good . the bed towel nice fresh . room clean . kitchenette room also nice feature . we city view , yes Santa Fe train come time time load whistle , big problem , view room nice , actually city view , mountain view , beautiful . would stay - maybe , admit 4 star hotel . 
 Outstanding Place Stay 	 stay Trump hotel Las Vegas 5 night blow away quality hotel . know go resort fee everybody book hotel know find o.k service get outstanding . room well see world . staff friendly professional . definitely stay . property . 
 Sep 21 2008 	 terrible train noise - not stay 	 6 we stay 2 night 3 room . main problem hotel are1 ) hotel right next freight train line go night soundproof totally inadequate 2 ) room vary , especially size bathroom price3 ) location - feel quite walk anywhere view construction site serious problem train noise . train , blow whistle . friend described & quot ; train come right room & quot ; . one get full night sleep . sleep 3 hour , listen train least 2am-5am , wake 7am . the 2nd day ask move initially tell would cost additional $ 40 consider upgrade . point pay extra get quiet room could sleep , manager consult move withuot charge . however turn even bad air con unit sort loud drone buzzing noise especially loud bedroom . could heard TV . move room quickly go dinner not apparent bed late night try get sleep . excessively loud call front desk . offer send someone & quot ; see could fix & quot ; get distinct impression unlikely . agree move condition pack belonging take . give midnight stage incredibly tired , suggest let simply move somewhere sleep insist belonging could left room ' unattended ' . Err .... not happen go day ? beg adamant - pack move stay . exhausted sleep previous night decide cram earplugs & amp ; try get sleep . hour finally - apart train wake twice 3 am dawn find buzz noise make hard get back sleep . unsurprisingly well get next morning . other point : location issue far end Strip feels give set back road . cut Mall across road help . room size vary . 2 People get rom tiny bathroom shower bath shower curtain . stay herea ) not pay much - well option priceb ) ask quiet room away train accept pay extra privilegec ) use Mall short cut get anywhereThe plus room equip kitchenette , include coffee making , fridge , microwave stove top . like able make cup tea coffee morning . overall really spoil stay tired day less energy walk around sightseeing , could barely make dinner . 
 Sep 12 2008 	 luxurious accommodation staff " " attitude . 	 hotel far enough away hustle bustle Strip . love generous lobby gorgeous chandelier lovely stone . room also top notch top line kitchenette . bath large graciously appoint huge two - person whirlpool tub . linen really luxurious bed incredibly comfortable . staff provide truly personalize service . package box deliver Chicago ASAP . staff handle matter hassle able enjoy stay . 
 Sep 12 2008 	 dont stay 5 star hotel ! ! ! 	 HiWe come back vacation Las Vegas.we book 5 star hotel 2 night defiantly 5 star hotel . we find hotel rate yet open 5 month ago 1 year rate . it start fact non room 2 bed one king + sofa bed . open sofa - bed , find thin soft mattress lot coil stick way absolutely can not sleep it . we ask another mattress like one main bed ( also soft ) say can not give we mattress like , another one like one sofa bed . I say staff speak kind thing come give we another room need pay help we find another hotel explain 10 time already pay hotel Priceline , keep suggest stupid idea again . other say Jacuzzi bathroom really nice operate find filthy , lot dirt come pipe — really disgusting . the pool regular rectangular pool tree anything special like would expect hotel Las Vegas particular 5 star hotel . the location hotel not strip . side street — long walk get strip . - 5 STAR HOTEL ! ! ! ! want 5 star hotel well go Palazzo Wynn - absolutly different ligue . really really nice exclusive , wor every penny.save money not go hotel 
 Sep 10 2008 	 Service Trump amazing 	 stay Trump hotel incredible . definitely quieter hotel , would recommend partier , close casino could spend night come back amazing room separate craziness strip . staff part reason stay amazing . bellman valet friendly attentive , impressed . remember birthday even send amazing chocolate room . keep mind drink pool little expensive would expect ! ! 
 Sep 6 2008 	 luxuriate away casino smoke 	 concern varied review , book Trump love . would stay again . for we , perfect spend day night visit big casino resort ( Bellagio , Venetian , etc ) , visit Hoover Dam , go & quot ; & quot ; show , etc . could slip away nice , luxurious hotel friendly attentive service night . hotel right strip , still close Wynn , Treasure Island , etc , location fine . hotel want : -Cosmopolitan luxury hotel - want visit casino stay somewhere serene - do not mind short walk stripthis hotel want hotel : -active nightlife hotel - big , over - the - top Las Vegas feel - Casinos hotelSo be head Vegas heavy partying , gambling , & quot ; always & quot ; scene , hotel may disappoint . would suggest Bellagio , Mandalay Bay , etc . especially bachelor party - type visit . also : -prior review indicate low floor prone loud train noise train horn . 36th floor hear noise enough wake we . ask high floor.-service generally seem inconsistent friendly accommodating , ask something want not get it.-The hotel charge $ 14 / day valet parking self - parking , know advance pay . want avoid fee , could probably park Fashion Show Mall across street - think 's free . Vegas hotel self - parking free , offered.-regarde prior review : Labor Day stay , seem policy everyone show security room key enter elevator area . light skinned , time enter - not seem intrusive needed get room key get hotel room door , anyway . 
 Sep 2 2008 	 color stay . 	 promise King - size bed give Queen - size bed . report front desk , response short . & quot ; . would like additional bed ? & quot ; keep remind supposedly 5 star hotel . the service appalling . security guard entrance elevator extremely rude . three night stay , guy ask room key three time . two occasion , ignore well dress white gentleman ask . occasion embarrassed wife great deal . holiday get relaxation , harrasse big bouncer - type guy . then , poor in - suite dining experience . waiter drop glass water , break assure we everything fine . leave wife find number glass piece . waiter never come back clean mess . this hotel warrant 4 star rating , let alone 5 . not think will booking Trump International future . number Hotels visit Las Vegas well staff service . guess glitter gold . 
 Sep 1 2008 	 Nice room boring hotel . 	 wife stay new Trump Las Vegas late August . overall Hotel nice . service good , lobby beautiful room excellent . every room large come equip fully function kitchen . bathroom great , huge shower jacuzzi tub . bed comfortable . pool descent size , lot chair , bore uneventful . location Hotel good . little strip , Fashion Show Mall across Wynn Hotel . trump great , energy . would seem like nice place stay person Vegas business extend stay . Trump Vegas feel . stay Trump energy stay airport hotel high class amenity . would suggest stay Wynn Venetian instead , room Hotels great Vegas vibe . overall , great luxury experience sense enegy . 
 Aug 31 2008 	 improvement require 	 Room 2817 : toilet seat break . room door door hallway anteroom always close completely release without push door . fact , come back notice room door fully close housekeeping ( able push open without use key ) . addition door loud . also apply toilet door shower door . service housekeeping improve ( coffee powder refill , blanket crib replace put ) . valet service quite slow ( long wait car ) . would liked offer bottle water wait ( see MGM Signature last year ) . 
 Aug 29 2008 	 friendly quite comfortable hotel stay Vegas 	 stay Trump International two day end 2 week road trip visit national park area . I two reservation hotel , one night ( first thought stay one night ) . check 2 pm afternoon , front - desk guy could not find reservation night ( find reservation second night ) . luckily , reservation print , call Hotels.com , get sort . friendly , upgrade suite strip view high floor patience . lobby nicely decorate , quite compare hotel strip ; room clean , comfortable ; bathroom amazing , impressed build - in flat tv mirror bathroom even though not use much ; pool good , pool Bellagio way well . people friendly , service good hotel . decide house keeping work do first day , call we late afternoon check . wake call even tell weather forecast ( think real person 's voice , could wrong , since early morning ) .i two negative thing hotel : parking fitness center . find self - parking , cost $ 14 day park . try use fitness center , find would cost $ 22 use . yup , $ 22 , course allow use spa facility , want weight : ( 
 Aug 28 2008 	 do not ' stay 	 stay 6 night Trump middle August . comment review : atmosphere : - fancy lobby seem guest , staff generally feel dead 6 - night thereroom : - soft , sponge - like beds- nice bathroom , good jacuzzi bath- well appoint brand - name kitchen appliance - room noisy ( soundproof inadequate mask freight train pass throughout night ) facility : - room service- bottled water room ( ! ) - mini bar room- expensive internet access- lobby bar dead- highly - rate restaurant ( DTR ) close July . would not surprise whole hotel follow soon- do not use pool- smoking throughoutlocation : - top strip- opposite fashion show mall good shopping food court- taxi avoid often cross road get one ( always need taxis hotel ) Review : use discount 1 star review , write one sure read ! first time Vegas expect great thing Trump - brand hotel . let start . checking tell reception shatter fly two plane 15 hour get . put room 1613 freight train wake every hour two night . good hotel , minimum , guarantee guest good night 's sleep ; Trump can not even . 's bad tell want move room apology , knowing - expression ... consider hotel pretty much empty , would even put guest substandard room ? fair , new room 44th floor almost muted train . feel like glass water night ? unlucky water provide . feel like snack ? unlucky - room service . fact even mini bar . feel like good meal hotel ? unlucky , respected restaurant close . feel like walk somewhere interesting hotel ? unlucky - 's mall opposite . cross road mall get taxi - do not go voluntarily . dont think get great deal staying - price room Trump could take one good room one strip casino actually Vegas . also get point towards casino 's player club ( may even end get room , show food free ) . importantly place something go .. 
