location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Dec 3 2008 	 Fantastic Stay Casablanca 	 return holiday New York leave comment Casablanca . wonderful hotel , absolutely nothing bad say . before leave New York contact hotel confirm reservation wish we pleasant trip think nice gesture . arrive upgrade King room , book standard room . room immaculate extremely clean , nice touch include bottled water chocolate , robe cd dvd player ... could borrow New York related dvd reception ! room also vey quiet consider location . location , stone 's throw Times Square amenity , really fantastic . the breakfast great , pastry , bagel , cereal , tea , coffee , juice etc 1st floor lounge great place unwind day 's shopping .... especially glass wine ! finally , can not thank hotel manager enough way treat ( ) fiance . helped arrange surprise proposal complete complimentary champagne ... not meet nicer , professional person pleasure deal he . what say , book Casablanca , disappoint ! 
 Dec 2 2008 	 Radio city christmass show yearly event 	 great room , clean , everybody extra friendly pay inclusive package bubbly big deal might upset ? complimentary wine & amp ; chesse reception nice not go big breakfast european - style breakfast great we lot coffee .frest fruit bun kind bad rate like hotlel little high get great room good night sleep cozy sure leave rest ready explore big apple that s stay night . 
 Dec 2 2008 	 lovely little hotel 	 hotel lovely clean , however point must make make fair review . quiet room back hotel , a / c unit direct outside street noise always hear .. need bear mind though new york city , always background noise . room feel small , ( 511 ) shower room . miss bath , pound street hour hour personally would like relax soak , personel preference . however distract personel service hotel offer . turn every evening chocolate bar , wine cheese , complimentory 5pm-8pm every evening high standard breakfast offer every morning real bonus . all staff extreamly helpful , polite courtious throughout stay find hard believe reveiw negative towards staff , greate everybody way greate every time walk door never discourtious word say . say hotel 's little extra touch make stay special , nothing extravigant make feel little bit welcome big chain hotel . hotel not cheap , service receive worth couple hundred . complimentiry bottle bubbly include stay front desk make sure receive . would book return hotel location fantastic central little extra 's make stay little bit special ..... tony 's italian next door , good pasta , reasonable price , $ 20 pasta meatball enough two , warn beer expensive , $ 7.50 corona , also spankys bbq street worth mention , would expect american eatery , reasonable beer , good rib chicken service staff good . love nyc make return journey sometime future price cassablanca stay reasonable , book stay again . Joanne Martin McGee , West Yorkshire . 
 Dec 1 2008 	 Perfect location super staff 	 Juat spending night NY , perfect place . close everything , friendly staff , good service , quality coffee free 24h , wine cheese afternoon free ! small room 's refleceted affordable price . good breakfast . just perfect european tourist spend short vacation nyc.lar Rozita , Sweden 
 Dec 1 2008 	 wonderful hotel ! 	 Excellent hotel , great service . especial thank John , maneg . 
 Nov 30 2008 	 Class Act 	 great hotel 50 pace time square . they treat like royalty . even though be 50 pace Times Square , hotel quiet . the hotel also clean modern . the breakfast evening cocktail awesome . I look foward return . 
 Nov 30 2008 	 calm relaxing hope 	 Casablanca hotel oasis calm amid manic street manhattan . we really enjoy stay Casablanca , previous review spot . highlight hotel relaxed breakfast , 24 hour Coffee Cheese Wine evening . staff meet cheerful helpful . not try restaurant next door can not comment , good meal trattoria trecolori four block 47th street . come back New York would definitely stay . 
 Nov 28 2008 	 Beautiful Hotel lovely location 	 spend 3 night Casablanca , hide gem , right Times Square away noise hustle bustle . right time step door leave staff enough . give superior room back hotel , view lovely quiet , complimentary bathroom amenity , lovely touch . breakfast perfect way start day , day tea coffee great bonus . staff 24 hrs day ready help offer advice . cheese wine every night great way meet guest . would reccommend Heartland Chophouse Brewery road nice food , steak , burger , fish dish assort beer husband say good , reasonably price . hotel lovely clean . staff friendly helpful . would recommend Casablanca Hotel anyone want lovely hotel central location . Mark Debbie Gillen Wakefield 
 Nov 26 2008 	 love NYC Casablanca Hotel 	 partner recently travel NYC get marry . decide hotel special occasion base tripadvisor review ... review could accurate ! absolutely love hotel NYC . staff Casablanca could do anything make we feel welcome accommodate - go way make special day even special . John , General Manager , especially fantastic deserve special mention ... great cheese wine evening : ) impress already plan return April . would never consider stay anywhere else ...... 
 Nov 26 2008 	 home away home ... 	 wife back 6 day trip New York celebrate 41st birthday & quot ; complimented & quot ; stay Casablanca . nothing bad say hotel reiterate every positive comment read review list . every single member staff top notch hotel absolutely perfect stay New York ... hat Casablanca staff ! ! Bob & amp ; Ann - Marie Snaddon ( Aberdeen , Scotland ) 
 Nov 25 2008 	 21st 	 return hotel casablanca , spend 5 night superb hotel daughter 21st birthday , book hotel due wonderful review trip advisor . must say delighted , staff exceptional , manager professional lovely time , loss people exspect hotel standard provide hotel second none . feel like home long day shop homely greet front desk always lovely touch . breakfast cheese wine welcome make much cheap trip 2 night tired shopping fill cheese wine cheese wine dip , bread many thing , mean want dinner . stay many high rate hotel father industry truthfully say hotel deserve status staff work hard nothing much trouble quite room clean well furnished make whole experience really special . previously stay big hotel new york feel like number name . 
 Nov 24 2008 	 Total Satisfaction guarantee will eat hat ! 	 write pleased trip , particular standard accommodation Casablanca Hotel , could write enough ! trip indulgence mark 40th Birthday , leave husband child home girl time close dear friend Sweden . we please first impression hotel buoy duration stay . lovely warm , clean room , big bathroom good daily maid service . love relaxed atmosphere day lounge breakfast evening drink serve daily inclusive . girl pour drink toast bagel delightful , interested trip keen anticipate need , feel like family . in fact Casablanca trademark , high quality service , individual touch , feel safe welcome time enter lobby . our holiday could disaster wonderful , place lie head , glad follow Trip Advisor review book Casablanca . return ! 
 Nov 23 2008 	 Brava Casablanca 	 lifelong friend stay 4 night Casablanca return . everyone helpful , especially doorman whose name Al , believe . Location superb , Times Square oh quiet . walk theatre . great get continental breakfast wine cheese every day . 
 Nov 23 2008 	 fantastic first trip NYC 	 husband return first visit New York . choose Casablanca base TripAdvisor review , not disappointed . little apprehensive warning noise , small room , lack security , make call hotel speak Vanessa . incredibly helpful kind ! know speak concern not warrant have wonderful stay . we arrive early Monday though expect leave luggage come back check - in time , room ready we get . staff friendly helpful moment walk door . yes , room small ( stay king room ) , plenty space we luggage . room bathroom immaculately clean , important thing hotel . far noise go , barely ! grant , stay room back , not face busy street , sound hear occasional siren , even not loud enough bother we . besides , expect be stay Times Square ? ? every evening return room , spectacularly clean . staff give great recommendation wonderful little bar nearby ( Jimmy 's Corner ) . breakfast fill delicious , wine cheese evening fabulous , 24/7 coffee cookie greatly appreciate , people meet Casablanca wonderful . can not say enough great thing stay . recommend hotel anyone want great service , cleanliness , kind people non - pretentious atmosphere ! 
