great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Jan 3 2009 	 Excellent price 	 read review Trip Advisor , book , ' expect much . small bed , small room , New York , else could expect . we must strike lucky , large cosy room one comfortable bed ever . end stay Hyatt week , room 2441 . view , towards rear hotel , also little street noise . the con : - expensive room service , $ 9 plus service coffee . room facility , coffee , tea mini - bar . ( cost room service put we use facility Hotel , ' comment bar breakfast ) pro : - excellent size room , huge comfortable bed , large LCD tv choice house movie ( free ) . speedy lift service ( especially 24th floor use either lift bank ) . en Suite , although large , always plenty hot water good shower . I hear people complain room noise , either quiet neighbour , ( like listen we ) , room ju lucky thick wall . the hotel reception modern grand , sometimes feel bit impersonal . like other , find link Grand central useful restaurant get . last trip NYC stay Casablanca , although lot personal wanted charge we double rate obtain Hyatt Expedia . would definitely stay , even rate . 
 Jan 1 2009 	 well expected 	 read review hotel dirty room nicer high floor . , call hotel directly ( 800 number Hyatt ) tell finding ask clean room high floor . book 3 room family surprise upgrade we assume superior room . three corner room huge New York City standard . room bottle wine , cheese cracker . pleasantly surprised . also , ask coupon coffee tea checking . bonus . staff friendly , room nicely appoint although , must say bathroom small ( water not drain shower ) ' m plastic shower curtain . great trip big enjoy quality time kid ( age 21 25 ) . usually look small boutique hotel travel , however big brand Hyatt always pull ! 
 Dec 29 2008 	 Christmas Hyatt 	 back Christmas New York stay Grand Hyatt . read previous comment post bit concerned need . staff extremely friendly courteous , location excellent next Grand Central . room absolutely fine , bed comfortable , problem sleep . problem noise room next door , never hear thing . check smooth , facility leave luggage also travel documentation safety deposit save carry around . fantastic stay would definitely recommend hotel would stay without hesitation . 
 Dec 27 2008 	 great location sight shopping 	 stay 3 night December 08 Grand Hyatt great holiday . lobby impressive check efficient - staff always helpful friendly . we get room reasonable price pleasantly suprise lovely room , comfy king size bed cleanliness . not big need . room climate control brilliant snow absolutely freeze nice turn temperature get home room . bathroom small shower powerful give nice toiletry . New lcd flat screen tv getting instal stay work never bother we satellite tv provide great . 21st floor not bother noise outside wall pretty thin could hear guest next room 's conversation . hardly room much not bother we . the restaurant food Commodore Grill excellent although menu not extensive little pricey . homemade breads nice touch service impeccable . the market grill grand central great grab breakfast morning reasonable price pizza ' two boot ' fab ! not eat TGI Friday 's next hotel KFC , grab food last day quickness disgusting . the location hotel excellent - walk distance main attractions inc Rockefeller Center , Empire State , 5th Avenue , Radio City Music Hall , Times Square , Central Park etc etc . also extremely handy get bus airport - bus 3 major airport round corner hotel . useful cost we $ 86 plus tip Newark Airport start holiday lot expensive hope bit shock say least ! not help exchange rate sterling pound pretty awful either . also grab subway next door hotel grand central $ 2 way handy - use go take staten island ferry . yellow cab outside hotel time rush . we great time grand hyatt would definitely return . 
 Dec 27 2008 	 definitely four star hotel 	 mother stay Grand Hyatt New York Christmasas short holiday break . upon arrival really impressed grand entrance lobby . check also nice easy unpretentious staff . judge appearance lobby mother expect wow factor hotel room . sadly case room small every way . window , bathroom , bed small size compare use . disappointment money obviously put grand entrance lobby nothing else . someone fix heating system first night . bathroom bite wear uncollected hair soap dish previous guest night . bath product horrible , soap awful smell make almost vomit . ' ve stay three star hotel well bath product . Shame Hyatt well . room dark hardly natural light come . put makeup challenge bathroom mirror hard see thing close . advise shaving plucking arrive will not able see properly otherwise . ' m neat freak notice small detail someone else might notice . staff helpful approachable . bed small comfortable sleep like baby night . internet service quick easy cost $ 9.99 per night . restaurant manager give cup tea house take room bar lounge , feel bit tired want sit lounge drink tea . the hotel serve Starbucks tea coffee big plus due fact love Starbucks . bag check guy come get ticket bag even near section . show good observation staff + + + . self check great want stand line excited hit shop . Lord Taylors walk distance along shop attraction . look beautiful retreat like room make feel like live luxury , sorry place . however , be New York Business want nice modern convenient place bring family would definitely recommend Grand hyatt stay . 
 Dec 24 2008 	 pleasant right near 5th Avenue 	 hotel perfect want easy walk access 5th Madison Avenue . Central Park 25 minute walk pleasant . staff helpful . stay Lexington Suite costly must admit worth purely give extra room include lounge area use , spend much time city go back wash change . go December ensure wear thermal glove scarfe wind make really really cold . staff lovely hotel would recommend anything . right next Grand Central warn want go Greenwich 9/11 site ensure get tube ( underground ) train like end Greenwich ( Conneticut ) 50 mile New York City . 
 Dec 23 2008 	 Improved Service Amenities 	 get excellent rate ( $ 160 / night ) bid Priceline 2 night midweek stay . except old tv , room , though small , excellent condition , bed comfortable , quiet abnd clean . 20th floor elevator service always prompt . room service menu way overprice , even New York ( e.g . club sandwich : $ 19.99 ) . however , one avoid mediocre hotel restaurant walk indoor connect Grand Central Station , superb Charlie Trotter 's restaurant , contine north side escalator Met Life Building ( formerly Pan Building ) , arethree good restaurant option . also , within Grand Central Station Oyster Bar Restaurant superb fresh seafood . option access without walk outside weather bad . back hotel , find staff uniformly curtious helpful . 
 Dec 21 2008 	 Great Location 	 stay two night business . pro : hotel great location adjacent Grand Central Station . make good base explore Manhattan . lobby common area nice fast wi - fi T - Mobile ( although free ) .cons : get past pretty lobby , room ( hallway ) rather date . place ( least 15th floor ) seem bit musty . also mini - bar . overall would recommend getting discount rate.ps - Grand Central Market ( inside terminal ) good place get tasty bread pastry morning 
 Dec 20 2008 	 nice 	 grand hyatt nice hotel , room averge size , clean comfortable , lobby impressive , location excellent . visit nyc five time stay awful place , rate hyatt expensive nyc get pay fault toilet lobby remind awful place stay nyc 
 Dec 16 2008 	 Quick stop NYC 	 huge hotel middle Manhattan , also many big chain hotel ; common standard . location good part hotel , room standard special . bathroom simple . would say worth cost , probably business traveller . location 9/10 : right middle city easy access everything . Grand Central Terminal building , quite large busy street , easy get taxi . walk distance shopping , restaurant , museeum , etc .. good location want middle shopping place sight , ie . time square , far walk , expansive take taxi . Lobby / check - in 7/10 : entrance lobby area gorgeous nice . separate diamond platinum check , also , gold member alowe check . large seating area comfortable sofas chair chill . room 3/10 : upgrade well level room , ' ask one , , dissapointed . small room well plan mind . large closet good stay long , drawer , flatscreen place top , almost middle room , see cable back side . also unlucky get room beside ice- soda machine , door wall seemd make paper , could hear everything outside , also wall neighbour tv , make we wake 6 .. bathroom large , especially part washbasin , hanger around towel , lie basin . minibar take room . Room face another building window tiny , matter view . restaurant n / a/10 : comment , even find kind restaurant have . other : comment , good hotel stay . 
 Dec 14 2008 	 Nice hotel great location 	 third stay hotel . past two time , book straight Hyatt.com , time priceline . room quite small room stay hotel . nicely decorate fitness center great . would stay price right name price priceline . plan travel via subway , get anywhere city hotel . 
 Dec 11 2008 	 great location substandard service 	 location hotel superb , next Grand central train station 15 minute walk Times Square . room stay large comfortable , mod con . good inexpensive wifi access tmobile . however huge hotel , service pretty bad . laundry service bad , forgot pick laundry twice , front desk unpolite unhelpful . never ask manager ( Adam ) unsympathethic unhelpful . get bad ! second day , wake error 6 . check , forgot charge laundry , pointed , take half hour charge account , end late meeting . feel stupid end day , end one suffer incompetence ( afterall try pay bill ask pay , yohey sometimes pay honest , Mr Millers thankful ) pay leave luggage , want charge room , face complicated process ( US dolar cash ) . people helpful . way hate self check counter unsurprisingly work . furthermore , taxi assistance bit dodgy . bell boy urge take private cab , advise get normal NY cabbie . concierge know anything arrangement , could comment whether allow safe , end take private cab work fine . nevertheless find bit dodgy . 
 Dec 9 2008 	 Nice business / leisure traveler explore NYC . 	 book Grand Hyatt Priceline save significantly Expedia / Travelocity price . hotel great location within walking distance Times Square , Rockefeller Center , shopping area , well connect Grand Central . room small compare city , probably above - average size ny hotel , fairly well appoint comfortable . Starbucks lobby , coffee / tea facility room , bit odd . note review , wall somewhat thin - near elevator could easily hear bell ring , though able drown sound keep air run . , would say great place stay base explore NYC business spend time away hotel need comfortable , centrally locate place sleep . problem room staff , though take phone call get late checkout 2:00 , oppose 12:30 initially offer . 
