great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Sep 13 2006 	 good price New York . 	 hi recently stay Bentley , Sept 6th-10th . the hotel downstairs clean airy , free coffee lobby , nice touch . Bedrooms- stay 18th floor , view excellent , room could refurb opinion . enough hang space also . staff nice friendly , location opinion good , 15 minute walk Central Park Fifth Avenue , away hustle bustle . do hear thing gas station animal hospital , air conditioning noisy , take ear plug . 
 Sep 12 2006 	 Fantastic ! ! ! 	 's much say Bentley . read previous positive review wonderful hotel . clean , organize well manage place stay . staff amicable speak language want ( mostly eastern european ) . help need ( special emergency great ) . room spacious clean , tv wide variety channel ( hotel network couple & quot ; basic & quot ; channel ) wifi internet make business pleasure trip big apple UNFORGETABLE ! ! ! recommend hotel NYC , 2 word mind : BENTLEY ! 
 Sep 10 2006 	 Fantastic hotel - not believe negative comment ! 	 friend stay hotel 7 night September 1st . love Bentley - stay room 1909 fantatstic view uptown part city . room spacious extremely clean , 2 double bed comfortable . problem petrol station animal hospital / ambulance despatch like people listed - remember New York , expect place totally quiet . staff extremely friendly go way help question , get taxis etc . rooftop bar fantastic great way start evening ! tea coffee lobby nice touch also . tiny thing could fault hanging space , much . fantastic stay would definitely stay Bentley . 
 Sep 7 2006 	 get right room great ! 	 first trip new york ( US matter ) , lot internet research find good hotel pricerange , finally choose Bentley:1 . TROUBLEWhen get hotel , staff ask we want smoker non smoker room ( although already book non smoking room ) . turn non - smoking room book offer stay one night smoker room non - smoking room next night . actually , tell would check room decide . the room smell lot like cleaning product , much smoke , agree stay one night . although wonder would happened refuse ... ? morning however , smell clean product disappear , could definately smell smoke point clothe smell . notify staff give we another room day . work ok we , someone sensitive smoke , unacceptable.2 . ROOMSWe chance try two room stay . first one ninth floor , face queensborough bridge , one 17th floor , straight first room , additional window towards East River . guess window floor 14 above . we book deluxe room ( since actually cheap standard room time ) , first room stay probably STANDARDroom . microwave oven , combine cd - player alarm clock , 20 & quot ; tv , closet , iron board possibly flatiron . guess second room get deluxe room ( suite ! ) addition standard room flatiron , fridge , sink faucet , safe ( great ! ) complimentary glossy magazine . oh , room air - conditioning on / off switch , hot cold air . 's bit noisy , job . otherwise , room clean , furniture stylish comfortable , bathroom clean understand NY standard.3 . SERVICEThere always staff Lobby , be alwa helpful nice . room clean every day . library stylish lobby offer free newspaper tourist information , self - service coffee bar get regular tea coffee , espresso , cappucino , different variety decaf machine fresh coffee bean fresh milk . 's nice cup come home exhaust day sightseeing . visit rooftop bar daytime , view stunning.4 . LOCATIONIf be use walk , like , walk central park easy ( even be hot ) take 10 min walk slowly . hotel close bloomingdale shop Lexington ave ( be also subway station ) . block around 58th street / 1st ave lot good restaurant couple cool shop , inluding Terence Conran . neighbouhood otherwise pretty quiet , extra bonus sit hotel room watch boat pass ! 
 Sep 5 2006 	 average hotel 	 book online thru Expedia without problem . hotel look attractive outside , site gas station dirty . inside lobby airy clean staff welcome . get upgrade room stay standard queen size room , bed comfortable generally although room clean could renovation , stand alone aircon unit noisy inefficient glad really humid period . mini bar safe . street noise problem . lift corridors dark murkey although might call mood lighting . on 21st floor bar restaurant fantastic view , not bother eat unless love burger & amp ; fry . within block great place eat resonable price . subway station good 10 - 15 minute walk away . 
 Sep 1 2006 	 absolutely brilliant ! ! ! ! ! 	 stay 4 night august 2006 great ! ! hotel staff extremely friendly helpful . arrive 2.30pm although can not officially book till 3 pm say room ready , sadly go be not quick phone call reception immediately upgrade king size room fantastic view queensborough bridge . room clean comfortable always make get back sightseeing . hotel situate area away hustle bustle new york really short walk centre . walk everywhere without problem ( apart incessant rain ! ! ! ) would not see half sight see stay say times square , walk madison avenue sunday afternoon close street market fantastic ! ! diner area great breakfast , try ritz diner baker street bar ( cocktail tom cruise film tgi friday ! ! ) angel italian restaurant also great value fantastic food ! ! ! , wine bit pricey new york generally much . fab holiday new york fab place , would definitely stay 
 Aug 29 2006 	 mislead website 	 stay Bentley 7 night . request high floor know could not guarenteed read several website comment wonderful view , think would well high ! room give 5th floor look build across road -not wonderful city river view expect . speak reception desk pass we straight manager great . empathised say although could not change we night , would possible next day . leave pack luggage room would taken new room would ready we return day . new room 17th floor overlook Queensboro bridge view river -that night sit watch thunderstorm Queens , much well ! ! new room also one big room although size nothing complain . large room king size bed compare queen / double other . large room also in - room safe other not . sign reception desk say book one certain website upgrade automatically inroom safe would make worth it . the thing would comment not much wardrobe space room cope fine ! view bar top hotel wonderful take drink outside get well view -very romantic ! response review -the hall not dark , ' mood light ' ! ice machine step floor 1 2 not ideal not problem . free coffee room lobby machine need coffee morning way something way long day , great . the staff friendly help we question query area . the hotel ' out town ' absolutely fine not mind walk -we walk everywhere ! bus stop around corner subway 4 block away . yes hotel next petrol station animal hospital never bother either they . there great diner couple block hotel stay open 24hours cheap lunchtime meal -highly recommend ! would definately go back stay Bentley -a great , comfortable hotel save we whole load money we willing walk centre city instead stay ! would certainly recommend -just not expect promise view ! ! 
 Aug 16 2006 	 nice far subway 	 modern , large size room , clean bathroom , enjoy much stay ! 
 Aug 11 2006 	 fine hotel fine stay 	 hotel fine . stay family , hubby , wife & amp ; 9yr old . check review travel & amp ; bit anxious , reason . yes hallway & amp ; lift dark , 's sexy lighting not work . location good want middle busy manhattern , good want escape bussle city day within short cab ride . ask high room overlook bridge & amp ; get without problem . forget bus , tram & amp ; subway , taxis $ 7 everywhere seem go , include 5th Ave , Times Sq , central park - want ? easy flag . ritzes dinner good food , 's pizza place around corner + liquer store we alcholic not want pay hotel price . great view & amp ; would definately stay . 
 Aug 11 2006 	 happy stay 	 arrive Bentley Hotel 3 pm , expect , room ready yet pleasant staff happy hold bag we head lunch brief tour area . upon return , receive key room scoot 8th floor . many people mention review , hallway dark . ambiance hotel go even , creative couple late 20 's , find dark even read room number . alas , find room please . super clean , modern nice view Queensboro Bridge . great room size air conditioning work well cool we +100F heat . shower temperature pressure great . when return explore city every night , room always nicely clean we . new hand body towel , new soap shampoo ... however , face cloth never replace first day ( really care ! ) minor inconvenience key card suddenly stop work 5th day . idea , go front desk apologize fix problem . all , front desk staff always pleasant valet / front door man always happy smile . many say location far everything , however hop M31 bus take hub thing . New York well see foot , think anyway . ton great restaurant ( comedy club ) easily within walking distance . find Ritz Diner convenient open 24 hour , ATM well . the rooftop terrace restaurant quite nice . good cocktail service prompt . dinner one night food quite good ( try steak ) reasonable price . the rooftop terrace great view careful walk plank ... rickety . also find lot furniture lobby room ( side table , chair , couch lobby ) bit worn could use upgrade still presentable shape . we find hotel quiet night room ( noise room . ) snack drink machine always sparse late night munchie Mobil station corner prove well replacement anyway . unlike review , find ambluance dispatch center nuisance all . all , hotel suit need perfectly great stay . would recommend consider stay sure . 
