one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 Apr 26 2006 	 Great Off - Strip Value 	 ' ve stay hotel several time , chime agreement positive ( negative ) .In opinion , value hotel offer really excellent , especially get Priceline ( hint bidding : 4 star hotel UNLV / Convention Center area 4/06 , several area like Nellis AFB not 4 star hotel need rebid- read biddingfortravel.com ) . ' ve luck get $ 125 - 160 per weekend night rack rate Marriott.com time period $ 200 $ 300 night , 4 star hotel like Mandalay Bay , Luxor , Monte Carlo Mirage run $ 300- $ 400 , Bellagio , Wynn Venetian absolutely exorbitant rate . 's LOT money put towards cab Monorail fare , car rental . ( usually buy room service drink , pay Priceline rate , get credit stay point Marriott Rewards . ) . hotel sometimes busy convention Convention Center , mean real steal dead weekend . the positive room well appoint , see picture . would say room size comparable Mirage TI- big upper - tier Strip hotel like theHotel , Bellagio , Venetian Wynn , cramp either , like , say , Westin Casuarina ( name business hotel locale ) . bed incredibly comfortable , nice duvet pillow . separate shower bathtub bathroom , bathtub 's soaker like will get upscale Strip hotel , ' m shower person shower good water pressure . one thing note get free high - speed internet access , unlike Strip hotel , be $ 10 day , another way save money . room service prompt food 's reasonably tasty ... , not decide cross street hop shuttle bus Wynn eat . checkin always prompt ( ' ve suffer line Vegas casino . even swank one ) , staff concierge always helpful . upper floor lounge health facility nice well , free bottled water nice touch ( something else would pay lot Strip hotel ) .The ( small ) downside think : - wall indeed thin- neighbor hear rowdy even fairly quiet . - 's fair distance parking garage hotel elevator , though valet parking . - get southbound Paradise ( go Center / South Strip property McCarran Airport ) via car bit tricky ; good bet turn leave parking garage drive Swenson ( drive away Paradise / the street monorail next intersection turn right go south ) . be careful could end like drive couple mile i-15 turn Desert Inn Road trying get southbound Paradise , since Desert Inn Road Paradise divide road will not let lefthand turn long stretches.- pool small- wave pool , slide waterfall big part Vegas experience , will disappoint . be really anything Motel 6 would , get swimming / hot tubbing fine , will happy . all , think Renaissance Las Vegas GREAT value money , not mind bit walk / shuttle / taxi / Monorail ride / drive casino gamble / take show / club / do whatever live without sumptuous pool . be probably one nice off - Strip property Vegas outside Lake Las Vegas one JR Marriott- 's close enough get anywhere not much problem . 
 Apr 13 2006 	 Beautiful Non Gaming Hotel 	 contemporary non gaming hotel within easy reach strip . hotel staff go way accommodate . room good size , good , flat screen tv . nice touch . also , serve Starbucks room . quiet want , without commotion one find strip , place . 
 Apr 10 2006 	 Loved ! 	 stay several girlfriend friend 's wedding . find beautiful inside , excellent customer service , free parking + amenity seek . get great rate ( $ 120 - look whatever discount program access - AAA , govt , etc ) , make steal . would absolutely stay . everyone party rave . 
 Apr 3 2006 	 fine worth rave see 	 , indeed , hotel well suit business traveler . not find spectacular poster obviously , suited purpose . good : wonderful bed pillow ( top Westin 's heavenly bed ) ; customer service ( cheerful / smile ) ; free bottled water ( fridge offer waiting valet ) ; flat screen tv . bad : tiny room view whatsoever ; bathroom thoroughly average one sink , waste basket ( ? ? ) horrible little bathtub ; location terrible leisure travel - monorail overprice 2 people cab price avoid drive strip . this hotel okay get great deal ( $ 112 govt rate ) Saturday night stay . however , probably would not stay . even though pay super low rate , reward elite status usually get well room . expectation high Renaissance . 
 Apr 1 2006 	 Awsome Hotel ! ! 	 hotel absolutely amazing ! ! could not impress staff , hotel , food quality , location .... could go . hotel beautiful , clean , comfortable , fun , stylish . would live hotel could . staff extremely courteous , helpful , professional . thank employee 's management hotel . back many time . if could change anything would & quot ; pool & quot ; & quot ; gift shop & quot ; neither one classify . also refridgerator room work well . 
 Mar 27 2006 	 nice hotel overall except one problem . 	 nice property conveniently locate next convention center monorail . high marks : service great , trendy contemporary decor throughout , toiletry top notch , bed top notch , convenient free parking structure , free bottled water daily . neutral : room size acceptable , tv nice testycon : thin wall poor soundproofing , pool area small shade time since locate middle building . I would highly recommend property business traveler would rather stay away strip next convention center , yet monorail ride choose venture action . also recommend vacationer idea . recommend family , think hotel casino big pool would well suit they . I guess big gripe terrible soundproofing wall . 's true reviewer post hear conversation neighbor . guess experience stay depend neighbor 's voice travel . neighbor one side quiet whole time , side could clearly hear guy conversation everytime speak . know hotel hear neighbor 's voice , usually talk loud yell . case , clearly talk normal tone . if , would rate property 5 instead 4 rating give . 
 Mar 25 2006 	 great hotel 	 stay Renaissance two night March . room clean , comfortable , quiet hotel locate next Las Vegas Convention Center Monorail . hotel staff also friendly helpful . 's wonderful business hotel .. would not stay tourist 's far strip . transportation strip ... stick monorail ... stay away two - dollar trolley . ten minute ride take nearly hour crowd stuffy . 
 Mar 21 2006 	 Great Place stay 	 husband stay hotel . great service , room extremely clean . restaurant hotel serve superb food . spa take excellent , attend function convention center , location could not well . thumb hotel ! 
 Mar 16 2006 	 convenient location without crowd 	 fairly new addition Marriott property Las Vegas real asset . warm , well appoint decor outstanding staff couple off - strip locale adjacency convention center make hotel memorable one . bounce property property Vegas , look good fit time travel . think find . 
 Mar 5 2006 	 Great Location Conventioners 	 ' m market road warrior - travel around U.S. stay variety hotel . visit Vegas frequently attend trade show typically stay close convention center convenience ( Strip ? ; do ! ) . although Renaissance great - return - would like see something noise level hallway . business , typically sleep Vegas tourist return wild night . hotel room door heavy gear close quietly . experience constant bang closing door throughout night 7 night stay . 12 coworker experience thing - ' m sole whinner ! positive note - restaurant great - wonderful dinner ( outstanding wine ) selection well good breakfast buffet . coffee shop ( different vendor ) could use improvement pastry dry time , taste stale side - although look great display case ! ! ! intimate , enclose courtyard pool area ... huge like many Vegas pool . time , hotel host special function area . hotel staff friendly accommodating . loved everyone ! also convenient Hertz car - rental premise use frequently avoid typical airport taxis incur rent airport . 
 Feb 22 2006 	 respite Strip 	 spend several night Excalibur strip Renaissance Las Vegas provide break need . staff extremely friendly helpful moment arrive . arrive 3 - 4 hour check - in time expect leave bag return later check - in . offer check we early extra charge . point , whether bell man young woman deliver room service , always treat like special guest . imagine ... excellent service Vegas ! monorail stop step away make easy get everything . convenient . keep talk great stay clean , modern , smoky , quiet hotel able walk monorail station Strip 5 minute . us perfect combination . 
 Feb 19 2006 	 great strip choice 	 stay Renaissance LV 3 time past 18 month , terrific . room easily accessible short walk lobby . convention center monorail entrance 5 minute walk . easy access parking , hotel parking garage elevator separate , go ground back hotel . my big issue price . $ 200 + not uncommon . steakhouse & quot ; envy & quot ; ok price outrageous less perfect food . Bottom Line : want great night sleep , friendly helpful staff , easy access location , casino - free hotel , not mind price ... hotel you . good luck Vegas ! 
 Jan 7 2006 	 great night 's sleep ! ! ! 	 be go conference LV Convention Center , Renaissance good place stay . within walking distance convention center , plus ultra - comfy bed hip trendy decor- great place stay . 's close Monorail station , easily go towards casino hotels main strip come back get rest peace quiet . will definately stay ! 
 Jan 3 2006 	 can not beat 	 regular visitor Las Vegas , 3 - 4 time per yer , impress Renaissance . yes strip , look nice hotel resonable price , place take ticket . service great front desk , valet great bed comfortable . stay travel Vegas budget . 
 Dec 15 2005 	 unnessasary inconvenience 	 Desk staff check 1 night book clearly 2 night . room re - keyed . go breakfast second day key work get re - keyed order get pack check . poor desk service , excuse happen . stay past everything absolutely perfect . look forward experience time certainly dissapointe . sure would choose stay come back town Feb . 
 Dec 2 2005 	 escape 	 return 3 night stay Renaissance . great stay strip hotel boast casino ( attract guest escape crowd pour hotel lobby ) . room uber styling , quiet comfortable . ( Book one top floor club room enjoy inclusive continental breakfast evening canape ) .only 5 min walk monorail station easy access onto strip - efficient run 2 am . 
 Dec 2 2005 	 Tres Cool - Way Cool 	 town Thanksgiving weekend . check Wednesday a.m. - arrive Vegas @ 8:00 phone hotel find early could check - state 7 a.m. drive right . stay three night - get third night free w/ Tres Cool Pkg . : ) great deal ! two child , love & quot ; casino & quot ; atmosphere . good breakfast spread , appetizer , evening dessert . include w/ pkg . along access club lounge anytime day water , soft drink , coffee . great view strip 11th floor room actually quite spacious , especially bathroom - oversized w/ separate tub shower , nice ! bed comfortable plentiful amount pillow . pool bit small , yet pool area nice place lounge . staff time helpful pleasant . $ 25 credit Envy restaurant use breakfast two , good deal . food cook order coffee juice quite tasty . nice stay away hustle bustle strip . definitely return . 
 Nov 30 2005 	 seriously comfortable Beds ! ! ! 	 stay Renaissance one night , one comfortable hotel room ever stay . whole place , whilst design primarily business traveller give proximity Convention Center , ooze relaxed understate elegant atmosphere enhance extremely friendly & amp ; helpful staff . monorail station short walk away , parking garage easily accessable hotel . 's redeem feature bed - soooooo comfy ! ! overall , excellent hotel ; perfect seek sanctuary loud smoky environment Strip hotel . downside other mention , thin wall . even conversation hold normal voice level hear . aside though , anyone search good off - strip non - casino hotel , . simply excellent . 
