surprised 	 really surprise many great review muse , fact really great ! bellboy great , always help we . say snobbish Front Desk house keeping . stay 5 night , one day give towel , one day miss floor mat . find use towel duvet change bed sheet throughout stay . sorry say house keep standard ! please scruntinise bill check , find mini bar item charge bill daily basis consume anything mini bar . acceptable reputable hotel chain ! location hotel great ! one minute away times square , 10 minute away theater walk distance fifth avenue . hotel across road , may cheaper well ! say money pay , well hotel around . 
 comfy bed world 	 partner stay muse hotel late November 09 . keen stay hotel read great review site . hotel lovely , trendy , modern clean fantastic location ! 30 second times square . hotel lobby beautiful , bar always good relax drink two three . the hotel bellboy always friendly eager help question . reception staff hand quite rude time almost snobbish . not let ruin trip though aspect hotel make stay success . bed room unbelievably comfortable , room spotless , good size modern bathroom maid give we fresh towel bed linen everyday . place one room next building site cause disruption evening , pay fair price hotel not mind . overall good stay . 
 Aug 12 2004 	 Overall love Muse ! 	 lobby beautiful , look incredible mural ceiling . really enjoy hotel except incident male concierge check . rush , run late business meeting already , call ahead let know would early ... plan check 2:30 , check time 3 , not think would necessary . ( especially since night , still offer discount rate room website . ) course , room ready , concierge tell would try well hurry along . arrive 2:10 not mind wait . wait , wait , wait . finally 2:45 walk back concierge inquire room . ( sit right front lobby . ) say ready yet , & quot ; let check . & quot ; begin search computer file least five minute stand wait . finally say & quot ; oh room ! & quot ; wow , surprise . ( btw , bad employee encounter . everyone else stellar . kind , friendly , helpful . except guy . ) say trouble run credit card , could see ? run , said & quot ; & quot ; sorry ma'am seem card decline . ' m trying run $ 1500 . & quot ; well whoa buddy . room , tax , suppose run around $ 820 , base hotel website confirmation hold hand . first , rate incorrect ... even though book website . even incorrect rate , charge ridiculous amount cost room . get snooty snobbishly informed try charge $ 150 day advance amenity , & quot ; good hotel so . & quot ; well , first , mathematically speak full ... know . make utterly random figure ... matter cut , $ 150 day 3 day plus $ 820 equal $ 1500 . secondly , ' ve stay several NYC 4 star hotel , include Kitano ( lovely ) Dylan ( nice ) . ' ve also stay 4 star hotel Boston , Chicago , DC ... name . never someone try charge exorbitant amount cost room , advance , & quot ; case & quot ; . fact not keep lot money credit card deliberately , help keep spend moderate . important folk like not run around credit limit ten zillion dollar . Anyways Lion ( name ) get snotty finally agree charge card $ 1000 , say would & quot ; turn & quot ; amenity room , mini bar , internet , etc . point need get room , say FINE . tell would make note policy charge much extra advance amenity , note ! Gosh would think horrid experience upon check , have hate place , love . room lovely . small , NYC hotel room small . king room three foot space either side bed ... room door barely miss hit bed ... small ! 4 - 5 foot foot bed desk TV console drawer . wonderful bed fabulous featherbed . tv stand could ' ve improve recess door small space , fine . bathroom HUGE . kind contemporary casual decor throughout . btw , amenity work fine , clue Lion mean threaten turn thing . worried have battle internet work fine ... 9.95 day unlike hotel , actually works . hear road noise face street , 8th floor still sound street pretty loud ... not bother , be NYC , expect noise . need quiet , ask room face away street . advance , preferably , might difficult check picky . interaction hotel staff wonderful . really , everyone except first experience Lion seem go way helpful . one nice touch whenever elevator use , would & quot ; rest & quot ; door open lobby level ... nice wait elevator ! btw get ticket talk cell phone stop traffic light 42nd ... know law NYC , speak cell phone car . , avoid drive city , not talk cell phone ! overall love hotel . really enjoy NYC , would stay , will try avoid one dude . : ) 
 Aug 3 2004 	 great place girl 's weekend ! 	 stay Muse girl 's weekend back March . excellent choice ! room huge ... plenty space 4 girl . bed comfortable philosphy product nice treat . good central location right near Times Square ... little difficult get cab times area crowd tourist , would definitely stay Muse ! 
 Jul 13 2004 	 Muse .. nice 	 teenage daughter recently spend 4 great day ny ! ! ! ! . read numerous review decide stay Muse . location great . easy walk Broadway play , Times Square , Rockfeller Center . late many night feel comfortable walk back hotel . hotel attractive , room bathroom spacious comfortable . bellman housekeep helpful nice . order room service meal great ! drawback front desk . would suggest little cordial . nice stay Muse . 
 Jun 23 2004 	 Awesome Hotel ! 	 recently opportunity stay Muse NYC . great hotel friendly staff . hotel centrally locate Broadway Times Square . nice large room bathroom NYC . beautiful decor great bed . would highly recommend hotel . would definitely stay Muse ! tip : low room rate offer Hotwire . 
 Jun 1 2004 	 NYC - the Muse great ! ! 	 great city ! ! wife first time visitor little apprehensive . stay 3 night 4 day Muse Hotel W 46th . see review sometimes staff seem little standoffish , find opposite true . take we long 3 minute check , do polite courteous manner . whenever leave hotel , desk crew , manager bellman wish we pleasant day , evening , etc . also greet we return . anything need ( direction , help room safe , towel , etc . ) provide quickly , think guest . hotel definitely worth every penny . mention close everything ( Times Square , Broadway , etc ) . NYC also friendly . 2 time rude experience come fellow tourist ! back soon ! 
 May 19 2004 	 Excellent 	 great fine finding even though stay 50 time , Omni , apparently rate consideration , room type sell . room mine , room type , single king room . offer upgrade even prefer rate hotel area & quot ; sorry . & quot ; ' m sorry . new NYC location . 
 May 19 2004 	 exceed great expectation ! 	 mother recently take & quot ; girl trip & quot ; city stay Muse . like similar review read travel , almost hate tell true feeling Muse fear mad rush stay , book hotel drive price . hotel meet , exceed expectation . bit weary reading review rude staff inadequate facilities….but obviously , folk must confuse Muse another establishment . staff courteous helpful , go way help we . arrive around 11:00 a.m. , 4 hour state check - in time show room less 30 minute . housekeeping staff come room twice day , make bed another turn , even leave treat pillow . bed reason stay . feather bed feather duvet . not want much sightseeing , could stay bed day . room super clean bathroom luxurious spacious . beautiful fixture soft robe wonderful Modern Organic Shower Products , heaven . area Theater District around hotel nice . even two southern woman alone city feel completely safe . BEAUTIFUL church right across street add view . minute walk Times Square put right middle action , hotel ' location situate far enough away leave noise behind return hotel . I New York City numerous time , even live several summer child , Muse far good place ' ve ever stay . go beyond similarly price hotel stay . get money hotel make think trip steal . return New York stay Muse . ' ve already recommend other can not thank staff enough fabulous trip city . assure choose hotel , delight . 
 May 8 2004 	 Outstanding Hotel 	 stay hotel 4 night August 2003 . love . post review see someone else 's post call front desk staff arrogant . think staff fabulous . Everytime go ask we need help transportation . come night ask evening need wakeup call . feel like not stand line wait help - automatically offer . front desk staff remember celebrate daugher 's birthday , see we come breakfast last morning stay , comp have breakfast wrote & quot ; Happy Birthday & quot ; daughter 's plate . outstanding hotel ! 
 Apr 27 2004 	 wonderful hotel ! 	 muse perfect choice girl ' weekend NYC -- great location , friendly staff , comfortable large room . bed comfortable hotel bed ever experience , perhaps even well Westin 's & quot ; Heavenly Beds . & quot ; bathroom spacious stock fluffy towel , nice robe , great bath product . 
 Apr 26 2004 	 little Big Apple ! ! 	 perfect spot ... whirlwind trip NYC Easter holiday ! ! & quot ; girl 's & quot ; trip - a great hotel we ! ! admit , first , reception area little intimidate - but professional courtesy ( time ... friendly ! ) & quot ; bell & quot ; staff great - very helpful direction . one waitstaff & quot ; District & quot ; restaurant ( John ) check we every morning see go need suggestion guidance ... everyone & quot ; looked & quot ; we - since travel without husband ! room comfortable - the bed wonderful & quot ; nest & quot ; -even noise outside - you sleep like baby ! great location - far enough & quot ; & quot ; Times Square ( 1/2 block ) little quieter - but , could right action minute - and walk everywhere hotel - perfect ! plan make annual trip - and making & quot ; Muse & quot ; home away home ! ! ! 
 Apr 23 2004 	 Bloomin ' marvellous - real gem heart NYC 	 say ? ? moment arrive hotel Easter Bank Holiday , know trip go good one . reception staff porter exceedingly friendly efficient . room massive NYC standard . great facility room , huge television , great bathroom product ( good carry way back across Atlantic ) . bed die . city much see real effort drag room . enjoy stay much go back next weekend ! ! one word advice 's Times Square noisy , worried keep awake ask room upper floor . 
 Apr 4 2004 	 Muse Hotel Outstanding 	 Great hotel . stay many four star well NYC hotel would rank one top five . criticism , noise hallway carry room . plus wonderful bed good hotel pillow ever , first class bathroom great amenity , friendly , courteous staff ( despite review contrary ) . watch rate carefully . find online rate $ 230 $ 409 late March 2004 . good rate directly hotel web site . forget site restaurant ; high price , okay food , slow service , noisy . 
 Mar 15 2004 	 Awesome hotel ! ! ! 	 love hotel ! 's location Times Square awesome ! hotel modern trendy . staff friendly informative . hotel good bed ' ve ever sleep . ' m look forward go back stay . would recommend hotel anyone know go New York . 
 Mar 8 2004 	 decent business probably would not stay vacation . 	 stay business probably would not pay $ 200+/night rate foot bill . lot nice hotel area amount . check little intimidate staff not outgoing , however professional polite . size room decent bathroom stock Philosophy product , definite bonus . room service restaurant downstair mediocre border bland . truly bad experience stay hotel reach grab ice bucket ledge room buckful WATER splash . apparently house cleaning not bother empty last guest . 
