ordinary 	 stay individual room Meliá White House one night . find hotel ordinary . decoration furnish pretentious bit date . the staff reception desk nice chek - in check - out fast . room small , much London standard ; however not even one chair & quot ; table & quot ; room ledge leg , barely 25 cm deep place narrow , poorly - light , aisle - like space ( awkward four - star hotel claim ideal business traveler ; course chair desk room would appear cram ) . tv big bit old . closet look bit shabby . bed comfortable . bathroom up - to - date really tiny ; even shelf toilet bag , small counter around sink . everything clean enough . coffee tea kit ( inside closet , place put ) .There something odd use in - room minibar : note advise customer use minibar cool stuff charge 15 pound . no free internet area hotel . rate 15 pound per 24h . I not breakfast hotel ; would remember price region 20 pound , good breakfast somewhere nearby ( Great Portland St. across street ) .The hotel well locate find plenty well locate hotel London similar cheap rate one does't add special value . in brief , fine 's nothing special . ' ve stay nice hotel London would recommend one get cheap rate . 
 Feb 15 2004 	 love 	 boyfriend decide splash treat valentine Day choose Royal Service room . extremely worried waste money often get little extravagant - arrive realise worry really feel everything hotel make worth cost ( ? 146.00 ) . front desk service good Royal Service desk room little small would normally want realistic complaint - fantastic furnishing room , huge bed , comfortable bathroom ... plus cool bar friendly staff ... wonderful . would love stay , regret stay one night time take advantage hotel facility . 
 Feb 10 2004 	 confirm : Expedia 's Melia White House Hotel offer bad 	 book four night stay hotel base Expedia 's offer . read warning post already book . call Hotel confirm would honor Expedia 's offer . call Expedia , call Hotel get full refund . 
 Jan 30 2004 	 Fabulous restaurant 	 travel London several time business , hotel time disappoite ( small room , poor service ) , exception . provide comfort hotel rate , concierge always helpful request restaurant ( Catalan chef ) prove superb . buffet breakfast great . flaw shop restaurant nearby street , however tube station near , well bus stop . 
 Jan 13 2004 	 Beware ' Executive Royal Service Room ' rate Expedia 	 hotel fine . London anniversary book room Expedia . want something little special book & quot ; Executive Royal Service Room & quot ; , accord Expedia , provide kind amenity include full english breakfast , accord Expedia virtual tour , promise large average room . when arrive find entitle Executive Royal Service , despite eventually talk manager show Expedia printout . find pay Executive Royal Service ROOM , Executive Royal Service SERVICE extra . also , room average room small bathroom . the lobby smell heavily smoke time , room floor room smoke free promise ( smell smoke free ) .The water shower would go warm scald hot ( second ) every 15 second . notify front desk maintenance claim fix problem , not . hard shower condition . also , hotel push & quot ; Pillow Menu & quot ; ultimate comfort . get choose 10 different style pillow . try . one pillow available 10 large block foam . the location fine , near several tube stop different line . all , decent budget hotel get good rate -- service spotty . turn service first night , successive night ( stay 5 night tip early , later ) . plus , early conversation manager Executive Royal Service stuff really color stay negative way . 
 Jan 8 2004 	 Satisfactory exremely service orient 	 son stay Melia White House 5 night , box Day New Years Eve 2003 . choose hotel base Trip Advisor review . not thoroughly dissapointe , however , not completely satisfied either . location good . like central hotel . close enough action , far enough away quiet less congested . Great Portland tube across street Warren St. tube well access tube line , 's street bit . room bit small , expected not want spend money hotel room . bed comfortable room equip necessity . service disappoint . find front desk personnel bar staff bit unfriendly . & quot ; stay & quot ; & quot ; thank stay & quot ; etc ...... try charge & quot ; relief kit & quot ; room . take bill apparent not believe . ask assistance call hotel link schedule pick airport transfer impression get figure , thing deal . fine stay . not choose London hang hotel , moreso see sight absorb history . good polite service go long way though . 
 Jan 6 2004 	 good price / quality london 	 Dec 2003 . helpful staff , meet standard real 4 star hotel . service somewhat slow . overall , good price / quality London . one want less luxurious room ( example 3 star hotel ) , one save ca . 50 % , get equally good ( superior ) service . suggestion : look Bonnington Inn ( new year 's eve ) , nearby area ( even well locate Melia White House ) . 
 Dec 21 2003 	 good great 
 Dec 2 2003 	 fabulous weekend break 
 Nov 30 2003 	 great hotel good price 
 oct 9 2003 	 loud helpful stuff 
 Oct 1 2003 	 good 3 star hotel London 
 Sep 26 2003 	 perhaps good deal London 
 Sep 22 2003 	 Fantastic 
 Aug 28 2003 	 great location 
 Aug 25 2003 	 Fantastic ! ! 
 Aug 3 2003 	 great surprise 
 Nov 24 2009 	 Excellent emplacement mais chambre trop petite 
 Nov 22 2009 	 Une cabine bien située 
 Nov 19 2009 	 ascensor 
 Nov 16 2009 	 Hotel parfait pour un séjour à Londres 
 Nov 14 2009 	 Très bon hôtel et bien situé 
 Nov 7 2009 	 Agradable Sorpresa 
 Nov 7 2009 	 Das Hotel ist nach meinem Eindruck extrem heruntergekomman 
 Oct 25 2009 	 Molto positivo 
 Oct 21 2009 	 Melia White House London 
 Oct 12 2009 	 wut I m bauch 
 oct 9 2009 	 Magnifico hotel buena conexione 
 Oct 9 2009 	 nicht zu empfehlen 
 Oct 7 2009 	 Buen trato del personal 
 Sep 12 2009 	 de los mejores hoteles para visitar Londres 
 Sep 9 2009 	 Lo Recomiendo Con Observaciones 
 Sep 2 2009 	 Malos colchone 
 Sep 2 2009 	 Nuestro alojamiento de Londres 
 Aug 27 2009 	 estupendo hotel 
 Aug 25 2009 	 Genial 
 Aug 23 2009 	 Elegante acogedor 
 Aug 13 2009 	 Estoy deseando volver 
 Aug 11 2009 	 Hotel Bueno Pero Muy Muy Caro 
 Jul 16 2009 	 très bon hotel ! 
 Jul 15 2009 	 Schönes Hotel Superlage 
 Jul 14 2009 	 Calidad para grupos grande tiene wi - fi gratis 
 Jul 3 2009 	 una decepción 
 Jul 1 2009 	 Todo Right 
 Jun 29 2009 	 muy bueno 
 Jun 24 2009 	 Sehr zentral ! Empfehlenswert ! 
 Jun 18 2009 	 planta level 
 Jun 17 2009 	 Magnifico trato 
 Jun 9 2009 	 une bonne adresse 
 Jun 7 2009 	 schöne Hotel 
 Jun 5 2009 	 très bon rapport qualité - prix 
 May 20 2009 	 estupendo 
 May 19 2009 	 level deja mucho que desear 
 May 7 2009 	 Melia White House nel cuore di Londra 
 Apr 28 2009 	 superbe 
 Apr 26 2009 	 Habitacion pequena precio caro desayuno normalito . 
 Apr 25 2009 	 Sin duda repetiría ! ! 
 Apr 9 2009 	 Familienhotel 
 Mar 20 2009 	 ideal para españole 
 Mar 8 2009 	 de lo mejor 
 Mar 5 2009 	 Bastante bien salvo por algun detallito 
 Feb 25 2009 	 Buen Hotel seguramente el mejor de un cadena española en londre . 
 Feb 3 2009 	 Buen Hotel barato pero cómodo bien situado . 
 Jan 26 2009 	 Melia white house londre 
 Jan 9 2009 	 Ottimo hotel 
 Jan 6 2009 	 un hôtel cher pour la qualité offerte 
 Jan 3 2009 	 bom hotel 
 Dec 31 2008 	 gusta mucho 
 Dec 28 2008 	 Gute Lage Riesenbett 
 Dec 24 2008 	 Buena localización 
 Nov 16 2008 	 eccellente 
 Nov 11 2008 	 Correcto 
 Nov 8 2008 	 super hotel 
 Nov 6 2008 	 Fabuloso hotel en londre 
 Oct 31 2008 	 Bueno bonito barato ( para ser londre ) 
 Oct 30 2008 	 Ottimoooo ! ! ! 
 Oct 14 2008 	 ¿ Acogedor para españole ? 
 Oct 7 2008 	 Buena calidad servico .. Esta bien conectado . 
 Sep 1 2008 	 Perfetto sotto ogni punto di vista ! 
 Aug 15 2008 	 Calidad excelente 
 Aug 7 2008 	 Un buen hotel para una Maravillosa ciudad 
 Aug 5 2008 	 Penoso 
 Jul 7 2008 	 Luces sombra 
 Jun 28 2008 	 hotel maravilloso 
 May 24 2008 	 prendre les service ` ` LEVEL '' 
 Apr 5 2008 	 EPOUVENTABLE 
 Feb 20 2008 	 Melíá : spanisch / englische Gastfreundschaft 
 Feb 4 2008 	 Excelente hotel estancia 
 Dec 11 2007 	 Buen hotel 
 Nov 21 2007 	 vaya al hotel Melia WhiteHouse 
 Nov 15 2007 	 Perfecto 
 Nov 6 2007 	 Sencillamente Perfecto 
 Oct 27 2007 	 Positiv überzeugt 
 Oct 6 2007 	 Calidad SolMelia 
 Sep 4 2007 	 Excelente hotel 
 Jul 15 2007 	 Tal como sale en su página web 
 Jun 13 2007 	 Muy buen hotel Muy buena localización 
 May 27 2007 	 Perfecto ! ! 
 May 17 2007 	 Fantastico 
 Jan 24 2007 	 Un hotel muy recomendable 
 Jan 16 2007 	 Un hotel excepcional 
 Aug 19 2006 	 Un excelente hotel 
