Nov 	 not want check ... 	 perfectly situated , reasonably price comfortable apartment ? ! ? gem . back ! 
 Jan 1 2008 	 Fantastic ! ! ! 	 stay 5 day Dec 07 . standard room 17th floor . room good size amazing bathroom . window floor ceiling , make room feel light open , nice view . bed comfortable ! location fantastic . less 5min walk Hancock Tower & amp ; Mag Mile . the staff efficient , friendly , helpful , especially concierge desk . we use hotel restaurant , bar room service , can not comment those . there free internet access 2nd floor , could sometimes get busy , handy quickly need check e - mail etc . book direct use Sofitel website pay roughly £ 100 per night , lovely hotel fantastic location , opinion bargain . 
 Dec 21 2007 	 Modern Beautiful 	 stay five day October 2007 , standard room . check process swift deskperson provide we map useful advice realize tourist . even suggest place avoid , appreciate candor . our room beautiful tiny gem , floor ceiling window . bath large , equally attractive , awesome rolling barn - style door . bath layout open , 's much privacy , though size room could permit separate toilet area . there several computer free internet access business center free fitness room nicely equip . check bathroom second floor near conference room -- wow ! .Overall , find design , location , service excellent . room expensive ( ~300 / not , find good deal Sofitel site ) , suppose 's bad Chicago . because tiny room size , suggest switch flat screen tv . tv take nearly entire table foot bed , make room feel cluttered cramp . certainly not detract stay though ! 
 Dec 19 2007 	 wonderful stay Sofitel 	 stay Sofitel brief getaway . check service prompt exceptional . give early check celebrate special occasion give chocolate cover strawberry ( nice touch ) . room tastefully decorate . location great , one block Hancock bldg . departure late check . bellman prompt concierge extremely helpful restaurant advice obtain last minute reservation . hotel truly deserve one fine rating city . 
 Dec 19 2007 	 Luxury respite cold 	 really love hotel . November Chicago cold expect make nice return day sightseeing quality hotel . feel cosy - really nice bed bathroom feel home 4night stay . staff friendly . good central location walk metro stop near . great view room great design building mean easily recognisable amongst skyscraper return home end day . shop around good price worth ! 
 Dec 19 2007 	 Wonderful hotel 	 week stay Sofitel November . find hotel wonderful , decor overall look hotel nice . one thing particullary like every evening lobby light scented candle , smell gorgeous give really nice feel . the room good size clean bathroom great shower . bed like sleep cloud ! location , right we . be short walk Michigan Avenue aound corner subway stop . north hotel , rush street really good bar restaurant . overall wonderful stay Sofitel , could complain , definately recommend ! 
 Dec 16 2007 	 Luxury hotel 	 great hotel , especially money . nice size room ( book standard ) , great treatment staff , plenty fast elevator , excellent food restaurant - someone complain portion - note Sofitels french chain receive french portion - want stuff Fogo de Chao excellent Brazilan restaurant far away eat eat eat ! love location block two Hancock building - great shopping roam part city - walk Navy Pier one day Daley Center next . 's McCormick & amp ; Shmick be right across street - Bistro 110 next block - list go ... would stay heartbeat give complete review let note thing may may negative : old tv 's - pay internet room - pay $ 40 / day parking - bed fabulous , ask receive soft pillow top sheet provide wonderful comforter - mouthwash provide - coffeemaker room free morning coffee cafe - lounge / bar popular nearly impossible find seat 7 pm - tourist info room ask conciere - question concern anything , ask & quot ; focus manager & quot ; - hotel service friendly - may ask . 
 Nov 28 2007 	 absolutely great 	 absolutely fantastic stay Sofitel Hotel Chicago . room amazing city view stunning ! staff friendly time clean receiptionist kind . room especially bathroom spacious . definitely regret stay long New York Hilton totally overprice average . definitley recommand hotel . way food also great price reasonable . location fantastic 1 2 block main shopping street . great hotel great room , great location , great staff also great architecture . 
 Nov 24 2007 	 Excellent hotel ! ! 	 spacious room , , comfortable bed , attentive service hotel staff would everything help . I could recomend hotel highly enough ! ! 
 Nov 23 2007 	 Sofitel Chicago Water Tower = Top Notch 	 fantastic stay Sofitel Chicago Water Tower . service perfect room clean tasteful . hotel ideally situate near Magnificent Mile taxi always disposal around corner hotel explore city . staff friendly utmost make stay pleasant possible . highly recommend hotel business leisure traveller . 
 Nov 22 2007 	 Fantastic ! 	 recently stay Sofitel four night thoroughly impressed . husband & amp ; along 2 child ( age 11 & amp ; 13 ) town family wedding & amp ; choose Sofitel reading review trip advisor . hotel surpass expectation area : service , ambiance , convenience & amp ; comfort ( king size feather mattress incredible ) . book king room city view upgrade king suite sofa sleeper check . 2 room suite huge & amp ; wrap around view city . even provide extra twin feather blow bed charge kid not want sleep together . anytime call roomservice , housekeeping , concierge front desk respond promptly , professionally & amp ; instance go & amp ; beyond call duty . husband & amp ; travel quite bit world & amp ; hotel definitely top 10 list . Cheers Sofitel ! 
 Nov 7 2007 	 Attention detail great package 	 book romance package Sofitel.com , little grand weekend perk well worth price . travel often Sofitel make wife relaxed . seem like star align everything perfect . early check , dinner hotel restaurant , suite perfect - feather stuff bed , seperate living area , giant bath . european feel . Location Chicago perfect - walk distance lake shopping , short cab district . Ill recommend hotel friend travel city . 
 Nov 6 2007 	 spotlessly clean well locate 	 great bathroom , amazing bed good service . I couple issue like gorgeously present woefully small dinner portion Cafe de Architectes resolve manager soon bring attention . must coffee A.M. complimentary guest cafe . tell check also take care immediately bring manager 's attention . , folk really responsive want complete satisfaction .... ask anything need . hotel luxurious room quiet nice view . will stay .. 
 Oct 29 2007 	 Perfect room location 	 three night stay October 27 , good rate Orbitz . nice , clean , fresh room . separate shower tub full size bathroom . comfortable bed . tv need upgrade channel choice . helpful staff outstanding service . great location Mag Mile , dining , site seeing . would definitely stay . 
 Oct 29 2007 	 nice stay Sofitel ! 	 husband stay 5 night anniversary trip April . hotel location perfect walk Michigan Ave . shopping / eat area . also , little market cafe ( Goddess Grocer ) north Wabash delicious breakfast quick lunch item . sofitel also short walk many public transportation route not need get rental car . staff amazing , friendly ! put chocolate cover strawberry lovely card room wish we happy anniversary . even let we check late 3 pm accomodate late flight home . room clean ( although small ) , bed comfortable amenity plenty . bathroom separate tub shower tub tiny shallow , relax . overall nicely design , superb staff excellent location , back ! 
