would 	 reason stay location . service not great , room so - so amenity average . afford go somewhere else , please . 
 love location room 	 good experience stay hotel , location excellent times square , experience good , would like stay hotel . 
 Great Location Great View 	 stay Millennium Broadway 3 night 22nd November . hotel simple find access 44th 45th street entrance . location could barely well , right next Times Square ( room overlook 30th floor , amazing ! ) close transport link . check quick efficient although need hotel service , appear staff always hand quick helpful . room good , huge bed , large flat screen tv ( room much watch ) good furniture . bathroom character low side bath ( remind 50 horror movie bath , quite charming ) . downside tea coffee make facility although short coffee shop outside hotel ( starbuck every corner ) . good hotel , fantastic location well worth stay . 
 fantastic location quiet safe however room / hotel need update 	 go Macy 's Thanksgiving Parade careful consideration choose hotel due 's location ability book one room family four . location great , step Times Square , yet quiet alley . it also close major attraction include Broadway theater Rockefeller ctr . price reasonable consider fact major holiday ( book Venere.com ) . room small comfortable , tiny , like room NY , 2 bed assume feel much big one bed . big flat screen t.v fairly comfortable ( bit hard ) bed . though clean , carpet stain bathroom need major remodeling fan , old fixture , etc . much housekeeper do . check front desk friendly accommodating , upgrade we premiere room per request , practically room high floor well view . it lobby , character like one review state . coffee room starbuck next door . this perfect hotel someone look clean place good location rest tire day outside . seem favorable family group woman , rightly , since safe ( doorman late hour ) relatively quiet ( ny ! ) . hotel offer concierge service bell man , feel like cater self sufficient tourist like . time use service friendly , helpful , professional . Plaza , crummy little hotel believe Millennium Company decide give face lift deserve price hike accordingly . check Patzzeria Pizza ( incredible ) Margon ( cuban food ) near . 
 great tourist location decent accomodation lack character 	 Millennium serve need well . mainly sightseeing , although event attend Madison Square Garden . locate half block Times Square , hotel also within easy walk distance Rockefeller Center subway . room 34th floor offer view Times Square ball . room comfortable decent size NYC . bathtub need refinish . flat screen television fine -- remote basic without sleep option function expect . bath product restock daily bath robe fan expect premier hotel . not dare open refrigerator fear charge one friend put Coke get elsewhere . I not rude interaction hotel staff . seem somewhat aloof chip shoulder . millennium lobby basically run somewhat narrowly street entrance 44th 45th street . hotel desk , concierge desk , bell desk , restaurant , small seating area . really expect large lobby sit people watch lack . seem lobby passageway lack great character elegance . would stay , location can not beat . 
 good location 	 stay hotel three night attend conference hold nearby hotel . pay conference rate ( $ 269 + taxis per night ) , think reasonable location . room spacious well furnished . 6 - outlet power strip work desk , convenient . king bed comfortable . AC noisy . stain spot carpet housekeeping apparently vacuum room everyday stay . luxury hotel ; tourist hotel opinion . , expect much hotel , would get disappoint . 
 Jan 4 2008 	 Fair good location Mosquito 	 stay hotel October , 2007 . impressed location ( be location right midtown ) , impressed service . a couple thing : - seem mosquito sort room . big deal ( tend brush review read overly specific like ) - feel like could not find anyone would able bring sort mosquito repellent / burner room . call housekeeping get response . first time not able reach someone 24 - hour hotel service these.- internet around $ 11 / day . perfectly reasonable . thing , ask procedure , connect etc . , give differ advice front desk staff , ' business center ' phone tab , etc . room huge fair term cleanliness . would hesitate choose choice similarly - price hotel , location something consider . 
 Jan 3 2008 	 ! 	 stay hotel dec29th - Jan 2nd get hotel priceline save alot money . get stick room two twin bed , light work . could hear traffic room stay 27th floor . keep night pretty annoying . location hotel thing really like . get ready plan New Years open window could hear band warming perform . pretty cool . 
 Jan 2 2008 	 not get excited ....... 	 stay many London property , quite look forward stay Millenium Broadway New York . truly disappointed . first room give inter - connecting door another room ' lock , light bulbs bed looked ship nearest hostel . after complain receptionist clearly incapable communicate language , give ' upgrade . ' curtly tell hurry clear luggage unwanted room guest would arrive shortly . new room dodgy much stuck eighty . reception nothing call strange time , 3 am example , ask would like reserve table breakfast . never , ever perfectly honest , poor , poor show . 
 Dec 30 2007 	 unbeatable location NYC polished hotel 	 Refreshing hotel bargain price via hotwire . ' ve NYC probably 15 - 20 time weekend partner live close city ATM take advantage . weekend prior Crimbo decide book friday saturday could party without worry travel home . hotel bargain $ 200 night via hotwire . think steal period 21st-23rd dec . staff fast pleasant room perfect size romantic weekend . large bath corner room two window face different direction time square . security seem good prompt key entry hotel every time . great eatery really close breakfast bar couple last beer bed time . parking not outrageous $ 45 24hr , really be not bad NYC . con : guy take age get car back check bag early prior check awefully long q . do not effect we arrive late . great time , although didint depend hotel service .. NYC . 
 Dec 30 2007 	 Good Location - dissapointe everything else 	 book hotel Priceline - save 40 % - really look forward & quot ; 4 star luxurious NYC Hotel & quot ; . arrive hotel , doorman not feel like vallet parking car suggest use parking lot across street . long line check , nearly enough staff . finally get room , seem little tiny ( NYC ) , bathroom decent size . not exciting Time Square view , okay . try call downstairs question request could never get human telephone . go downstairs see hotel staff could help we get taxi - guy outside say & quot ; cab scarce , guy take limo car $ 25 & quot ; . unfortunately unfamiliar area / cab price agree . way back hotel , take regular yellow cab $ 11 - hotel guy charge we double . get back , drink hotel bar little outrageous - $ 12 glass wine . get back room around 10 pm could still honk traffic noise , get quieter not bad . really disappointing breakfast hotel restaurant downstairs . make reservation - not need - not crowded . food obviously overprice ( hotel restaurant ) pay $ 15 pancake ... service extremely slow really ball . ask 4 different people span 40 minute glass water . really disappoint frustrating ! check process also long ordeal - complimentary guest baggage storage also little shady - basically put cord suitcase leave lobby - quasi attend . nobody could probably walk away suitcase , someone certainly could walk away content suitcase . overall , hotel ehh okay . certainly would not pay full price disappoint pay amount . look location not really care nice hotel decent food / service , not mind price tag - would work - minute 's walk Time 's Square minute walk Broadway show . be look nice get away somewhere little special - keep look . ' ve stay Hampton Inn 's 10 time luxurious enjoyable hotel . hope well experience ! 
 Dec 29 2007 	 Christmas Millennium Hotel 	 stay December 20 - 27 . book Travelzoo get great rate . room 39th floor great view Chyrsler building . room large , clean , comfortable . hotel staff great . street level noise not bother much . would stay Millenium Broadway would hesitate recommend hotel other . starbuck Cranberry 's step away 45th St. use two store buy coffee , breakfast snack item . eat hotel restaurant great room service breakfast Christmas morning . Recommend Johnny 's Pizza 45th quick delivery great pizza . 
 Dec 28 2007 	 Location superb ! room Clean . 	 agree several PREVIOUS reviews . room nice enough ( 4 – star room , clean New York Standards LARGE ) . location star . view could well . literally right top Times Square . property ½ block center TIMES SQUARE . room clean . bed ( king ) huge . although much activity , noise problem ( request high floor ) . hear two siren fall asleep . the lobby quiet , unlike Marriott Marquis , Milford , Times Square property . security check room key night avoid intruder , make we feel safe . check - in quick without problem . check – out , however , virtual chaos . line baggage storage extensive ( use bell hop $ 10 tip avoid line ) . however , come claim luggage 5 pm day , luggage store open lobby without locked . ' lose anything , ' seem good plan . may want arrange return flight check - out , possible , rather stay rest day . unlike previous reviewer , find driver Town Car LaGuardia efficient , pleasant , $ 40 plus tip ( pretty nice deal , car clean ride smooth oppose usual yellow cab experience $ 30 ) . guess driver hit - or - miss . overall , agree 3.5 desigantion give previous review . 3 star hotel , 5 star location ! 
 Dec 28 2007 	 Great Location Decent Rooms 	 stay Millenium Dec. 21 24th . arrive early flight Los Angeles , hotel able check we right away 7:00 a.m. hazzle . great central location , local eatery nearby near TIMES SQUARE . Room stay sized accommodate King Size Bed two side sofas side table . room good furnishing bathroom marble top . room , would say tad tiny , big european sized hotel . stay room husband 6 - year old son . , good prize . find good deal travelzoo able book $ 199 ( original price $ 394 ) . pleased price , location , room general . generally walk place . Felt safe walking area , even night . see two show end around 10:30 p.m . 
 Dec 27 2007 	 good location ok room 	 pricelined good deal around holiday . Place sell . ask king , 2 twin non smoking . go king smoke . acutally bad . guess many people smoke anymore . discount / extras / general acknowledgement inconvinience though . location right Times Square , good touristy stuff . whole place look fairly date . would edgy trendy ... mid 1980 's . room ok . large enough quite good NYC standard . bed nothing special , bathroom . adequate , clean , stunning new . definately need makeover decoration wise . stay Millenium property UN MUCH nicer . update room , pool , quieter neighborhood . priceline deal happy . pay rack rate , would disappoint . price , would expect Westin type experience . good decor , outstanding bed , good service . note fairmont experience , neither price . really Marriot / Radisson type place . adequate . clean . stunning . 
 Dec 15 2007 	 's really 3.5 Star hotel 	 stay hotel least four time year travel New York business . especially like fact standard room large compare NYC hotel room cool art deco look . also , fitness center excellent hotel . 4 star hotel , good value tourist look stay close Time Square . well hotel NYC ? well yes , price hotel good choice . 
 Nov 30 2007 	 nice hotel never use driver 	 Nice hotel , great location decent room , poor showerfood restaurant goodwhat completely wrong place doorman less insist use driver . actual car order , driver drive aggressively ( different yellowcabexperience ) even provide receipt . Yellowcab Mid Manhattan JFK cost flatrate 45 usd , rollercoaster experience cost 60USD consider several occasion step . not understand hotel run risk loose client small benefit . 
 Nov 29 2007 	 room great 	 book room week advance travelzoo special go NYC overnight go see Les Paul Iridium brother . corner room 47th floor overlook time square 2 single bed . clean , update , bed great , problem , complaint . call remote tv . check easy , great rate , location perfect . would definately go back . might bit small , actually like small room . coffee maker . soaps nice . 
 Nov 26 2007 	 great location great hotel 	 love hotel . location great . room times small size depend get can not beat location . room clean good amenity . everyone always nice helpful 
 Nov 24 2007 	 Thanksgiving week Millenium 	 husband stay Millennium 5 day ( Nov. 18 - 23 ) . get good deal Travelzoo ( $ 199- $ 249 night ) . book want near Times Square Broadway . pro : location near Times Square Broadway , although due strike not get chance see Broadway show hope see . also short distance Rockefeller Center Radio City Music Hall . get see Rockettes Christmas show great ! staff nice helpful we . check - in easy fast . housekeep good job cleaning room , everybody encounter helpful nice . con : coffee maker room hotel not offer complimentary coffee lobby either . tv remote work well . need internet access business center , cost 25 cent minute ( print additional charge ) . New York , buy ticket downtown hop - on , hop - off bus ( Gray Line Tours ) transportation 3 day ( ticket valid 48 hour ) . want get away madness Times Square , recommend take stroll Greenwich Village . 's much calm slow pace plenty . look cheap place eat , go Papaya Dog ( hamburger , fry drink $ 4.95 ) . overall , pleasant stay hotel . would recommend , find kind promotioanl offer . 
