disappointing 	 always hear Cumberland Hotel many visit London never stay despite dine marvelous restaurant bar area within hotel look delightful especially night . tell room would upgrade room extremly small , dark pokey ... could barely move luggage .... maybe 3 m x 3 m . glass divide bath room bedroom hate . complain ask room change aseperate bathroom . arrange also small standrd 4 5 star hotel . spend evening lobby nice part . 
 great location 	 get back great weekend Cumberland . book double twin room checking , receptionist unable find two room floor call manager , upgrade we kingsize . pleasant surprise totally unexpected daughter age 17 12 although would inconvenient different floor we , be not major problem . can not comment food do not eat hotel . location fantastic . round corner tube station opposite Hyde Park Marble Arch . Saturday buy day travel card £ 17 we great value , tube fare London expensive pay journey . Sunday , go shop able leave case hotel , walk Oxford Street walk back . drawback hotel come leave , bit queue front get taxi although queue move fairly quickly , hotel size quality perhaps taxi rank great weekend . one thing , bed comfy ever hotel 
 enjoy trip staff could nice ! 	 daughter book hotel surprise trip . warn expect much way room size & quot ; London room small & quot ; wrong ! ! room right we . build away main hotel , quiet not like glass door not fit bathroom ! staff helpful - book dinner bistro check , find receptionist forget . breakfast arrangement chaotic . staff helpful . want poach egg , go counter order , tell go another one , went tell go back original correct one - one ! ! ! get scramble egg instead ! ! enjoy stay London , would stay hotel would go elsewhere eat return . 
 Oct 15 2007 	 Canteen Breakfast 	 agree reviewer write poor standard mean de - luxe room . price pay b & amp ; b £ 232.00 room average standard room . rang complain offer another room next floor big little decorative , still nothing like picture website . breakfast , serve aptly name Market , like school canteen , formica top table tea coffee serve rove waitress vacuum flask ! . definately 4 * experience . vastly over - rate hotel . would go . 
 Oct 9 2007 	 ok problem ! 	 well book direct hotel group reservation line get good deal , well hotel web site usual line hotel web site good price hotel location . hotel massive ! easy navigate around , poor signage bt get end . very friendly eager please checking , room okay . modern fine . specify bath carefull .. problem ! hotel wisdom open night club call & quot ; carbon & quot ; basement low ground floor ! alert ! ! ! ! ! ! shut saturday 3 am ! hotel window 4 floor directly entrance ! explanation require ! could hear every tune drunkard kick 3 am ! hotel seperate block find stay go club ! funny thing even leave flier pillow nightclub ! also problem breakfast ! , problem actual breakfast plentiful quite good actually queue sunday morning huge ! half hour get table ! shame spoil two fault otherwise fine ... 
 Oct 6 2007 	 impressed 	 Stayed Cumberland business impressed moment enter hotel . lot small , unacceptable point make unsatisfying stay hotel.- staff incredibly rude , unhelpful dismissive.- room fine really small.- somebody walk room 6 pm night ( get show ! ) . also happen colleague stay too.- drink ridiculously expensive.- corridoor unclean ( e.g . chicken bone , imagine leave dinner service , lie carpet outside room ) - every time go room key not work , go back reception ask reactivate it . I think annoying attitude staff question , concern etc . 's shame hotel good location Oxford Street etc . , will not stay . 
 Oct 6 2007 	 Great Location ... 	 really sure people feel need complain small thing . e.g yes drink expensive hotel , drink expensive hotel ? ? hotel room lovely , comfy pillow bed , full size mirror gorgeous bathroom , wonderful view ... pipe roof ! ! nice , would not say would feel need complain go london look window ! ! hotel room hairdryer , iron board , fridge , safety deposit box kettle ! ! hotel big open lobby light change colour thoughout day smell lovely ! alot people seem promblem staff find helpfull , find staff helpfull considare leave mobile , find send home address.hotel good location shopping hyde park really nightlife , what s harm long walk ! ! would stay ? ? oh yes ! 
 Sep 25 2007 	 Loved Cumberland ! 	 book Cumberland last minute disappointment another hotel . Cumberland disappoint . staff eficient friendly . room comfortable ( huge plasma tv ) one comfiest bed ever sleep ! location excellent , next Marbel Arch tube , many bus route outside door . convenient shopping Oxford Street Regent St. would advise anyone visit make good use efficient inexpensive bus well Tube . also - afford room view Marble Arch Hyde Park , be worth extra ! 
 Sep 23 2007 	 Loved Cumberland Marble Arch Oxford Street 	 really like Cumberland hotel ideal location right Oxford Street . stay one week partner really enjoy stay . close many nice place e.g . Oxford Street , Bond Street , Regent Street Picadilly . underground stop Marble Arch right next hotel . room spacious nice . Decor scandinavian . bathroom excellent . staff nice . celebrated new year night walk London Eye . night remember partner . book online two month advance get incredibly good rate . would love go again . cheer 
 Sep 15 2007 	 Mixed Feelings Cumberland Hotel 	 return Cumberland Hotel today . great location Oxford street area London via tube . large hotel modern style appeal large corporate party conference . plenty staff cater large number client stay hotel deliver service quite satisfactory however expect personal service never know , etc ... bouqitue hotel service second none ... room number ! upgrade king size room ( happy ) however build next door throughout two night stay bed linen room previously ( guest stay room we ) leave front door everytime go room stumble upon time . give 24 hour remove ( fair ) however initiative ask reception dispose .... outside room across corrindor we ... need say anything ? ? ? ? 
 Sep 13 2007 	 lovely hotel 	 hotel lovey stay end lovely . book last Minute arrival hotel tell booking . 45 min stress finaly speak man front desk helpful upgrade we free ( already pay full last minute ) . room lovely quiet . make stay enjoable becaue upgrade work good value . hotel really expense though shot spirit pay £ 7 ! ! ! ! ! do not drink would advise . lovely hotel would recommend . 
 Sep 10 2007 	 terrible service guest disability 	 return stressful stay cumberland . hotel great location trendy inside lobby plus smell gorgeous.however companion patient mine wheelchair tell room would ready 12 pm double instead twin bed ! take 4hours 20 min 2 room eventually get room twin beds.we 10 min get ready night west end.when get back room across casino / nightclub hardly sleep due noise.i find one fluent english speak national hotel find level service poor.the breakfast amazing morning lot choices.i feel disappointed despite careful planning advance communication hotel could provide twin room take long time rectify situation poor attitude understand staff.unfortunately patient probably never able go london feel angry spend afternoon try get room twin bed . 
 Aug 27 2007 	 pretty look ... 	 hotel boast 5 star pretty lobby bar restaurant , service great -it extremely expensive get . room pretty tiny , shower leaky general maintenance outside splendor lobby area need real work ( though room housekeeping fine ) . food price anything else dare purchase hotel outrageous . make 9 minute phone call room cost 22 pound ( $ 45.00 american dollar ) - local call . strike oil lot money place suit well , otherwise keep look . the good side conveniently locate tour bus , London site . 
 Aug 21 2007 	 Brilliant location 	 read previous review hotel feel relate view . sister go girly weekend , stay 2 night . arrive early 10.30am expect room ready . receptionist nice offer we room overlook inner quadrangle ready wait room well view . go room ready . large room 2 four foot bed . not view plenty light . bonus fridge store booze ! ! ! ! breakfast awesome . well worth visit . would return hotel 
 Aug 16 2007 	 Disappointing 	 stay Cumberland birthday treat weekend , really disappointed hotel . nice look extremely well locate , however , service poor , shame give goldmine could sit ! would stay . fussy come hotel think people exaggerate bad service . give stay overnight want enjoy much look forward trip London , realise lovely decor nice , good location , good service really make difference . example - arrive early check able register leave bag tell could get key room 2 pm ( btw check - in take forever ) . go shopping return early evening pick key . queue 20 minute greet ( overly enthusiastic ) man reception tell we one room available 4 we would share room come back hour see room become available . apology ( fact transpire staff not think ordinary ) reason give lady register we allocate room fully book - still clean room 8 pm ! actually want leave hotel evening birthday meal hang around waiting room ( try take turn bathroom ! ) go happen complain acceptable ( another queue ) give check 2 pm . immediately give room ( could not happen ? ) complimentary wine fruit basket . however , second room book . point give complaining decide make well little evening leave . really take precious time short weekend . birthday treat book look like really nice hotel ( stretch afford ) wish book cheap hotel . hotel stay London , money want similar style City Inn Westminster fab . look affordable hotel , Radisson SAS Portman comfortable decor , cleanliness great staff ( round corner hotel ) . 
