dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 Aug 30 2009 	 Beautiful Hotel 	 venetian amazing hotel ! check problem , probably arrive 1:30am delay flight wait pick car rental . say get view strip , get view pool instead . problem . much time total spend room anyway ? room clean arrive never problem housekeeping . probably could left 2 towel though . find nothing break damage room , everything work order . ' ve read review people like flowery smell hotel , actually not mind . be strong first walk say , fact smell well enter door hotel . though get use not even smell anymore . noise hall . careful room door heavy close hard . one thing could use improvement valet service , be little slow side . another thing casino pull David Copperfield make money disappear , be amazing trick . ha . would absolutely stay heartbeat . also get amazing travel agent rate $ 99 / night could not beat . would absolutely recommend hotel anyone ! 
 Aug 30 2009 	 room 	 hotel room luxurious . 3 tv room , big sofa , good big bed also outside insite hotel unbilievable 
 Aug 29 2009 	 venetian great hotel ! way well Bellagio ! 	 stay venetian top notch . treat first class soon arrive hotel airport . Staff take care bag direct line checking . although long snaking line infront we counter matter minute . ask room venetian tower ( modern decor Venezia ) high possible close elevator ( nothing bad outside builide hoof elevator every time need leave room ) . get room 24th floor three door center cooridor ( could hear elevator ) . although pay extra strip view room get nice partial view . the room amazing . large , beautifully decorate , comfortable bed . one good sleep vacation ! breakfast Grand Lux Cafe step elevator main floor . wonderful Express Breakfast $ 15 lot choice ( Omlettes , baked good , cereal , fruit , coffee juice include ) eat . good value . also show venetian see Phantom Jersey Boys ( Palazzo ) . would recommend anyone . the question always get ask ? stack Bellagio ? would recommend Venetian without hesitation . ' ve stay Venetian Bellagio within 3 month find venetian far superior . bellagio public area always crowd gawk tourist always seem way . bellagio room , although nice , luxury Venetian . also , show offer Venetian / Palazzo second none ... nice travel strip take wonderful entertainment . if give choice , try Venetian . will glad ! 
 Aug 29 2009 	 beautiful resort 	 first visit Las Vegas , husband choose Venetian Resort anniversary . we stay Venezia Tower Venezia Bella Suite . bit surprised first enter room , large beautiful outdated expect view suite online . room look like Venezia Luxuary room online . other , suite , hotel & amp ; pool gorgeous excellent service & amp ; amenity ... there s nothing could ask , resort & amp ; ! 
 Aug 28 2009 	 venetian view Mirage Treasure Island Trump Hotel . 	 read comment traveller tripadvisor trip helpful . instance ask taxi driver take freeway hotel , therefore airport venetian hotel cost $ 22 exclude tip . advise tripadvisor fellow traveller tip $ 1 / bag taxi driver . notice difference fare go home venetian airport Thursday August 27th , 2009 , husband deliberately not ask taxi driver avoid highway fare end $ 29 exclude tip baggage handling . know difference definately insist driver talk alternate route freeway . the husband sign player club membership venetian order early check . $ 20 sandwich photo i d credit card ask high floor possible beautiful view . front desk clerk quickly say & quot ; course & quot ; big smile . original reservation venetian suite type : Venetian Rialto Suite - 2 Queen bed $ 20 sandwich get room # 15 - 205 high enough see part Mirage hotel , Treasure Island Trump hotel hotel pool downstairs courtyard . our room next storage room quiet time plus not see anyone come go four day stay hotel particular floor . quess either many people know sandwich bribe not want pay extra money . print reservation sheet list suite type say & quot ; Venetian Rialto View & quot ; would cost -+ $ 80 per night view , quess worth it . we room nice spacious three kid run around , two 42 & quot ; 50 & quot ; flat screen tv suite one small flat screen tv bathroom . remote control window curtain cool . the bathroom big average size bedroom suite approximately 1,300 SQ FT give take . our first night , insist eat Treasure Island cost we $ 66 's worth selection food much choose from . the next morning decide try day buffet Excauliber , think 24hours buffet 's day buffet . pay get braclet 10 am come back anytime eat 10 pm day . travel back forth venetian Excauliber take roughly 40 minute way even though take monorail well . monorail cost $ 13 / person 24hour unlimited kid 5 ride free . we get lose Excauliber sale person approach we ask interested buying one show would give we good price it . the catch attend 3 - 4hours timeshare presentation 15minute outside strip . promise four ticket see & quot ; tournament king & quot ; $ 50 upfront receive show ticket complete presentation timeshare . buy ticket Excauliber ticket booth would cost $ 65 / person include taxis . think 's bargain , think probably scamme something . sale agent ask series question : homeowner , married , family income , citizen , read write english question . show next morning get timeshare bus Exclauliber hotel many people sign too . when get Grandview timeshare preview center assign sale agent , pressure make sale pitch.the mirror image side side b suite would cost $ 41,000 US monthly payment would $ 2700 / month . next person pass onto sale manager another co - op four hour later reject sale pitch wait another waiting room . another person ask fill questionaire issue ticket show want . even though attend timeshare presentation save we $ 200 show see & quot ; Tournament king & quot ; time consuming feel like sale manager pushy make go many people get ticket . not mind waste four hour vacation time save money show otherwise not go . the Tournament King dinner show set med evil time oval arena everyone sit eat enjoy one half hour show . serve mug pop drink , entre one small chicken fry piece brocoli sweet pie dessert . show overall okay would not pay $ 65 per person go see . 
 Aug 28 2009 	 World Series Poker Tour 2009 	 Superb Hotel ... nice Suites , good Service ... perfect Pokerroom 
 Aug 28 2009 	 Hotel capture essence Vegas 	 good Hotel . look Hotels Strip , one good . positive : family suite 4 : spacious well design room . ' right ' part town , famous ' strip ' , in - house entertainment plenty , well many entertainment nearby . family friendly . negative : Qs check / out Vegas , suspect . Phantom lift musak drive we potty end 5 day ! fridge one charge lift object , unable use thing . could hire one cost . fitness centre costly ( $ 40 / day ) 
 Aug 28 2009 	 never - well place strip 	 room pool gorgeous , worth poor service . the first night everything fine . the second night toilet break tell we upgrade different room . wait 30 minute someone call we back end call front desk time finally send someone help we bag take we new room / bring new key . room upgrade could tell hotel normally rent room guest . dirty , old , wear even Dora Explorer sticker stick sink . refuse stay call front desk switch room 2nd time . tell we would 30 minute would call we back . one call we back 45 min call front desk tell new room not ready . tell we would give we call cell ready . wait around another hour go . 2:30am arrive back go front desk . FINALLY someone help we find we new room remainder stay . upset lie we & quot ; upgrade & quot ; never call we back night . upon checkout mention ordeal offer we free night Palazzo next time come back Vegas . refuse . well place stay strip . this suppose five diamond hotel expect much well . 
 Aug 28 2009 	 good location great accomidation 	 stay friend attend wedding . good choice home base . great location comfortable accommodation . bit pricey deal . 
 Aug 27 2009 	 Best Hotel ever 	 one favorite hotel ever . one luxury hotel , room form suite , locate strip Vegas . also offer good show Vegas include huge mall numerous bar . love hotel well . Suite huge extremely comfortable . 
 Aug 27 2009 	 excellent many way 	 fantastic location , spacious nicely decorate suite . problem 's busy hotel , room occupancy turn - around obviously quick therefore room clean . unfortunately notice have settle , therefore late tired request different room . 
 Aug 27 2009 	 Beautiful noisy outside airconditione 	 undoubtedly venetian beautiful classy hotel . treat , husband decide spend one night ( save money previous night New York , New York Hotel , perfectly acceptable ) , disappointed realize room fastidiously noisy outside casino airconditioning . call front desk immediately efficiently give another room opposite side building well , really quiet . really , want pack suitcase one time ? opinion stay venetian great value money , could not spot really dramatic difference quality service compare much affordable hotel like New York , New York . moreover , enjoy sight Venetian also whithout sleep , admittedly fake Canal Grande , Palazzo Ducale , Ponte di Rialto Campanile great fun visit , especially be Italy like . 
 Aug 27 2009 	 great fun ! 	 first trip Vegas elect stay thought would luxury hotel mistaken . check fairly simple - take 20 minute - allocate room 25th floor view strip - however open curtain first thing see two crane building site ... expect ! call reception explain book room view strip send bellboy key alternative room .... however turn 10th floor even bad view ( think staff may aware location room ) . go back reception pleasant staff member ( floor plan ) find room view strip oppressive view construction ) 24th floor . if construction go hotel management take look do Venice unsightly construction work progress .... put decorate tarpauline intent purpose completely transform view - would doubt make receptionist job lot easy ... guest experience much pleasant . room spacious seating area , work desk , 3 flat screen tv 's great bathroom ( fight go shower first ! ) . great king size bed comfortable sleep great without disturbance guest floor . fairly peaceful . nice touch electronic control curtain roman blind . charge internet connection room whilst available free charge public area - not quite understand logic anyone could walk use free whilst pay guest pay use room - inconvenient especially people live different time zone ? ? ? on - site facility amazing .... shopping area canal gondola ride run permanent feeling dusk relax really mean need leave hotel unless want change scenery . the swimming pool area lot sunbed although laid feel one large share bed ! ! luckily manage find bed space either side well . pool reception staff good explain everything nice touch . breakfast poolside restaurant one morning ( egg chorizo tasty 17 $ cheap ) . husband ask toast 10 minute tell & quot ; sorry , can not provide mobile toaster move another restaurant hotel - ? ? ? & quot ; however provide bread . strange response level hotel ...... ask herbal tea ... ..... ask cup hot water ... astonish find 0.25 cent charge bill ....... waitress poolside service welcome mojito go well ... lot interest Tao section pool queue get day Tao restaurant night jam pack . fun watch shape posture girl boy queue . ! ! Quite like Duelling Pianos ( new concept we ) receive 50 $ slot credit restaurant discount voucher upon arrival useful although 30 minute queue convert slot credit Club Grazie card bit much ... overall great stay ... hotel location perfect within stroll show Treasure Island , Bellagio Fountains across road Mirage Volcano .... also cesare Palace offer alternative shopping experience . walk Stratosphere find end strip entice .... make sure pay visit Fremont experience ... great fun highlight trip ! ... well worth stay hotel look forward return soon . 
