boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 Oct 8 2006 	 find 	 life fortunate opportunity stay well known expensive hotel . visit Rex start Sept , stay three night wife , daughter partner safely say hotel benchmark treat guest . room comfortable , little small , expect read previous review .However , courtesy , warmth friendliness staff completely different level ever experience . come lobby day , first thing morning like meeting friend ; amazing experience . simlpy could not envisage go different hotel return city . 
 Oct 2 2006 	 Hotel Rex wonderful 	 absolutely love Hotel Rex - location great , close several restaurant , staff absolutely fantastic - help several issue - get husband 's 50th bday , put gift box room . leave early family emergency - Jeff help make arrangement - let we stay room long flight , etc . hotel small - love - not even mind tiny elevator , room nicely decorate , fancy , right . 6th floor , quiet - would think one hotel , full . location wonderful - close walk Macy 's , shopping , China Town , cable car - can not say enough nice thing Hotel Rex - love , would highly recommend anyone . 
 Oct 1 2006 	 fabulous stay rex ! 	 read glow review tripadvisor , husband choose stay rex san francisco . LOVED hotel total gem . staff excellent- super friendly welcoming . suite ( one two hotel ) huge two ( ! ) bathroom . quiet furnishing lovely . location perfect- block two union square step cable car line . could not happy . 
 Sep 27 2006 	 small nice 	 not like take chance , be afraid inconstency anything unknown , hotel . , like small , unique hotel , Hotel Rex good bet . I stay late September 2006 . first , little concerned neighborhood , absolutely problem . plus , Rex maybe block away Hyatt couple block Renaissance , neighboring hotel give reassurance . check great . problem , friendly staff . offer glass wine , nice touch . ( good spicy Shiraz ) .The elevator slow , walk room third floor . old hotel , stairway hall narrow , decor nice . my room small ( maybe 12 x 14 ? ) might say small , think great . bed really comfortable , overall furnishing add nice touch . maybe stay one cheap room , room view -- look onto interior courtyard . not bother though . upon check - out , experience minor issue . hotel ATM machine , need cash tip , plan accordingly . overall , Rex great boutique hotel pretty good location . be use chain hotel , probably not place . 
 Sep 26 2006 	 great spot 	 23 we stay work trip prove great . easy access good San Francisco also accessible bus driver get city work visit . staff really helpful varied request accomodate we beyond usual expect level . 
 Sep 18 2006 	 Excellent non smoking ! ! ! 	 stay past summer 7 night . the good part hotel completely non smoking ! ! plane come late , therefore hotel tell we could not guarantee we non smoking room . relief know go arrive without worry . room comfortable clean . location excellent , close shopping cable car . staff incredible ! ! help we get money back tour never arrive ! book tour different company . include free glass wine ( jus underaged one ) night nice addition . safe quiet would defiantly stay . 
 Sep 17 2006 	 Hidden Gem 	 spend Labour Day weekend hotel , find everything want - nearby action , quiet , comfortable , sizable room mod con , helpful staff & amp ; celebrity spot stay across hall . deluxe room 6th floor , book direct hotel find really good rate elsewhere , hotel match . definitely stay . hot tip - well place breakfast Sears - over - rate . 
 Sep 8 2006 	 Perfect Location fine room 	 start 28 day vacation 3 night Rex . first time SF . comfortable , good location ! big room two queen bed three us reasonable price . also free internet access perfect . see 15 hotel week USA - West Rex one good . use tripadvisor find hotel . check Website hotel : see get .... 
 Aug 28 2006 	 Good Hotel great location 	 Superb location , good bit downtown SF within walk distance even do not mind hike steep street . even though close main action , Union Square , Sutter Street busy , feel away bussle even though you re . hotel cool boutique feel helpful , friendly staff . room nicely do usual refinement , touch small side go low rate . would thoroughly recommend Rex . 
 Aug 22 2006 	 Fantastic Location 	 although decor little tired room slightly small , service excellent staff central location make . staff welcome extremely helpful . bar buzzy tasty snack - not eat restaurant hundred restaurant close . great bar leave hotel - busy night frequent local conversation tourist . try Cafe Claude dinner ( 10 min walk away ) - top class food service reasonable price . 
 Aug 19 2006 	 great hotel avoid restaurant 	 Excellent location . room quite nice extra large bathroom . ( may handicap room come think . ) daily complimentary wine truly free Internet also nice touch . take note website bit misleading regard room parking charge . make sure check confirmation email ! front desk people actually give we discount rate since pointed confusion . a+ customer service ! avoid hotel restuarant . gnocchi undercooked service painfully slow . but overall , fine hotel . 
 Aug 18 2006 	 Hotel Rex great location 	 Hotel Rex centrally locate local hot spot cable car . room well appoint bathroom / toilet exceptionally clean . room however air conditioner mind cause mild weather need cold sleep get room air conditioner . excellent staff room service . very much recommend . 
 Aug 5 2006 	 well 	 idea ' average ' may much different willing settle inexpensive room … however , business traveler , look cleanliness , bed comfort , fast internet , convenience like refrig microwave . view always cherry top rapid reward . picky . okay – Hotel Rex : great design . easy find , white zone park car may full … prepare . valet attendant prompt helpful . always good tip . check fast easy . room : pull sheet check hair . clean sheet ! ! ! Lot ' hole rip . report front desk sheet replace less holy . nice bed – good pillow – smell like hair tonic ! refrig microwave . honor bar bunch ' gourmet ' junk food expensive libation . provide toiletry Aveda . free wireless internet . the free wine reception pour decent taste wine . ' tender nice lovely lady ' Annie . ' meet fun folk bar , enjoy two night reception / tipsiness . café : eat breakfast ok , dinner really good = chicken mole plate ! ! yum . watch room face street lack air - conditioning . get room A / c away street . walk distance Union Square locate amidst ton restaurant . parking $ 38 . add room spend cash . good choice area Hotel Milano Market . rex step rest , worth check least amenity classic décor . 
 Jul 30 2006 	 Great Hotel - Rex 	 absolutely love hotel . 's great location , close everything . room small , elegantly furnished - different many chain hotel . staff friendly knowledgable area . every evening complemenatry wine service feature product local winery . also use free internet service , . would highly recommend hotel anyone . 
 Jul 19 2006 	 great location great staff 	 stay Hotel Rex 4 night begin July 2006 . Deluxe King room decent size enourmous bed take ! plenty room however comfortable - bathroom good size clean well equip . the decor hotel fairly & quot ; old world & quot ; characterful , faceless chain hotel well . decor dark however room small window could do well light general . not massive problem worth note . room cosy homely . the staff excellent - friendly knowledgeable city , help we book tour wish go - word warning : wish go boat trip Alcatraz ( be amazing ! ) book early get full quickly - staff helpful matter . one good thing hotel find & quot ; study & quot ; room contain several computer terminal free internet access 24 hour day . totally invaluable book trip ticket stay . Overall Hotel Rex excellent hotel locate perfectly Union Square - right heart easy access everything could want . one disappointment cleanliness room quite scratch - adequate , bit dusty . we would probably return Hotel Rex second visit San Francisco . 
