absoloutely 	 hotel pefect kid ! kiddie goody include : - color book check - in- fantastic rooftop pool kid - friendly policies- Cartoons elevators- huge ( 500 + sqf ) room plenty room play- close central park zoo playgroundsWe stay SPG point , can not beat ! also love adjacent restaurant ( Seppi 's ) , reasonable price food , especially Sunday brunch ! . 
 great hotel good location 	 second time stay hotel not let ! service always good friendly front desk staff . room spacious average NYC room great view Central Park . Norma 's ( hotel restaurant ) legendary breakfast bit pricey great starbuck directly opposite fab deli nearby . hotel bar lovely serve great prosecco ! burger bar also locate reception infamous , unfortunately not get eat queue always long . hotel concierge service second none , incredibly helpful recommend restaurant aswell book ticket tour . great place stay get good room rate . tip would give avoid room service work pricey , especially many great place eat nearby 
 ask Questions ... beware 	 would not think would ask hotel air conditioning ? 's warmer usual November . hotel warm . check thermostat room say , & quot ; be hot cold , call & quot ; . well , hot . set temperature 69 degree wait wait wait . end finally call . send engineer right . tell we Winter air conditioning hotel ... heat . want room cool open window . ( KIDDING ! ! ) . well , think cold drink mini bar might order . one .. full anything might like . except hotel unplugged ... worry . would willing bring one fee would actually cool drink . room advertise come 32 & quot ; flat screen tv . old Sony Trinitron . good side , midtown hotel terrific location . main desk always crowded elevator seem take forever . next time need midtown hotel , think will try something else . price like four star hotel certainly live billing . 
 Great Location -- Great Place Kids 	 okay .. 2 stay hotel times family ( long weekend time Thanksgiving City ! ! ! ) .. sincerely say GREAT place familie many different reason . # 1 Location , Location , Location . close Central Park , Close Rockefeller Center , Close Times Square , Close shopping list go ... # 2 Indoor pool : okay .. must admit set - up little weird first feel uncomfortable ... get ... INDOOR POOL Manhattan worth kid . Swimming Dinner Pool ... can not beat . # 3 Burger Joint Tons Restaurants close . little one easy meal good food mom dad must . Place Delivers ! . cold beer good burger City ! . pizza delivery Angelo 's Thai food Topaz Thai combine Mac Cheese Room Service great mix . okay -- 5 Stars ? & quot ; french & quot ; attitude staff front desk lack something issue , abilty apologize little lacking ... address issue ( little stuff , like extra pillow , jumble order room service ) not necessarily smile . say , , get way City Le Parker Meridien deliver family Junior Suite nice space family 4 , New York City standard . housekeep pleasant extra tip ever Thanksgiving City -- -Ruth 's Chris Price fixe menu AWESOME . $ 123 family 4 bottle wine ? can not beat ! 
 Better think 	 Hotel nothing special outside check take time , however room nice . see ceiling mold bathroom give old building New York probably expect . nothing personally notice ( husband point ) not affect stay . room quiet well maintain . hotel right behind Carnigie Hall 1 - 2 short block Central Park Madison/5th Avenue shopping . move another hotel half way trip experience two different location , say like Westin Times Square well . 
 Oct 8 2004 	 wonderful many level 	 many conflict review hotel bit worried . side firmly reviewer declare service make get pay for . we pay hardly anything ( relatively ) suite - though bum get view Park ( hotel sell ) , still lovely suite plenty room we teenage boy . sheet nice , pillow blanket good quality - amenity bed good . pull sofa 17 year old ( quite tall ! ) lad sleep firm say & quot ; lumpy & quot ; - sound like check - plus . king size bed firm nicely fluffy goose mattress - cover type thing quite like . bathroom spacious - especially NYC , complaint exhaust fan , steam well half 's shower would fog mirror put cosmetic . toiletry ( shampoo , conditioner , lotion ) acceptable quality , ask housekeep one extra , give passle . guess $ 2 buck day tip maid worth ! blow dryer ( one build job ) actually work well , force water pressure shower . nice hand - hold shower head ( French ! ) addition standard one like use wash . the layout minisuite good , tv swivel face either settee area master bedroom area . particularly fond tv channel selection , , not watch tv home , critique . size tele good ( sure many inch , BIG ) , dvd player nice touch . also appreciate free internet connection , though say Sloooooooowwww DSL - must use lot folk . my complaint ongoing hotel policy ninbar & quot ; sensor & quot ; system - world think ? bean counter . would much nice hotel give fridge charge send stuff room service . oh well . free room safe , nice little greeting basket fruit , super helpful , generous staff , would say place rank high list . use stay Rhiga Royale NYC , first choice . 
 Oct 7 2004 	 rude staff sky high price 	 see hotel mixed review like location thought would give try . stay 6 night September 2004 say experience good . expensive location certainly anything like 4 star . lobby may nice there s little else redeem it . the room decor ok room look & quot ; lived & quot ; , drab look linen stain towel . I could not sit window sofa feel like would come loose . room service initially ok , phone answer instantly sometimes food cold morning coffee failed turn completely several time . sometimes coffee arrive consist undrinkable grey sludge 1 10 point room service . the minibar charge item even move , can not take anything look first . warn check - in still mean can not keep drink cool ... price drink minibar would make think twice unless thirsty middle night ! reallt not like feature , see room minibar , would expect able put bottle water want not one square inch space so . so be 0 10 minibar . security strange , make search pocket find room key could get back hotel even though have walk door 2 minute before . overall hotel not good hotel . not make feel home not make feel look . staff look like ' ve interupte day ask something make generally feel like somehow lucky hotel . I will not stay circumstance . 
 Oct 4 2004 	 new home New York ... 	 guest Le Parker Meridien week New York take bar exam . spend first 4 day stay locked room study , recover exam day . make special request upgrade extra quiet room park view - courteous desk attendant oblige unhesitatingly . ( pay extra $ 20 per night park view , consider bring total $ 195 / night include tax , still great deal ) room spectacular , quiet clean well - do modern decor . large desk overlook park , comfortable Herman Miller Aeron chair ( buy one get home ) , free high - speed internet access , nice bonus ( hotel charge $ 15 - 20 / day ) . bed perfect , soft yet firm thank featherbe top . housekeeping excellent , not hear word - knock 8:00am - somehow managed make room half hour go burger joint day . not use gym pool , take look facility first - class . burger joint , although decor somewhat contrive - try way hard make & quot ; dive & quot ; - deliver excellent burger . exam , shift work mode play mode hotel still perfect . minibar surprisingly inexpensive well stock ( careful sensor - but tell check ) hotel great location near park , broadway , 5th avenue want go downtown , stop f train right outside taxi hard find , even rain ( also , umbrella closet , nice touch ) . overall , find staff ( concierge , desk attendant , bellman , security , housekeeping ) professional , even lobby terribly crowd screaming tourist . stay several large hotel Manhattan ( Soho Grand , Hilton , Marriott , W Times Square ) dollar dollar , Le Parker Meridien blow competition away . new home New York . 
 Oct 2 2004 	 Good Location - expensive etc etc etc 	 hi , pro : -good location ( near Central Park 5th Avenue ) .good staff . Normas breakfast - superb . Burger Bar - one NYC 's good keep secret . weirdly hidden view , burger bar mean one city well . the con : -expensive . pay extra $ 375 per night central park view . total joke . hotel block away view seriously obscure . anyway , complain upgrade Junior Suite . nice . thank Meridien ! Hotel Bar - not one ! okay , french restaurant hotel come ! hotel really need cool hotel bar like W Hotel Time Square . would go ? probably . well value elsewhere since US OPen tennis player stay , can not bad ... ? 
 Oct 1 2004 	 good stopover 	 long overnight stop way back UK family adventure holiday Peru , dictate luxury . Parker Meridien provide perhaps enough . perform well point .... room rate good £ 225 suite four ( though not include breakfast 2 child expensive ) . allow we checkin early ( forgot pre - book late check - out ) swim pool nice ( attendant protective long - term hotel resident strictly limited access ) room excellent , good hotel bed / linen / duvet ' ve ever ( no - one come makeup sofa bed , , find sheet use previous resident ) bathroom sleek work well ( full small black fly ) Breakfast NY -rich huge , ( service little overbear child not like much ) mirror reception area look though hide lot mystery , ( not - whole thing clinical ) reception door staff first class ( room staff not ) be rather like large class good restaurant two excellent course lacklustre third . I think will look somewhere bit character next time . 
 Sep 27 2004 	 two Stars dress four star 	 four - star hotel two - star hotel heart . ? service , good , mediocore . feathertop miss bed ( take 2 day replace ) . need fridge store baby 's food . ( charge we rental unit ! ) complain loud , 24/7 noise elevator , management essentially say , & quot ; bad ! be book ! & quot ; short : hotel great location , much less go . price range , much , much well ny ! 
 Sep 20 2004 	 Love hotel ! 	 favorite place stay NYC . lobby airy modern , room clean , crisp , uncluttered , serene comfortable . time checkin advise item room fridge sensor removal would result charge . make sure customer not trip inadvertent charge , always correct billing error . fortunate receive excellent , courteous responsive service Le Parker Meridien consistent basis , ' ve stay four time last 2 year , head October 2004 . last time call ask corkscrew deliver room , could believe quickly arrive , white napkin mini silver plate . get prompt response on - demand movie go ... service person door less 3 minute . gym one good equip ever see , not mean among hotel gym . view parkview room stunning . around , get tremendous bang buck , give location , view , amenity available hotel . 
 Sep 15 2004 	 thoroughly unpleasant hotel 	 really not know start hotel . stay Parker Meridien couple year ago remember passable though rather rude uncaring attitude staff . company book hotel August 2004 seem hit new low . room service extremely slow cold food several occasion arrive . shower water pressure almost zero ... shower room ok , much use trickle water come . room service coffee worry grey color standing hour . staff seem take reponsibility service whatsoever , polite complaint meet casual brush . security either top , guest leave stand struggle find room key get .... non existant drunken type wander corridor . I spend large part life hotel , happy take rough smooth expect lively & quot ; New York & quot ; sort service New York hotel . Parker Meridien feel , fail level apart location . sorry say like design room , however nice design way make failing hotel management . I almost prefer sleep bench Central Park stay another night hotel . 
 Sep 14 2004 	 Brit love ! 	 part 21st Birthday , take daughter NYC.I choose hotel via internet . want something bit special , certainly get it . get pool look Central Park awesome . the Gym good ' ve see hotel two floor , big mine back ! room spacious enough daughter get full use cd player , brief time spend it . the breakfast worth try , ! be cheap ! hotel well locate , near famous shop , subway parktry , will love 
 Sep 10 2004 	 Overpriced Disappointing 	 disappoint ! arrive quite late friday night hurried restaurant next door meal closing . bell boy put away bag room . time wait . ( close 11:00 , restaurant closing , starve . ) bellboy LOOKED US RESTAURANT ask everything ok stall stall figure wait tip .. mortified ! go room . hair bathtub standard low end bed breakfast . least room size closet would expect perfect cleanliness . buy bottle water store fridge get .. charge BOTTLES move aside electronically place . checkout discover giant drink bill thing open , promised credit we back . charge we anyway . get statement line whole amount still there . next time go New York guess will not stay ! 
 Sep 8 2004 	 great hotel 	 probably well around hotel New York . great family , great want amenitite great business traveler tourist . ideal hotel New York need large flat screen tv dvd player room , plus cd player . also , need super comfortable bed bed hotel comfortable ever sleep . relatively affordable rate . pay $ 199 night good value , especially New York . also , location perfect . within step one favorite restuarant city ( Rue 57 - locate corner 57th St.and 6th Ave . ) close Central Park 5th Ave . amenity , location price ( get $ 199 rate ) , be perfect hotel New York . hotel DVD player room go around $ 400 night not even large flat screen tv ! hotel 35 inch one . plus , not swim pool like Le Parker Meridien . pool great feature hotel locate 42nd floor roof . see great view Central Park surround city bathing suit , unique thing city . Le Parker Meridien get award well around hotel New York . even could afford stay expensive hotel , ' m sure would want location hotel quite good plus bed may quite comfortable . thus , Le Parker Meridien unique hotel positive way , despite bland bathroom room decor . 
 Sep 8 2004 	 Veryvery dissapointing 	 stay hotel twice . first stay uneventful , room clean modern location good one . stay quick night city hotel probably fine . notice reviewer give hotel bad review due problem deal badly ... wonder talk ..... WOW discover mean thing go wrong last stay . staff management change efficiently distant awkward insult second . injure piece collapse furniture full view hotel guest unable fly 48 hour due neck injury wich document house doctor , tell fly . during period subject repeat grill hotel security staff various petty detail repeatedly tell nice view room upgrade accident even though flat back bed unable see it . two day later emerge Hotel $ 1300 poor recompense whatsoever time money spend change flight etc . they actually make profit injury due enforce extande stay . I doubt possible stay positive experience , however personal measure good hotel respond thing not go smoothly Le Parker Meridien , sorry say fall long way short . recommend ! 
