excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 Jan 20 2009 	 fanatstic spot explore Big Apple 	 stay Affinia Manhattan Jan'09 5 night hotel ideal purpose . we want base explore Manhanttan certainly provide Midtown couple minute walk Macys , Empire State Building Fifth Avenue . famous Madison Square Garden almost directly across road entrance Affinia Penn Station able get train straight Newark airport Penn station walk couple hundred yard hotel ... ideal long flight . the hotel clean tidy room spacious . kitchenette area within mainly use coffee odd breakfast honest come New York eat . Little Korea around corner hotel get good quality meal reasonable price major city ... karaoke optional ! 
 Jan 17 2009 	 average good 	 location good bit transit point , real soul it . hotel room bad condition . room ready arrive 5 pm . sorry say not happen we . have wait 2 hour give horrible room . everything fall appart . Natania recepcionist well change acceptable room . say staffStaff irregular : nice / neurotic / rude , depend luck . nice cleaning ladys , tough . horrible restaurant staff , unskille every way . be oblige pay cumpulsory service people joke . I ' ve stay Affinia Dumont totally different experience . from , & quot ; Affinia & quot ; concept mean nothing 
 Jan 17 2009 	 Loved Affinia Manhattan 	 disagree last person write review . if want 5 * Book Plaza pay couple grand night . want well get money , go wrong affinia Manhattan . the hotel lovely . stay one bedroom suite huge . little well live spotlessly clean fit requirement . busy thing NY want comfy bed affinia Manhattan certainly . husband request top floor room view empire state building . staff bend backwards accommodate request extremely helpful friendly . give we fantastic advice place visit , give we map direction get . number excursion pre book UK staff phone arrival confirm booking . the location good . walk everywhere . take 20 min get time square lovely walk daily . I recommend affinia law stay later year . luck stay next year 
 Jan 15 2009 	 Fantastic Location 	 ' ve come back New York , stay Affinia Manhattan . read review expect huge clean suite tired decor , that s exactly get happy . reception housekeeping friendly efficient . definately go stay . location excellent , diagonally opposite Madisson Square Garden , 10 - 15 walk Times Square 5 minute walk Empire State Building . Penn Station one main Amtrak subway station 2 min hotel . catch sub way port Statue Liberty Ferry Subway Natural History Musuem . Maven Bagel opposite hotel breakfast great lunch time early evening food fantastic . next door Harrington nice lunch time evening meal . can not wait get back , good trip ! ! 
 Jan 15 2009 	 horrible 	 arrive hotel first stay New York . disagree comment particularly regard location sight seeing . on arrival impressed entrance standard service desk . get key strate make way room allocate start worry . carpet bit shabby need good clean . arrival floor even disappointing smell . enter room real blow . the room horrible . book studio terrible state . lamp shade fall bit , slide door fall , funiture shabby kichenette look build pre 1950 . bathroom cramp similar decorative style . bedroom cramp . standard comne expecte New York USA.We also ask quiet room get one 22nd floor next service lift ! ! complain attitude change immediately . room standard promise well room follow day ! one complain . group three businessman couple England also unhappy room . businessman give well room couple tell wait follow day well room . we check immediately ask refund pre - book four day . decline tell we make claim agent . general manager 's office respopnse claim whilst person speak sympathetic prepared give ground . complain get good part money back ( less first night ) hence write review before . we wold never go back Affina far well hotel New York Manhatten . 
 Jan 14 2009 	 great hotel 	 stay 7 night 26th Dec 2nd Jan love . room clean spacious , staff friendly would anything . exceed expectation , would def stay . 
 Jan 13 2009 	 great hotel ! 	 great experience . good choice family five . beautiful lobby ! great front desk staff . remember daughter 's 7th birthday - excited . pillow menu fun . room large - two bathroom , kitchen fantastic ! ! little noisy night outside noise , overall good experience - especially take train to / from Penn Station ! 
 Jan 13 2009 	 Fantastic Hotel Central New York 	 book holiday experience magic Christmas New York pleased choice hotel . central location great sightseeing Christmas shopping ( couple black away Macy 's ) , despite close fire station , room 20th floor quiet enough relax long day explore city . hotel New York seem offer tiny room , room huge , superking - sized bed , seat area , desk walk - in cupboard . kitchen add bonus , great store item buy deli couple door ( breakfast bap come highly recommend ! ) . find staff hotel friendly helpful whenever seek advice , contribute lovely atmosphere hotel . arrive late airline lose luggage , offer straight away , extra charge , bag toiletry send room , rather allow go look all - night chemist search toothbrush - touch really appreciate ! minor problem heating , report first morning , rectify time arrive back evening - another example professional service receive . we stay hotel week would recommend anyone , location , cleanliness attitude staff - pleasure stay , could happily move permanently ! 
 Jan 9 2009 	 Fantastic Location 	 Christmas Shopping end Nov 2008 partner friend stay 4 night fantastic time . hotel great location staff helpful room small apartment never sleep huge bed . we New York stay Waldorf Astoria beautiful . we go back New York 2009 book Affinia . 
 Jan 8 2009 	 Christmas NYC 	 amazing experience ! stay everything could ask quality hotel . arrival departure , everything . bustle Christmas hotel stay top ( many : - ) ) request . perfect location . can not wait make second trip NYC ! definitely book Affinia ! 
 Jan 8 2009 	 Great Place Stay ! ! 	 travel New York spend time family holiday . Affinia Manhattan great place stay ! first time stay Affinia love location ! close Macy 's , Madison Square Garden , Subway , restaurant , list go . staff great , allow we check early helpful get we anything need answer question trip . would recommend hotel anyone ! 
 Jan 8 2009 	 Fantastic ! ! ! 	 hotel perfect location explore Manhattan . reception staff friendly helpfull able check 2 hour early . hotel lobby grand beautiful christmas tree . room 21st floor great view . would recommend ask room high traffic noise loud . spacious room kitchen . bathroom fairly small although nothing worry . impressed Affinia would definetly stay . 
 Jan 7 2009 	 Superb hotel great location 	 reside Affinia Manhattan five night check New Years day . recommend hotel enough bad word say . location perfect major sight staff extremely helpful friendly . quality comfort room excellent even balcony . definitely return . 
 Jan 6 2009 	 Best New York stay ever 	 partner travel New York 19th November . arrive affinia hotel 6 pm staff reception nice porter helpful . amazed see spacious room fab 5 night . near times square macys great . walk everywhere great exercise ! ! male conceirge helpful booked ticket go see lion king we help we make reservation marriott revolving restaurant times square , total surprise not know time would celebrate engagement.i would definatly recommend hotel business/ shopping/ romantic get away . lovely hotel . thing food expensive i.e . breakfast well eat euro cafe 500 hotel . 
 Jan 6 2009 	 Great Hotel - Perfect Location 	 Stayed Affinia Manhattan Dec 08 really could not fault . staff friendly fast check . room however noisy heating pipe ever - mention reception change room within 10 minute . the room excellent - big , clean extremely comfortable . think location fantastic , 1 minute walk Madison Square Gardens , 10 - 15 minute walk Times Square great view Empire State Building window . also handy Penn Station Subway , right road ! get taxi JFK hotel flat rate $ 45 plus toll plus tip . however - return JFK take much cheap route - also easy . go accross Penn Station follow sign LIRR ( Long Island Rail Road ) - buy ticket Jamaica Station - get Jamaica get Air Train direct JFK - total cost $ 14 per person peak time - cheap peak . easy journey too . hotel expensive water etc ( charge $ 10.10 bottle room service ) . go main door hotel turn leave , shop almost next door sell water , juice , bagel etc - much cheap . for breakfast - find Lindys ( short walk right ) really expensive ( $ 30 2 people ! ) . andrew bit well ( $ 18 2 ) well cheap Maven Bagels - leave hotel cross road - walk leave first corner think - definately worth budget . would recommend go top Rockefeller Centre rather Empire state - price much well open view . for evening view - revolve restaurant top Marriott Times Square . buffett restaurant . slightly expensive - 's nice experience . be really , really careful buying ticket tout outside Madison Square Gardens - sell counterfeit lose $ 150 ! annoying ! genuine , think unlucky , 's lot money lose way get back . also - avoid hot dog street seller - fiance horrific food poisoning wipe almost 24 hour trip . all - amazing holiday fantastic hotel ( remember - everyone need tip New York ! ! ) . enjoy . 
 Jan 5 2009 	 Superb 	 boyfriend stay week 29th December 2008 overall experience could fault . lobby hotel grand staff encounter helpful informative . basic room - studio suite sufficient two we . room huge comfortable king size bed , ample sized bathroom plenty towel replenish Aveda toiletry kitchen . kitchen full size fridge , cooker , microwave , tea / coffee - maker , pot pan , cutlery crockery etc . use kitchen mainly store drink snack family somebody basic budget would ideal make breakfast quick meal . we room service Niles Restaurant first night arrive food tasty , portion size good valuie money . arrive sure use Concierge facility hotel website - make simple request room , choose pillow menu offer , request toiletry , arrange transportation book trip show . previous review comment noise - 27th floor hotel trouble noise lift room hear street . police station 30th Street church regular bell ring 31st street - light sleeper would recommend take ear plug . location hotel ideal anybody want see sight / touristy side New York shopper alike . Madison Square Garden face hotel , Macy 's two minute walk away , Empire State Building Broadway five - ten minute walk Central Park approximately twenty minute walk . would return Affinia time would strongly recommend hotel anyone . good start day would suggest breakfast Tick Tock Diner 8th Avenue 35th Street - food nice portion huge . one place would strongly advise everybody avoid Katz 's Deli - absolute dump food vile . waste time money head so - call landmark - experience think close . 
