great 	 stay 5 night dad November 14th-20th . check quick easy , give room 10th floor view Empire State Building . room good size , twin bedroom pleased size . also electronic safe cupboard free use room clean everyday . breakfast fine - thought would probably go buy breakfast continental plenty choice always enough food go around . buffet style breakfast muffin , cereal , toast , youghurt , bagel etc tea coffee could help throughtout day night . hotel great location wise - road macy 's empire state 5 - 10 minute walk time square . beware though city never sleep - not think night sleep straight without woken binman 3 be noisy people come back hotel . window also break first night mean noise awful staff fix straight away next day complaint that . the hotel also sell ticket attraction exactly price attraction themseleve handy mean queue ! ! staff friendly really helpful , reccommended boat trip not even know fantastic . main attraction walk . People quick tell get taxi get everywhere walk 10 minute ! ! walk central park hotel John Lennon 's old house people could not understand walk 20 minute get ... place get underground Ground Zero walk Statue Liberty dock around ten minute that . when get give map everything seem really far away ... 's . save money walk , really not take long much traffic road 's worth get taxi . the security immense prepare prod poke ! 's good consider everything happen make think Britain . Top Rock , Empire Statue Liberty get search go metal detector etc go , understandable make feel secure plus not actually take long . come airport book Supershuttle.com go . excellent service , tip book ( tip huge thing place go eat actually add tip .. ask want leave anymore ! ! ) . share ride 4 couple take hour get hotel give we time take sight sound not mind . going home last get pick ride take 20 min ! 's cheap get taxi flat rate $ 43 one way . one final thing ... reccommend Keen 's steak house . literally round block hotel good meal ' ve ! ! expensive well worth . not go around 5/6pm though businessman go dinner get stupidly busy . go Sunday quiet . lovely place , excellent staff fab food . 
 Feb 14 2007 	 really pleased hotel ! 	 choose hotel read previous review specific recommendation & amp ; must admit bit worried would rubbish . when check have book Deluxe double guarantee good size room & amp ; have ask high floor could view city . one receptionist advise Deluxe room back hotel , street minimise noise - first not impressed see room lovely , much large have expect & amp ; also , hear nothing 4 night stay ! free tea & amp ; coffee fantastic , must save fortune have travel coldest weekend New York see year ! central location ideal shoping/ sightseeing , return hotel coffee & amp ; rest , again . the hotel staff recommend steak house - Uncle jack not pre - booked , check review free internet access ( another bonus ! ) mixed review go along & amp ; fantastic - staff friendly , steak huge & amp ; garlic mash die ! ! approx £ 100 two & amp ; worth & amp ; feel comfortable walking & amp ; back late night . breakfast hotel ideal , enough keep go well afternoon - looki ng forward try american breakfast never get around - hotel breakfast fine . I would strongly recommend hotel anyone look central location , polite friendly staff great breakfast get go . 
 Feb 12 2007 	 really pleased choose Metro 	 stay Metro New York last October ' afraid ' take time review . however , particularly want review husband please choose Metro . ' know stay friend Washington recommend Metro . particularly pleased ' location , central , surround lot shop , within yard metro station within walk distance Penn Railway Station , need travel onwards Washington . one point lack medium range restaurant locality . arrive evening want meal restaurant nearby fast food , serve mainly pizza , hamburger , hot dog etc . ' find decent reasonably price restaurant area . maybe someone else able recommend one walk around least hour could find nothing . end eat Metro Hotel restaurant good would nice choice . find area City plenty cheap fast food restaurant also expensive restaurant lack medium range restaurant . ' sure tuck away side street walk lot ' see many . stay basic room upgrade really pleased . little small size would expect price pay major city . everything clean , bed comfortable bathroom bath well shower . free Broadband good really fast . save we lot phone call could E Mail friend Washington expect we etc . however , big bonus breakfast . room price include Continental breakfast expect tea / coffee pastry really good selection , include large selection bread / bagel , cereal , boil egg , cheese , yogurt , muffin , selection tea , coffee , hot chocolate . probably leave thing ' hard remember everything . may cold meat ' notice , vegetarian . complaint would served usual plastic cutlery paper plate find many establishment New York , however , ' probably fussy , use standard UK . winter could use rooftop bar ' sure would really nice summer . , would thoroughly recommend Metro short city break central location . 
 Feb 6 2007 	 great hotel . 	 return 6 night stay Metro impressed . location excellent central close Maceys , Empire State Building subway station . love art deco styling reception room . room big enough , large tv good bathroom Gilchrist Soames toiletry . ask high floor put room 6th floor - back hotel view traffic noise either . we problem safe refuse open maintenance man realise actually faulty problem not lie inability work , quickly fit new door it . minor gripe lack coathanger lack shelf space bathroom . the free breakfast fine thought although husband disappointed option cook breakfast . not like disposable cutlery crockery though - 's help global warming situation ! check , doorman happy store case book us taxi airport . finally must recommend Brendan 's Bar Grill across street excellent food reasonable price lovely setting would expect outside . 
 Feb 6 2007 	 good value 	 stay Christmas 2006 . NYC times , really enjoy hotel . nice clean room view . excellent location Midtown . maybe cool Hotel QT , ' ve also stay , Metro hand expensive . free internet access breakfast also nice . ' r look good value Midtown , place go . 
 Jan 31 2007 	 Great Hotel 	 get back UK excellent 5 night stay Hotel Metro , W35th St , NY , arrange Virgin Atlantic Holidays . hotel really good position half block Herald Square Macy 's . clean comfortable staff - include room maid - helpful , friendly polite . room large , double bed comfortable , good sized bathroom clean good shower , large tv ( satellite ) actually work ( unlike NY hotel ' ve stay previously ! ) . also mini - bar ( though not use ) heating not opressive ( could open window ) . side street noise night ( especially window open ! ) sound construction / rubbish collection go night every night - give choice room choose front probably not smart ! free coffee available day lounge ( could take room want ) really great free breakfast - coffee , juice , fresh fruit , muffin , bagel , toast , pastry , yoghurt , cereal - name , everything could possibly want short full cooked menu ! altogether really great little hotel excellent , mid - town position , close sight convenient want shop til drop ! thoroughly recommend - thing make fall short & quot ; Excellent & quot ; rate street noise night apart could not fault would certainly stay . ( oh , Virgin flight great ! ) 
 Jan 28 2007 	 Relaxing Hotel great location 	 find Hotel Metro comfortable relax - great location around corner Macy 's short walk Times Square - 10 - 15 min . could see Empire State building room . family suite - two bedroomed bathroom ideal husband & amp ; son . feel spacious - nice large window fairly high ceiling . complimentary breakfast nice good able get tea coffee anytime day - help room breakfast serve . would definitely stay Hotel Metro . 
 Jan 24 2007 	 Great Loacation 	 fantastic location , hotel turn right 500 metre street Macy 's right infront , Turn leave 500 metre st 5th Avenue - hotel well place . hotel lovely , staff nice breakfast filling . room good standard , luxury stay high top floor see empire state building view . decor little date bad hotel ny.would definitely recommend especially first timer NY . 
 Jan 22 2007 	 Juat wnte 	 5 night stay - Newcastle upon TyneMy previous NYC trip prize stay Waldorf trepidation wife turn Hotel Metro . I concern . apart fact front room noisy ( ear plugs anadvantage ) nothing else turn concern . staff pleasant polite , complimentary breakfast smash location spot - 100 yard 34th St / Herald Square . we go twin room may worthy consideration extra space bedroom . use weekly Metro Ticket $ 24 get around . master subway far cheap taxi option likely Central Park Soho etc day ! one tip - avoid offer bus airport rely taxi - least taxi additional stop en route JFK ! 
 Jan 20 2007 	 Bed linen not 100 % cotton 	 good value family . real complaint bed linen 100 % cotton . 60/40 poly blend drive bonker polyester blanket / cover . static - ugh . 
 Jan 13 2007 	 good room . excellent breakfast . awesome location . love NYC ! 	 * * * wife stay Hotel Metro 13 night Thanksgiving start Christmas rush . fabulous time New York City ( NYC ) , must ! ! ! lot light beautiful Christmas display everywhere , opportunity kid really enjoy season adult relive childhood ! * * * room , good size adaquate storage . room laptop safe room valuable well . washroom bit small nothing could not work . * * * room service quick ask extra . never order food eat hotel restaurant alot dining choice around hotel include lil Korea two block . even get work out hotel gym . * * * avoid noise street , request room high floor near back hotel . say , would use earplug noisy car horn garbage truck rumble part ambiance NYC . * * * start morning healthy serve tasty healthy breakfast delight lounge include room charge . staff prepare enough food seating fit everyone even day big event Black Friday Macy 's Day Parade . * * * hotel centrally locate local attraction subway station 1/2 block away . Macy 's 1/2 block away , Empire State Building 1 block away Time Square 10 minute walk uptown attraction like Central Park , Trump Tower etc 25 minute walk away . * * * book Hotel Metro . thank take time share experience Tripadvisor . * * * NYC must see destination friendly city , prepare open wallet time get plane back plane . worth everyone penny ! * * * Thanks Tripadvisor . 
 Jan 7 2007 	 Nice Place 	 stay Hotel Metro April 2006 . love . clean , staff friendly free breakfast even decent . the room small , clean . high speed internet fast dial - up , much . work . the room small , be expect NYC , especially moderately price hotel . very clean bathroom nice . toiletry provide . Near Empire State Building subway station . we would definitely stay . fact , visit NYC May 2007 , try book Hotel Metro , sell ! would defintiely stay Hotel Metro . 
 Jan 5 2007 	 never 	 stay 3 night Metro . we get newly renovate room two bed . small clean . offer nice free breakfast . location nice , Macy 's around corner subway step away . sound like perfect place ? ! room face street nightmare extremely loud window soundproof window seal go ! feel like stand middle street . busy street awake every nigth 3 - 4 hrs garbage collection ! score score bag cover sidewalk every night take time collect all . the front - desk staff extremly rude lie beat band ! also refuse give we room . I never stay ! careful , place could ruin stay NYC get room face street . 
