stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Feb 14 2006 	 ! 	 Vegas several time decide try Hard Rock Hotel last visit . impressed ! 27 year old hear place go . may place go like see people not money . never see low class kid place . mean come one , class . whole atmosphere seem like MTV dance party go terribly wrong . loud obnoxious rock star wanabbes place . seem hooker place whole city Las Vegas combine . room clearly need update . stain carpet 's , bathroom dirty , sheet look way past prime . like decor hotel though , especially casino floor . many dealer crazy attitude 's though . like something special . act like dealer casino ? ? ? get life ! never stay Hard Rock . 
 Feb 12 2006 	 experience Bad ... except Pool 	 hear much Hard Rock Hotel really excite stay ! excitement quickly dwindle soon enter hotel lobby . it bright , sunny afternoon -- 3:00 p.m. -- interior lobby dark . guess Hard Rock like & quot ; dark & quot ; look . night , think ' dark ' cool ... feel sort vampire - like 's sunny gorgeous outside middle day . Hard Rock , might expect , play loud rock music . be ok , except need communicate someone ... like front desk personnel . speak , long line check - in ... move slowly . finally get counter , surprised greet warmly half - smile . front desk representative seem like would rather anywhere else rather . be turn - off . ask question , seem annoyed answer . know moment stay might problematic . the room fine . look somewhat & quot ; wear , & quot ; hotel obviously constantly busy lot young partier . eat casual , cofee shop - style restaurant late dinner one night . food TERRIBLE . shock bad food ( service ) . wow . the one good thing Hard Rock go : pool . well , specifically pool ... rather people pool . short , see * * well - look * * man woman ever see entire life Hard Rock 's pool wear , course , close nothing . 's surreal experience . feel like ' ve walk photo shoot glamorous magazine . future visit Vegas , * * stay Hard Rock . overall experience poor . ( try visit pool ! ) 
 Feb 8 2006 	 never ! 	 book room Hard Rock wife notice lot negative review . try change reservation late decide make . arrive thing go good check room standard room mountain view . room nice 42 & quot ; plasma . hour someone open door walk get ready . do not think much ( Vegas ) within next 20 minute another couple walk say arrive give room . call desk move we luxury suite , arrive still clean room . decide wait go restroon one maid # 2 bathroom . Bellman call front desk move we 3rd room within first two hour . get 3rd room ok & quot ; luxury suite & quot ; plasma tv ! open french balcony door someone puke rail floor . call desk nothing ever do . end give we 100.00 credit use food . check notice try charge we Movies , Phones etc . use anything . highlight Hotel Pink Taco Luckys 24/7 Resturant . pink Taco 2 - 1 drink 1/2 price appetizer . excellent . 
 Feb 7 2006 	 MUCH IMPROVED 	 HRH do nothing improve . first stay terrible check - in service Mr. Lucky 's . since travel job , feel letter complaint order . receive letter owner apologize offer free room dinner . ( could accept , due position ) . follow year went business , hold hotel , improvement wonderful . stay every year since business pleasure . love music , people , atmosphere . security great , approach individual , call security , come person leave immediately . funny thing , ' m 50s son late 20 - not care - like display , loud music ! ! ! ! try Chicken Noodle Soup Mr. Lucky 's best . FYI - ' m high roller , large bank account - treat though . great JOB Owner Staff Members . 
 Jan 25 2006 	 get to love Hard Rock . 	 grant , usually stay Hard Rock mid - week business rarely spend $ 120 room . always find good value . room stylish spacious . staff good . abundance nice restaurant hotel easy get . request strip view room . 
 Jan 21 2006 	 Less - than - perfect ... 	 stay hotel Christmas season find nothing brag . ask early check - in make reservation tell we could & quot ; promise & quot ; anything would note request . arrive hotel 8:30am not expect get room hour want check - in get paperwork do . say first arrive day thought would hour . take cell # would contact we soon something available . 3:00pm contact we say nothing yet available still want wait . tell hard believe , yes still want wait . ( somewhat stern ) . 5 min . later call say room become available ( know ? ) room nothing special , view airport , etc . restaurant service terrible . food ok . many hotel city , look elsewhere next time . 
 Jan 20 2006 	 worth Money Anymore 	 recent stay Hard Rock Hotel January 2006 , though stay nearly 6 year early . first impression room recent stay really REALLY start look run . linen bed still great , bathroom nothing well get 2 - star hotel start show wear well . one good thing Hard Rock use pricing , cost pay recent trip ( fond memories loyalty ) could get small suite Strip . one get feel give try attract real spender hotel settle attract MTV Real World fan early twenty . the restaurant ( notably Mr. Lucky 's Pink Taco ) still great gambling pretty good day , money will stay Strip . 
 Jan 17 2006 	 great stay Hard Rock ! 	 Vegas several time stay different hotel time . visit short one night stay drive Vegas . check - in quick easy . get room quickly ( parking parkade ) . pool close quite early night ( 6 pm ) think might slightly early normal sort re - tiling work later evening . restaurant great ! ( Mr. Lucky 's 24/7 Pink Taco hotel , Hard Rock Cafe site , actually hotel ) love loud music play hotel ! hotel strip , see do everything strip want break , great place stay . take 25 minute walk strip , hotel shuttle , always lot taxi available . the room awesome ! slightly average sized room Vegas . room pool view . bed comfortable Bose stereo , big screen plasma tv , stock mini - bar great extra ! nice shower toilet separate sink mirror . complaint would bathroom floor not seem completely clean . spot tile ( look like water spot people get show ) , not big deal night always lay towel anyway . the pool part hotel excite try next morning . wonderful ! plenty lounger either sand beach area tile area . & quot ; sand & quot ; however like rock ( guess keep edge pool filter ) really hurt foot keep sandal walk . waitress bring drink food . cabana look great chair , fan fridge music , not rent one quick visit . one area pool shallow , like lap pool sit water keep cool , still sun ! even swim - up blackjack not open early pool . this hotel great place stay want away strip Vegas . want fun hotel great staff , awesome music , lively atmosphere Hard Rock ! 
 Jan 4 2006 	 fantastic stay Hard Rock Hotel Vegas ! ! 	 read horrible review site , rather disillusion booking stay HRH Las Vegas really expect bad . mistaken ! HRH moment walk fabulous experience . also hear 25 ignore . ! start doorman greate warmly walk gentleman check - in could polite accomodate . get room 10th floor amazed spacious modern room ( bargain $ 79 / night ! ) french door open let fresh air large plasma tv wall husband quite impressed . bathroom small , not ? quiet , would expect come Spring Break Summer vacation , may become little rowdy . could hear neighbor either side we never hear door slam talk hallway like large hotel . restaurant fun ( Mr. Lucky 's , Pink Taco ) although service bit slow . starbuck welcome sight morning line ! strip short ride away park Excalibur one day TI next , know easy parking lot access . go everywhere want nice return coziness , mention fun Hard Rock Hotel . play slot last night , casino worker offer get frequent player card . take ID back less 10 minute club card . great service ! prefer small hotel experience behemoth strip offer . stay many past impersonal overprice , mention walk mile get outside ( MGM , TI ) . would gladly stay HRH recommend planning visit Las Vegas . 
 Dec 16 2005 	 Armpit Las Vegas 	 without doubt , bad hotel experience life . hooker ring phone 3:30 a.m. 9 a.m. business meeting ( thank dyslexic hotel operator ) , all - night frat party next door , tv internet connection not work properly , can not understand anyone stay ! 
 Nov 28 2005 	 Fuss ? 	 return Hard Rock Hotel Thanksgiving weekend , ' m little surprised negative feedback ' ve read . ' ve always enjoy visit Hard Rock first time actually stay hotel . let attempt clear complaint . unfortunate thing review hotel unfairly criticize issue control . Vegas tremendously popular destination , especially weekend . result , line check , wait restaurant , etc . also , stop complain casino take money , lose shirt nothing quality hotel . check - in happen quick pain free , yes , $ 5 resort fee ridiculous unnecessary . ' ve read many complaint room , find blown proportion . room equip flat screen tv , Bose Wave radio w/ cd player , digital safe , iron & amp ; iron board , & amp ; web capability . various cd 's room listen rock n ' roll photo throughout . good feature room window / door actually open outside . know major Vegas property fresh air access . one reviewer complain alarm clock bolt somehow cheapen feel hotel . ' alarm clock ' question actually $ 300 bose Wave Radio understand might bolt . water pressure shower poor otherwise clean , comfortable room . think lot people not regularly travel Vegas need understand 's last decade hotel create standard room luxury mind . past , idea Vegas time people room less time have spend casino , shop , restaurant , etc never put much emphasis amenity . high end casino become competitive , ' ve seriously upgrade quality room keep client come back . unfortunately , Hard Rock complete prior onset change philosophy . nonetheless , still one favorite Vegas property . small manageable fit right target demographic ( 35 , single , rock n ' roll fan ) . another enjoyable weekend continue make Hard Rock fixture future Vegas visit . 
 Nov 13 2005 	 warning : pool CLOSED nov.-march 	 return stay Hard Rock Hotel disappoint . choose stay fantastic pool , learn check - in pool CLOSED mid - November March . one tell we make reservation , website check . not believe rate reduce reflect major drawback . able sit pool , drink service , music , restroom . Swimming & quot ; prohibit . & quot ; especially disappointing since weather beautiful -- sunny 70 's . several guest speak express disappointment , also choose Hard Rock Hotel specifically pool . in spite pool closure , still wanted charge we $ 5 per day & quot ; resort fee . & quot ; come on , Hard Rock . can not serious ! check Wynn remain 2 night enjoy gorgeous pool day long . 
 Oct 31 2005 	 loyalty dwindle ... 	 ' ve stay Hard Rock since open 10 year ago . last year , ' ve stay 2 - 3 time per year . 10 year anniversary weekend . whenever someone ask stay Vegas , enthusiastically say & quot ; Rock ! & quot ; enthusiasm start wane . with exception select hotel world , hotel problem one form another . expectation unrealistic . result , ' ve overlook incident ' ve Rock year ( time check room find food beneath sheet ) . general , staff friendly responsive . 's cool place be . but problem definitely start surface . room start look bit worn ( strange scent ) . not appreciate tell table available body English one month advance , also tell not reserve table week advance . also bother get preferential treatment whatsoever know stay often 95 % guest regularly spend $ 1000 + casino night . visit feel like first time . and website -- -- -.But love restaurant - Nobu one favorite . love AJ 's - ' ve eat multiple time never anything close bad experience describe another review site . also like Rock Spa Brannon Salon . casino one favorite Vegas not feel like be gamble 10,000 close friend ( kid ) . ' ve also always like Rock 's location Strip , create atmosphere attract local young people Southwest , less tourist kid . so not officially write Vegas hotel choice yet , shop around option ( palm viable option ... not get start ... ) . start , ' m check THEHotel couple week . ' m look forward W Hotel suppose open across street Rock couple year . Bottomline - Rock long game town come young , hip crowd increasingly use Vegas weekend playground . soon wake , well - afterall , city constantly reinvent . 
