far 	 first stay Rio , check four night . Rio seem intent get little money . friendly check - in receptionist try many trick trade get we agree upgrade : first ask we room upper floor view Strip would o.k . , later mention would cost ; engage we personal conversation present document signature state agree upgrade ( even though already say , & quot ; & quot ; ) . evening departure flight offer late checkout 4 pm $ 40 . decline offer noon checkout time additional fee . we happy & quot ; low floor & quot ; room . huge ! view Strip , view mountain light night sufficient . room clean . surprisingly quiet night even though Rio focus entertainment young adult look & quot ; good time & quot ; . ( think Brazil , Rio de Janeiro Mardi Gras . ) in - room coffee maker . call ask , told & quot ; low floor & quot ; coffee maker - & quot ; high floor & quot ; . arriive noon Thanksgiving Day find buffet open . option except pricey champagne buffet dinner since restaurant hotel close . even day restaurant open , option cheap fare . cafe open noon 1 pm , depend day week . starbuck seem least expensive dining option available . ( not accept Starbucks gift card ! ) Rio locate quite distance Strip . unless want good hike , car take Rio 's shuttle ( not start 10 ) sister hotel / casino Strip , be stuck . easy way go downtown without hire taxi . if look & quot ; adult - center & quot ; entertainment bar , Rio . many reasonable option gaming , meal , entertainment Strip . will stay next time . 
 hotel equivalent Wallmart . 	 like noise Casino , ' m talk usual casino hub - bub , love Rio . enjoy haul luggage escalator long distance crowd gaming area , Rio place . not mind wash hand cold water rest room ( man 's least ) , gripe . & quot ; huevos rancheros & quot ; breakfast café bore little resemblance eat anywhere . fairness , room large clean , staff friendly , bed reasonably comfortable . recognize always & quot ; different stroke different folk & quot ; , Rio major disappointment . 
 Aug 24 2007 	 rundown hotel poor service 	 return stay Aug 19 - 23 . attend convention find restroom area disgusting . three different bathroom miss lock door , many toilet completely flush , mess clean paper towel etc bad . onto room - room service tray sit hallway tower 10 am 9 pm go room . carpet flithy stain . expect price pay . also annoyed show jammed aisle make walking room impossible . avoid pool someone tell well . avoid place . 
 Aug 24 2007 	 Loved ! ! ! 	 stay RIO July 20 - 22 , annual girl trip Las Vegas . room large nice . also great view strip . 4 us room , & quot ; suite & quot ; room 3 sink REALLY help ! fridge room also great , allow we purchase beverage , store fridge . much cheap buying hotel ! room like stay Bellagio , clean nice pretty update . would say nice old room Paris . pool RIO AWESOME ! ! ! D.J . play tune day , pretty rockin ! ! means & quot ; quite & quot ; pool , awesome people look party . even though hotel strip , definately stay next year ! ! ! ! ! cost bucks cab strip , shuttle catch every 1/2 hour ! highly recommend hotel anyone want party pool Vegas . 
 Aug 24 2007 	 force 	 know not gamble go professional conference . Rio conference hotel . 's LOUD - want feel carnival . great food Las Vegas , Rio . food 5 eat place try - - mediocre expensive although get great glass sake . drink front bar $ 15 . take coffee $ 3 . addition , equip handle food- even coffee muffin - large convention conference provide food . 7:00 -9:00 coffee / muffin line two place 30 + minute long . warn . and isolated . leave Rio location require 1 ) car , 2 ) taxi ( reasonable price queue side building ) 3 ) free shuttle run half hour Harrahs property . might city bus . isolation would good parent make sure child not get lose . yes , lot child . room quiet . advertised , quite large separate dressing area two sink . small refrigerator , coffee pot . view mountain , highway train track . everyone overlook pool garden , ask . the variety nice swimming pool open 9 - 6 . 
 Aug 15 2007 	 huge Room Great Service come back soon ! 	 Rio Best choice could ' ve make ! upon arrival vallet , check breeze thank helpful people desk . stay 11th floor Ipanema building . upgrade newly remodel room . soon walk be take back SIZE room . huge ! view Mountains , be nightlife stare window . everything clean , odor . bed fresh neat . bathroom spacious . vanity chair , nice big counter Lighted Magnifying mirror ( love one ! ) . closet large well , one side clothe side nice sized mini fridge safe . floor quite , noisey neighbor anything ! really love fact hotel within Harrahs chain offer shuttle van 's hotel , get around free good ! gaming table never full could not find favorite game play . dealer friendly well . finally got see Carnival Sky show , ' ve Rio many time never chance see . luck would happen play slot front stage get front row seat ... . overall , great stay , definetly take advantage shuttle not drink & amp ; drive :0 ) 
 Aug 12 2007 	 Beware 	 will make quick . stay hotel month ago ... place absolutely awful . room extremely outdate , smell like smoke overall disgusting . bad part , first night stay , wake itching leg . examine see cover bug bite . bed bug bedding sheet ! also , photo website suppose depict room look like totally false . room look absolutely nothing like . brown gross creepy . I would recommne place bachelor party bachlorete party want big room do not care wreck everything . actually take back . could never recommend place . far bad hotel experience ' ve ever . 
 Aug 12 2007 	 OK 	 never really like Rio . big dark noisy . force visit often trip due friend stay kind gre . first roomsYou could hear people next room ( poor ) update consist new carpeting , bed ans stuff like . nice gorgeous way ! clean , carpet stain , little dust . people complain ac work good etc , call ask another room rather suffer . hallway clean , elevator sometimes little slow . the casino big cold part . wear jacket time . also change many penny machine dollar area . ok sometimes end loose rio . slot attendant nice , think harrahs property . come right away need help press number 1 area put player card guess signal . come put card turn , come fast . always tell name tell need anything please ask . think harrah give extensive training area great . way harrahs strip ballys own harrah . impressive thought , make feel good , like treat special . I would stay hear would prefer strip location price . room price Rio bit cheap . would stay strip hand down . the food place ' right casino ( forget name ) good . eat 3 time , perfect time . nice service , nice menu selection , nice open almost time big wait . casino pretty clean . think little tight casino seem cater young crowd , mix . another note many kid , Vegas go disney world . kind sad see many little kid . nice hear kid scream hotel room etc . Vegas try grab travel money rather adult . love kid kind feel really place . all ok , room nice size , fairly clean , noisy , casino ok niceStay strip get heaper room strip . 
 Aug 3 2007 	 Fun 	 arrive Rio Las Vegas long drive Santa Barbara . heat parking lot hit we exit car cover self - parking lot . parking free lot . make long trek across casino reception . 4 - year old entrance light action casino . enjoy sky show much think highlight trip . reach reception check - in smooth daughter receive set bead . moon . spacious suite upper floor . two queen bed particularly comfortable pillow . part , enjoy room air conditioning anemic never really cool room . give young traveler interested pool . surprised 9am-6pm post pool hour . think blast furnace like heat would nice spend evening pool . case , pool area beautiful crowd . want desk shoe summer heat . deck hot . people rent cabanas float pool mat look fun . ' locate source pool mat well . room key need ID charge slip provide check - in extra . bar poolside bring ID ! would caution people quality life - guard pool other see Las Vegas . guard appear mostly decorative . number potential hazard pool would unacceptable health club public pool . guard scan water regularity give shape pool hard imagine effectively view entire zone . never see guard caution unsafe behavior abound near pool . enjoy pool would count lifeguard . we dinner buffet wander past restaurant option . think buffet fine buffet . masse usher hold pen table . non - alcoholic drink option present server disappear . also good time request ketchup may never see server . foodie understand , buffet food problematic . endless choice mediocre option . look good less tasty would follow sit buffet . suggest choose food sit well make order . pizza little sweet taste . fire food good ice cream sundaes . mexican option pretty good BBQ suffer , ' cook low slow . seem drink special 30 minute hour . mojitos pretty good . I disappoint learn fitness room cost $ 22 day use come spa access . sort arrangement apparently common Las Vegas , huh . want quick workout hit road skip option . the video check option allow we skip trudge back across casino checkout . nice touch . 
 Jul 30 2007 	 Nice hotel TERRIBLE DIAMOND LOUNGE 	 stay Rio July 23 - 27 room Masquerade Tower 36th floor . room big average nice view floor - to - ceiling window however sofa cigarette burn . food buffet fine , average , far well buffet ' ve . casino staff polite friendly . diamond lounge hide high limit slot area accessible elevator wait since hold 4 people time . get diamond lounge , small , little food , fancy . lounge Caesars PAris much nicer . pool ok , one close . overall , pretty good experience . 
 Jul 26 2007 	 Wonderful Time 	 stay Rio july 17th july 18th great time . check airport desk early day check bag bell captain . later day pick room key front desk within 20 minute call bag deliver room . room large entire room clean . every one encounter hotel casino friendly helpful . 
 Jul 23 2007 	 Great experience 	 stay two night July Rio . free night offer respond mail . pleased . Rio suite room . room bite old look HUGE . room 29th floor spacious . large sofa ( almost sectional ) . nice sized tv king size bed . window floor ceiling size . not get strip view nice view anyway . bathroom 2 separate sink area . one inside bathroom one outside door . love vanity area make mirror . complaint room shower never really hot . let water run get still never get lukewarm ( sure due water save shower head ? ) take free shuttle strip couple time well worth . make sure time ( come hour half hour ) . nice size shuttle can not hold 30 people line look huge , well come back later . staff friendly professional . free hourly show 10 minute length . first show nice entertaining following show people similar dance routine . basically , see one , not need see rest . Prime rib buffet FANTASTIC . highly recommend restaurant , except busy ( serivce great busy time ) .if go , enjoy stay , know . 
