move 	 husband shock standard room * first room bathroom window jammed open bathroom towel use block freeze night air * porter arrive assist we move second room - already unpacked * second room plug bath request one tell use towel plug bath plug available * double glaze room face onto Broadway could sleep ! * carpet passage filthy * one redeem feature receptionist allow we check hotel follow morning thus cancel 5night stay - thrilled move fantastic midtown hotel could relax superb room enjoy service facility high standard fraction price . 
 check today verdict still impressed though 	 check afternoon happy rate decor , first room show extremely small . , carpet need cleaning , shower , bath . think unusual superior room . see review warn standard room , book superior room , still small . small ask desk really superior room , say . also , tv mount wall apparently work , second tv place front desk , make desk unusable . call different room well treat give another room , slightly large , bath . however , window extremely drafty , horrible time get shower work , get hot water , eventually pipe make noise could wake dead take shower , realize hair dryer miss , luggage rack ( discover early bring ) tonight go wash hand , hot water ! call morning , water also look discolour ! say , decor fine , bed nice , clean , many thing look small . would recommend hotel ? probably -- -I usually recommend place impress one do that . also , business room small hot would impossible spend amount time computer $ 2 10 minute plus charge printing . let tell , eat dollar bill like one armed bandit . wireless room charge , need printer ! select hotel free parking package want leave car park . definite plus , need get something car hopefully cost we $ 55 . let us see tomorrow go . maybe thing get well ! 
 Feb 16 2004 	 Loved Ambiance 	 return three night stay Feb. 12 - Feb. 15 Ave NYC . choose hotel base comment trip advisor . first night , stay standard room , pay ; however heater LOUD hardly get sleep evening . next morning , make front desk aware loud heating system , inquire upgrade deluxe room . gentleman front desk great job allow we preview 2 room , another standard deluxe . discover heating system different 2 room . deluxe room quiet . decide pay difference $ 69 / per night remain 2 day since sleep crucial walk lot NYC . besides , hotel elegant , love complimentary morning coffee , nearby restaurant excellent ( La Vela 373 Amsterdam & amp ; Manhattan Diner across street ) . definitely stay ! aloha ! 
 Feb 3 2004 	 first trip USA 	 stay week early January . room allocate small perfectly satisfactory , see New York spend time indoor . two night move large room rest stay . would definitely recommend hotel . 's great area staff efficient friendly . hope return . 
 Feb 2 2004 	 guarantee nice stay 	 location hotel great quaint mood . stay Edison Hotel Times Square last month , ready relax visit city . January , recuperate holiday . hotel locate predominantly upscale residential area . people around lot nice tourist fill Times Square push place . shop locate within block hotel Pottery Barn , Eddie Bower , Banana Republic , Gap , Kenneth Cole Barnes Noble stay open late . around corner hotel one favorite restaurant , Ruby Foo . also nice deli/ restaurant across street open 24 hour . clean , tasty reasonably price . the room average size . do crisp , neat , fresh clean tone . bedding nice white fabric comforter white tone tone fine linen . minute lay bed , feel like bed cloud . do not worry unseen dirt hide dark print comforter use hotel . day run around chaotic city , nice retire serene room . the private bath do tastefully . marble , stainless Steele update classic hardware use . importantly , skimp water pressure consistency hot water . although staff friendly , front desk could welcoming check . would also help lot hotel valet parking . 
 Feb 1 2004 	 review 	 stay hotel trip back NY Philadelphia . stay 2 night , pleasant stay . clean quiet , room not small sufficient two -- queen room . heating fine not get frigid cold , outside window another building -- poor view . overall , think Ave offer quaint room equally commendable service . definite recommendation . New Yorker , stay New Yorker Hotel not really high expectation Ave ( New Yorker room pleasing ) , really make feel well see nice hotel New York . good price location . say , & quot ; go ! & quot ; 
 Feb 1 2004 	 big little room 	 stay Ave first trip New York overnight . room trendy clean . service friendly . would recommend hotel anyone know .. 
 Jan 25 2004 	 nice tiny noisy room 	 lot research internet , include TripAdvisor , choose hotel ( reserve thru Expedia , cheap price ) . stay Jan 4 - 7 . arrive early morning bus could spend whole day sightsee New York Passes . hotel staff nice give we room right away put luggage small nap . first thing notice hotel lobby nice ... room get ( 526 think - STANDARD ROOM , ontheave.com not show pic room ! ) view Broadway St , kind good . unfortunately , room small . drawer could put clothe tv ( HBO ) small sit cheap stand . bathroom also small faucet leak . , enjoy big shower . 's true bed REALLY confortable ! sheet clean thick . naturally , sleep suppose easy ... ventilation ( heating ) really really loud ! get use ... stop ... start ... room also 3 m ( 9 ft ) elevator could hear elevetor bell ring . one thing weird even though put privacy thing door , clean team still knock door check ! 4 - night stay , think saw concierge twice . time , desk empty ... anyway , ' m little disappointed hotel , guess expect much . service good though 's clean hotel price ( $ 109 / night ) 
 Jan 21 2004 	 relief ! 	 New York recently business trip , stay one big expensive downtown hotel , compliment company . meeting , stay town day vacation . save money , need find affordable hotel . never NYC , nervous find decent place price range . read review TripAdvisor Ave Hotel , decide stay . not disappoint . the room small , course . , , NYC . , hotel lovely , bed comfortable ' ve ever find away home . love big fluffy pillow soft comforter . lobby ultra chic , hall room clean well care . comparison , big expensive hotel shabby quite ugly . the hotel also large beautiful balcony access guest . 's lovely place sit enjoy view skyline Hudson River . general , location hotel excellent . two block away subway station , right across street Manhattan Diner . fabulous restaurant reasonable price . hotel kitchen , room service order actually deliver Diner . fine , meal deliver room one good have ever hotel . price outrageously reasonable , . enormous cheeseburger $ 6.95 ! Ave Hotel definitely great value , certainly stay every time return NYC . one bit caution though ... room sound - proof well quite noisy boisterous neighbor . heating unit also pretty load kick , point startling get use . fair , ' ve never really find quiet hotel travel , not think much deterent Ave . cheer , happy traveling ! 
 Jan 13 2004 	 new favorite spot ! 	 want hotel close friend house choose one review 's location . extremely pleased choice . staff pleasant room smell amazing . room modern , clean , well lit ... perfect one person close couple . rate affordable . thing know , though : first trip city look hotel near Midtown , might want one . short cab ride , really within walk distance . the room service terrible . girl counter assure food usually good , though . omelet dry toast rubber . would like hotel pick tab , offer . otherwise , perfect stay great find . 
 Jan 8 2004 	 Great Value ! 	 take care personal business New York originally book West Side Inn , read review TA , decide opt Ave Hotel Expedia . first bit leary reading review take chance . great location room nice clean . military stay place bad . Ave Hotel put real New York neighborhood people . modern - like furnishing remind Kenneth Cole - like store ws room much except shower sleep . plush , want clean room great location , would highly recommend ! 
 Jan 6 2004 	 Charming Price 	 stay January 2 - 4th $ 109 per night pre - pay expedia . attractive lobby . room decent sized NYC . overall appeareance room modern / minimalist , light , tasteful ( photo expedia luxury room standard one modify expectation ) . wall , trim , furniture bit worn view daylight dirty depress . bathroom large attractive - steel vanity shelf provide lot space . hotel room nice touch like bathrobe , top floor terrace great view , mood lighting , complimentary coffee lobby . location wonderful affordable restaurant dessert place step away . staff appear efficient professional . thing like connect door next hotel room - would hear neighbor conversation well . however manageable would talk staff problem . 
 Jan 5 2004 	 Fantastic 	 stay Ave one week July 2003 . hotel great ! average room small side , comfortable two people . decor throughout hotel modern . staff friendly . help we everything . check early morning , assume room would not ready afternoon . front desk staff say go breakfast come back , room would ready . ! price excellent . location could not well -- heart Upper West Side near fantastic restaurant cafe ... 's touristy . 's close subway $ 6.00 cab ride get Times Square can not handle 20 minute walk . highly recommend ! ! ! ! 
 Dec 29 2003 	 Location price style 	 stay hotel Christmas , 2003 . hotel obviously less - expensive version popular & quot ; boutique & quot ; hotel . room pleasant appoint contemporary style . two complaint heavy drapery darken room -- sheer privacy heat / air - conditioning fan sound like freight train come . money location , would tough beat . hotel price range tend look frumpy tired . Upper West Side ideal many way : safe , near Central Park Riverside Drive ; five - minute walk Lincoln Center ; easy find restaurant nearby . Manhattan Diner , across street , open 24 hour great breakfast . Zabar 's H & amp ; H Bagels within 5 minute walk , Beacon Theater . room -- low price -- small , closet - sized Manhattan room . would highly recommend hotel . 
 Dec 21 2003 	 excellent place stay 	 wow , say ? arrive 2 am end get upgrade -to suite- room take . stay 10th-12th Dec 2003 lovely time . room good size ( due upgrade , even get upgrade , would happy . the reservation noise level , within hotel traffic outside , could overlook small detail . oh , must go speak concierge & quot ; Flo & quot ; go ; sooooooo friendly helpful would happily go back . read Flo , think well . 
