great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 Mar 4 2009 	 good location restaurant choice 	 room ok . staff reasonably friendly . traveller aware room rate change daily . might book expensively arrive . find kind pricing policy annoying , say least . introduce low rate guarantee ? ? casino ok , dealer exceedingly friendly . might well elsewhere , e.g . Bellagio , etc . the reason choose hotel access Cirque du Soleil show ( i.e . Ka , Zoomanity ) , easily reach foot take bus Bellagio ( ) .there also lot eatery downstair hotel nearby . favourite mexican place ' Gonzales Gonzales ' food , service however . another plus point hotel relatively clean air . hotel , Venitian Mandalay Bay , seem idea attack chemical smell throughout premise increase guest comfort make spend game . sorry psychologist think , induce feeling nausea put people olfactory stress test . summary , good place base visit major attraction town offer . definitely go see show ! world class . 
 Mar 3 2009 	 coffee pot room ! 	 hotel casino dark other everything crowd together . tell upon check pool close discover check open . room small average size dimly light . water pressure shower great bruise almost cut leg shower slide getting . bed comfortable linen well worn . housekeeping wonderful always room ready regardless time leave come back . restaurant eat average quality price . number one complaint coffee pot room go 24 flight stand line morning 10 15 minute get cup call wait little long room service deliver . not ask coffee por year since stay hotel regardless nice provide coffee pot room . casino small low payout slot - not try table . take 30 45 minute walk middle strip . would stay . 
 Mar 2 2009 	 NYNY good great 	 bad hotel since try spend little time room possible ok . get annoy 1st day get room safe lock call house keeping say 15 - 20 minute . 30 minute laster call , way . 10 minute call tell knock one answer . bs unless knock feather . annoyed pissed . checkinno problem fast around 430pm Thursday . ask upgrade Broadway room becasue birthday . BedsWe Broadway room 2 double bed . ok.tvsmall . & quot ; newer & quot ; room 19 & quot ; tv ? ( get free porn ) SafeThey small wall safe room work fine . bathroomvery clean . annoy replace soap day . waste . problem hot water morning , afternoon evening . internet $ 15 day think . do not get it . foodthere lot choice hotel nice . price really $ 10 + lunch dinner . even hot dog , fry pepsi cost $ 8 . expect hotel strip . casinoi like casino always seem lively . like everywhere else maze . think place get confuse most . CheckoutNo problem ad quick 1030 Sunday . really expect long line not anyone . overall bad place . far end strip . have happy stay get killer rate like last time player club . 
 Mar 1 2009 	 New York - New York Hotel Casino 	 stay 3 night ( Fri . , Sat . , Sun . , ) Valentine 's Day weekend 2009.we wait 5 minute line check . take we find check counter . take mini - bus airport drop people casino drop we weird deserted entrance . look sign check counter , none , end ask twice find it . we room 777 . thought would said something lucky number , nothing mention . room standard hotel room king size bed . view window wall . nothing see . bathroom average size water pressure strong . we put & quot ; disturb sign & quot ; maid service stay . see housekeeper every day way , always ask want service , well , sign out . there small restaurant breakfast buffet morning , buffet extremely small choice - well walk next door Excalibur Luxor & quot ; real & quot ; Las Vegas buffet . several restaurant bar within New York -New York , include numerous quick food choice . eat these . there outside walk way/ bridge New York -New York Excalibur hotel / casino , Excalibur inside walk Luxor inside walk Luxor Mandalay Bay . also street level walkway cross Las Vegas Blvd MGM New York -New York . the casino floor New York -New York small compare casino strip . lot slot machine cram closely together many table game casino . upstairs large area game kid access roller coaster . not ride think expensive ( either $ 12 - 14 piece ) .The show New York -New York Zumanity , adult cirque soleil . see 7:30 show . get door open , entertainment moment walk . sit balcony . theater relatively small , not think bad seat . would not sit couch front row , unless want part show . overall , great show ! take cab airport leave - cab ride $ 10.50 tip . 
 Feb 26 2009 	 ok 	 family trip spouse two adult daughter . Las Vegas many time first time stay New York New York . Lady check - in wonderful speedy . upgrade we little , two room nice view . room good clean . complait room department price good . none care restaurant eat . coffee shop breakfast blah . mexican food great . food expensive ( $ 3.60 cup coffee ) . daughter we elect stay strip , future would prefer area Ceasar 's Palace , Bellagio , Flamingo & amp ; Bally 's , stay strip . 's husband , prefer stay Sam 's Town visit strip shuttle . doubt we stay New York New York . 
 Feb 25 2009 	 pleasantly surprised 	 book online website get upgrade room strip view price regular room . room clean good shape . 18th floor acorde elevator , seem high . view nice , able see sun rise mountain . roller coaster could heard . obnoxious noise , like loud ocean sound . room close elevator . room long walk one set elevator one end . stay 1 night go Paris Las Vegas rest stay . think comfort place . expect Paris not deliver . would definately stay ny , NY . 
 Feb 25 2009 	 Great Bang Buck 	 husband decide travel Las Vegas last minute getaway meet group friend . stay MGM want close without pay MGM pricetag . soon arrive able check quickly ( although , arrive late night noticed day long line ) . give we room great view strip . decorate nicely , really look like hotel would stay New York City . bed good , great . 1st night eat italian Restuarant , Il Fornaio not impressed . although next day italian speciality sandwhiche cafe delicious . use gym , little small side able get good workout . get polish change finger / toe pricey . one thing really annoy recieve 10 vip bracelet club ROK group decide go would not pay cover charge . well , not tell applie 10 pm arrive later end pay $ 25 not great club . many great club Vegas would not reccomend one . , great trip would def . stay NYNY . 
 Feb 25 2009 	 small cozy awesome room 	 ok , nice hotel . suitable crowd 21 - 50 . many place go & quot ; Overwhelming & quot ; give . good location . see MGM , Excalibur , Luxor Monte Carlo . pizza cheap good . everything expensive Vegas . love room . 26th floor . maid came everyday clean great . clean reasonable price . hear rollar coaster awesome . trip rush . plan least 3 full day Vegas get full effect . romantic .. 
 Feb 24 2009 	 Atmosphere Lacking - Nice Rooms 	 business trip colleague NY NY hotel price competitive location , amenity , meeting . staff cordial welcoming . room refurbish like due somewhat date - low ceiling , pretty typical Vegas hotel type room . Park Avenue Deluxe clean dark poor reading light . bathroom also dimly light annoying . request new room well light second night stay accommodate third try . really not want change room without good reason . final room Broadway Deluxe well worth bit extra per night . bed comfortable room . food good 9 Fine Irishmen , Il Fornaio , Gallagher 's . business meeting cater food great . great room service also . 
 Feb 21 2009 	 ok 	 travel Valentines Day weekend . make several trip Vegas hotel comparasion . service : poor drink service wait forever unless play table . check smooth lady kind . restaurant : mexican restaurant great . italian restaurant rip . poor service way overprice . room : average , especially cost . stay Park Avenue Room tiny . square footage advertise . casino : lot variety . pretty small size . pretty much left hotel whenever want gamble . shopping : terrible . come Vegas . hotel mall ! well except one . bar : go Times Square Bar really fun except rip pay extra sit . crazy consider not night club piano bar . guy work fantastic . overall would give hotel average rating . nothing great special . would not choose stay . not anything terrible , go Vegas expect . 
 Feb 21 2009 	 oh god .. 	 place fantastic .. adult play ground . hotel great bit blackpoolie carpet oh god big hotel .. food amazing piece pizza £ 2 huge yummy . irish piano bar pack every night americana restaurant open night get munchie 4 am ! ! load shop inside include two Häagen - Dazs , houdini shop , Coyote Ugly bar nightclub upstairs , various clothe shop course 1,000 slot machine , poker & amp ; roulette table . forget awsome roller coaster ride go inside hotel 7th floor ( think ) loop loop around outside . get marry Tropicana Hotel across road , day great well worth money . hotel prime loaction strip little walk take well know hotel , blow away . could quite easily say addicted Las Vegas could easliy go back every year . we also Grand Canyon Maverick helicopter book go . little expensive Sunset sunrise amazing . 
 Feb 18 2009 	 enjoy hotel 	 Stayed end strip time , Think will head back middle . get check room even though arrive 11 . smoke smell , cost we $ 10 extra strip view , like airport view . lot hotel eat , America , pastry shop coffee muffin morning , Gonzolez & amp ; Gonzolez , 9 fine irishman . busy tell 96 % book . nice car rental agency lobby . room well appoint clean properly day . noise hallway roller coaster . 
 Feb 17 2009 	 bad hotel stay yet . 	 stay numerous hotel New York Europe San Francisco Disney world well many location . stay happy hotel stay except one . room seem like closet throw king bed furniture . tight open armoire door could not get pass bed closed . luggage bench ottoman stain God know ( needless say not place anything even touch ) . shower horrible pressure well stupid slide door . never see four star ( make laugh ) hotel slide door tub . room could not seem stay one temperature hot , low unit , whoa look cold , guess ? that s right raise unit . must play thermostat minimum 4 time day 4 day stay . way figure wife agree & quot ; must gotten hooker 1 night special room & quot ; . far casino that s care problem . restaurant good . 
