after 	 customer - orient hotelvery low service levelboor reception 
 hotel brilliant ideal theatre break 	 friend stay theatre break . hotel clean , staff helpful , room comfortable , breakfast superb . could not fault thing . great location tube cram fair amount sightseeing short time . london aquarium , natural history museum harrod name either short walk tube ride away . nice pattiserie couple minute away tesco 's express . tube less minute away .It good stay early 2010 couple night another theatre break . I would recommend hotel anyone . 
 expecto Holiday Inn 	 arrive 23,30 hour could recommend restaurant decide go Tesco , limited choice hingry carenext day rang bell 8,00 hour clean room , nice waken earlyevery day give we candy bar two bottlet water whic nice touch . all , normal chain hotel nice location ( close chelsea , 45 minute walk Picadilly ) , back find anthe close picadilly well price ... 
 Great Price Terrific Location 	 stay Kensington Forum October , visit London mother . room two double bed surprisingly roomy , consider small hotel room previous trip London . the room quiet , clean , bed pillow comfortable , service adequate . service issue speak , be overly - friendly hotel . ( expect Holiday Inn . ) location absolutely wonderful . number coffee shop small restaurant nearby , well grocery store mall next hotel . pick apple fruit , add coffee muffin / pastry cafe . subway within one block hotel , could not ask convenient . well , good weather , walk everywhere ( probably average 10 kms day ) . be nice neighbourhood safety concern . our main focus book look low price good location . absolutely find Kensington Forum would hesitate stay . . .or recommend friend . 
 Oct 25 2004 	 centrally locate 	 stay Kensington Forum Oct 16th - 20th . pay $ 75 per night Priceline . price real bargain publish price hotel 210 pound ! hotel close Gloucester Rd tube station , 10 min away Victoria station , piccadily station , major attaction . big Bus ( hop on / op ) stop block away , intersection Courtfield Rd Gloucestor Rd , front Stanhope Arms pub . Heathrow airport , take Picadilly line Gloucester Rd station , walk hotel , large suitcase 4 - year old tow . harrod easy 20 min walk , take past shopping district Cromwell road . would highly recommend visit Natural History Museum , 10mins foot , especially travel kid . conceirge hotel extremely helpful travel question . 4 night stay relish hot indian food takeout WaitRose grocery chain , around corner . priceline book standard room 2 people . graciously upgrade triple - room could fit 3 we , free charge . room , although clean , extremely small , american standard . sofa bed pull , space move around room - literally crawl sofa bed go side room . room big enough hold one large size suitcase , nothing . fold stroller passageway , entre room . bathroom small slide door , regular swinge kind . room size , happy hotel , especially location . 
 Oct 24 2004 	 Good Hotel Great Location . 	 stay Holiday Inn Kensington Forum six night month . overall good hotel good location close tube ( Gloucester Rd ) . facility room clean . place large busy . staff exciting deal . continental breakfast terrible unless eat go elsewhere . otherwise nice place experience London . 
 Oct 23 2004 	 nice price 	 nice . wife stay four night begin October . 's tube station right around corner lot local store pub nearby . the room average size european standard . hotel great location easy access London 's tourist site . staff friendly helpful . wife add bathroom clean , nice towel hot water every day . would stay again . by way , pricelined four star Kensington area $ 85 per night offer accept . 
 Oct 20 2004 	 good deal London 	 good deal ever hotel London ... room tad small super clean great location . also get killer view ( 18th floor ! pub hotel pretty bustling . easy access via tube Heathrow , need take Heathrow Express . also three tube line block away get anywhere piece cake ! get great deal Priceline Air Hotel . almost boutique hotel London standard ! ! ! negative dont use phone call people cell phone length time . spend 10 minute soo phone calling friend cell bill $ 75 ! ! ! 
 Oct 17 2004 	 appropiate 	 four night hotel family ( wife one 5 - year - old daughter ) good hotel trip ( among five hotel UK France ) . price , space , location service exactly right thing want . also enjoy breakfast hotel . quality good price reasonable . ' m sure stay everytime London . 
 Oct 15 2004 	 great 	 900 room hotel get busy time lobby staff , standard room facility gear cater this . yes stay lot , guess get extra special treatment great location tube within 2 min walk surround place eat drink far enough central London quiet still west end 15 minute . 
 Oct 14 2004 	 nice ! 	 nice hotel . free wireless internet access lobby bring notebook . room renovate comfortable . make sure get English Buffet breakfast include . location good . downside clock room ! can not tell time wake . make sure place wake call commitment . I would definitely stay . 
 Oct 6 2004 	 Excellent hotel excellent price 	 stay 3 night . incredibly nice section london Benz 's Bentleys everywhere . with price|ine get great rate $ 75 usd per night ! right around corner underground , taxi need . 
 Sep 23 2004 	 Perfect visit 	 post , think perfect place stay London . can not beat price $ 75 per night Priceline . proximity Tube great many restaurant , market , coffee place , etc . close wonderful . stay 4 night , Sept. 5 - 9 . hotel clean room serve purpose . one well place ' ve stay London price . really good indian food block away . complaint Tylenol PM vitamin mysteriously disappear housekeeping come . would stay though . 
 Sep 20 2004 	 GREAT LOCATION COMFORTABLE HOTEL 	 hotel locate excellent area London around corner Gloucester St tube station excellent service tourist site . hotel clean room comfortable - the staff friendly helpful check desk always well staff take 2 minute check . money would pay great value hotel do not let Holiday Inn brand put off - in area could pay lot bad - I would definitely stay next London . 
 Sep 13 2004 	 good deal - area - security ... 	 excellent place stay ( posh upscale area ) . keep away expensive breakfeast ( honestly worth ) , go supermarket across street rack goody carry item ( rice chicken curry 6 dollar ) , wear money belt conceal cash stay city times touristy activity . Tube across street , bus stop corner block center town .... highly recommend - go feel safe time hotel , incredibly courteous friendly staff ... 
 Sep 10 2004 	 overall great 	 great place stay . got room Priceline ( bid $ 85 probably high ) impressed . find room plenty big nice 15th floor view . thing worry expensive breakfast day stay - Sept. 5 - 8 - special 9.95 pound ( $ 18 ) reasonable consider one pay breakfast big city US hotel buffet excellent ( include fruit , yogurt , cereal , wide variety bread , cold cut cheese , japanese breakfast , english breakfast lot juice , course , coffee tea ) .Do take advantage wonderful wait Rose market ( grocer majesty ) Cromwell . 's deli super , get anything . for get around London go day tube pass 4.30 pound ( $ 7.75 ) . come handy , get Big Ben , realized not bring camera hop back tube Gloucester Rd . , get camera go back , 30 minute . 
 Sep 8 2004 	 can not say ! 	 can not really add positive review ' ve read . be true . experience ( exception theft problem one reviewer experience ) .I stay second week August last week August ( take trip Rome , see review Gambrinus Hotel , Morgana Royal Court , Antico Doge ) . room consistent time separate floor . lobby huge bathroom good size compare american hotel . room bite small american room . would say three - quarter size standard Holiday Inn room U.S . would believe quality photo provide room . get twin room possible , tend bit large . there internet cafe , laundramat Sainsbury grocery store leave Cromwell Road fast food , bank ( HSBC good fee ) post office right Cromwell road . cellular phone , buy airtime credit Sainsbury grocery . walk straight Glouceter Road , will find Palace Gate 6 block ahead well area nightlife boutique shop . gloucester station across side street hotel ( Ashburn Place ) . station get Baker street within 15 minute Kensington High Street within 5 minute . I love hotel much , plan stay return later month . fantastic , professional , helpful staff , clean room , great room service , fitness area Internet / Business facility keep come back . never fan Holiday Inn chain , hotel change mind . even stay Holiday Inn Express visit Las Vegas Labor Day holiday couple day ago ( room HUGE look brand new ) ! 
 Sep 7 2004 	 outstanding location - even internet cafe nearby 	 family ( mom , Dad 15 year old son ) stay exceptionally nice hotel July , 2004 three night . find hotel room bit small many extra . room airconditione quiet ( important we ) . find concierge important visit . know good restaurant good tour sell ticket everything avoid line . hotel close Tube grocery store . eat breakfast , snack dessert item buy store . also find internet cafe within 1 block keep son happy . would recommend hotel highly . dd . Ft . Lauderdale . Fl . 
 Sep 7 2004 	 Great Hotel questionable staff 	 stay 2 night Labor Day weekend . right next Tube station - 30 min ride Heathrow 10 minute ride Cirus . nice neighborhood fast food , resturant , shopping walk distance . view upper floor hotel beutiful . one tall building area see everything . ( skip eye room face east . ) hand , staff helpful . light bathroom would turn contact front desk tell . say someone would 20 minute never hear one . mention desk way applogize still one show fix light . also argue $ 107 charge credit card . sure removed hotel staff seem unable explain charge come from . in - 1 . hotel GREAT location . hard find well price . convient everything . 2 . room clean small . 3 . tollerate unhelpful useless staff great hotel . would recommend one . 
