trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 Jan 28 2009 	 Loved Hudson despite teeny tiny room 	 yes , room teeny tiny . would recommend standard room one person . however room make excellent use space , bathroom well design , space hang clothe store luggage . problem miniature room miniature tv - would like large flatscreen TV.I ask room one top floor , get lot natural light probably make bit comfortable . room also ' glimpse ' Hudson River window , nice . lobby spectatcular , breakfast include room rate delicious . lobby bar great place drink , although typically pricey . Library also great space relax feel little claustraphobic room , even able eavesdrop celebrity interview take place stay . location excellent , close subway Central Park . Whole Foods across street Columbus Circle great pick fresh food . the front desk staff little disorganised time , occasionally wait thing ie breakfast voucher . would definitely consider stay Hudson good rate offer . 
 Jan 24 2009 	 Nice stay small room ... 	 stay Hudson Hotel December Christmas shop New York . I nice stay . food restaurant delicious . cosy library enjoy cup coffee . the room small decorate nice way . the service reception good . 
 Jan 23 2009 	 ok .... impressed 	 stay 6 night January honeymoon . first get seem quite cool although husband say reminded hostel stay South America . check ok room ready 4 pm . supposedly get upgrade superior room , although tiny not know room could small . look ok , bit weird . bed low big , adequate . problem start : firstly , heating do not work unless turn 90 degree , hot ! also make terrible bang noise night , wear earplug . also , water never get hot unless shower first thing morning . bad thing toilet stick floor , bang back every time stand ! corridor really dark overheat , bit weird . think place focus much bar enough guest pay stay . staff helpful ask . would not stay . 
 Jan 21 2009 	 Small room 	 Booked hotel Expedia cheap rate ny . lobby bar great , restaurant fabulous food . room however really small , feel like cruise ship one cabin room . desk something 6 year old nephew would sit . great hotel look productive business . could see hotel place crash drunk need place lie head . 
 Jan 21 2009 	 Loved Hudson great place stay ny ! 	 girlfriend stay Hudson January find great hotel . read several review refer small cramp room unfriendly staff , find simply case . yes room small much time spend hotel room New york ? ! ! upgrade room superior enough room put luggage shopping . 6 ft not find room much trouble . coridoor dark , consistent rest hotel find ' dangerous ' ' ridiculous ' previous people refer as . as staff , check seamless happy help we time , even book we restaurant reservation give valuable tourist information . if be look cool hotel locate right next park within easy reach Times Square 5th Avenue , place . old generation might struggle get grip low light funky bar , , not design 50 's ... offence ! ! , great place spend day NYC , bar restaurant hotel may pricey would probably expect ( $ 9 bottle Corona .... hmmmmm ! ! ) easy pick nice restaurant bar locally breakfast round corner flame great place go morning . recommend young couple group mate look bit treat stay great city . 
 Jan 19 2009 	 Underwhelming Hotel 	 whenever go NYC try stay different hotel . something like Morgan 's Hotel Group hotel . impression usually run ok great . find Hudson underwhelming . as many Morgan 's lobby kick . feel brick warehouse , ivy grow ceiling . 's dark , be typical . loud music play day night . greeter nice touch , though not much say hello welcome . front desk staff really pleasant helpful . room size decent walk - in closet . could barely move around bed , workspace hold laptop . dark paneling make feel even small . the bathroom proportionately small . could barely move around . water never really get hot , sink never really shut . nice feature big window shower room could watch ESPN get clean . dining space intersting - brick lobby long community table . food so - so , definitely worth $ 30 pay buffet . impressed gym , 3 treadmill cardio equipment tv , plenty weight equipment . big space never feel crowd . location fine , 2 block Columbus Circle . can not really beat low room price . much well hotel NYC , certainly well Morgan 's hotel . 
 Jan 19 2009 	 WOW ! would go back tomorrow 	 bit worried first know room quite small , get big thought ! need room sleep , store clothe shower . bathroom good size bedroom matter , plenty room . shower great ! lovely compfy bed clean fresh sheet daily big flat screen tv etc . staff hotel first class . give breakfast voucher come really handy . location could well , one side central park time square . Hudson bar fantastic , busy popular great atmostphere . stylish ! although freeze NYC time year , lovely warm hotel . go back hudson hotel summer sure next time experience amazing sky terrace . thank hudson hotel great stay . 
 Jan 16 2009 	 small room great location 	 review Hudson Hotel find Tripavisor basically correct : room small , hotel design big thing , good location ( expecially ride Subway ) absolutely & quot ; plus & quot ; .My wife need clean double room Hudson satisfy request . hope room big seem user picture ... ! ( actually New York hotel room not quite & quot ; large & quot ; , Hudson average , ) .The hotel designer Philip Starck good thing bar lobby ( room ) . like & quot ; Gossip Girl & quot ; will happy know scene shoot Hudson . enough room price ? decide . the staff . kind , somehow lose luggage check : spend 1/2 hour waiting find . still believe mistake , mistake happen . , not worry much staff . three year ago spend & quot ; New York day & quot ; Fitzpatricks ( Lexington ) : small hotel , less glossy , large room ... like . 
 Jan 15 2009 	 Know Sardine Feels 	 son & amp ; stay Hudson three night early January . room book Priceline $ 115 / night + fee . fairly reasonable rate well locate NYC hotel . upon arrival , upgrade room $ 90 / night order space two double bed . base room approximately 136 Sq . Ft . one double bed -- small . addition , must live suitcase furniture drawer store clothe . room never lounge -- sleep , bathe & amp ; get . would never select hotel give choice . 
 Jan 14 2009 	 not afraid ! stay Hudson ! 	 get Hudson $ 100 night via Priceline ( hey , be January NYC ) . come away know would give great review TripAdvisor think place get bum rap . read review concern , review actually help lot far set expectation go . front desk staff exceedingly friendly happily check several hour early since room ready ( yay ) . attitude book Priceline , something other mention . find lobby public area groovy interesting ! find hallway shabby well - maintain , fine . Dark , course , dirty stuff folk mention . and yes , room extremely small - believe approx 18 foot door wall behind bed , slightly less wide - maybe foot wiggle room either side bed . 1 person small room would nearly unbearable opinion . somehow lucke actual wall center room shower . not find shower curtain stick shower ( lol ) . Nice Korres toiletry . bathroom slight bit ... icky , ceiling showerhead look like could use little work $ 100 night could hardly complain ! bed super comfy , indeed low floor . issue . even though 19th floor could hear street noise definitely bring earplug ensure good night 's rest . par course New York really bother . heating pipe click clack little heater fire , nothing could not handle die quickly . I go bar / restaurant Hudson price outrageous . Hang leave front door breakfast Flame Diner 9th Ave - 's classic NY diner be not fancy , food 's good breakfast less $ 10 every day ! belgian waffle amazing , try one . : - ) coffee great . be Starbucks fan , hang right hotel door 's step away . there be also giant shopping mall inside CNN building block , Columbus Circle . manner chain store plus small Dean & amp ; Deluca food - to - go area even Whole Foods basement ! subway course available 59th St / Columbus Circle be step away Central Park South . Clientele mostly young Euros use hotel base . seem happy enough groovy place . see bewildered old folk , elderly ( lol ) couple business traveler overall crowd skew young . probs checkout , phantom charge , give keypass use pc business center print boarding pass - ask nicely ' m sure same . all , would stay heartbeat $ 100 / night . pay $ 358 / night ( go rate ) even $ 200 night Hudson would probably want die ( kill someone ) see room size would probably pick severely every aspect hotel . normally stay 4 - star dig stay away disappoint / upset . easygoing peep reasonable expectation NYC hotel - budget , really can not beat . 
