hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 May 1 2007 	 return Guest 	 41 still hotel always hope find . partner recently return third stay 41 , encompass nine brilliant warm day April , find wonderful 41 previous visit still wonderful , improvement make well . what still wonderful day London absorbing sight , sound ( moisture ) vibrant capital , calm 41 ' Executive Lounge put day perspective . really retreat busy world , nowhere feel need quiet spot London . always , staff learn name ( seem happen always , whether stay one night several ) , greet warm service impeccable . wonderful place quietly unwind end day . new since last visit , English Breakfast include room rate " Plunder Pantry " program effect 20:30 onwards offer variation salad cold meat night night . one evening beautiful parma ham , next good pâté . Green salad alternate cucumber beet salad , fresh bread always available . bring back 41 feel genuine welcome experience walk door , incomparable resident manager , Chantal , entire staff . rare find true hospitality hospitality industry , 41 make comfortable art . 
 Apr 29 2007 	 want experince private club London 	 41 absolute gem , cosy attentive genuinely friendly staff . it feel though private house gather old friendsthe hotel room small like ocean space hotel every possible personal desire room includng ipod speaker , personal robe - let imagination roam ! perfectly siutated opposite Buckingham Palace undoubtedely one good hotel London . 
 Apr 10 2007 	 one good 	 wife stay one night March ( Saturday ) excellent stay . first , let put star rating context - interpretation many star door guide book . rating relative price expectation . high expectation hotel meet expectation , would give 3 star ( i.e . neutral , expected ) . rate 3 hotel exceed expectation . book simple direct hotel website . pay £ 240 & quot ; Exectuive King Room & quot ; . wife arrive travel back business trip first give tour hotel , champagne , fruit show room . arrive offer experience , decline tour accept champagne ! room nice . huge , describe web - site . web - site not convey little touch really impress . quality bed , furniture , audio / visual equipment excellent . toiletry also ' luxury ' end . style modern side . stay hotel sorted lunch , dinner theatre arrangement ease . staff know name room number even not meet particular member staff . polite helpful . the location quite good tourist - near Palace , Parks London Victoria Travel interchange . reason can not give 5 star , since stay 1 night spend lot time around London , not get experience whole hotel facility . check - out use lounge ( nice ) , free internet printer facility check flight . definitely back return London . 
 Apr 6 2007 	 appalingly poor service tiny room 	 not write review time , feel experience put pen paper . do not mind pay £ 250.00 room clean , pleasantly decorate look anything else might hotel . however expect able get either side bedwhen curtain shut , require edible breakfast competentstaff , bitterly disappointed hotel . ridiculously lay room , turn service , neither paper request deliver morningeven complaining list go . piece de resistance present cold preform , precook rubber pancake breakfast , promptly send back return hot , yet end wait around hour new one give breakfast entirely . appology give member staff , seem busy chat guest . would return - nelly ! 
 Apr 6 2007 	 bit style lot substance 	 small boutique hotel cozy , chic room ideal weekend visit London . look hotel usual mod con not . hotel 41 rely hotel next door ( Ruben ) lot service make hotel incredibly inefficient . thing take grant hotel absolute chore ( staff make feel way ) . porter run hotel next door greet 's busy food take forever arrive either room club lounge . need nice look room night fit bill - otherwise look elsewhere - much well alternative price . 
 Apr 2 2007 	 Great Place ! 	 wonderful time hotel . great atmosphere & amp ; service . room tastefuly decorate 24 hour service . husband need assistance internet 2 , send someone immediately . room service take come everything hotel top notch . 
 Apr 1 2007 	 good hotel 	 stay recently one night , weekend break London see Billy Elliot - great location Victoria Palace theatre practically next door . the hotel clubby atmosphere , staff polite really feel though nothing much trouble ( room service button telephone room call ' whatever , whenever ' ) .love special touch , like complimentary supper help - yourself - but - put - it - in - the - honesty - book , turn - down service spectacular , hotel go - candle light bathroom , tv remote tv guide open correct night , slipper robe lay , soft music switch . nice indeed ! picky , could say room little small , room service item list available 24 hour - picky , not think even mention checkout . if go pre - theatre dinner Old Masters restaurant ( attach hotel ) aware 's carvery affair , feel little dressed . have prefer intimate , restaurant meal , end complaint - roast rib beef superb ! would consider stay hotel . fraction way , wrong side Buckingham Palace , mean walk Mall lively environment , 's good hotel , smart . staff make feel special , expensive either . recommend ! 
 Mar 24 2007 	 Quintessentially English 	 stay hotel one night , definitely short experience ! would ask stay another night unfortunately leave day . the service smile get characteristic set hotel apart . get feel staff really look , genuinely want make stay exceptional . austerity pretentiousness place . we stay executive double , small perfectly form . room reflect hotel whole : quintessentially english modern convenience luxury . particularly like fact nothing stingy - ample toiletry ( Penhaligon 's ) , complimentary snack etc . go light tea return midnight starve plunder pantry fantastic we ; breakfast also delicious . all , hotel onto winner : 5 star facility service , great location , distinctly personal touch ! 
 Mar 20 2007 	 great staff oasis class calm 	 stay one night midweek . arrival departure staff friendly , helpful polite . room excellent breakfast execuitive lounge . quiet could imagine central London . 
 Mar 9 2007 	 Gorgeous Boutique Hotel 	 stay hotel one night February boyfriend & amp ; think gorgeous . unfotunately London one night , would definitely like stay hotel long period . the staff attentive & amp ; friendly & amp ; room beautiful , slightly small . location hotel perfect sight see London - close Buckingham Palace see it . I would definitely recommend stay treat . 
 Mar 2 2007 	 great experiance 	 Great Hotel . stay 3 night split level suite true pleasure . staff attentive room outstanding . breakfast good . hotel sit adjacent sister property Reubans , directly across Royal Mews @ Buckingham Palace . would stay recommend other . Bag Nails Pub across way pretty good quick bite pint . 
 Feb 26 2007 	 Jewel Crown 	 lovely surprise Victoria . 41 resemble elegant private club beautiful furnishing outstanding service . room elegant thoughtfully fit . mine huge marble bath separate shower work fireplace . bed comfy pillow high quality linen . Chantal Andrew terrific make exceptional experience . although be much around area restaurant hotel would recommend anyone . 
 Feb 5 2007 	 BEST HOTEL ever ! 	 wow ! can not begin tell wonderful hotel . attentive staff elegant reception area lovely room deliciously comfortable bed , Hotel 41 romantic jewel boutique hotel . real standout treasure , however , hotel manager , Chantal , make everyone feel special . whenever husband think trip London , smile memorable Chantal . 
 Jan 14 2007 	 want splurge 's nice place stay 	 look hotel stay two night cruise July . go back forth pay 41 stay 's little brother Rubens Palace . decide save extra money stay Rubens . when check hotel , desk agent mention room available 41 would want upgrade ? well , ' m sucker say yes . mistake . we tell wait lobby send someone 41 ( locate quick elevator ride updstair ) come get we . everything else handle . always recognize greet name . room lovely . small , well appoint comfortable bed . bathroom roomy hot water abundant . the common room beautiful two night guest , feel visit friend estate . great honor bar wonderful snack pantry . the breakfast buffet fabulous ( yummy french yogurt ) one night order dinner great ... pricey . we would stay return ... 
