awful 	 bed hotel worst ever sleep hotel . feel like super cheap mattress pillow bad , . open air window bathroom bedroom , shutter , ok not want privacy . service good , nothing important comfort , especially bed . exhausted lack sleep make trip less enjoyable . pay $ 48 PER DAY park . would stay mid city , know . way much money low quality . 
 Fabulous Hotel 	 reading review , little skeptical visit . say , could not wrong . customer service great top notch . room Great . big enough three people . great city view . stay 32nd floor . bathroom make little weird slide wood door wooden shudder , still maintain privacy . definitely stay . downside hotel parking . cheap parking ANYWHERE around hotel . business center cost $ 6.95 per minute .50 additional minute . needless say , do not laptop , able get online . 
 Jun 14 2004 	 Ok Hotel 	 stay 4 night W. Room term design comfort superb , although may need extra lighting color scheme make whole room dark . love bathroom stylish different . wish say thing W staff . staff style panache . staff restaurant act together . first stay foodserve look untidy ( black pant fade , look like wash day . ) make bad switch bill another customer . customer peeve . seem eveyone include people hang lobby try hard cool hip . well try fortunately did'nt quite make . overall good hotel . 's staff need training run sophisticated hotel , .. like Hotel Monaco . 
 Apr 8 2004 	 cold shower 	 recently unpleasant three - night stay W. first morning notice hot water shower sink almost water pressure . cold shower shave complain front desk apologize promise problem correct . next morning water still freeze day . time speak supervisor manager , apologize assure problem would fix . needless say , water cold next morning . ask refund Hotel inform possible prepaid stay ( ! ! ! ) . give enough & quot ; prefer guest & quot ; point free night stay still believe pay $ 250 night hotel even provide hot water . 
 Apr 5 2004 	 Love / Hate Relationship 	 ten girlfriend stay weekend Bachlorette Party . us mixed review . room something wrong , yet still fabulous . state Love / Hate Relationship W Hotel Lakeshore . love : decor hip , bed comfortable , view good Chicago . hotel clean provide everything need . make feel sexy . hate : room dark , can not find anything look . girl beware try put makeup . sink constanlty clog . one 3 room not ready check 7PM . staff restaurant unorganized . would definetly stay , consider good hotel ' ve stay Chicago , next time will pack flashlight . 
 Feb 7 2004 	 Love W bed 	 great hotel ! ! bed wonderful , might want get morning . staff encounter friendly helpful . bar aka Living Room fun place hang friend drink two . food not bad bar menu , not make restaurant . like reviewer say really not place bring kid adult atmosphere . favor splurge lake view room . take shower look lake . hotel short cab ride away anything city . like W 's hall bite dark room help add atmosphere place . love W hotel ' ve stay think one favorite . color scheme room relax romantic , lot black , tan red . will back . 
 Jan 26 2004 	 Fun 	 much need & quot ; Girls Weekend & quot ; . first time W. understand rave ! ball . Super hotel ! definately different place ' ve ever stay . traveler , though . funky , sexy , chic , loud music , busy -- fun fun fun ! ! far live young mom 3 young child home . travel long weekend Nov. 7 - 11 , 2003 . highly recommend hotel . GREAT STAFF - very personable accomodate . Book it - you will glad ! 
 Nov 21 2003 	 Nice Place 	 W Lakeshore wonderful hotel , though certainly develop certain crowd . , W hotel , 20 - 35 year - old , affluent people mind clientele . prefer traditional luxury like Four Seasons Ritz - Carlton , travel family , favor stay . happy . my girlfriend stay one night relax , go school Chicago , we love hotel . feel comfortable public area hotel , dress well . chic style hotel , though cheap cheezy . lobby turn night club atmosphere night . the service receive good ever experience Park Hyatt Four Seasons . check 7 pm Saturday evening . spg line quick upgrade without question . breakfast next morning Wave restaurant , free continental breakfast , waiter give we entire menu free . the room , undoubtedly small , hotel convert day Inn . nonetheless , wondefully furnish . bed , starwood hotel , second none . hotel certainly good view hotel Chicago . bathroom cool . asian , wood - panel , slide door nothing surround shower ( make nice morning shower girlfriend ; ) ) .check - out breeze . , , think cool hotel excellent service . though , , caution choose hotel . room far small family . bathroom cool unless be travel someone feel comfortable naked around . also , night atmosphere certainly small child adult prefer lay - back atmosphere . , like hip place hang in - crowd , chance enjoy hotel . 
 Nov 8 2003 	 W Hotel Lakeshore Terrible 	 check W lakeshore thur . nov . 6th ... always big fan W Hotels , unfortunetly , W Hotel along two , absolutely horrible ... reserve superior king room three night W Lakeshore . lobby nice , end ... exit cab attendant stand lift bag cab open door hotel stand talk ... room incredibly small , run , dirty , smell , loud ... amount money charge crime . basically holiday inn express paint odd color large W slap ... friday morning speak manager allow we check two day early problem ... switch Penisula Hotel ( amazing hotel , ' m right ) ... overall , W Hotels go way downhill , lakeshore total rip small can not get way ... charge gratuity mini bar 20 % ( never see , waitress pop minibar serve drink ) . room disgusting , smell loud ... really love W Hotels , not know happen , spend money elsewhere , hotel expensive not receive anything dirty , smelly , loud room extremely rude person whenever whatever desk ... truly would recommend hotel . thank manager hotel allow we leave 10 hour ... good part ... dollar stay hotel 50 time well ... even dollar less could probably get ... shame W Hotels rip people like . never stay W Hotel ... whatever happen Starwood buy huge mistake ... 
 Oct 30 2003 	 w wonderful ! ! ! 	 owner spa day fill take care other . need Chicago week Labor Day 2003 attend work relate class . , thought would leave day early & quot ; & quot ; time . love water look hotel would position perfectly take advantage lake . well , find ! W Lakeshore right Lake stone throw Navy Pier . book room view watch people night day walk , bike swimming . room also perfect view Navy Pier Ferris Wheel . beautiful . arrive Chicago bag not ! never happen stunned . [ note traveler -- not fly ATA . ] arrive W make time pre - schedule facial massage spa . first take aback spoke someone phone ask & quot ; spa director & quot ; replied & quot ; Yes & quot ; . well , & quot ; spa & quot ; consist two room inside gym ! check desk x - hotel room computer phone . , service [ top notch ] realize ' size not matter ' ! good spa experience feel anyway . , hotel detail . ' uber - Urban ' hotel . super cool . snobby way . one warning however , work require leave room early , warn , bed SOO comfy might miss early appointment ! fall completely LOVE room W. notice every design detail square / cube surprised comforting . shower unique incredible . supply CD player think , & quot ; Great , not bring CD 's & quot ; . worry also supply cd listening pleasure available sale shop downstairs . 's . order room service bottle wine , put groovy cd , hop shower -- rainhead ! -- gaze window [ shower ! ] onto gorgeous lake ! ! ! oh , mention also give TEDDY BEAR ! LOVE PLACE ! ! ! since not anything upon arrival , W provide everything could want need clean comfortable . leave , leave behind note say , & quot ; be nice feel take care . thank wonderful experience . & quot ; 
 oct 22 2003 	 good service hit miss 
 Oct 7 2003 	 stay ele ! ! ! 
 Oct 6 2003 	 Hip W 
 Sep 1 2003 	 Children / Families 
 Jul 22 2003 	 Night Club Hotel ? 
 Jan 1 2003 	 SCAM 
 Sep 3 2002 	 WOW ! ! ! 
 Jul 29 2002 	 great view lake convenient location ! 
 Jul 22 2002 	 overprice 
 Jul 8 2002 	 simply -- wild -- regular Holiday Inn 
 Nov 3 2009 	 ? ? ? ? ? ? ? ? ? 
 Mar 13 2009 	 Gut gelegene Business Hotel mit Detailschwächen 
