Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Nov 3 2008 	 pretty good price location 	 stay Hilton Garden Times square late Oct 2008 . money , hotel decent value . however , note really times square , rather block away . folk check - in nice efficient . room perfectly clean bed comfortable sleep . furniture could use clean ( easy chair chaise ) , price NYC get decent value . suggest visit Pigalle breakfast / lunch place . service quite slow breakfast limit menu . good , comfortable place stay NYC . would return price . critical past hotel ' ve stay four star price ( another $ 75 would drop three star ) . recommend . 
 Nov 3 2008 	 happy family stay 	 two room .... actually 3 since move one 4 night stay . 1023 ( 2 queen ) , 1018 ( ) , 1024 ( king ) . good - sized , well appoint clean . real view speak , not hang room not matter . coffee maker room . , early riser , happy find Starbucks coffee lobby even 5 am . 2 children/4 adult . hotel staff sweet kid . diamond member , breakfast compe cafe next door -- -very good . would not eaten price ( $ $ $ ) pay . two other worth mention : 's food emporium right corner get anything want . Argentine / italian restaurant right 8th 50th : Sosa Borella -- -fabulous Uruguayan steak ... seafood good ! pricey , splurge . ( Restaurant Row also nearby . choose poorly . avoid O'Flaherty 's Irish Pub .... filthy food like frozen dinner . ) important us security . know kid would run back forth room . never concern hotel feel safe . can not wait go back . 
 Oct 28 2008 	 Great Location ; stay 	 wife , 4 - year - old son , use Hhonors point stay Hilton Garden Inn one night October 19 , 2008 . arrive around 11:30 able check - in . gold Hhonors member , give choice Breakfast 750 point . choose breakfast give 6 coupon breakfast , believe mistake , since typically get 2 per day . also receive coupon 2 free bottle water " snack shop " . even though one wheel duffel bag , use bellman " push " we . room : room 1107 2 extremely comfortable queen bed . addition bed , desk office chair , cabinet drawer , cabinet refrigerator , microwave coffee maker . use refrigerator , make sure turn . think turn conserve energy . small expect flat panel tv PPV movie available . also complimentary internet room . room " back " hotel , opposite side 8th Ave . view old building foot window . although hotel across street fire station , ' hear siren loud enough wake we night . safe room , use Key rather touchpad . bathroom small clean . toiletry Neutrogena consist Mouthwash , soap , shampoo , conditioner lotion . switch heating / cool system heating season , even though little warm outside , could use heat ' get room cool would like . food : complimentary breakfast restaurant attach hotel . enter , ask voucher give we separate menu list choice . good know exactly could order confusion . many choice include : pancake , egg , omelet etc . food good think well free breakfast get month ago Hilton Times Square . also seem lot non hotel guest eat restaurant well . other : hotel great location , within walk distance Central Park Times Square attraction . also several different subway line available within block . parking garage right next hotel . get parking stub validate front desk discount rate . rate would $ 68 ( ~28 hour parking ) , discount $ 13 $ 55 . able bag hold we check . pick bag later day , plan use lobby restroom , ' know require room key enter . would definitely recommend hotel first choice future trip New York City . 
 Oct 23 2008 	 would stay 	 stay three night Hilton Garden Inn business . would stay , recommend hotel secure rate $ 300.00 per night less . what like : good size roomcomfy king size bedroom clean high standard environmentally friendly ( choose new linen towel day ) microwave fridge flat screen TVFree Starbucks coffee lobby morningclose restaurant row9 10 staff friendly competent crazy : take long time shower shaving water get hot ( environmentally friendly front ) locate next fire station get noisy ( even NYC standard ) 
 Oct 14 2008 	 basic 	 Booked reward point hilton honors customer service rep . can not complain much free room ( ~ $ 400 rack rate / not ) free hot breakfast attach restaurant ( due gold status ) . complimentary breakfast may come expect chain . lobby spartan small free internet 4 computer , printer lobby ... helpful last minute attraction hunting . furnishing room nice color palate hallway certain prison quality . great location walk dinner theater . walkable Penn Station ~1.3 mile . Professional waiter restaurant crowded hour wait . 
 Oct 13 2008 	 overall good noisy 	 stay HIlton Garden Inn Times Square 9 night . hotel room really big , lot big expect see people 's photo . corner room kingsize bed 9th floor ( reality 8th floor ground floor ) . believe rooms hotel big though 's luck ! check rather swift although front desk under - staff evening . major problem next day realise charge card & quot ; incidentals & quot ; although promise would not charge anything . complain 3 people front desk different time get reply & quot ; 's hotel policy & quot ; sympathetic answer basically want drop , offer free breakfast voucher ( suppose way get sticky situation ) . surprised refuse voucher not eat breakfast not see would solve distress inconvenience cause charge card ( be long story ) . , sympathy front desk , general bit lose job , little overwhelmed , little bother basically . now big problem hotel nowhere mention previous review surprisingly : hotel noisy . ' m talk street noise ( can not escape even room 14th floor , city buzz day live basically ) . find impossible live noise housekeeping staff . 9 am 11:30am everyday constant slamming door , bang , shout , hoover , be incessant ! ! not complain front desk , point . want relax lie - in morning , hotel . be go New York night life will not able enjoy will not able get much sleep . plus : be eager get room clean , twice banged door ( although do - not - distrub sign ) ask ! ! towards end start feel bad leaving room late everyday , make feel uncomfortable keeping hour ! ! also : be near elevator , dispenser , air con ice cube dispenser , be shock make huge noise whenever operate ! ! place middle corridor , adjacent room noisy . even get morning still will not escape slamming door noise night other return room , unless sleep heavily . general definitely need ear - plug stay . the tv set decent , american tv ok , especially talk show night . coffee machine ok kettle would much well ! microwave fridge great help ( utensil though reason can not really eat make microwave unusable case ) . bed pillow ok . curtain rather dirty . ' m glad light block curtain well ! ! important ! be also safe 's electronic ( guess front desk key well ) .some good thing : - love smell corridors.- wifi internet connection work great . cut 3 4 time 9 day stay.- location perfect ! be close trendy Hell 's Kitchen , Times Square , cinema , bar , restaurant , shop , museum , numerous grocery / convenience shop 's also surround several Starbucks metro station ! hotel overprice time quite basic , frill , clean ok standard ( ask bed clothing change every day , not change duvet cover , pillow case sheet ) . 's towel : leave floor know not want use again . it suit family tourist - y couple think hotel bed night ( try something cheap case ? ? ) .Overall not unpleasant experience be really bad detail . 's also overprice ( pay $ 400 plus tax per night ) not think would stay unless get really good promo offer . it be ok 3 star hotel run like 2 star hotel . some general tip New York : - 's rather difficult vegetarian not eat pizza food cheese ! - taxis great way see city be expensive- not believe anyone say everything cheap New York ! not ! 
 Oct 6 2008 	 excellent hotel 	 girlfriend stay Hilton Garden inn Times Square four night think really decent hotel . much well 3 star give . clean excellent sized room . good facility inside room nice little extra like free starbuck foyer . hotel location perfect Manhattan nowhere far away . 's bar accross road call Social be not bad little bar . would stay . 
 Oct 6 2008 	 pleased stay 	 Hilton Garden inn great place four girlfriend stay first vacation ny . every positive thing mention true . staff wonderful helpful . room nice location perfect . originally book room queensize bed . plenty room lie 4 set luggage around corner room . refrigerator microwave come handy soda , beer tea . coffeemaker much appreciated morning ! restaurant directly across street ( Olympic ) eat breakfast . reasonable quick ... tasty ! restaurant connect hotel ( Pigalles ) bit pricey burger good . seafood selection also . little foodmart one block away . nice street view 12th floor , low building across street skyscrapers distance . sure get trip Broadway Show . buy ticket half price ( approx . $ 60 ) . ask staff get hotel sell , short walk . also subway nearby Greyline hop hop bus tour great way see large portion Manhattan . ask extra towel , washclothe , coffee packet receive day . thank Hilton great trip ! ! ! proud staff ! 
 Oct 2 2008 	 LOVED HILTON 	 return celebrate 20th wedding anniversary Times Square . want something nice central plan . tell reservation make Booking.com Crown Plaza Times Square never make , decide try Hilton Garden Times Square . disappointed . staff amazing , help husband plan surprise part trip accomodate request . initiallu\y place one room a.c bit noisy view building , however change immediately upon request . if look comfortable , clean nice place stay central theatre block Times Sqaure disappointed . 
 Sep 27 2008 	 good value decent hotel good sized room . 	 stay hotel five night . second trip New York previously stay four star pleased find hotel clean , good customer service . useful facility - shop restaurant attach decent sized room comfortable bed make good value money . 
 Sep 24 2008 	 good hotel great location 	 stay Hilton Garden Inn Times square 6 night September 2008 . hotel 3 star opinion border average 4 star . room spacious , staff friendly keen help . 24 hour shop site nice resturant attach hotel . the hotel locate around 8th avenue/49th street boarder times square area well serve subway tourist busess . overall good stay good location - draw back really price £ 260 per night , however doubt would get well deal similar hotel area . 
