pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 Oct 30 2005 	 Lucerne terrific value 	 stay Lucerne Hotel Upper West Side 4 night . room ( stay Supreme Double ) clean comfortable , read review NY hotel expect postage stamp , perhaps touch small typical chain motel room , certainly adequate need 2 adult . ditto bathroom . pretty lobby doorman , nice facade building . staff terrific , helpful attentive , room quiet , location feel safe convenient , lot restaurant market . quite close Museum Natural History Central Park subway , 1 mile walk Met . walk way Times Square pretty long 2 mile hike , wear good shoe ! luxury hotel think nice , comfortable price good comparatively . see madhouse Times Sqare midtown happy come back Upper West Side night . would definitely stay . 
 Oct 28 2005 	 great hotel great area 	 fantatstic friendly hotel great neighbourhood area . service cleanliness etc excellent . safe quiet great restaurant close - avoid Mid town stay cost . Nice Matin bar hotel great cocktail - thank Paul barman . would definitely stay . 
 Oct 27 2005 	 lovely hotel 	 hotel well locate plenty bus line , restaurant convenience around it . the service outstanding . need repair bathroom . repair even mention desk . the hotel serve breakfast restaurant adjoining . 
 Oct 27 2005 	 delightful surprise 	 husband return 11 glorious day New York City . first time visitor city know expect hotel surround area . however soon arrive Lucerne know make right choice . staff friendly helpful . room absolutely spotless standard maintain throughout entire stay . recommend Lucerne highly enough . hotel delightful surprise surround area full great restaurant , cafe 's , bar shop . eat every night every night able try different type cuisine . love good curry highly recommend indian restaurant across road hotel Amsterdam call Swagat , alternatively love japanese food great Sushi bar near corner Amsterdam 81st . look something bit special can not go past restaurant adjoining hotel call Nice Matin serve beautiful french food , would suggest book dinner full every night . also fantastic breakfast say make good coffee neighbourhood . fantastic time hope . 
 Oct 26 2005 	 fantastic 	 corner room 7th floor - relatively quiet street noise , quiet hotel noise . two woman 7 - month old daughter . room 2 full - size bed . plenty room spread . room super clean feel comfortable baby crawl floor . even able move one bed window wall could sleep without fear fall bed - underneath bed clean , . two extra pillow closet create barrier bottom top bed , . pillow comfortable , bed . bathroom pretty tiny , alot counter space . desk right outside bathroom woman able store personal HABA supply . shower great - wonderful water pressure plenty hot water , even late shower 9am . the hotel provide we complementary copy Time . nice . restaurant next door fabulous brunch . location fantastic . upper west side unpretentious . two park within 2 - block running playing . lot shopping , museum , great restaurant . definitely stay . whether business pleasure . 
 Oct 26 2005 	 Praise Lucerne ! 	 boyfriend stay Lucerne 0ct.1st - oct.7th 2005 . start point quite different : first trip New York , boyfriend live Manhattan early year . ' m crazy fancy , expensive hotel , be enough nice , quiet , clean place sleep day city , long not share bathroom . boyfriend , bit snob hotel . want spend money food shopping , hotel , suggest stay Lucerne first 6 night , base review . happy location ( Upper West Side ) , bt otherwise suspicious . book Lucerne , quite nervous ... turn Lucerne fabulous ! check , ask room upper floor , get one . room small clean , bed comfortable , bathroom quite big . hotel staff & quot ; distantly freindly & quot ; professional . keep mind , hotel provide basic one need away home ; luxury per se , find ! ! BEST PART however neigbourhood ! ! stay weather really good fall , little restaurant outside seating full crowd . lively , feel safe long day walk city , go far hotel ! neighbourhood would recomme : Bagel & amp ; Co , perfect new york breakfast : fresh bagel , juice , big coffee , big enough table read new york post . ( across street corner amsterdam 79th ) italian restaurant Pappardella Columbus Avenue ( 4 - 5 block south 79th street , be Zagat , food good ! ) Citrus Amsterdam Avenue , sushi GOOD , mojito ( also 4 - 5 block south , Zagat ) ... many ! good steak life SoHo Balthazar ! hear difficult get table , worth try ! ! ! ! ( - ) 
 Oct 25 2005 	 Nice hotel safe neighbourhood . 	 although central New York , hotel Upper West Side 20 minute walk/5 minute cab Times Square . clean comfortable room . nice , safe neighbourhood , lot place eat close ( place get laundry do ) . staff polite helpful . would recommend . 
 Oct 20 2005 	 Great Neighborhood Experience 	 book two room long weekend New York . Deluxe King room large New York standard , certainly generous . Junior suit much generous price . experience checking make somewhat unpleasant Desk Clerk neither welcome accommodate . fortunately staff person encounter rude . great small restaurant neighborhood casual dining . Cental Park , two block away , make nice destination walk . subway location one block away can not beat . 
 Oct 16 2005 	 great place ! 	 great neighborhood - upper West Side . lot local flair . room small , ok , since not much . close subway stop , . loved local neighborhood , service great . think expensive , guess 's typical NYC . 
 Oct 12 2005 	 great hotel 	 great hotel , room small nice clean , quiet . many restaurant within walking distance . go back go back NY 
 Sep 27 2005 	 average 	 reading review hotel New York , decide book Lucerne safe consider negative hotel NY.We arrive Sept 19 leave 25 . location Upper West side Manhattan nice neighbourhood lot place food relatively save area . the hotel staff good efficient check us 12th floor non - smoking . room fairly decent size 2 twin bed ( 4 person ) clean . particular cleanliness arrive KL ( Malaysia ) . shower excellent bedding towel clean . the coriddor stairwell clean good shape . small gym adequate good . security foyer area good ( night ) staff helpful . good stay hotel also city . we eat restaurant hotel note lot guest evening . pleased stay think highly recommend tourist . 
 Sep 18 2005 	 great hotel Upper West Side 	 7th September arrive hotel book via online hotel reservation system . check - in quick friendly . ticket US Open buy via e - bay delivery hotel , give check in . we room second floor , nice large ny . second stay ny , first time stay Roosevelt ( also nice hotel , room much well Lucern ) .We breakfast Nice Matin & quot ; nice & quot ; . lunch dinner possible many restaurant nearby : Bello Sguardo , Sarabeths , Rain , ... two block away central park , metro one block away , Starbucks , GAP , Victoria Secret ... also nearby . next time ... definitely stay Lucern . hope Kim Clijsters win US open . 
 Sep 17 2005 	 wonderful place ! 	 wife 13 year old stay 3 night Lucerne . surely one nice hotel experience ' ve . hotel meticulously well - keep , room well appoint quite spacious ( consider heart New York ) . staff uniformly courteous helpful , right moment drive door . pretentious condescending , truly courteous helpful . location wonderful -- block broadway subway , block Zabars , locate right & quot ; restaurant row & quot ; Amsterdam avenue , short walk Museum Natural History , lovely walk Central Park Met , right 86th street crosstown . central , yet upscale residential , relatively quiet & quot ; touristy . & quot ; gem find . definitely go back . 
 Sep 8 2005 	 Lucerne - Great Families ! 	 wonderful stay Lucerne July 2005 . 4 we , 2 adult 2 kid ( 8 & amp ; 4 ) . stay 1 BR suite , great - queen bed good - sized bedroom , plus sleeper sofa living room actually comfortable ! room nicely appoint clean . small kitchen area , small fridge & amp ; microwave . could use toaster . staff helpful , location could not well - close Central Park , Museum Natural History , west side attraction . hotel restaurant lovely , bit sophisticated young diner . find plenty kid - friendly dining neighborhood , though , not hardship . , child get ill , , full service drug store right across street ! recommend hotel other stay . 
