first 	 stay Bryant Park Hotel quick overnighter friend . room gorgeous , bathroom beyond amazing , amenity offer first class . after run around city look fun place go , end Cellar Bar mad not come early ! music great , crowd fun , staff nice funny . only downfall & quot ; late night & quot ; menu -- food obviously microwave , else expect 3 a.m. ? 
 Apr 27 2007 	 oh 1998 big attitude 	 Location close office , good that s it . very rude reservationist book room . get hotel room ready 4pm . tiny room , paper thin wall . More 3 star hotel . not worth 375.00sofitel close much well choice . 
 Apr 25 2007 	 look great comfortable 	 Nice hotel flash substance . fresh look hotel room look good bed furniture uncomfortable noisy . staff seem way cool answer question . 
 Apr 20 2007 	 forget 	 write review reason get post ... place stink moment go throgh front door paper dirty floor .... room tiny price , bed mess back ... furniture ... shower horrible ... room service really bad , would think $ 30 continental breakfst would right ! wrong ... place hip , get wrong ... goodthing say location fantastic , forget ... maybe post review time .. need go san francisco learn hip ! 
 Apr 20 2007 	 great stay great View 	 stay 8 night March / April enjoyable stay . be room 1605 deluxe view view bed area massive bathroom . find bed ok room excellent amenity style , minimalistic , like . there number cheap option breakfast close room service expensive although be nyc.there dry clean ' wash fold W39th St b / w 5th & amp ; 6th Ave 's reasonable price . all nice stay , great room great view . 
 Apr 16 2007 	 excellent stay overall 	 somewhat worried minimalist decor / coolness property , quickly . bryant suite nicely appoint , slightly stark . bed excellent quality linnen divine . flatscreen LR bedroom perfect . lighting / heating system control extremely fine tremendously appreciate . never enjoy hotel bathroom much ... heavenly tub stereo system plush robe ( normally not use ) . care take provide top quality modernity throught hotel . beef service . staff quite friendly natural , kink need work . make clear special celebration stay . greatly appreciate give good rate Bryant Suite , even congradulation card , much less flower , wine chocolate suite . quickly order Godiva chocolate bring wrong kind . late evening could look forward finally dig replacement . return room find small box quite boring flat chocolate square ... exactly mind . laugh $ 30 paying let go . remainder ( ) continental breakfast remove room despite note leave please leave we . series call miscommunication ensue ( including call we 7 a.m. next morning ) mood , thing replace . say feel staff truly want top notch perseverance committment , time . 
 Apr 15 2007 	 recommend 	 stay 6 night holiday April . excellent room ( # 1705 ) - deluxe queen view park . go Expedia pay around $ 300 special deal . arrival offer upgrade junior suite $ 100 extra per night decline . staff ultra - professional every way . no problem street noise like could open window . candid traveler photo give excellent idea room like - quite minimalist clean , comfortable , good tv , iPod dock , Bose CD / radio . bathroom amazing - large , 2 window , massive bathtub shower , Molton Brown toiletry - definite selling point . fresh linen & amp ; towel provide day , bucket ice evening . location ideal tourist - easy walk Times Sq , 5th av , esb etc subway station block . get great breakfast pax wholesome food ( right next subway ) less $ 10 . go hotel 's Cellar Bar Friday evening , quite fun loud , expensive full young 20 - something go crazy . not check hotel restaurant , always seem busy . recommendation eat / drinking ( ideal ) : ' Cesca ( relaxed italian UWS , W 75th St , b / w Amsterdam & amp ; Columbus ) Kittichai ( trendy Thai Village , Thompson St , b / w Broome & amp ; Spring ) Kemia ( bohemian Moroccan Hell 's Kitchen , corner 9th Ave & amp ; 44th St ) Bar Room restaurant moma also excellent . 
 Apr 13 2007 	 Disappointing 	 wish read review booking . I relate negative point raise review more . upon arrival check - in desk could find reservation . book email we . instead invite we access email account computer point we road near internet cafe . reservation book girlfriend CC hotel reservation mine ( idea ) .We arrive room approximately 2 3 pm . room look dark even curtain open view consist neighbouring building two side ( major point intend spend little time certainly nothing like picture ) .after head remainder day arrive back Thursday night melee outside door . queue get ' cellar bar ' . go back room not appreciate grab arm way verify resident . check day interesting . honest people amazed discover room service bill $ 20 know least $ 60 . pay thought anyway . the plan leave bag luggage staff ( excellent way , redeem feature place ) use remain last minute shopping . arrive back 4 pm girlfriend ask use bathroom . instruct use Cellar Bar . two minute later back desk close ( clean presume ) . send 5th floor gym . back couple minute need key access floor already check . receptionist know bag we wait cab . from experience seem like hotel after - thought . serious charge room price need improve standard customer care reception rather employ staff look good . certainly different entrance cellar bar main hotel entrance . whilst not expect always get great view would least nice know view available decide point whether proceed booking . all , disappointing stay . ny great though . 
 Apr 11 2007 	 Nice NYC Hotel 	 stay one night Bryant Park April 2007 . room 1705 , deluxe queen room park view . rate $ 400 , not bargain , travel business . room everything could want . three enormous window great view , modern decor ( hardwood floor minimalist design ) , nice small table could work , great bathroom . bathroom deep tub separate shower stall rain shower . also two big window , sort different touch hotel room bathroom . service polite efficient . stay number NY hotel work pleasure , would definitely rate among good ' ve stay . hotel not business center , matter -- Kinkos right nearby . hotel charge wireless internet access , dislike . hotel restaurant Koi decent ( overly trendy dark ) sushi restaurant . location not great -- sort boring midtown area , get deal hotel , snap ! 
 Apr 11 2007 	 Great Stay 	 one night stay Bryant Park ; second visit hotel wife . go NYC get away day 20 year . love Paramount year ago new ffresh , try Ian Schrager hotel . find new favorite Bryant Park . upgrade arrival junior suite ( book standard rom Tablet website ) corner room 19th floor overlook park . spacious , sufficently luxurious , , good , ipod speaker system ! time hotel figure people bring ipod , $ 100 system room accept ipod would good amenity have . excellent front desk people , excellent linen , noise machine provide , room de - feather ( wife allergic ) request , great shower . some minor negative - scone sub - par , toilet run unless jiggled handle , one bar soap , battery tv remote ( large plasma screen , btw ) need replace . 
 Apr 9 2007 	 Perfect stay 	 ton research make decision stay . think read every NYC trip review site . husband spend weekend Junior Suite . reserve deluxe queen , upgrade we without even ask . stay room 1606 , smoking room . would advise anyone really not like smell smoke chance smoking room smell quite strong . however , husband smoke , nice able room , unlike many NYC hotel go smoke free . Valet check smooth . doorman even suggest try park street save money , think kind gesture , opt Valet anyway . lobby : small , grandiose , sleek , point . front desk staff kind helpful ( mention quite attractive ! ) . check room five minute . room : gorgeous ! beautiful hardwood floor , king bed , revolving LCD screen could see bed , chaise , bathtub , love . lighting room nice low . leave full box chocolate personalize welcome note manager bedside . room four huge window overlook Bryant Park library . look exactly like junior suite picture website . complaint international channel . husband speak Spanish , not even Univision Telemundo . find kind odd NYC hotel , maybe be standard . end order spanish speak movie demand system fine , would nice spanish channel two . minor quip , know . bathroom - love ! huge ! separate shower soak tub . large , thick towel bathrobe , mention , love could sit tub watch movie time . I order room service breakfast morning , surprised expansive continental breakfast . $ 20 ( plus tax , delivery , tip , etc ) give three gigantic pastry , small carafe coffee , fresh squeeze juice choice , large plate fresh fruit ( raspberry , blackberry , orange , strawberry , pineapple , melon , kiwi , green grape ! ) . good continental breakfast ' ve ever hotel easily enough two people . croissant amazing , fruit fresh sweet . location great . close enough Times Square walk five minute , not deal constant stream people like would hotel middle . 's short walk Empire State Building , shop 5th Avenue . we love hotel would definitely recommend other . comparison , pay $ 339 night . would Westin Hilton , , sure would enjoy stay much less . 
