COLORBLIND 	 Prior trip whether business pleasure go Trip Advisor view late review hotel stay trip . enjoy read review see other feel certain hotel frequently find recommendation restaurant locate near hotel . recently look review Darlington Hyde Park ( DHP ) London recent trip shock read negative review partner person color advise people color stay dhp.i person color discover DHP Trip Advisor web site stay DHP four five occasion past two year direct response find site even though travel agent make suggestion time familiar dhp.during visit always treat utmost respect courtesy . time feel slight inkling distain perceive negative treatment towar race . fact entire staff reception , dining , housekeep fantastic least . besides convenient location five minute walk Paddington Station two tube station , cleanliness entire hotel , bright attractively decorate room , quality breakfast outstanding attribute hotel staff care considerate manner . I fortunate consult business allow opportunity travel around world stay hotel every class . travel London either stopover point specifically holiday visit DHP hotel choice . in past recommend DHP colleague friend . visit last week highly recommend Darlington Hyde Park anyone . 
 great location great staff bit noisy room 	 stay 6 night Darlington Hotel . location perfect , easily hop bus tube travel London . travel mostly bus : 15 minute Notting Hill Oxford Street . perfect ! first stay room 10 . room quiet fresh , not much daylight . ask room street side hotel . staff helpful put we room 203 . room lot big , two nice seat relax day walk , bathroom much practical . disadvantage room bad ventilation ( night could hot room , even window curtain open 10 degree c outside ) noise outside ( window open fresh air ) wooden floor ( hear upper neighbor walk toilet ) .However , really enjoy stay : nice breakfast , spacy room , cleanliness really friendly staff . definately worth visit another time ! 
 Feb 15 2005 	 lovely little hotel 	 return night stay Darlington Hyde Park - treat mum 's 50th . booked triple room double single , sit area . ceiling high give airy feel . Bathroom immaculate fair size . staff friendly breakfast excellent . 10 minute walk Oxford Street , 5 minute Paddington . would not hesitate stay particularly get good rate . 
 Feb 10 2005 	 Excellent Hotel 	 colleague return one night stay Darlington Hotel . choose base review site disappoint . hotel minute walk Paddington Station nice enough area . late evening arrive want check , unpack , find somewhere eat . staff reception friendly helpful even recommend nearby italian restaurant us way excellent . one good feature hotel security . upon check issue key card need get room . however , unlike many hotel , anybody wander street , need key card get foyer - good idea ! room small fridge put stuff , small kettle sachet tea coffee , significantly safe . safe appear secure although need use credit card open safe , charge . room good size , good state repair . bathroom bath shower complimentary toiletry . clean well look . breakfast feature choice either english continental ( combination ) serve bright stylish breakfast room ) . opt english breakfast , cook order exactly like , unlike hotel operate buffet system . serve wonderful Juan provide exceptional level service ( hello Juan ! ) friendly well . recommend hotel anyone would certainly stay future . 
 Feb 6 2005 	 ' m hard please believe ! 	 get back 3 day visit London . first visit since kid be go back bit ! read several review hotel ( choosy ! ) , decide one . 's lottery prefer balance review price manage negotiate reasonable ( late booking ) price - £ 85 per night double room , include breakfast . hotel clean , comfortable good state repair . nothing compare not stay anywhere else London travel european city fair idea value etc . northerner , £ 85 night quite steep , London s'pose . normal rate £ 150 night definately would not pay ! stay Rubens Palace less night , book late be . the double room stay large , tad noisy due traffic . hairdryer bathroom rubbish . blow back hand hard good hairdryer ! take advice . however , staff pleasant polite , place warm , clean comfortable breakfast good . I would stay similar price . 's also handy tube bus . there be also really nice persian restaurant around corner call ' yas' . on whole , nice stay indeed . likely , will back :0 ) 
 Jan 28 2005 	 perfect place stay London ! ! ! 	 family return home Australia holiday UK Europe . want share other wonderful facility great standard accomodation Darlington offer . throughout five week adventure overseas , Darlington stand one favourite place stay . stay 8 night total find call place & quot ; home . & quot ; could not ask nice friendly staff , staff front desk always helpful cheerful particular breakfast staff ( spanish man Phillipino lady - sorry can not remember name ! ! ) lovely , friendly people . one place stay overseas boast laundry reasonable rate - handy . Paddington station road catch Heathrow Express - quick fifteen minute ride away airport . room exceptionally clean , large well maintain . can not reccommend Darlington strongly enough - definitley place say London ! thank much staff make stay enjoyable ! five star plus ! 
 Jan 23 2005 	 Darlington Great 	 stay Darlington weekend 21 - 23 January . whilst upon arrival feel hotel 4 star , represent fabulous value money central London hotel . , staff incredibly friendly , efficient helpful . ' ve stay lot hotel , can not remember meet nice hotel staff . cook breakfast exactly - cook , order ; oppose usual half - warm buffet greasy bacon rubber egg , stew stainless steel . come away really good feeling place stay . 
 Jan 20 2005 	 CleanFriendlyGood Location 	 not need doorman , swimming pool , gym massage would like clean , well - maintain , friendly hotel close tube station within minute walk Hyde Park find it . we stay January 19th double room £ 90 inc VAT Londontown bargain especially full English Breakfast include . the room 202 face front hotel mean bit road noise bother always alert funny noise ! wife hear nothing ! warm , clean , spacious tea coffee sachet . clean , quality towel , super shower , comfortable bed , lot storage . fridge , fan overheat Americans summer , safe store money save stay Hilton crackly small tv invite switch use time planning explore London offer . tube connection easy - not change line get Piccadilly Circus theatre . use Edgware Rd station Paddington nearer minute walk . went see Mamma Mia unmissable be another story ! park car Burwood Place NCP car park nearby cost we £ 29 24 hour stay .... ouch ! ! nowhere load offload luggage without hold other well take car possible . area seem safe enough multicultural . Edgware Road restaurant shop open till late ( midnight ) .conclusion : would crazy stay anywhere else West / Central London not mind walk bit use easy public transport connection . price great part London not tell hotel management might put rate . 
 Jan 18 2005 	 wonderful experience @ Darlington 	 can not describe much Darlington Hotel exceed expectation . return home USA London wonderful ten day vacation England . staff hotel cleanliness make stay London enjoyable . every aspect , wonderful comfortable bed superior cleaning room bright cheerful breakfast conservatory -- everything perfect . management staff commend , LOCATION excellent- easy walk Paddington , Lancaster Gate . bath towel large toiletry provide excellent add luxury . room , though overly glamourous , comfortable truly feel quite home . guest laundry facility add bonus ... else add ? definately back -- already tell everyone speak planning visit London try Darlington . also , rate excellent -- value location- ( book via Londontown ) -this place beat : ) thank Darlington Hotel . 
 Dec 28 2004 	 Good Stay 	 stay March 2004 great stay . clean , good location helpful staff . fantastic value money . 
 Dec 21 2004 	 nice friendly staff 	 order room group 12 people 3 night stay nov.2004 . everyone group please , staff friendly , room clean breakfast excellent . I already recommend hotel many friend . Fredrik , Norway 
 Dec 9 2004 	 good standard 	 clean good standard room bathroom . thing miss full score bit personal service personality / soul . good location , especially go Heathrow Paddington station . stay 3 night . 
 Dec 9 2004 	 Excellent hotel 	 excellent 3 - night stay Darlington . make reservation Active Hotels 3 week prior visit discount fee 103 pound per night double room . upon arrival , offer suite - nice surprise ! two - room suite overlook Sussex Gardens backyard . everything perfect . soundproof ( write guest ) might well really disturb . breakfast good : full english cold buffet . pay extra anything . definitely recommend London visitor look quiet restful location . look forward come back ! 
 Dec 9 2004 	 Excellent hotel London 	 Good service . perfect location , close Hyde Park , shopping , etc . the hotel room clean good shape . I recomand hotel every body ! 
