good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Oct 4 2006 	 ok 	 arrive around 3 pm due bad weather , find room ready ( check 4pm ) , front desk person particularly helpful . check luggage need retrieve night . People front desk extremely neutral - though work national security problem really could friendly . the room small , well appoint nice small bathroom good lighting . the internet service inexpensive extra - confirm unfortunately get pay . advertise high speed think dial would fast . call internet provider assistance tell something wrong laptop . upon return home use wireless network , connection usual quick self . I like location small size excelsior last stay . not welcome . stay excelsior several time past . coldness staff ( welcome repeat customer ) poor internet service spotty past cause take business elsewhere 
 Oct 1 2006 	 good second timer 	 excelsior hotel little bit character average NYC experience . Upper West Side really nice part Manhattan , slightly away buzz still plenty nice restaurant , bar pub . fortunate enough experience annual Columbus Avenue street market . surprisingly enough , read review , not find staff rude unhelpful all . this really hotel first holiday New York . excelsior rather far away action Times Square . third timer , Belvedere remain favourite hotel unfortunately lot less affordable used be . for second timer perhaps mature traveller Excelsior could perfect choice . 
 Sep 14 2006 	 ok - staff customer friendly 	 hotel . room adequate size clean quiet location although room overlook Museum hear horn car day night . enough adequate hotel read many review hotel check definately consensus staff unfriendly visit confime . young lady check we exception other really seem problem deal customer . ( hey is'nt job ) . seem efficient enough manner often abrupt sometimes rude . tall middle aged reception guy particular need go charm school border insult someone read other guest whilst stay reaction . 
 Sep 12 2006 	 ' ve stay ! 	 travel New York business almost twice month would definitely recommend Excelsior . lobby beautiful & quot ; old world & quot ; style even cabbie LaGuardia comment gem drive . room , although huge , clean mean world . view awesome overlook AMNH Upper West Side . location perfect course zillion restaurant shop nearby . yes , reception may greet big fake HoJo smile be efficient even remember time ' ve back . complaint next week go back NYC be fully book left scrambling 's become defacto place stay town . 
 Aug 4 2006 	 ' ok ' hotel 	 hotel OK . 's far go . room quite old fashioned . air con work half room bath take almost 20 minute run due low water pressure . say , location ideal Manhattan hotel . subway 200 yard walk bus stop street outside . staff friendly enough although nothing do complaint register . 
 Jul 11 2006 	 Loved Excelsior Hotel 	 stay four night end June , begin July . room 8th floor nice quite , spacious NYC standard . lobby beautiful staff helpful friendly . good thing us location . street beautiful , tree line . entire upper west side really nice area stay wander around . hotel 5 min walk subway ( ) right near park history museum . wish room coffee maker / tea maker , great . I would stay second . 
 Jul 9 2006 	 delightful little gem 	 one - night stay excelsior convenient location find delightul experience . room small , highly serviceable every ammenity provide , clean comfortable . staff accommodate . bonus lovely view park adjacent Natual History Museum . would definitely stay . 
 Jul 7 2006 	 Front Desk Unfriendly 	 stay Excelsior Hotel many time always find front desk staff unfriendly uninvite ... even write manager without reply . many desk move simple courtesy lack . these folk could take polite lesson hotel 's excellent roadside porter ... good NewYork . from time arrive time depart Sterling do . they deserve generous tip good Ambassadors Hotel great cityi stay excelsior Love Upper West Side location .. room good size NewYork , keep clean good housekeeping , however room maintenance good . my bathroom mould around tub caulking . ( easily clean replace ) little water pressure hotel ... there s nothing bad arrive hotel long trip turn water trickle .... toilet seat bend crooked ... easily replace . some room noisy air conditioning . old model window .. ask otherwise never get good night rest . the Excelsior need prove return ... however ' m doubful attitude could not care less front desk . 
 Jul 6 2006 	 Second Time Surprise 	 stay Excelsior June 2004 stay Lucerne since ( 5 visit ) - decide give excelsior try , mainly much affordable Lucerne day visit . upon check give room view . not pay additional charge view museum pleasantly surprise . view breathtaking . two large window overlook museum park . staff still . particularly unfriendly , helpful . Lucerne 's staff much well deal . person especially helpful young woman behind desk arrive . , staff not nearly nice . know way around city not look friendly face , excelsior good buy . 
 Jul 5 2006 	 overprice serious problem 	 live child two block hotel know neighborhood overall location quite well , expect far well five - night stay mid - June , 2006.check - in pleasant due testy young lady lack smile , friendliness warmth check - in call we room demand return luggage cart , claim cart , immediately . explain bellman use store luggage park across street take cart room - stand right . say , & quot ; be talk ? six cart ! & quot ; finally locate World Smallest Closet - actually tiny broom closet single one - foot bar face forward could see last item clothing rack , remove iron board possible put anything rack - call ask another room . desk person say & quot ; be like & quot ; want well room would get suite additional $ 120 per night $ 239 already pay . ask rack wardrobe anything wife could use hang clothe ; say would check housekeeping get back we . never . town convention need room clothe , wife . the room actually one - person room & quot ; queen size bed & quot ; akin double bed . room bathroom put thing , bathroom exhaust fan never work , air conditioner knob go around around finally maximize 90 degree heat outside , never get room cool enough . yes , location nice although walk four block Columbus decent breakfast . pay $ 16 continental breakfast hotel ( ' ve got kid ! ) five buck full breakfast get decent food area perhaps $ 4 $ 5.also positive note , fellow handle car , entrance exit superb . get cab quickly really go extra mile could helpful . course view front lovely , be half block park train station , know great neighborhood restaurant around Columbus Amsterdam Avenues , be set . bad hotel poor amenity , high price , indifferent staff . when mention associates town say & quot ; 's New York ! & quot ; native New Yorker , ' m use value money . not stay midtown anywhere near Times Square tourist land , perhaps crush visitor city allow joint like Excelsior ( state motto , less ! ) charge , give little return . 
 Jun 28 2006 	 week stay excelsior 	 recently spend 6 night excelsior , yes room clean , perhaps bit large many hotel room price New York City . staff efficient get job do . disappoint even though book 6 night , give room front hotel loud due street traffic could hardly sleep . bring earplug . ask change another room 3rd night staff accomodate problem . think hotel give long stay guest good room available . ... quiet room room window bathroom ( first room , second one ) ...... also , beware gentleman downstairs transportation concierge , sell private car airport warn cab fare go even though price fix way , & quot ; get way out . & quot ; since learn utter nonsense probably spend $ 20.00 needed get back airport . husband , leave early ask take subway airport staff look like crazy .. say would take several hour get subway . anyway , save bundle make airport time spare .... ( not lot luggage ! ) . 
 Jun 24 2006 	 letter hotel management 	 letter write manager Hotel Excelsior NYC : dear Mr. Weiner , return one night stay Hotel Excelsior , believe hidden gem . friend treat nicely staff , room beautiful . when problem air conditioning , call . time return dinner , air fine . room large , amenity super - even razor mini shaving cream , mention toothbrush- shower pressure perfect . the location great museum affcionado people small child need access park . also , doormen line street make feel safe matter time night arrive . I say decorate lobby belie modernity room . address ? great fear wait turn hotel million dollar apartment . say not . 
