Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 May 5 2009 	 trust Trip Advisor review booking ! 	 book trip use name price feature Priceline , confidence 4 - star hotel would adequate . tell hotel priceline give we , come trip advisor read disappointing review . little apprehensive call hotel ahead make sure getting & quot ; renovate room & quot ; - hotel staff friendly phone first clue stay elsewhere . we get , rainy New York City find early check . hotel nothing make we feel home . check , receive room prefer floor small , dusty . call front desk see anything could ( especially since dust start become problem allergy asthma ) , tell we could not move we would send housekeeping . housekeeping not come Day 3 stay , finally go complain . top , visitor city , expect concierge would helpful planning activity city , especially consider horrible weather experiencing . dead wrong . first woman & quot ; help & quot ; we rude also unhelpful ask buying ticket show . end go box office , without advice . second experience another member concierge team , tell we go 1 hour early low east side area make dinner reservation much . get everything close , mention mainly residential . thoroughly unimpressed , wet since wait rain could go restaurant . next morning , lucky enough deal woman Day 1 concierge , tell we 9:30am go Soho go shop , neglect mention absolutely everything close noon . time thing open , soak wet much mood shop anymore . , complain manager , nice give we $ 100 food credit room- nice certainly not go far ! try go breakfast 2 people would least $ 80 ( basic buffet ) ! ! needless say , will not stay Sheraton New York ever , book priceline know get something worth money . 
 May 5 2009 	 nice great location 	 Sheraton great Sheraton standard . bathroom really small little dingy . room issue . refrigerator work , outlet bathroom work , water pressure shower great . open window nice . hotel busy . crowd lobby front 24/7 . location amazing . Times Square quick walk center Square . N - r - q - W subway line also block away . free wifi bring laptop lobby use lobby computer hard get time . pay $ 14.95 internet otherwise . parking hotel $ 42 / day . drive park block away half price . right next Bar Americain Bobby Flay 's restaurant Le Bernardin Palm also pretty close , nice restaurant around . would not recommend go Lindy 's next door place call La Maison good drinking cheap eat . Carnegie Deli also close . 
 May 5 2009 	 good value great location ! 	 nervous stay hotel terrible experience Chicago Sheraton Hotel Towers . priceline 4 - star hotel NYC $ 100 one accept bid . 's non - refundable , take , read review , try prepare worst . husband pleasantly surprise . first , price , hotel can not beat . sure would pay full price , $ 100 , could walk almost attraction would want see NYC , terrific restaurant , famous spot like Carnegie deli street . hotel staff , nice write one manager advance , tell previous bad experience another Sheraton , Jorge Guerrero Guest Services Center Manager , respond immediately , assure would personally see stay great one , . room little bit dusty bathroom could use little bit attention , nothing would deter stay . room small bed take space , planning room length time , not matter . would definitely recommend hotel . not get hotel confuse Sheraton Manhattan across street , look bit dingy run , sure book Sheraton New York Hotel Towers . , good place hang hat explore city . 
 May 2 2009 	 Appalling Treatment Disabled Guests - Disgrace Starwood Hotels ! 	 stay hotel ! never shout & quot ; supervisor & quot ; hotel ! visit NYC 9 year old daughter , progressive medical condition request disabled access room . a / C would work first night , could not sleep temp room 80 degree , want wake daughter however go next morning request assistance . yelled front desk supervisor demand know wrong need disabled room see wheelchair ! intimidate manner bad daughter leave tear . stay Starwood property hotel definitely usual standard . fact 4 star rating amaze , not even get usual amenity information package room idea amenitie hotel offer even simple thing ice machine , room clean , carpet stain , room smell terrible second room place little bug place . 's save grace concierge , polite professional . 
 May 1 2009 	 Great 	 come home recently stay Sheraton 4 night . business not pay , great . first class service , friendly staff , check breeze , upgrade big room . location can not beat . sure busy hotel , sure hotel food drink expenive , sure room little small , hey nyc.get explore Manhattan , many great food drink place area fraction price hotel choose .. find hotel well run , room always spotlessly clean , tv HD picture awesome . , free internet access computer lobby nice touch . complaint would gladly stay location service alone 
 May 1 2009 	 expect well sheraton 	 happy location hotel , do not eat breakfast across road rip , eat street vendor every morning realized.we travel 16 month old , stroller we , time ramp ... four day offer help get stroller stair door man ... even ! ! location good , right centrel park times square . expect well sheraton one sydney awesome ! 
 Apr 28 2009 	 convenient location 	 back 5 night stay Sheraton Hotel enjoy . location convenient sight New York block Times Square centre Broadway . flight Newark take bus Port Authority Bus Station ( 8th Av 41st Street ) find easy walk Hotel even heavy suitcase ! checking go smoothly room number 2052 ( 20th floor ) back hotel look 53rd Street 7th av . room small clean comfortable especially bed . good bathroom large widescreen tv least 40 channel . in - room safe real bonus . noise corridor nothing really distrube youfrom sleep . hotel busy throughout stay . never use facility ( gym etc ) do not eat breakfast evening meal hotel . number goof cafe ect around hotel breakfast much cheap . two favourite Le Pain Quoiten ( top 7th Av near central park minute hotel ) Alice 's Tea House ( Lexington Av 64th St east central park bit walk away real gem place ) enjoy stay New York especially location hotel able walk everywhere New York want go see . quite expensive due prime location understand . simple hotel frill staff seem helpful . able leav luggage check small fee $ 3.25 . 
 Apr 28 2009 	 DIRTY - POOR SERVICE - gross BATHROOMS - DISGUSTING - BAD MANAGMENT 	 stay always thing . unfortunately book priceline not choice matter . priceline rate place 4 star hotel . hotwire list 31/2 star . 4 star hotel mean . hotel small room dirty . dirty . carpet fray tear ( # 3905 ) old wooden blind around forever not work anymore . dusty broken . bathroom mildew grow shower curtain . make big deal . send housekeeping supervisor room . see - promise correct - never anything . hotel mismanage plain disgusting . anyone give hotel good review either concerned cleanliness frequent traveler . travel every week business . Starwood Gold Member . hotel upgrade member even give SPG Gold key card holder . recognition elite member whatsoever . not care . stay get stuck priceline hotwire . not pay $ 150 night . worth . even phone room old full previous guest ear wax . place gross . bathroom full previous guest hair . terrible . plus hotel excellent location . also free wifi lobby public area . lobby ( unlike room ) recently remold nice . busy people place . nice good place people watch . food hotel also good . shame customer service good food . phone operator rude not answer phone sometimes . commitment guest service whatsoever . stay away ! ! ! 
 Apr 26 2009 	 hate hotel 	 loyal Sheraton client many year , hotel great shock . room tiny filthy . 
 Apr 25 2009 	 not want leave 	 highly recommend check Sheraton NY Hotel Towers Manhattan next stay . 's locate block Time Square , make ideal spot stay Manhattan . 's beautiful hotel , clean , friendly helpful staff . not let negative review scare - spend week hotel , large group friend room . none we single complaint hotel . definitely return ! 
 Apr 24 2009 	 eh ...... 	 fairly mediocre Sheraton . room supposedly smoke - free , room smell like have institute policy night . room tiny , wiht goofy set - up desk face window away tv light . the bathroom adequate , , , small . bed fairly comfortable . the staff helpful . I agree $ 15 per day interent ridiculous . reason , think ( jamming ? ) could not get cell card work well . also annoy $ 4 per bag check bag attend conference flight . the conference well do room cramp . location advantage -- near Broadway Times Square . on balance , though , merely adequate . 
 Apr 24 2009 	 worth 	 one big plus place location . close Broadway theater , Times Square , MOMA . also , free internet access computer lobby free wireless lobby . lobby crowd three day stay . pretty much convention hotel . hotel quite dated room . enter room stink smoke , since open window stay like throughout stay . nowhere close 4 - star hotel . book though priceline would say definitely worth . friend stay INtercontinental also 4 - star , would say much well Sheraton . 
 Apr 23 2009 	 could not complain even have pay 3 time much 	 need NYC hotel room one night , Priceline find one Sheraton : $ 110 2 adult . plane arrive quite early , plan store luggage day , gracious gentleman registration desk announce suitable room available . check 10:00am ! room fantastic bargain - clean attractive , comfortable bed , nice linen , large flat - screen tv , all - important in - room coffeemaker packet favorite brand coffee . room not huge , two we not feel crowded . elevator readily available , ' ve ever play Elevator Roulette nearby Marriott Marquis , will understand convenience . could hear noise hallway , nothing interfere good night 's sleep . disappointment cost visit on - site gym . daughter decide $ 10 much pay one visit 45 minute treadmill , skip workout suggest brisk morning walk - restaurant . much well plan , think ... pleasant , too - short stay hotel would happily return . 
