good 	 girlfriend spend one week New York celebrate 30th birthday spend four night Carlton remain three Surrey much well choice every way ( see separate review ) . give competition New York hotel price range , would recommend stay Carlton again . Pro 's : - Location , close pretty much everything include two subway line make transport e.g . Grand Central point south ( Union Square , Financial District ) easy- Quality breakfast in - house restaurant Country- well - price ( ny standard ) Con 's : - small room ( deluxe room ) - quantity breakfast ( breakfast include package ) - charge we $ 50 three minute US long distance phone call- Lack customer service . front desk bell boy service expect hotel standard ( give price tag ) . check , ask help luggage point elevator . friendly staff maid porter would always say greet kind manner little chat . 
 May 19 2004 	 Great Place get even well 	 stay Carlton aby default . reserve & quot ; Thirty Thirty & quot ; month previously arrival give room away ( 4 pm Saurday afternoon , think work first come first serve basis ! ) . blessing disguise ! send Carlton night impressed elect stay duration stay . room spacious well appoint bathroom high standard . staff excellent professional . reiterate problem lift etc , term overall value complaint whatsoever would stay ! 
 May 16 2004 	 great hotel ! 	 go NYC mother -daughter trip first May . although hotel still renovation room 6th floor fantastic . splurge suite . 2 spacious room overlook Empire State building . housekeep good - plenty towel bed clean comfortable . decoration furniture fit period hotel , renovation finish , lobby area stunning . stay , make sure floor already renovate , prepared wait slow elevator . 
 may 10 2004 	 Excellent location 	 stay early May 2004 impressed location heart midtown . standard room small without decent view extremely clean bathroom great . lobby lift tiny slow minor point hotel well level service reasonably price . would definitely come back . 
 Apr 16 2004 	 Lovely Little Hotel Great Location 	 stay Carelton end March 2004 love . room small clean , 's count really - be New York ! hotel staff friendly , helpful location great . easy get cab corner Madison Avenue . love saty sure ! 
 Apr 13 2004 	 still need work . 	 stay early / mid April 2004 . nice hotel . small room , small bathroom . still problem renovation , e.g. , run water couple hour , toilet clog easily , elevator work . frankly , stay much well NYC cheap . 
 Apr 13 2004 	 Loved ... stay ! 	 stay Carlton March 10th thru 14th . read mixed review hotel bit nervous staying , soon arrive , know make right decision . doorman greet right away take bag upstairs . gentleman lobby extremely professional , friendly helpful . room stay CLEAN , nicely decorate cozy . linen towel fresh change daily basis . bathroom immaculate well . call room service greet friendly prompt service . overall , think Carlton wonderful hotel compare reasonable price . would definitely stay ! 
 Mar 28 2004 	 nice room shame lobby 	 arrive New York 6 March 2004 find hotel full , check Carlton . location fine , room . lobby area though renovate . lobby tiny therefore one lift seem work . a nice touch complimentary coffee first thing morning . 
 Mar 25 2004 	 friendly staff 	 arrive hotel , staff friendly helpful , room exelent , large clean welcoming . first time new york hotel staff helpful would stay again . the work go hotel affact we way . 
 Mar 15 2004 	 Great Place 	 stay week 6th March 13th March . nice clean hotel , room good size ( stay standard room ) mod con u need hotel room . room nicely decorate . hotel middle major refurb affect we . good location , handy could want see ( everything stop away train ) Glad upgrade hotel read really bad result . def worth bathroom believe make difference . 
 Mar 8 2004 	 Hmmm ... ' ve stay well . 	 brief point consider Carlton Hotel , NY . hotel still renovate considerably - ' moderately ' people may suggest . lobby tiny plain , majority ground floor ' work progress ' . first 4 floor ' gutte ' work . may seem much problem , , one three & quot ; 4 - person - capacity & quot ; elevator work ( ) , often necessary take stair walk ' rubble ' . pleasant . room ok , quite 3 * , certainly 4 * hotel website boast . not spacious , adequate . location not bad , couple subway stop within block . must admit , first visit & quot ; Big Apple & quot ; , might impressed hotel . , fact , would not recommend Carlton Hotel moment still undergo major change . 
 Mar 3 2004 	 Loved Carlton NY 	 Great Hotel ! stay February 2004 - undergo multi - million dollar rennovation . very clean , cozy , room small , pleasant . conveniently locate . stay ! 
 Mar 1 2004 	 excellent excellent hotel 	 lot search find hotel use TripAdvisor . narrow search 2 hotel ( Carlton Thirty Thirty ) finally go Carlton Hotel Thirty Thirty expensive besides room available . impressed . review hotels similar price , expect bad . outside impressive , old beaux arts building . still seem renovation cause problem we . room reasonable size , smart , clean , minimalist comfy . bathroom marble good fitting . location great - 4 block Macy 's . highly recommend stay here . Lee Olivier 
 Feb 11 2004 	 go August ... enjoy ! 	 get great deal octopustravel.com ( much well deal friend stay cramp hostel ) . friend shock awesome room ! nice , update , clean . elevator suck hopefully improve . good experience w/ managment , not know high up . location not bad . able walk Empire State building , much need exercise , Time Square . metro station 2 block away . be somewhat expensive deli nearby open late . , give place 2 thumb ! 
 Jan 15 2004 	 pretty good deal money 	 agree statement room wonderful . New Year 's even . beautiful room , little small , New York ... staff friendly part . big issue doorman present point . three large , heavy bag we , appreciate carry front step back leave . also , elevator little unnerving . small , not seem work well . ' m hope remedied construction finish . overall , good stay . , look luxury , may want wait construction finish . 
 Dec 22 2003 	 like dream ! 
 Dec 15 2003 	 Loved ! back 
 Nov 24 2003 	 room nice . staff ? much . 
 Nov 20 2003 	 Rude Manager / They Scammed Husband ! ! ! ! 
 Nov 9 2003 	 PROBLEMS 
 Oct 14 2003 	 rude help / tiny room / free expensive 
 Jun 27 2003 	 shoebox 
 May 23 2003 	 Left Bank Madison Avenue 
 Apr 24 2003 	 pretty good 
 Dec 13 2002 	 get well time 
 Dec 13 2002 	 mmm .. non ... 
 Oct 30 2009 	 Bon hôtel mais pas à la hauteur de son nom ... 
 Oct 15 2009 	 spettacolo senza luci 
 Sep 24 2009 	 Bon rapport qualité prix pour N.Y 
 Sep 9 2009 	 Typical New York Hotel 
 Sep 7 2009 	 horrible 
 Aug 25 2009 	 Buon albergo ben servito ed ottima posizione 
 Aug 24 2009 	 pulito confortevole e lussuoso 
 Aug 21 2009 	 Excelente Localizacion Para Caminar Por New York 
 May 23 2009 	 Un hotel parfait pour decouvrir New York 
 May 21 2009 	 Carlton Madison Avenue 
 Apr 27 2009 	 Ottimo albergo con camera spaziosa 
 Apr 20 2009 	 Muy buen hotel moderno con inmejorable situación 
 Apr 14 2009 	 Bon rapport qualité prix 
 Jan 12 2009 	 due passi da tutto ... 
 Dec 7 2008 	 ? ? ? 
 Nov 5 2008 	 Gran hotel bonita decoración inmejorable situación 
 Sep 4 2008 	 Carlton ... nous avon adoré ! 
 Aug 27 2008 	 Ottima scelta ! 
 Aug 25 2008 	 Ottima posizione servizio sufficiente 
