wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Jul 19 2008 	 terrible Bed ! 	 stay partner fly Gatwick holiday . location great able catch direct train London Bridge station ( across road hotel ) Gatwick . check fine , small well - equip room , although bed sag middle keep roll ! room 2nd floor awaken really early morning noise workman traffic make sure get room high floor back hotel . room also warm stuffy night despite we turn aircon temp low would go . we dinner friend malaysian restaurant hotel . food delicious , service excellent , atmosphere bit clinical bill pretty high ( nearly £ 200 4 us 2 course plus 2 bottle red house wine ) .All , hotel good value money good location , not think would stay not enjoy good night 's sleep give bed , noise heat . 
 Jul 17 2008 	 excellent value service 	 stay weekend july,2008.excellent value bed breakfast , friendly , yet efficient staff . good location tube station easy access city via walkway along Thames . you visit Southwark Cathedral , across road , always something on . the Borough Market , next door blaze colour Saturday morning . we would also recommend buy River Rover ticket see London river , whilst stop O2 stadium Greenwich Observatory . all great base work , amazingly quiet consider location . 
 Jul 17 2008 	 Love London Bridge Hotel . 	 stay hotel 3 time love . recently celebrate daughter 18th birthday choose take London weekend , also think hotel good . the hotel easy get , staff friendly , food lovely , room spotlessly clean , also one small hotel appeal . return September yet another daughter birthday . 
 Jul 14 2008 	 good deal London 	 real find . clean , comfortable room flat panel TV . helpful staff good restaurant . within two block two underground line across street rail terminal . short walk south bank Thames lot neat restaurant shop . hotel would bargain twice price . 
 Jul 14 2008 	 Decent London Hotel 	 London Bridge Hotel well serve London Underground British Rail ( probably bus , use bus substantiate comment ) , less 5 minute walk Underground / train station . we check little early ( 13:00 ) , no - smoking room available time , one reserve we later afternoon . leave case concierge without problem . we return hotel 17:00 , room available . tell upgrade Superior room ( maybe early room unavailability ? ) room ' seem especially superior , well appoint : robe , slipper , iron board , complementary still water , toiletry etc . one complaint noise generator ( air con unit ) outside window , however window close become low hum . we return hotel midnight , resident bar still open , wide choice drink available . the bed prove comfortable . breakfast self - service . wide variety cereal , fruit , bread traditional full english fare . complaint breakfast egg free - range – would expect four - star hotel offer good quality product market . it ' hotel would stay , provide price right , clean well locate ' ask ! 
 Jul 13 2008 	 Average 	 Excellent location easy get central London spot . room clean , although room service til late - 6 pm last day . beware bar fridge - use food item connect computer charge take anything 30 second . reception concierge service average . stay 6 hotel Europe one bad service . 
 Jul 8 2008 	 Room 101 	 hotel generally nice . ample thing south bank get boat / water taxi london bridge pier ( 5 min walk ) take embankment ease . course tube doorstep london bridge station also convenient . the public area well present , dining room pleasant , room service deliver huge portion staff friendly especially concierge . we deluxe family room large , bathroom slightly small comparison room . room 101 ! position directly entrance rear hotel think service / staff entrance . lot noise people delivery van 4.30am onwards disturbed sleep . addition air conditioning do not work make warm . report reception hopefully get fix . however , avoid noise get room air conditioning , would recommend hotel . 
 Jul 7 2008 	 lovely small hotel great location 	 spend weekend London Bridge Hotel find consistently meet exceed expectation . service impeccable check departure , front desk staff concierge go beyond help husband become ill need doctor visit hotel . make arrangement -- physician within hour 's time ; concierge locate pharmacy open Sunday , call taxi arrange cab wait long necessary fill prescription . the staff concern friendly , make upsetting situation comfortable circumstance would permit . the Georgetown restaurant wonderful ; delicious food , elegant , unhurried service ... enjoyable dining experience . in - room wireless internet provide cost , location wonderful explore foot , close tube wish travel far . we look forward next trip lovely hotel . 
 Jul 7 2008 	 Fantastic ! ! ! 	 get back two night stay could not impressed ! mine husband wedding anniversary . check swiftly easily . room 2nd floor , front build quiet consider hotel . room quite small , perfectly form ! modern spotless , bathroom immaculate ! great location walk along south bank , tube 2 min walk . find great italian restaurant , call giuseppe be along borough high street chippy corner spot night town.breakfast could not fault either . lot variety staff breakfast happy polite ( lot hotel staff breakfast right miserable * * * * * ) probably tell husband great stay ! 
 Jul 6 2008 	 want 	 partner return overnight stay London Bridge Hotel . virtually opposite London Bridge train station - excellent - far carry bag . reception staff helpful polite , room small perfectly form ( nice decor , clean throughout equip ipod docking station , flat screen tv , super - efficient air con complimentary mineral water . breakfast yummy varied ( good sausage hotel brekkie ) , although service little patchy - busy though . great location explore Borough market ( go Friday Saturday yummy food stall ) , Tate Modern , London Eye etc etc ( everywhere accessible via walk , tube Thames Clipper service ) .We definitely return ! 
 Jul 4 2008 	 amazing service heart London 	 go expensive hotel , ever stay ( US dollar versus pound ) prepare disappoint . everything hotel wonderful first minute . get 7 am London timeand ask could leave luggage . explain night fly . go back come say could room -- would upgrade we stay several day room not available . wonderful WONDERFUL unexpected nap ( not sleep well plane -- ) , start tour London . breakfast great . attach restaurant wonderful . ask question , find genuine concierge 's help we find everything good pub , car leave London , cheap daily parking one night return . and even amazing elegant design room . luxurious tacky -- ' ve never hotel like . 
