recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Oct 16 2006 	 look elswhere 	 back two night property . Booked suite - smoking room ( ) - book smoking , call Front , first offer send ionizing machine -did not think would work infused drape linen iinsiste non - smoking room - finally comply , & quot ; last non - smoking room & quot ; available . kind dog pony show would expect level . the ' Thurber Suite ' $ 504 per night view air shaft crane demolition job . we depart flight Newark early Sunday meet car 7AM - get coffee / room service prior 7am coffee maker provide room . mention situation bellman say could provide we coffee pot room . front desk tell wife - ... past twenty year travel NYC far , bad property stay - tired , dull way past prime . if look ' close theatre ' hotel , try elsewhere . 
 Oct 1 2006 	 good atmosphere - will not search another hotel NYC 	 Nice atmosphere , good personal service . room satisfactory consider price level - clean , nicely fit etc . beautiful ' old style ' decoration homely atmosphere , include Matilda , hotel cat . certainly value money similar price NYC hotel ' ve stay . 
 Sep 6 2006 	 hotel treasure 	 get back Algonquin , spend Labor Day weekend . 's wonderful old hotel great location staff . stay roomy suite great family sofa fold . bathroom great deep soak tub top notch toiletry . good : location theater ( close enough ) , beutifully keep , charm spare love enter lobby greet friendly resident feline . prefer modern , stay away , want experience old style ny class , place . 
 Aug 31 2006 	 great service 	 partner celebrate engagement last year . as seasoned business & amp ; leisure traveller - attention service something ' m pernickety , Algonquin exceed area , moment arrive moment leave . after stay ' old style ' boutique hotel go way ' pile em high sell em cheap ' give old service - refreshing treat value customer . level courtesy , general hel exemplary , love old mismatce chair foyer , love old dark bar .... jazz pianist quite superb . it be great location - matter time get back numerous shopping trip always get help back room ! highly recommend . 
 Aug 26 2006 	 Convenient Hotel 	 complete two night stay lovely hotel . love historic yet tidy nature hotel . everything great condition clean . lobby lounge area beautiful . compact nature hotel make easy come go efficiently . room small midwest standard problem . not spend much time room . two small moderate sized people could share room without feel cramp . bathroom quite small problem . tub , stand shower . bathroom old honeycomb style floor update historic style . shower floor appear thing update , quite worn detract stay . furniture decor room nice . light sleeper , term need complete darkness , room stay perhaps other may right . window treatment white fabric blind pretty sheer term let light curtain could close . curtain decorative cover outline window . night streetlight show blind light small room point trouble get sleep . would well curtain could unhook pull cover blind . hotel staff cordial . breakfast expensive hotel . bowl cream wheat , glass milk , two piece thick frend toast , cost $ 30 tip . nice diner next door grab breakfast much less . Au Bon Pain block away toward Grand Central Station , reasonable place get breakfast lunch . hotel convenient nearly everything midtown convenient subway Grand Central Station . highly recommend folk want easy access hotel room throughout day take nap rest . also highly recommend elderly . fact room compact make less tiring get place place room . be also short cab ride theatre can not walk several block . lounge area also great adult hang great conversation read New York Times . 's calm relax atmosphere . great escape mania Times Square . would definitely return hotel . 
 Aug 26 2006 	 Breakfast 	 addition comment , right next door great place get reasonably price good breakfast , Red Flame . seem busy hour even late night . the comfortable bed friendly staff best.2 block either east west subway location . for great ice cream ' ve ever have - serendipity 60th 2nd 3rd ave.-be wise make reservation . the concierge that . also Lidia PBS , Lidia 4 restaurant NY , believe , Becco 46th - great italian food - special lunch deal little less expensive dinner 
 Aug 20 2006 	 great slice New York 	 big room , quite simply excellent service make visit worthwhile . superb 10 year old daughter well . thoroughly recommend . 
 Aug 10 2006 	 search 	 family travel NYC every year past year . always spend lot time look right hotel -- combination location , price , amount space . recently stay Algonquin , never spend time look elsewhere -- will check find good price date . location could convenient . last year stay Doubletree Suites -- room big , hotel entrance spit middle Times Square scrum . Algonquin major pathway , make big difference . quiet , friendly spot . kid love New Yorker wallpaper resident cat lobby . first night , splurge drink lobby . 11 9 year old read book sip Shirley Temples martini talk . private cozy . price consideration , look cheap space available . want elegant space great location , top town . never look . 
 Jul 26 2006 	 Loved hotel ! 	 nice hotel . travel time impress hotel staff , many employee 30 40 year . soon enter hotel transport almost forget New York . noise outside - either lobby sleep room . lounge restaurant excellent history hotel really interesting . could rank one favorite hotel , definitely favorite New York . 
 Jul 18 2006 	 Loved Algonquin 	 friend stay one night , July 15 , Algonquin love . stay room 2 twin bed . small , crowded cramp . huge desk nice armoir small television , tastefully decorate clean . bed super comfortable . bathroom also small clean serviceable . nice toiletry fine . review hotel other NY maybe prepare small space disappoint least . room face 44th St could noisy light sleeper always take earpulgs sleep night without interuption . able get discount rate [ -- -- -- -- -- -- -- -- -- ] satisfied price ( $ 189 ) staff excellent . professional efficient . deal closely advice direction super friendly helpful . one person front desk , bellman , wait staff , supervisor friendly personable . , friend friendly polite , maybe make difference . we eat restaurant love food . service impecable . drink lobby gorgeous ; beautiful panel comfortable seating . cozy stay hour never felt rush . in close , historic hotel great choice . location perfect . definitely stay . 
 Jul 17 2006 	 Home Away home 	 currently study New York City , family visit ( occur quite frequently ) always stay Algonguin . staff every level amazing . go way solitictous need want . particularly true regular hostess lobby bar remember we stay stay . lobby bar one comfortable hotel bar ever experience . not rush along atmosphere completely relaxing . love speciality napkin . special occasion even stop drink theatre even ' m stay night . Oak Room wonderful experience , although never eat attend cabaret . run late show hold close door party . room little small side american hotel room beautifully appoint 's New York City much time spending room . bathroom elegant love New Yorker shower curtain . also like hotel embrace historical signifigance New Yorker wallpaper round table quote room door . suit wonderful option twin room especially family grow sibling . together location Algonguin incredible oasis city still allow part energy New York stepping door . hotel important place heart well . 
