bad 	 Stayed Trop October . Room call & quot ; garden room & quot ; . Checked take elevator ! room ground floor . slide glass door lead parking lot . question safety staying room . old hotel room ever stay ( stay seedy place ) . bed disgusting , sleep clothe . bed old sink middle . stain mattresse . mold bathroom . be upgrade next day tell would check ( stay 2 night Vegas ) .Magic show Trop circa 1984 . Buffet good . would stay . 
 may 23 2007 	 top 11 reason stay 	 's small list place suck .... 1 . smell like nursing home , seriously.2 . sport book size closet 4 mini tvs.3 . odd see cute girl see Frank sinatra come back life play blackjack you.4 . restaurant open late like Denny 's Denny 's expensive bad food.5 . ceiling bathroom little 6 foot shower design leprechauns.6 . atmosphere casino hover funeral parlor prison camp.7 . pool close 6 . serously .... 6.8 . ask front desk could deliver toiletry , response , do not that.9 . tv room apparently 1979 tv could make sport book tv look big.10 . ' m 6 ' 2 200 lbs . look well waitress casino , although ' m sure look good 1961 serve Sammy Davis.11 . really , nursing home stench ! could list seriously , pick somewhere else . 
 May 23 2007 	 ok nothing great nothing bad 	 old property great pool . inconvenient intersection walking - have take cat walk . room old look casino . one place strip still find $ 5 black jack table ... lol . overall , one find well price look hard enough . 
 May 18 2007 	 room fine impressed Casino 	 stay Tropicana Las Vegas week May 12 . casino strip , say one disappointed . 's terrible need facelift . carpet tear , thing dingy , available restaurant great . 24 hour place huge disappointment . like room fine . large , although not sport coffee maker fridge & quot ; come standard room . & quot ; ' m sure considered room , not get perk . bed bad , sleep well , curtain good keep light . housekeep excellent job . I would stay go exactly end doing- use crash pad entertain anywhere else . want stay somewhere strip never leave hotel , would probably pick MGM , venetian Bellagio . pretty nice . 
 May 18 2007 	 Disappointed 	 son stay Tropicana rate location . think book decent even good hotel Trop mediocre good . stay Paradise Tower suppose nice part property . noticably bore indifferent clerk give we smoking room instead nonsmoke room book . room adequate far belowthe standard find place MGM Grand , Paris , etc . like reviewer , amazed brazeness hooker . one persistent tell stop bother . Ithought complain management work girl numerous obvious hotel condone presence . fact , whole feel one get Tropicana separate money , treat respected patron . first ( last ) stay Trop sad see hotel proud tradition fall far . the casino unimpressive not even try restaurant afraid would suffer poor customer service . plus side , pool decent Java / Java shopoffer good coffee , pastry bagel . 
 May 18 2007 	 mixed bag Trop 	 hubby stay 2 night Trop , stay Garden room Island tower . never ever stay Garden room , think Island tower okay .. time Island tower dirty someone room go ( housekeeping ) . chair sofa dirty ( bodily fluids chair ) . bathroom clean good size . leave one night someone get room rummage though thing . tooth brush move top toilet thing leave ... not think anything take ( apparently not need ) . informed front desk Manager Nicole move we Paradise tower , clean , large happy ( problem room low water pressure shower ) . recommend anyone stay pay upgrade Paradise Tower , new nice . dining like garden Cafe , good food cheap price ! pool awesome ! ! think 's good thing Trop offer , 's lagoon style , waterfall , palm tree island . 
 May 16 2007 	 good bad ugly 	 beware hotel ... good : - location- price- pool ( reason give 2 star ) bad : - understaffed- huge check lines- bad buffet food- old decor- elevator break glass- wall paper fall apart many place ( room , hallway , etc ... ) - cigarrett butts place , include pool ground . the ugly : not surprised get approach hooker . everywhere inside hotel .. way room get approach group 4 girl look someone want & quot ; good time & quot ; .. hang ( kiosk ) night wait buyer ... complain management unresponsive , even get attitude .. security find complain . stay 2 night see happen night ... nothing work girl bite much we . obvious & quot ; face & quot ; make believe security . 
 may 16 2007 	 start ! ! 	 book stay Tropicana log onto site check . well reveiw little mixed say least try ignore bad many ! check Sunday long queue I ve ever see need 10 hour flight ! eventually get room host disgusting smell along way . initial response room adequate little grubby certainly be not room show website , although complain give explanation availability , fair enough , kindly give we room change next day . after travel bathroom badly need discover use flannel rather chew piece chew gum floor , point realise bad reveiw site justify . staff front desk apologise half heartedly seem rather bored give impression would rather anywhere except ! pool area face quite lovely look close beer can , litter cigarette end lurk everywhere . new room move grubby little balcony quite nice , balcony could see emply cardboard tray beer can move whole week there . Im picky person usually holiday Greek Islands I m kinda use basic accomodation right dirty . there s lot contruction go Vegas moment -PLEASE somebody knock tropicana START ! ! ! ! ! 
 May 10 2007 	 Cheap . satisfactory . 	 Understand : cheap hotel strip . pay $ 45 night weekday . stay cheap part - Garden Rooms . use room sleep shower . I complaint . expect cheap rate ? everything satisfactory . 
 May 7 2007 	 Zero 	 favor , not even think stay despicable place . sleep bridge cardboard box stay night decent casino nap machine ! place bad dump ever - stay & quot ; garden & quot ; room - horrible , moldy , filthy , disgusting dump . carpet slimy , bathroom fixture fall around . could not sleep due feel thing walk around cover - ' m talk multi - legged thing ! ! ! wait check - in nightmare place 2 hour ( reservation ) . good thing could happen place bulldozer . pay extra dollar try save stay get decent room . would not wish Tropicana bad enemy . 
 may 3 2007 	 tropicana bad place stay las vegas 	 wife decide take trip las vegas . vegas three time stay Luxor , Excalibur , Treasure Island , decide stay cheap time around spend money entertainment , food , casino . since figure never even go room sleep . let us start check - in . take hour , two worker check hundred people . 's rude check we early , rep pretty nice . advise guest Tropicana future would check six ' ' clock p.m. line six rep . 's wierd busy time would two rep , non busy time ton rep . food hotel horrible , even expensive steak restaraunt awful . taste like not clean stove sixty year ' ve open . put like Mcdonald 's Excalibur well trop 's food . stay old garden room pretty amazed clean well shape room stay sixty year open 24/7 . not get twist though not new nice hotel , us gambler entertainment fun really not matter we . average room nice balcony face MGM Grand . one great feature tropicana probably good feature beautiful pool garden area . nice fall asleep pool . ( good idea either ) fall like pond middle forest , peacefull get away excitement casino . finally , casino worth play be like casino 's still machine cash actually give four hundred nickel like three big cup pick . would not recommend hotel first time visitor need good experience keep guy entertain , visitor three thousand dollar budget want spend three thousand try get lucky casino rather go Bellagio spend three thousand dollar hotel room two hundred dollar gamble not make sense . look high roller please not try act like stay Wynn , becasuse look cool , will not walk las vegas BLVD thinking way get money people like pay one hundred dollar room casino day fun . way say high roller not mean high manager grocery store mean man own grocery store . may think two hundred thousand dollar year salary high roller , vegas 's people blow half million dollar less two hour . 
