expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Oct 23 2006 	 bad 	 book lastminute.com TopSecret hotel offer slightly worried report . however , pleasant Saturday Sunday night . room 6th floor ( starwood preferred traveller floor ) average sized London hotel , comfy King bed slightly tired functional bathroom . hotel seem pretty quiet obviously mainly business hotel -confirmed mini - bar room service inflate price ( £ 3 coke , £ 2 kit - kat ) , plenty food place Green Park hotel . eat fantastic meal Sunday evening Tamarind [ & quot ; & quot ; ] 2 minute walk away . 
 Oct 23 2006 	 Stinky biz hotel . 	 Yucky , hotel awful . 's business hotel really awful . big disappointment . 
 Oct 22 2006 	 Ok 	 get hotel Priceline good deal pay full price stay somewhere else . first check go room , open door someone else luggage room ! go straight back checkin tell find , immediate give new room ( upgrade ) without ask one check luggage room give . think correct response sure would get since Pirceline room . the room Executive w/ King bed . great size ( see pic ) large bathroom walk closet ! feel like update 20 year . bed new , super comfortable . nice hotel need upgrade sure . bathroom large , double sink , large shower tub . power outlet hairdryer provide one could use room itself . walk tube 5 min ( Green Park ) fairly close . internet super slow . T - Mobile UK pay service horribly slow , could upload photo trip . I give 3 star feel like get upgrade would 2 - star . 
 Oct 21 2006 	 gracious hotel centre 	 love sprawl old room amazing bathroom . possibly Londons good location theatre shopping without needless pretension nearby venue . will stay . 
 Oct 20 2006 	 overall positive experience 	 rating hotel average tend modestly price other area , great location . point reviewer , fade . many room face interior wall duct . open window provide fresh air . air conditioning work figure . staff generall helpful . food price bad ... special 20 pound 2 course , 13 pound one course . 25 % discount drink . beware mini - bar room service unless not care cost . breakfast dining room terrible value . continental breakfast offer 20 pound dining room available lobby 7.50 . list lobby bar menu . seem want serve we first , eventually . largely eastern european staff bit authoritarian , insist ( smile time ) seem get job do . the public room pretty , left 30 would guess . great location . get deal would stay . 
 Oct 16 2006 	 need Upgrade 	 book tour British Airways include flight hotel . pick Park Lane 5star hotel . know go get standard room , figure 5star standard would fine . wrong . give Room 331 . smell , carpet stain , lack drawer space , bathroom sub - par . toilet seat break , door handle bathroom . shower look like something 1940 's . place put toiletry . go right back front desk ask upgrade . credit , nice . one us Starwood account , give free upgrade Starwood Preferred Traveler floor , Room 739 . lovely . beautiful marble bath separate shower stall glass door marble floor large vanity . overall , enjoy stay . room keep immaculate , continental breakfast good , beat location . would stay know upgrade room . 
 Oct 10 2006 	 Believe read 's awful 	 need complete refurb , complain twice third occasion get decent room , admitedly book hotel cheap deal Lastminute top secret hotel regardless room date , bathroom could use Winston Churchill old . the location good , going stay get room view otherwise look brick air con unit . there much much well hotel central london Melia whitehouse regent park No1 Aldwych . oh want tip great meal try Oxo Tower bookable Harvey Nicols web site 
 Oct 6 2006 	 Vile 	 cannont one second understand single good review website , far vile hotel ' ve stay . well encounter Texas Motel 's teenager . assure not cost GBP £ 200+.checked within 20 min , find member staff could actually string together sentence english . do stay . even free . 
 Oct 3 2006 	 roach size small rat 	 get hotel two day ago check tomorrow . spacious chip paint weak internet signal . last night morning see two black roach four inch long . one crawl onto bed foot . call downstairs complain avail - & quot ; maintenance man would shortly & quot ; one do . I guess think , not much hotel roach infestation . say 's infestation zero attempt hotel follow incident morning . maintenance man come , call morning , nothing . figure probably not first time second time thing occur - hence , infestation . let us honest . roach not bad thing world . really , be suppose town London , hotel room write email tripadvisor.com . 's sort disgusting hotel charge much place react . ' m sure people would flipped lid roach , demand another room . we , busy recuperate work day . name Casey . vermin infestation , be nothing do leave tomorrow , maybe good thing reclassify vermin Casey . 
 Sep 27 2006 	 Faded hotel great location 	 book one night spg point , upgrade small suite . very old fashioned , 80 style room furniture . room bit stuffy , not know AC work ...... order room service brandy large VSOP remy - present bill £ 40 - arounf 70us . price two bottle licence . expect hotel charge margin , bite much ! ask send back - settle £ 20 negotiation door . room service breakfast ok , time order . not 5 star hotel - guess average 3 star hotel top end 4 star price great location . 
 Sep 26 2006 	 Bed Bugs 	 hotel old room small dark . show three room select room 720 discover late bed bug . management not reseptive compensating inconvience , unpleasant experience , location great , staff general quite friendly efficient . would stay London . 
 Sep 8 2006 	 pleasant suprise 	 book hotel reasonable rate lastminute.com . £ 119.00 5 * hotel think wonderful . however , read bad review trip advisor begin second thought . decide chance anyway tea Ritz hotel minute road . say , experience wonderful . beautiful hotel , lovely clean spacious room helpful staff . bathroom date clean powerful shower ' ve ever experience . would definately visit hotel . 
 Sep 7 2006 	 get well 	 stay book direct SPG . advise hotel husband birthday ignore . anyway arrive early ( 1230 ) room available mind - go lunch Citrus attach hotel good pleasant service . able check around 2 pm - second floor room small , face inner courtyard bother we seem quiet ; however rumble portable AC unit clue something quite right . become clear AC work , portable machine fuse , phone line dea , bathroom door lock faulty etc etc . phone big issue we expect call trip . fair reception quick move we another room nicer - big bathroom call later check OK . eat later 2 night trip Citrus enjoy . breakfast hotel - expensive , go hotel coffee shop next door one day bring pastry coffee room ( charge room ) second day go Starbucks way tube station anyway . lot good eating place near , Tube trip Leicester Square 2 stop Chinatown . nearby tube ( Green Park ) ideal three line go get real good choice . so location good , hotel good value get London seem hit miss whether get ok room . investment fabric could make difference Sheraton intend keep hotel portfolio - get feel undecided save cash time 
