recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 Apr 17 2007 	 Convenient Hotel 	 stay April 13 - 16 , 2007 . room quite large London standard , bathroom nice , Crabtree & amp ; Evelyn toiletry . staff helpful , except checkout , call twice get bill , porter , carry small paper bill , arrive room 3 hour promise , literally put suitcase hall leave 5 . additonally hotel not make clear easy access Paddington station close 6am , mean can not get first Heathrow Express train inside hotel ... choose hotel first place . 
 Apr 9 2007 	 Exceeded Expectations 	 fantastic location , convenient Heathrow Express . hotel quiet , clean , fantastic restaurant - exceptionally high quality food wonderful new executive lounge brilliant breakfast . staff wonderful helpful . ' m Hilton Diamond hhonor member truly one good hilton ; network . highly recommend 
 Mar 31 2007 	 love Paddington 	 stay Paddington March 21 -24 , 2007 . 2 room 2 free night . room large extremely clean . entire place extremely clean . attendent come across seem go way helpful . location centrally locate make life easy . Heathrow Express hotel underground entrance . pleasant place , overly pleased . 
 Mar 28 2007 	 Good 	 stay two night march 2007 . location pretty central connect major tube station heathrow express . even direct exit inside hotel connect heathrow express . room clean reasonably spacious european standard . rate include dinner buffet , great would suffice . breakfast good staff friendly . , do not expect much will not disappoint . advantage : connectivity tube / train bus , Friendly StaffDisadvantage : old carpet , moderate dinner buffet . unimpressive view . 
 Mar 24 2007 	 well price 	 return 5 night Hilton London Paddington series meeting . pay corporate rate £ 169 + vat . hotel nice , location Paddington Station could not well 're head train . tube connection pretty good too . my room fairly standard one , 6 ft bed , feather everything comfortable . my problem hotel price charge - can not think single rate anything , room , breakfast , internet access minibar not make wince . would expect perfect price charge , annoy extremely poor quality wireless internet - keep lose connection speed , connected , compatible term & quot ; high speed & quot ; . secondly , shower bathroom average term water pressure . also , suffer quite regular change temperature , presume other use water bathroom . so overall , fine hotel , word , charge make well aware ! 
 Mar 19 2007 	 enjoyable stay 	 another lovely stay . hotel modern , clean pleasant . different rate available find get well rate receive small room . however , room fit standard decor . hotel excellently locate travel around London . would not choose saty anywhere else travel Heathrow airport . around $ 60 travel quickly easily airport Heathrow Express . try get rate breakfast include otherwise cost around $ 40 / person add . 's lovely breakfast $ 40.the hotel popular wedding , besides see well dress guest sweeping , would hardly notice there . the bar usually price hotel bar service swift efficient . arrive room ready quite happy let charge drink room wait . concierge extremely helpful courteous go way every one stay . 
 Mar 17 2007 	 Happy ! ! 	 hotel , real nice . location superb , easy find tube run til nearly midnight . room reasonable size good bathroom . thing suprise room extremely quiet , rare london hotel . 
 Mar 13 2007 	 Superb service large room 	 32 year old couple 16 month old toddler . stay hotel March 6 - 10th . first 3 night Hilton HHonors award . read several review , not quite sure expect since valid customer service complaint website . we choose hotel due location Paddington Station . easy access train Heathrow Express . stress great customer service hotel moment approach check - in desk . upgrade suite price 30 GBP / night . room nice - 600 square foot . separate sitting room bathroom . queen bed extremely comfortable . bathroom spacious excellent shower pressure . minibar decent amount space personal item . sit room minibar . room clean . Carpet great condition . second day stay , toddler husband come flu . husband contact concierge doctor check toddler . later , several hotel employee approach we ask toddler . assistant manager front desk even call check we . throughout whole stay , almost every employee run lobby address we name . huge hotel , remember ? ? Executive Lounge decorate modern theme . great cold breakfast evening appetizer . big selection beverage available throughout day . desktop computer free internet service people use lounge , helpful . lounge employee nice get we milk toddler 's bottle . concierge extremeley helpful idea , arrangment arrange help luggage . fact , even concierge guy see baby bottle ask need milk ! location hotel awesome . starbuck next door . not even go outside get . grocery drugstore several eat option connect Paddington Station . 15 minute walk get Kensington Gardens . lot eat option budget nearby hotel . after check last day , take less one hour get Heathrow via HEX , check - in get departure lounge . when London . definitely return hotel future . 
 Mar 11 2007 	 Great Hotelexcellent location 	 Hotel fantastic . room large , aswell en suite . exceptionally clean , staff also friendly . the location could not well . walk underground without even go outside hotel park Paddington Train Station , also beneficial get Heathrow aswell ! even could hear station room , quite . I would definitely recommend hotel other 
 Feb 14 2007 	 Excellent Hotel . well worth price . 	 prepay room excellent rate - London . Location Paddington Station great anyone arrive depart via Heathrow . also excellent business location Rail , Tube Bus line . hotel clean staff great . check fast , really friendly . room spacious London standard . room also , clean . bathroom actually enough space move around in . nearby shop dining excellent . even food court Rail Station excellent . hotel peaceful quiet . would definately stay location . 
 Feb 6 2007 	 fantastic location 	 return surprise weekend away London stay Hilton Paddington . my fiance choose hotel primarily due 's location not much time arrive get across London go show - location could not well . literally step station platform lift hotel check easy - fuss , member staff train little slow happen . our room Deluxe room 3rd floor great - airy , large comfortable . everything need hairdryer , ice bucket , coffee perculator like 2 single duvet double bed - fighting . hotel service fine - nothing fantastic , perfectly pleasant . dinner first evening include package . arrive 9 pm find everything still fresh great selection . biffet great soup , cold starter , vast selection main course FANASTIC dessert . restaurant quite busy romantic intimate job . breakfast great - huge variety meat , roll , salad , yoghurt etc , toast machine , cereal , everything could think English breakfast juice , coffee , pastry - great . one negative price drink - £ 8 small glass wine £ 4 cola . buy drink snack & amp ; sainsbury underneath station open til late . this hotel great hotel transport link tube train underneath bus outside . even find number 27 bus go directly Camden hotel ( 24 hr ) . would definitely use hotel 
 Jan 22 2007 	 great first stay London -- highly recommend 	 wonderful hotel young couple look explore London . location virtually perfect commuting -- directly atop Paddington national rail ( trip to / from Heathrow ) tube station ( get downtown . ) also , city bus line run past hotel -- form transport wish explore early stay . immediate neighborhood not especially noteworthy , though Hyde Park short walk away . room gorgeous spacious ( use american room . ) well light decorate modern fixture . view , can not . come stock robe slipper -- one thing come appreciate -- deliver quick call housekeeping . service overall great . one minor complaint -- need set silverware room eat cake bring along , room service charge 3.50 pound delivery . think nice tip suffice . one favorite aspect hotel complimentary breakfast . expect standard Continental fare , first - class buffet complete make - to - order omlette , delicious tomato , pastry . even stash muffin rucksack keep we long museum expedition . not tell anyone . we would HIGHLY recommend Hilton Paddington anyone visit London ( long willing ride tube ) .One tip -- look great , cheap meal near hotel , stop soup counter national rail station . amazing ! 
