hotel 	 hilton downtown , lot history , film make , build large hotel world , call steven . 
 Nov 29 2006 	 Ehh impressed 	 first , location great . hardly anything within walk distance term food seem like sketchy area overall . take taxi get Mag Mile pain . say nice view Lake room right Michigan Ave ( south ) loud . get much sleep entire stay ... top , must one control Heat A / c heat hot , open window tolerate , make even noisy . room , small hotel room ' ve ever stay . basically room king size bed , dresser , & amp ; desk much else . crowd two people . also give smoking room request . hotel seem old , , 15 separate elevator place huge personal . continental breakfast exciting either crowded could not even find place sit . we able walk Shedd Aquarium , nice - but stuff want required taxi ... , overall - would stay somewhere else well location . 
 Nov 28 2006 	 fantastic View Fantastic room 	 couple exception hotel accomodation fantastic . husband birthday truly impress king jr . suite . room well appoint view 21st floor outstanding . could see field museum , planetarium aquarium . the drawback request non - smoking room . walk room , smell smoke overwhelming . call service ionize room . work accomodation . window operable keep open duration . heat 99 degree anyway . for problem give two complimentary breakfast day departure . the hotel beautiful , would stay , would make sure understand non - smoking mean . 
 Nov 27 2006 	 Beautiful Lobby ; cold / indifferent service ; poor dining choice 	 Hilton Chicago ( sometimes refer Hilton Towers ) huge hotel gear primarily large - scale convention , business meeting , conference , etc . ' ve stay several time use Hilton Points . 's beautiful build lobby level impressive . location good want close Soldier Field ( great locale Bears game ! ) ; great location be want shop Mag Mile / N . Michigan Ave -- although hotel offer shuttle . the room small . time two bath nice . bed quite comfortable know need two double , -- double rather small double . definitely queen bed . husband 's 6 ' 5 & quot ; ( child we bed ) miserable . next time would get king lay - away . the food / restaurant choice quite limited two three , would recommend . irish pub ( Kitty O'Shea 's ) list kiosk room advertisement restaurant , 's bar . smokey bar every nook cranny . ' ve try use several time 's really disgusting term cigarette smoke . talk 7 - 8 evening -- midnight . the atrium area restaurant call Pavillion . food okay ; service consistently indifferent , unfriendly . high volume ( will never see , care ? attitude abound . ) wine selection poor . breakfast buffet mediocre good . area directly across lobby Pavillion serve coffee bar / bistro morning , 's nice area ( gas fireplace , window whole first floor , nice watch passersby street ) sit enjoy morning coffee juice , pastry . not try steak house . look quite nice , not exceptionally busy Saturday evening , doubt 's destination restaurant among business traveler / hotel guest . many great restaurant Chicago suppose category not really matter ! even travel business , prefer small , personable hotel myself . but be use Hilton Points find room rate be like , Hilton Chicago beautiful , immaculate building definitely worth visit . prefer Drake , slightly well service ( slightly competence without warmth still mediocre hospitality ) since Drake desperate need facelift . 
 Nov 2 2006 	 enjoyable stay Hilton Chicago 	 love Hilton . expect large business hotel , cold impersonal feel , wrong . hotel certainly large comfortable excellent friendly staff . cost stay cheap stayed husband run Chicago Marathon , official hotel event . consequently completely full , really great atmosphere . despite huge number cater , staff without exception , unfailingly polite , friendly courteous . concierge desk probably well encounter , helpful , special mention must go Oscar arrange new UK travel adaptor send room 10 minute request . hotel public area extremely nice - bar restaurant good , excellent service , enjoy breakfast . room service also efficient . room okay , quiet two bathroom - criticism one bit tired looking . also problem time take make room weekend day , housekeeping staff pressure . leisure trip hotel excellently locate , overlook Grant Park close lakeside , Art Institute Museum . tour bus stop outside . overall , find Hilton Chicago lovely comfortable hotel , excellent staff efficient friendly , intrusive . would highly recommend hotel . 
 Sep 27 2006 	 busy expensive Less Stellar Service 	 hotel focus convention massive event . ' ve go lot chicago - base organization convention [ mostly healthcare ] . convention room far , far away mazelike system . room small , loud industry side . cattlecar nature check check ameliorate somewhat kiosk available -- work . august , not , could not print boarding pass . latter create significant problem show already check -- force go agent get check in . if choice , stay north michigan side thing . service amentie proximity fun event / walk / restaurant much pleasant . 
 Sep 26 2006 	 good King Tut package 	 hotel beautiful large . impersonal place . corner junior suite overlook southern part Grant Park Museum Campus . like . King Tut package book hotel , good move . ticket express ticket specify time visit Field Museum . could enter exhibit anytime exception 2 blackout weekend time affect we . plus ticket allow enter south entrance rather east entrance primary entrance tut exhibit . line east entrance ridiculous , feel lucky . weird thing hotel give we 6 ticket exhibit arrive , 2 we . could go exhibit 3 time want . sure standard practice fluke . hotel great location visit Museum Campus , Millenium Park , Grant Park , etc . walk distance shopping really like walk . not find lot local restaurant nearby , tend eat . el short walk away , though , taxi always line entrance take anywhere want go . overall , not blow away hotel , can not find anything specific horrible complain . old grand hotel lot activity load people mill time . personally , like hotel staff know whether belong building , would prefer small boutique hotel next trip . get lot exercise walking room . 
 Sep 25 2006 	 wonderful 	 hotel reservation another hotel set read negative review cancel make reservation Hilton - glad hotel clean , hotel staff pleasant helpful bed amazing . know pay little hotel well worth every penny . 
 Sep 7 2006 	 great hotel ! 	 great hotel . room beautifully present , although room one bathroom corner . friend next door two bathroom . staff friendly especially housekeeper greet every time meet corridor . pool fine charge use gym . room great condition hallways perhaps need update . would pay 200 dollar hotel however . 
 Aug 31 2006 	 Excellent Convention Hotel 	 read review little worried . upon arrival impressed . hotel locate near Grant Park within walk distance & quot ; Magnificent Mile & quot ; . large hotel accomodate convention nicely extra meeting room main , low level floor 3 8.my wife need refrigerator store medication happy send one right & quot ; free charge ! & quot ; . also discover drain drain slow quickly fix problem . it nice 2 bathroom room ! make get ready morning much fast . also live blue club right next door would highly recommend . find room spacious bed comfortable . also find noise hall way almost non existent . side lack wire internet connection . get bridge connection cost $ 10 day connection . overall would highly recommend hotel 's location also excellent service . 
 Aug 31 2006 	 Hilton Towers - fantastic ! 	 family two week holiday Chicago , stay week Hilton Towers . fantastic time enjoy every minute stay incredible hotel . sheer size place breathtake atmosphere friendly hospitable . prefer discreet modern boutiquey - type hotel , maybe would not thing . however enjoy old style glamour glitz , bowl hotel . place literally sparkle thank enormous chandelier everywhere lobby . ton celebs stay decade history hotel past guest etc fascinating . get reasonable rate stay could fault anything special place ! 
