mediocre 	 good thing hotel price receive Orbitz ( $ 160 / double inc vat ) . location near tube keep mind tube extensive renovation , extremely crowded day , may run weekend . , take tube hotel Heathrow . easy trip -- hotel directly across Gloucester Rd tube station -- virtual nightmare due overcrowding tube . literally stand one foot part way insufficient floor space . District Cicle line -- also across hotel -- close weekend . hotel particularly close many tourist attraction exception Kensington Palace south Kensington museum . look like straight shot th Tower London require we ride 4 different train . beware review extoll easy access tube . also could find satisfactory breakfast spot nearby . hotel want $ 25 continental breakfast nearby spot mostly bakerie coffee shop . want reasonably price , old fashioned English breakfast close hotel , good luck . room small , par course London guess , although recently seem trend toward large room . apparently trend yet reach Baily woefully inadquate drawer space . husband use small drawer availiable live suitcase . hotel claim room service idea two people could eaten room . floor ? plumbing also issue . husband force use public bathroom would decide flush day . occasionally wonder pay private bath take lift 4 floor use lobby facility . hotel ok price fine guess , although always deal available stay much nice , convenient hotel price . 
 Excellent hotel miss extra touch 	 Bailey 's excellent hotel , authentic english atmosphere charm , great location across street Underground . give four star , be really four star minus . time little extra touch miss : one receptionist make line short , one maid room clean would thorough instead leave something day , one doorman would actually someone door , etc . room nicely furnish quite comfortable , unmistakably English . way , hotel difference room category really make difference , avoid really small entry category room spring high category ( top category non - suite room huge , even american standard ) . buffet breakfast quite good room rate include ; otherwise try starbuck dozen place across street . 
 Felt like home ! 	 return 7 day stay Bailey . first , say , location great ! wonderful walk underground hotel directly across street . could easier get back Heathrow . splurge Deluxe Room ( L119 ) include internet stock wet bar . nice additional item purchase local Waitress Grocery . room spacious comfortable . want feel Old World exactly get . bathroom quaint wonderful deep tub towel warm ! room , 322 , end long hallway quite entire stay . cold , wet day always nice get room feel right home . staff check , concierge , maid service pleasant efficient . question answer smile ! could please stay . even receive special desert upon arrival celebrate 20th anniversary . area around hotel wonderful . family orient within walk distance many resturant , grocery store , ATM . husband go Cafe Forum every morning coffee free croissant . , location underground perfect get various part London . we would highly recommend hotel one strongly consider get chance visit London future . 
 Mar 12 2007 	 good experience ! ! ! 	 stay Bailey 's 15th anniversary . online booking process not allow request non - smoking room , sure enough get 'd assign smoking room . front desk person gracious reserving next available non - smoking room we , upgrade we club room learn town anniversary . room great , double saw would fine . find staff courteous ; decor cleanliness hotel good . like feel like ' m somewhere US travel , fact not look like US hotel plus . high ceiling traditional art decor constant reminder London . floor squeak old building ! also perfectly good service consierge , get we ticket see Wicked . guest service manager also available , give good suggestion , seem sincerely interested enjoy stay . we find malaysian restaurant other refer ( be part another Millenium hotel nearby ) agree 's excellent . also love tapas restaurant call Ten Tables block away , steakhouse call Green Door block away . agree hotel bar extremely expensive . unfortunately , pub across street way smoky crowd , find bar Green Door welcome alternative . other comment , location terrific . would definitely return Bailey 's . 
 Mar 5 2007 	 Loved hotel location 	 stay least 6 London hotel various location year good overall location . hotel & quot ; old world & quot ; charm go Europe . stain glass window along wrought iron stairway make one feel like old England . yes , floor squeeke spot plumbing date work fine large bathroom . room 5th floor also plenty large , bed comfortable , furniture english hotel style , fine . the front desk staff fine around . reservation manager , Patrick Graham , help much find friend Leeds come weekend internet reservation neglect end confirmation properly make . 6th night free package book travel agent include breakfast make price reasonable London hotel . surround pub , grocery store , charity shop , bakery , fast food place restaurant , etc . could not handy 3 tube line Gloucester Rd make thing complete . go back London stay againGoldig 
 Feb 28 2007 	 poor experience 	 february 18th.2007.arrived hotel 3 pm find room ready . we tell surly look staff would ready 5 minute take close half hour . when get room tray previous occupant still outside breakfast ! room small , dark shabby bathroom dire need renovation . the air con / heating unit loud could sleep . try turn would not switch off . next morning go breakfast meet surly look staff . decide leave straight breakfast . on check ask receptionist pay london congestion charge give help all . I tell would sent bill post . this , late penalty charge £ 50 ! ! poor stay . maybe give airmile client bad room definitely 4 star hotel long shoot . never . 
 Feb 28 2007 	 teeny tiny itsy bitsy room 	 stay Sept 2006 . need hotel 2 night middle 10 day stay London get decent rate directly hotel website . agree post hotel great location next tube , lobby charming , staff friendly . warning would booking single , pay $ 190 usd room twin bed , know go prepared shoebox give . could barely squeeze door luggage literally could touch opposite wall room without take step . luggage sit doorway place enough floor space put suitcase . step everytime enter leave . overall depress confine space would wait check out . not total disaster think could better price range . 
 Feb 21 2007 	 Disastrous Hotel 	 spirit fairness will start nice thing : -right front centrally locate tube - cool old buildingthat 's though . one bad stay ever London pretty bad value money . even get sick ! -The room tiny claustrophobic . feel horrible room really hate spending time . furnishing average bad.-the staff provide horrible service speak english general . harm twice . first time ask three time take away feather pillow room ( allergic ) . understand finally bring pillow feather . not notice next day point rage allergy attack get sick rest trip . another example ask send fax . ask fax next day noone know happen . finally , two day later find fax ' confirmation ' say fail . point staff not understand say shrugged . there much well hotel price rage . stay Guoman Cumberland price next night tremendous stay much nice room . 
 Feb 14 2007 	 good price 	 stay one night Bailey Millennium 3 night stay Oxford . happy location hotel give 's literally right across street Gloucester Road tube station . main objective short stay visit Tate Modern well check shopping around Soho Knightsbridge ( Harrod 's ) . three tube line , Gloucester Road prove supremely convenient home base . time location prove less satisfactory late evening restaurant pub close . however , nice relatively clean 24hr Tesco express across street late night munchie . as hotel -- check rather painless . although staff rather thick e.european accent , friendly helpful . room , stay single 4th floor , small , single . room somewhat dark warm cozy feel despite date worn decor . bed ok -- kind lumpy noticeable dip middle . bathroom huge probably size bedroom . say , pretty excellent deal London . 
 Feb 11 2007 	 Great Hote Great Location Price 	 great hotel , traditional London Hotel . room among large get London . rate unbelievable London . Book Club room breakfast , beat price . location fantastic , right next tube station . walk Knightsbridge 10 minute . stay many London hotel one one good . bathroom bit small , London ! warn make call hotel room locally otherwise , get hit huge phone bill . many great restaurant within minute walk distance . one recommend La Bouchee ( make reservation ) place full time . HN Houston , Texas 
 Feb 6 2007 	 great stay will go back ! 	 extremely apprehensive booking hotel London look 60 property internet check respective review Trip Advisor . seem hotel price range ( approx $ 150 / night US ) get 50/50 review : half people hate place half not . stumble Millenium Bailey 's surprise overwhelmingly positive review . much pleasure , turn true . friend enjoy 7 night stay . fortunate enough receive large room 5th floor ( judge emergency exit floor plan door ) front building . noise street ( double window ) , amenity ( safe , iron board , soap , shampoo , coffee , stocked bar , sit area ) need , great location . we problem elevator staff . room good condition ( nice ) bathroom clean . maid spruced room refill everything satisfaction every day . the Tube , french bakery name Paul ( chain , food pastry fantastic ) , Tesco ( well stock market ) bank ( HSBC ) across street hotel . for sake fairness will throw dig , truthfully feel like ' m petty . bathroom not window fan air floor creak walk . also , judge fire escape floor plan building look like room fairly small , 's typical small , old hotel London expect . and lastly , look history charm Millenium Bailey 's plenty . lobby nice beautiful stairwell wind 5th floor . cheer ! 
 Feb 3 2007 	 nice place well locate London 	 Location : Gloucester Road . accross Tube station . convenient . Direct Heathrow Victoria Station ( Gatwick Express ) .A restaurant site , well enighborhood . also , Waitrose ( supermarket opposite street convenient small snack ) good place remain Paul , french bakery side street . great croissant , brioche french sandwich . highly recommend . hotel : nice entrance , flashy . maybe bit small get group . elevator : sticky point : three , seem always middle one also mean two maybe work . wait somewhat long , even though be 5 floor . room 5th floor prefer take stair . good exercise ! could not locate exercise room way ( one ) . room : 5th floor , overlook Tube station . noise street thank double window . good space , nice bed , large bathroom , work order . tv , desk side chair small table . amenity also include Iron , valet dresser , safe . bed nice although bit date ( mattress seem bump middle ) . : internet connection . since room towards street , able pick internet hotspot T - mobile . also one BTonline . room back may rely hotel internet service , wire desk . bit old fashion day . terribly problematic . a good place , reasonably price convenient . PS : Millennium Gloucester right around corner ( Harrington Road believe ) make thing somewhat confusing . 
 Jan 28 2007 	 Good could well 	 two we stay two night Millennium Bailey 's Hotel , single room overall positive experience . location hotel , especially across street Tube station great . lot restaurant shop area well . single room small , nicely decorate comfortable . room also nicely eqippe , minibar , iron board , etc . staff friendly . rate London hotel reasonable . downside room , least , show sign neglect . shelf bathroom glass shelf lack , well , glass . make 's utility shelf nonexistent . notify desk produce shelf stay . cupboard door lack knob , electric outlet appear damage . except shelf none thing inconvenience , noticeable hotel somewhat elegant pretension . ate & quot ; Olives , & quot ; one hotel 's restaurant . decor nice food good . also expensive , perhaps bit expensive either food decor merit . overall comfortable place reasonable price ( dinner aside ) stay couple night nontourist trip . give location would would recommend hotel , suggest modest expectation . 
