nice 	 okay , will start say teenager travel often , know fair share hotel . go New York mom great aunt visit family see city . choose Novotel picture website ; be modern , clean , white colour . get , lobby nice , like website show , white accent colour granet counter . service good , pretty average . soon get onto floor ( 12th ) , drastic change . wall orange blue accent mark . get room , turn light almost cry . expect nice white room , feel step dingy motel Arizona Mexico . drape bedspread generic hotel print , wall odd splotchy orange , green metal windowframe . almost expect cockroach spider come wall . add , bed uncomfortable lipstick smear pillow . time upset , special trip birthday , beginning not expect . make thing bad , buy wireless internet not work . the bathroom , however nice . part room modern nice lighting makeup , shower not nice . shower floor bumpy , come away floor . veiw also nice , good ; overlook top dirty building , crowded city not shocking . food service good ! one good in - room meal ' ve have . I ' m mean turn hotel people , comfort level . many people say come city see city , hotel sleep . hote one important thing ; 's place feel safe get good sleep long day . feel safe hotel . stay 2 night , switch hotel . 
 Professional friendly staff beautiful hotel 	 Chose hotel due excellent impression make senior hotel manager later staff encounter . room quiet , clean beautiful view Times Square . location convenient everything midtown Manhattan , especially theater district . stay base upon satisfy experience . 
 Nov 7 2007 	 Save Money stay Somewhere else 	 please note Hotwire already agree review hotel may stop send traveler hotel . lack service Novotel understatement ! lack comfort also understatement ! great location great view Times Square ... lot hotel area . I check put room smell like entire bottle cologne spill 82 degree . call front desk say want move room smoking room leave available ... oh way , check room , housekeeping room clean something ? still idea . call ask air conditioning working room , say winter outside heat hotel open window . November ... not 10 degree outside ? much breeze really go come room surround building ? go another hotel second night . hotwire apologetic refunded money . admit already refund another Hotwire traveler night Novotel . please save huge headache stay somewhere else ! ! 
 Oct 30 2007 	 one front desk answer phone hour ! 	 aunt stay hotel year business trip New York . time beg ever stay . reach room phone prove impossible ! past 9 pm , ' ve call available number ( 212 ) 315 - 0100 since 4:30pm . answer ! even answer machine -- nothing ! e - mail hotel , one reply . find name e - mail address hotel manager ( Marc Sternagel ) online , e - mail bounce right back . horrid front desk service ( , perhaps , able pay phone bill service cut ? ) -- business , far concerned . 
 Oct 28 2007 	 great view balcony . great location 	 Hotel great location , right Times Square Broadway . excellent view balcony , bar . drink price reasonable hotel , fact cheap restuarant . room clean & amp ; well maintain . staff friendly helpful knowledgable . excellent service . great stay . would stay . not eat hotel , comment food . 
 Oct 25 2007 	 Fiasco 	 well , although great view near major theatre ny , everything else terrible ! say pay advance room available arrive toil flood ( unlikely seem ) first night . say really terrible service ( except nice people Ian ) . way , recall german couple check find people & quot ; & quot ; room open door ... , although believe hotel use nice place , today piece crap really recommend take look hotel around avoid unnecessary annoyance . 
 Oct 21 2007 	 watch charge 	 stay twice great location . the room real need refurbishment . however watch swipe credit card charge room even though already pay . happend friend well . hotel not repsond email query pursue via credit card company 
 Oct 20 2007 	 great location big average room 	 stay five night recently . impressed , excellent location generously proportion room . book accomodation pay particular attention room dimension hotel look , due reputation New York tiny room . novotel clearly much big room fancy ( pricier ) hotel . room two double bed , still plenty room suitcase chair two . bathroom adequate , bit need modernising . rest room look fine , maid seem keep clean day . great view room Times Square also , not ask particular . grumble would less helpful staff ( apart cleaner seem friendly rest staff ) , not seem friendly helpful checking in/ . never cause use otherwise though , problem . maybe trying get use general rudeness people New York ; ) 
 Oct 19 2007 	 Great Hotel 	 first location ... hard beat West 52nd St , Broadway , especially New York first timer . next , room . ' Time 's Square View ' ... room good size ( small , huge ) . bed comfortable , bathroom clean functional . Daily maid service ( friendly helpfull meet ) .reception staff ? perfect ! attentive without patronize . queue developed reception appear little room behind desk - never wait minute . Bar / Restaurant ? Breakfast Buffet fine ( free kid ) Bar price reasonable . not dinner hotel can not comment . free internet access guest , free gym ( small ) .would go back ? yes ! bad point ? decor room corridor could refresh - dirty , tired . 
 Oct 18 2007 	 disappoint 	 stay week 2004 please . great back , really disappointed see much change back recently . lobby pretty much . moment get floor go room realize hotel maintain . hallway air condition look like cheap motel . room dirty ( inspect maid ) thing like water stain ceiling tile rust stain bottom bathroom door basically evidence like cheap tourist hotel . great location nicer hotels location price . breakfast still nice time , quality food take nose dive . still ok price though , great like use great find Novotels . will not respond problem blow smoke arse . tell front desk renovate February ( dump ? ) . maybe improve . usually try stay Novotel never stay . oh , porter use stand street handle everything bag car arrive . hang inside talk buddy specifically go inside ask help bag . thing like not need happen example lack hotel management exist . 
 Oct 9 2007 	 would consider go back 	 second trip NYC , first 2006 . stay Sheraton Towers time running offer 4 night price 3 . offer running time book trip look round decide give Novotel try pretty reasonable acceptable standard . the room clean basic need redecorate . bother we much simply use room somewhere wash sleep ! ! bed comfortable maid great job day . could opt clean towel everyday wish . great location , Time Square within walk distance plenty attraction ( importantly Macy 's ! ) .My complaint hotel ( REALLY picky ) take elevator street level lobby seventh floor , walk across lobby get another elevator room . elevator street lobby extremely slow one point think get stick ! find catch extra elevator little inconvenient hour shopping sightseeing want go room ! summary , great hotel price come Sheraton running offer would pick Sheraton . 
 Oct 8 2007 	 great hotel NY price 	 ' ve stay Novotel twice time great . ' m spend major buck room NYC ' m simply room except sleep . be great location - easy walk anywhere Manhattan . highly recommend price . time book one price low Milford Plaza even close quality Novotel . stay way well price . 
 Sep 18 2007 	 Fantastic Honeymoon Daughter 	 arrive Novotel New York 1st leg Honeymoon complete 7 year old Daughter . hotel entrance street level staff awate arrival take bag deliver room . lift take reception check quick efficient . take lift room superb . light bright 2 massive bed plenty room swing cat . view amazing look right time square fantastic day night . stay 3 night would highly recommend hotel location standard price . never eat hotel deli around corner fantastic even get sandwich make long train journey Niagara Falls . staff helpful would stay next visit . thank also champer first night . 
 Sep 6 2007 	 perfectly meet need 	 decide take kid see Manhattan day way Orlando look somewhere central reasonably price . novotel look room rate $ 125 per night represent great value . normally stay sheraton travel internationally Novotel could never describe luxurious neither aim : would grade 3 star + basis give average rating . unusually lobby ground floor take lift 9th floor reception . reception area open plan bar restaurant looks do fairly recently ; work well visually although eat restaurant can not comment service food . room modern could coat fresh paint woodwork importantly clean quiet . the reception staff welcome friendly without top happily waive extra charge couple drink mini bar show system . interestingly put security guard lift evening . certainly not seem need nice know . hotel appear preferred partner Air France flight crew . if look somewhere price range close Times Square consider Novotel . 
 Sep 4 2007 	 Time Refurbish ! ! 	 stay Novotel NY many time last 8 - 10 year . pricing service remain good . location convenient Restaurant Nicole nice view Times Square . lobby area lovely , take elevator get to / from street level . room also nice view , especially upper floor . fun , international crowd make feel like ' ve go far away . child Friendly , room single sofa bed . warn must request non - smoking floor room many time get one -- otherwise will give smoking room , smell smoky . check early enough get non - smoking room time . now BIG : hotel need refurbish room . clean modern dirty old . carpeting hall room filthy stain , desk nighttable also dusty -- like not vacuum except middle room . mattress low , old , creaky uncomfortable . sheet clean blanket bedspread old dirty . curtain dirty . artwork start fall inside frame . furniture dirty , scratch , chip look like 's Motel 6 instead 3 star hotel . towel threadbare small . bathroom keep clean , sink crack several place , look old . a / C unit work -- extreme mode -- either cold hot noisy . wallpaper stain , rip corner ceiling tile also stain , discolor dirty . husband keep make & quot ; CSI & quot ; joke ask blacklight ! bottom line : pay $ 289 / night plus taxis , bad midtown Manhattan , good consider condition room . ever stay unless re - do room , gross . advice hotel management , guest rooms:1 . replace ceiling tile wallpaper2 . replace furniture include bed / mattresses3 . repair bathroom fixture necessary4 . go modern style bedding change / wash guests5 . thoroughly clean replace carpeting6 . train housekeeping staff move thing vacuum thoroughly guest least7 . invest new towels8 . LATHER , RINSE , REPEAT9 . maintain , maintain , maintain . 
