view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 Oct 12 2006 	 Awesome Accommodation 	 stay Mark Hopkins Hotel 7 day last July wonderful time . service excellent , room service great food good . mom always say & quot ; get pay for . & quot ; be exactly will get Mark Hopkins . pay high price excellent hotel stay . disappointed . fact , make another reservation stay hotel San Francisco business . not think ever stay elsewhere . highly recommend hotel . 
 Oct 11 2006 	 Comfortable 	 Booked club level . cost extras good value . provide 5 light meal 6:30 - 10 pm day . plenty eat drink , wine , mixed drink include . two adult great , kid . save time relax long day sightseeing . room average size , bathroom great , bed wonderful . toilet loud , cause 1.6 gallon flush . hear neighbor loud mouth , quiet restful . great location start day . two cable car line within block , one right front hotel . ride right downtown hotel . great view everywhere , be top . top Mark great view , kind run , old standard , could freshen . pack weekend marriage . overall enjoy stay . grovesvenor one block away , fairmont across street , may look elsewhere next time . 
 Oct 5 2006 	 always favorite 	 Mark Hopkins favorite San Francisco hotel . great view ( Top Mark fabulous ! ) classic San Francisco charm . hotel locate one good neighborhood San Francisco easy access Union Square , Fisherman 's Warf , Financial District ( minus chaos ) . hotel lack customer service room not luxurious San Francisco ( comforter , bathroom nice ) . however , hotel great gym restuarant / lounge top floor make hotel 's shortcoming . great brunch afternoon cocktail Top Mark . timeless hotel warrant visit San Francisco always top list stay SF . 's one hotel local San Franciscans visit cocktail entertainment . can not beat 's charm ! 
 Sep 22 2006 	 lovely hotel lot charm 	 lucky enough find fabulous rate hotel , ice cake . BEAUTIFUL hotel , charming . room small , nicely appoint . lot nice touch . excellent view Nob Hill neighborhood . lot nice folk -- conceirge recommend great restaurant we . nice lunch Top Mark . great access cable car Chinatown . would absolutely stay . 
 Sep 22 2006 	 Loved ! ! 	 nothing positive say ! ! arrive late evening - hotel busy due large residential conference make reflection check etc . check staff friendly , actually say friendly ever experience full conversation information we both . room lovely , large comfy bed , large bathroom grand look decor . we do not eat restaurant go top mark drink evening fab ! ! view ( fog clear ) breathtaking . the location great short walk reasonable price restaurant bar . all great time ! ! 
 Sep 18 2006 	 good stay ! 	 overall , Mark Hopkins great place stay . corporate discount rate hard time pay hotel $ 300 pocket .... lot review may boil rate someone actually pay . otherwise , classy hotel amenity need . also nice location Nob Hill . easy stroll Union Square plenty grocery store around drink / food . seem comparable St Francis Westin without Union Square activity . would stay Mark Hopkins . 
 Sep 16 2006 	 great hotel great location ! ! ! 	 81 year old Mom viste . season traveler . love Mark Hopkins . sort old style hotel ... classy , comfortable , clean etc . room great , bed great . staff short handed check check crowd , attentive . good price believe website . price get Priceline . $ 169 room almost $ 189 room . $ 169 room low floor view . great . if go top Mark Rest .... drink view . food expensive . breakfast ok much money . take cable car Union Square walk go smeoplace like Sears Diner.dcr , Middletown , Ca 
 Sep 13 2006 	 second stay good first ! 	 say LOVE hotel plan stay future . stay Club level , think extra Club amenity - food service , business service , coincerage , etc . - help make & amp ; husband 's stay enjoyable . food good , service - experience - stellar . ulysse stand book ! never fail impress , kind , thoughtful , patient , helpful .... list could go & amp ; ! must say , impressive customer service & amp ; customer service porperty experience certainly factor stay hotel property second time . would highly recommend hotel . location ideal purpose . steep hill - bring walking shoe ! beautiful view will not want miss ! use cable car lot since convenient Mark Hopkins . 
 Aug 29 2006 	 bad 	 Read negative review ( one always ) get bit nervous , stay fine .... exactly pay , classy , old style well keep 3.5 star hotel great part town . complaint , stand compliment either . decent stay . 
 Aug 25 2006 	 terrible 	 sadly , discover , fact , many negative review hotel completely accurate . arrive 9pm .Had search bellhop , later abandon lagguage hotel lobby . bad oman thing come ! issue however trivial comparison incredibly noisy sleepless night endure hotel . mention many review , clearly hear toilet flush adjacent room . case ancient plumbing actually bang someone hammer wall ! also , even six floor , huge air - conditioning unitslocated lobby roof roar like diesel engine bus . second room move even bad . originally design suite , two inch gap bottom door seperate bedroom bedroom next door . stunned became occupy 3am . could clearly hear neighbor . four we staying room . spend remainder night sit hotel lobby , furious ! finally , third night , switch acceptable room , quiet ! objectively , though understaffe poorly manage , front desk staff receptive . lucky enough get decent room , might well enjoy stay Mark Hopkins . , could bad hotel experience imaginable . advise ! 
 Aug 19 2006 	 Loved Hotel Intercontinental ! ! ! 	 book package deal Hotel Intercontinental include breakfast parking . bit nervous thinking would treat well since pay $ 500.00 night .... wrong . upon check - in , take we room , open door , welcome we hotel . room large bed comfortable . room also face street , trolley track nervous would loud , . breakfast morning fantastic , Top Mark 19th floor . view bay , Alcatraz Golden Gate Bridge ( fog clear bit ) . concierge first night recommenede wonderful tapas restaurant 5 block walk away . last couple day & quot ; Babymoon & quot ; enjoyable way end . would definitely stay ! 
 Aug 13 2006 	 great part 	 shaky first night , really enjoy Mark Hopkins . hotel great location San Francisco walk distance many area city . hotel old quaint , prefer hotel . price ( pay $ 219 night ) reasonable . main problem arise first night . place third floor , right next elevator directly valet area . would noisy enough except also place floor group attend wedding , fact next door group decide spend entire night partying room . loud call downstairs three time , time front desk say would call security , either anything effective . event , sleep well first night . next morning ask room far away chaos . front desk apologize accommodate we place we corner room fifth floor . also give we upgrade room . rest stay terrific . bell staff concierge top notch . recommend go Top Mark Sunday brunch martini ( 100 ) hour drink . upon checkout refuse give we discount first night , feel would appropriate consider circumstance , offer upgrade next time stay . stay , would suggest request room high level near corner . 
 Jul 7 2006 	 Satisfactory 	 stay Mark Hopkins July1 - July 6 . old hotel , classy place . check 9:00pm Saturday night . rude man check , manager quickly make ammend speak next morning . club floor nice- great sheet ! ! even not stay Club floor go Club Lounge . believe $ 60 / day two people . well worth . great place hang use internet , play chess , watch tv enjoy delicious food beverage throughout day . wonderful guest relation people help anything need . address name every time went make feel comfortable welcome . Stayed child enjoy bring 16 year old son . top Mark Sunday brunch pricey , worth ! ! 
 Jul 5 2006 	 princess tower ... 	 stay 7 night -- attend in - house conference husband get play tourist . room bath lovely . room complaint & quot ; two well & quot ; along & quot ; high ridge & quot ; middle king - size mattress . maid excellent job , sometimes late , actually leave thank note tip ! staff , overly friendly , efficient business - like . & quot ; freebie & quot ; daily New York Times . location , although centrally locate interesting geographically , difficult -- least 3 block downhill reasonably price restaurant . . . least 3 block steep hill ! needless say , take cab would ordinarily . since stick 9 - 5 six day top hill , feel like captive princess . parking $ 54 / day -- car rental price , park hill $ 15 / day two day car . think one garage one level block away charge $ 40 / day . view Top Mark bar miss ! 
 Jul 2 2006 	 Great Package Location 	 husband stay Mark Hopkins two night take advantage & quot ; San Francisco City Tour & quot ; package include parking ( usually $ 45 / day ) , three day cable car pass ( $ 10 / person per day ) full buffet breakfast Top Mark . buffet outstanding featured american choice , european fare even dim sum . really enjoy . room lovely , clean , quiet comfortable . request high floor give room 12th . away elevator hear noise night . car quickly retrieve time need , take advantage cable car right outside hotel . even small grocery block away use purchase wine . hotel old , however classy . 
