great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 Apr 29 2007 	 wonderful 	 wonderful hotel stay price pay . great location . Buy Oyster card take bus # 148 # 94 get main place . walk 7 - 10 minute take tube ( train ) Holland Park station . walk restaurant , price high great food take bus Notting Hill ( 5 minute ) plenty fast food restaurant great food . ask renovated room one give . also ask check early room ready 10:00am pretty good . starbuck close . thing like construction go around hallway awaken construction . stay ! 
 Apr 25 2007 	 wow 	 Hilton Gold vip hhonor member stay Hilton hotel book . stay Hilton Paddington early trip , compare Hilton Kensington , since stay day apart . overall , quite par Hilton . work near hotel , stay , , overall , convenient location far close tube stop . I check late due late flight front desk nice , although could upgrade . offer breakfast voucher instead ( two voucher three people ) , not matter since eat breakfast , end . the bedroom small - ish roll cot ( pre - arranged ) . arrive reasonably quickly , give late hour , pretty comfortable roll - away . barely enough space room fit ( put side table underneath desk fit cot ! ) .everything work , always nice . again , nice bottle still bottle spark water -- fave perk ( quite necessary dehydrated frequent traveller ) .The bathroom fine , nothing special , good water pressure shower . concierge helpful direction hard - to - find art gallery . internet access supremely overprice . overall , clean usable room would recommend Hilton Paddington one , price comparable . 250gbp night , would prefer something little luxurious . check easy breakfast buffet quite large selection , though food mediocre service spotty inattentive . 
 Apr 23 2007 	 great hotel lovely staff 	 stop hilton kensington friend run marathon , book hotel great meal first night , go restaurant meet one friendly member staff , show we table , meal fantastic wine quite good value money 18.00 bottle . wine bar 7.45 glass buying bottle lot cheap . room excellent get free upgrade hilton honors member , friend room must admit look bit tired worn , clean fresh . breakfast excellent , huge choice food . street hotel nice lot nice little restaurant bar eat , castle pub lovely staff nice . would recomend hotel anyone wish nice place visit london 
 Apr 20 2007 	 Bed ! bed ! bed ! 	 Staff & quot ; ok & quot ; , & quot ; ok & quot ; ... rest ... not know describe ! go stay hotel chance . gold HHonors member stay many Hilton 's worlwide bad . idea Hilton guy office . not know , not care go hotel ? room small , old furniture , noisy ( tube , air conditioner , street , corridor , everywhere ) ... check - in ok everything unbelivable ! ask concierge arrabge cab airport , friend come pick ! ask concierge near sushi rest , say Notting Hill , walk 10 min , go , take 25 min , abd take away place ! heating room , freeze night ! oh , not want write , bad Hilton ever see , one really bed hotel ever see . chance , not , stay away hotel . sure real Hilton . 
 Apr 17 2007 	 lovely affordable Hilton London 	 always first choice London affordable luxury ( normally get room £ 60 - £ 90 night ) London good . bus stop outside take Oxford Street 15 minute , could walk hour holland park , nottinghill bayswater . stay ten time never fault service receive neither friend family also stay . beautiful hotel , lovely room staff brilliant friendly . good restaurant road , can not remember call americam theme good ( brown window door near tube ) lovely area nice walk around hotel amazing house park close ( walk actual prk get kensington high street ) . 
 Apr 15 2007 	 detailed ( ish ) review Hilton London Kensington surrounding 	 firstly location get hotel . sure buy oyster card cheap way travel London give access bus tube route depend zone need . tourist zone 1 2 . ' probably never need go . near tube station Hilton London Kensington Holland park tube station ( central line ) , good 15 minute stroll along Holland park avenue . tube close majority stay rely bus Notting Hill Gate tube . area safe plenty shop forget anything home , find Tesco Metro next Holland Park tube station . also , Busses Piccadilly Circus ( 94 ) stop road hotel convenient . this hotel ok really ' say . standard . kind WOW factor particularly impressive interior ( consider be renovate ) . check ( swift pleasant ) make way room executive floor 6 ( floor 6 & amp ; 7 executive floor ) enter room really quite surprised small . bathroom really tiny ' bath ! ' 6 " 0 tall head almost touch ceiling shower ! although room small , equip necessary toiletry etc ( complimentary bottled water room , Times morning -that sort thing ) .The executive lounge definitely worth visit . every morning continental breakfast serve snack soft drink serve day . evening 6:00pm - 8:30pm alcoholic drink serve . good stuff like bottle Stella Becks large , red white wine top brand spirit mixer , even Courvoisier brandy ! cheer ! couple bar club Notting Hill Pizza express , really want heart west end lap atmosphere London . want book show , recommend prior visit pay lot less . ' use hotel concierge ! ' time book ticket stay , buy booth Leicester Square even theatre box office . go see " Little Shop Horrors " ( favourite show ) " Les Miserables " show absolutely fantastic ! extra careful London . tourist target rip . ' originally London live Manchester year know sometimes feel uneasy . year London must approach beggar daily basis . maybe ' coincidence ' sure ' happen often previous year . know happen major city , careful buy ticket street trader . common sense really ! tour every visitor London must : Tower London ( see crown jewel ) , St Pauls Cathedral ( ' sheer beauty ) see west show ( please see little shop horror ' still , give cast standing ovation . Alistair McGowan dentist hilarious Sheridan Smith Audrey fantastic voice talente . really exceptional performance . cast exceptional ! ) . back hotel , small gym , sauna steam room ok use . bar restaurant ground floor , , ' London GET HOTEL TASTE CITY ! really , ' bit boring want dine standard hotel . ' quite hard imagine hotel recently renovate . ' say hotel scruffy dirty , modern . tv hotel room standard . ' probably expect LCD tv freshly renovate 4 * hotel , one . if executive floor small bathroom , ' imagine small room be . my real complaint adequate hotel size room . first hotel ' stay bathroom " bath " , would expect 4 * Hilton Executive room . rate way . I mainly compare hotel Hilton Paddington , stay last time London . executive room get much big coffee percolator , big tv generally high standard . like suite … so want little space central location , maybe hotel would better . hope review help . ' happy answer question . 
 Apr 13 2007 	 FANTASTIC TIME ! 	 return home two night break Husband 8 year old son . moment check , time leave , could find fault anything . room quite small , especially three room , London many thing see sit room ! although small , find room always exceptionally clean , fussy ! staff particularly good - restaurant staff ( breakfast ) , reception , house keeping , concierge executive lounge . attentive could not enough you . the breakfast good , Hilton hotel . the location picturesque , safe neighbourhood near tube station trip central London easy . Tesco Express way good pick picnic lunch save money queue later day whilst sightseeing . this second stay try various Hiltons London , favourite plan another stay Summer . 
 Apr 10 2007 	 definitely Return 	 stay hotel three day would definately stay . boyfriend visit London first time hotel suit need wallet perfectly . stay so - call decent hotel disappoint past . Hilton clean amenity want . two bice restaurant lobby , one even open 24 hour . , renovate , honestly barely noticed . also , staff friendly people encounter London , helpful . moment walk , make we feel comfortable . my caveat standard room small side . especially hard lug bag door . two people , next time definately upgrade room . , room great . furniture , bedding , bathroom clean look new . this hotel also work well us area near everything need . two tube station within five minute less walking distance . street also line cafe , restaurant , small supermarket , couple convenience store , even Starbucks . actually eat pizza place three minute hotel excellent pizza . overall , really enjoy stay . great come back hotel long day walk signtseeing . 
 Apr 10 2007 	 stay away room service ! 	 stay 5 night -- -a nice average Hilton Hotel , undergo renovation . location good , area much nightlife , easily accessible bus tube . however , room service food poor ! husband pizza similar low end pizza sell frozen food section grocery store . poor quality . order steak pie , hard could not eaten plus bottom burn . ask room service bring another one receive another pie condition . waiter say be deliver hotel . waiter return kitchen well ask remove bill , . ask hotel management remove charge . clearly , kitchen order frozen food central food concern , probably pay dollar two meal jack price sky high . one would expect low fare low class hotel restaurant , Hilton $ 20 - 30 price ! ! ! pizza cost hotel dollar , would surprised . kitchen management ashame serve inferior food . 
 Apr 5 2007 	 average Hilton 	 arrive late , check - in quick . room 1st floor luckily back ( front street really busy ) . room size standard London , bed quite good , bathroom small . chair carpet not clean ( something would accept cheap motel , Hilton ) wall bathroom refresh . btw , 1m90 + not try shower , head would hit roof . have not check breakfast , be Paul Starbucks good 5 minute walk hotel ( next Holland Park tube station ) . 
 Mar 28 2007 	 Lovely Neighborhood- Standard Hilton 	 return three night stay London find Hilton meet need . room decent size ( although a / c not work well ) everything clean . really meet Hilton standard . great neighborhood hand- close Notting Hill , five min metro stop ... find staff friendly overall stay great . hotel option London , safe bet . 
